,Concept_ID,vep,sl
0,Auge::N,sil'm,okó
1,Ohr::N,korv,uhó
2,Nase::N,nena,nós
3,Mund::N,su,ústa
4,Zahn::N,pi,zób
5,Zahn::N,hambaz,zób
6,Zunge::N,kel',jêzik
7,Lippe::N,hul',ústnica
8,Wange::N,modpolišk,líce
9,Gesicht::N,mod,oblíčje
10,Stirn::N,oc,čêlo
11,Haar::N,tuk,lás
12,Haar::N,hibuz,lás
13,Schnurrbart::N,habinod,bŕki
14,Bart::N,bard,bráda
15,Kinn::N,löug,bráda
16,Kiefer[Anatomie]::N,hambazlu,čeljúst
17,Kehle::N,kurk,gŕlo
18,Hals::N,kagl,vrát
19,Genick::N,tagarai,zatílnik
20,Kopf::N,pä,gláva
21,Rücken::N,sel'g,hrbèt
22,Bauch::N,vac,trébuh
23,Bauch::N,koht,trébuh
24,Nabel::N,naba,pópek
25,Busen::N,niža,nédrja
26,Brust::N,rind,pŕsi
27,Schulter::N,oug,ráma
28,Schulter::N,oug,plêče
29,Arm::N,käzi,rôka
30,Ellenbogen::N,künambruz,komólec
31,Hand::N,käzi,rôka
32,Hand::N,käzitera,rôka
33,Handfläche::N,kämen,dlán
34,Finger::N,sor'm,pŕst
35,Fingernagel::N,künz',nóht na rôki
36,Nagel[Anatomie]::N,künz',nóht
37,Zeh::N,barbaz,pŕst na nôgi
38,Fuß::N,jaug,nôga
39,Ferse::N,kand,pêta
40,Knie::N,komb,koléno
41,Knie::N,pol'v,koléno
42,Oberschenkel::N,riiže,stêgno
43,Bein::N,jaug,nôga
44,Körper::N,hibj,teló
45,Haut::N,nahk,kóža
46,Blut::N,čak,krí
47,Blut::N,veri,krí
48,Ader::N,son',žíla
49,Sehne::N,jände,kíta
50,Knochen::N,lu,kóst
51,Gehirn::N,aivod,možgáni
52,Herz::N,südäin,srcé
53,Magen::N,südäikoht,želódec
54,Leber::N,maks,jétra
55,Atem::N,hengaiduz,díh
56,Hunger::N,näl'g,glád
57,Träne::N,kündal',sólza
58,Geschmack::N,magu,okús
59,Geruch::N,haju,vónj
60,Schlaf::N,uni,sèn
61,Schlaf::N,uni,spánec
62,Traum::N,unikuva,sánje
63,Himmel::N,taivaz,nebó
64,Sonne::N,päiväine,sónce
65,Mond::N,kudmaine,lúna
66,Mond::N,kudmaine,mésec
67,Stern::N,tähtaz,zvézda
68,Luft::N,il'm,zràk
69,Wind::N,döl,véter
70,Wind::N,tullei,véter
71,Welle::N,ald,vál
72,Welle::N,laineh,vál
73,Wasser::N,vezi,vôda
74,Stein::N,kivi,kámen
75,Boden::N,ma,tlà
76,Boden::N,pohj,tlà
77,Erde::N,ma,pŕst
78,Erde::N,ma,zêmlja
79,Staub::N,pölü,práh
80,Rauch::N,savu,dìm
81,Funke::N,kibin,ískra
82,Feuer::N,lämoi,ôgenj
83,Licht::N,vauktuz,lúč
84,Schatten::N,pil'vez,sénca
85,Schatten::N,kuvahaine,sénca
86,Wetter::N,sä,vrême
87,Nebel::N,sumeg,meglà
88,Wolke::N,pil'v,oblák
89,Regen::N,vihm,dèž
90,Schnee::N,lumi,snég
91,Eis::N,jä,léd
92,Frost::N,hala,zmrzál
93,Frost::N,pakaine,zmrzál
94,Kälte::N,vilu,mràz
95,Hitze::N,räk,pripéka
96,Raureif::N,hüde,ívje
97,Raureif::N,hüde,slána
