,Concept_ID,is,xal
0,Auge::N,auga,нүдн
1,Ohr::N,eyra,чикн
2,Nase::N,nef,хамр
3,Mund::N,munnur,амн
4,Zahn::N,tönn,шүдн
5,Zunge::N,tunga,келн
6,Lippe::N,vör,урл
7,Wange::N,kinn,халх
8,Wange::N,vangi,халх
9,Gesicht::N,andlit,нүр
10,Stirn::N,enni,маңна
11,Haar::N,hár,үсн
12,Schnurrbart::N,yfirskegg,сахл
13,Bart::N,skegg,сахл
14,Bart::N,skegg,өргнә сахл
15,Kinn::N,haka,өргн
16,Kiefer[Anatomie]::N,kjálki,өргн
17,Kiefer[Anatomie]::N,skoltur,өргн
18,Kehle::N,kverk,хол
19,Hals::N,háls,күзүн
20,Genick::N,hnakki,гиҗг
21,Kopf::N,höfuð,толһа
22,Rücken::N,hryggur,нурһн
23,Bauch::N,kviður,гесн
24,Nabel::N,nafli,киисн
25,Busen::N,barmur,көкн
26,Brust::N,brjóst,чееҗ
27,Schulter::N,öxl,ээм
28,Arm::N,armur,һар
29,Ellenbogen::N,olnbogi,тоха
30,Hand::N,hönd,баһлцг
31,Handfläche::N,lófi,альхн
32,Finger::N,fingur,хурһн
33,Finger::N,fingur,һарин хурһн
34,Fingernagel::N,fingurnögl,хумсн
35,Nagel[Anatomie]::N,nögl,хумсн
36,Zeh::N,tá,хурһн
37,Zeh::N,tá,көлин хурһн
38,Fuß::N,fótur,тавг
39,Ferse::N,hæll,өскә
40,Knie::N,kné,өвдг
41,Oberschenkel::N,læri,һуй
42,Bein::N,fótleggur,көл
43,Körper::N,búkur,махмуд
44,Körper::N,líkami,махмуд
45,Haut::N,húð,арсн
46,Haut::N,skinn,арсн
47,Blut::N,blóð,цусн
48,Ader::N,æð,судцн
49,Sehne::N,sin,шүрүсн
50,Knochen::N,bein,ясн
51,Gehirn::N,heili,экн
52,Herz::N,hjarta,зүркн
53,Magen::N,magi,гесн
54,Leber::N,lifur,элкн
55,Atem::N,andi,әмсхл
56,Atem::N,andardráttur,әмсхл
57,Hunger::N,hungur,харһнлһн
58,Träne::N,tár,нульмсн
59,Geschmack::N,smekkur,амтн
60,Geruch::N,lykt,үнр
61,Schlaf::N,svefn,нөр
62,Traum::N,draumur,зүүдн
63,Himmel::N,himinn,теңгр
64,Sonne::N,sól,нарн
65,Mond::N,tungl,сар
66,Stern::N,stjarna,одн
67,Luft::N,loft,аһар
68,Wind::N,vindur,салькн
69,Welle::N,alda,дольган
70,Welle::N,bylgja,дольган
71,Wasser::N,vatn,усн
72,Stein::N,steinn,чолун
73,Boden::N,botn,Һазр
74,Erde::N,jörð,Һазр
75,Staub::N,ryk,тоосн
76,Staub::N,duft,тоосн
77,Rauch::N,reykur,утан
78,Funke::N,neisti,очн
79,Feuer::N,eldur,һал
80,Licht::N,ljós,герл
81,Schatten::N,skuggi,сүүдр
82,Wetter::N,veður,теңгр
83,Nebel::N,þoka,будн
84,Wolke::N,ský,үүлн
85,Regen::N,regn,хур
86,Schnee::N,snjór,цасн
87,Eis::N,ís,мөсн
88,Frost::N,frost,киитн
89,Kälte::N,kuldi,киитн
90,Hitze::N,hiti,халун
91,Raureif::N,hrím,цаң
92,Raureif::N,hrím,кирү
93,Regenbogen::N,regnbogi,солңһ
94,Donner::N,þruma,оһтрһун дун
95,Strömung::N,straumur,урсхл
96,Tropfen::N,dropi,дусал
97,Schaum::N,froða,көөсн
98,Schmutz::N,óhreinindi,кир
99,See::N,stöðuvatn,нур
100,Sumpf::N,fen,унул
101,Moor::N,mýri,улм
102,Wiese::N,engi,хадлһн
103,Wald::N,skógur,ө-модн
104,Hügel::N,hæð,толһа
105,Hügel::N,hóll,толһа
106,Anhöhe::N,hæð,хамр
107,Anhöhe::N,hóll,хамр
108,Berg::N,fell,уул
109,Berg::N,fjall,уул
110,Gipfel::N,tindur,ора
111,Höhle::N,hellir,хадин көндә
112,Abhang::N,hlíð,ташу
113,Abhang::N,brekka,ташу
114,Quelle::N,lind,булг
115,Quelle::N,uppspretta,булг
116,Bach::N,lækur,һооҗур
117,Fluss::N,á,һол
118,Fluss::N,fljót,һол
119,Ufer::N,árbakki,көвә
120,Ufer::N,sjávarbakki,көвә
121,Küste::N,strönd,көвә
122,Küste::N,strönd,теңгсин көвә
123,Festland::N,meginland,хүүрә һазр
124,Meer::N,haf,теңгс
125,Meer::N,sjór,теңгс
126,Bucht::N,vík,цекә
127,Bucht::N,vík,теңгсин цекә
128,Insel::N,eyja,арл
129,Blume::N,blóm,цецг
130,Gras::N,gras,ноһан
131,Wurzel::N,rót,уңг
132,Baum::N,tré,модн
133,Stamm::N,stofn,шилв
134,Stamm::N,stofn,һол модн
135,Rinde::N,börkur,көрсн
136,Ast::N,grein,ац
137,Zweig::N,angi,ац
138,Zweig::N,kvistur,ац
139,Blatt::N,blað,хамтхасн
140,Birke::N,birki,хусм модн
141,Kiefer[Baum]::N,fura,шар харһа
142,Weide[Baum]::N,víðir,удн
143,Tanne::N,greni,җөөлн цаһан модн
144,Horn::N,horn,өвр
145,Feder::N,fjöður,өрвлг
146,Fell::N,skinn,арсн
147,Flügel::N,vængur,җивр
148,Klaue::N,kló,хумсн
149,Kralle::N,kló,тавг
150,Schwanz::N,rófa,сүл
151,Schwanz::N,skott,сүл
152,Ei::N,egg,өндгн
153,Nest::N,hreiður,үр
154,Bau::N,greni,нүкн
155,Bau::N,bæli,нүкн
156,Tier::N,dýr,мал
