,Concept_ID,sl,et
0,Auge::N,okó,silm
1,Ohr::N,uhó,kõrv
2,Nase::N,nós,nina
3,Mund::N,ústa,suu
4,Zahn::N,zób,hammas
5,Zunge::N,jêzik,keel
6,Lippe::N,ústnica,huul
7,Wange::N,líce,põsk
8,Gesicht::N,oblíčje,nägu
9,Stirn::N,čêlo,otsmik
10,Haar::N,lás,juus
11,Schnurrbart::N,bŕki,vurrud
12,Schnurrbart::N,bŕki,vuntsid
13,Bart::N,bráda,habe
14,Kinn::N,bráda,lõug
15,Kiefer[Anatomie]::N,čeljúst,lõualuu
16,Kehle::N,gŕlo,kõri
17,Hals::N,vrát,kael
18,Genick::N,zatílnik,kukal
19,Kopf::N,gláva,pea
20,Rücken::N,hrbèt,selg
21,Bauch::N,trébuh,kõht
22,Nabel::N,pópek,naba
23,Busen::N,nédrja,rind
24,Brust::N,pŕsi,rind
25,Schulter::N,ráma,õlg
26,Schulter::N,plêče,õlg
27,Arm::N,rôka,käsivars
28,Ellenbogen::N,komólec,küünarnukk
29,Hand::N,rôka,käsi
30,Handfläche::N,dlán,pihk
31,Finger::N,pŕst,sõrm
32,Fingernagel::N,nóht na rôki,küüs
33,Nagel[Anatomie]::N,nóht,küüs
34,Zeh::N,pŕst na nôgi,varvas
35,Fuß::N,nôga,jalg
36,Ferse::N,pêta,kand
37,Knie::N,koléno,põlv
38,Oberschenkel::N,stêgno,reis
39,Bein::N,nôga,jalg
40,Körper::N,teló,ihu
41,Körper::N,teló,keha
42,Haut::N,kóža,nahk
43,Blut::N,krí,veri
44,Ader::N,žíla,veen
45,Sehne::N,kíta,kõõlus
46,Knochen::N,kóst,luu
47,Gehirn::N,možgáni,aju
48,Herz::N,srcé,süda
49,Magen::N,želódec,magu
50,Leber::N,jétra,maks
51,Atem::N,díh,hingeõhk
52,Atem::N,díh,hingamine
53,Hunger::N,glád,nälg
54,Träne::N,sólza,pisar
55,Geschmack::N,okús,maitse
56,Geruch::N,vónj,lõhn
57,Schlaf::N,sèn,uni
58,Schlaf::N,spánec,uni
59,Traum::N,sánje,unenägu
60,Himmel::N,nebó,taevas
61,Sonne::N,sónce,päike
62,Mond::N,lúna,kuu
63,Mond::N,mésec,kuu
64,Stern::N,zvézda,täht
65,Luft::N,zràk,õhk
66,Wind::N,véter,tuul
67,Welle::N,vál,laine
68,Wasser::N,vôda,vesi
69,Stein::N,kámen,kivi
70,Boden::N,tlà,maa
71,Boden::N,tlà,pinnas
72,Erde::N,pŕst,maa
73,Erde::N,zêmlja,maa
74,Staub::N,práh,põrm
75,Rauch::N,dìm,suits
76,Funke::N,ískra,säde
77,Feuer::N,ôgenj,tuli
78,Licht::N,lúč,valgus
79,Schatten::N,sénca,vari
80,Wetter::N,vrême,ilm
81,Nebel::N,meglà,udu
82,Wolke::N,oblák,pilv
83,Regen::N,dèž,sadu
84,Schnee::N,snég,lumi
85,Eis::N,léd,jää
86,Frost::N,zmrzál,pakane
87,Kälte::N,mràz,külm
88,Kälte::N,mràz,külmus
89,Hitze::N,pripéka,kuumus
90,Hitze::N,pripéka,palavus
91,Raureif::N,ívje,härmatis
92,Raureif::N,slána,härmatis
93,Regenbogen::N,mávrica,vikerkaar
94,Donner::N,gròm,kõu
95,Donner::N,gròm,müristamine
96,Strömung::N,strúja,voolus
97,Strömung::N,strúja,jõevool
98,Tropfen::N,káplja,tilk
99,Schaum::N,péna,vaht
100,Schmutz::N,nesnága,pori
101,Schmutz::N,nesnága,mustus
102,See::N,jézero,järv
103,Sumpf::N,močvírje,soo
104,Moor::N,bárje,raba
105,Wiese::N,trávnik,aas
106,Wiese::N,trávnik,nurm
107,Wald::N,lés,mets
108,Wald::N,gòzd,mets
109,Hügel::N,brég,küngas
110,Hügel::N,goríca,küngas
111,Anhöhe::N,gríč,küngas
112,Anhöhe::N,višína,küngas
113,Berg::N,gôra,mägi
114,Berg::N,planína,mägi
115,Gipfel::N,vŕh,mäetipp
116,Höhle::N,jáma,koobas
117,Höhle::N,votlína,koobas
118,Abhang::N,pobóčje,nõlvak
119,Quelle::N,izvír,allikas
120,Bach::N,pôtok,oja
121,Fluss::N,réka,jõgi
122,Ufer::N,brég,kallas
123,Küste::N,obála,rannik
124,Küste::N,obréžje,rannik
125,Festland::N,celína,mander
126,Festland::N,celína,maismaa
127,Festland::N,kopnína,mander
128,Festland::N,kopnína,maismaa
129,Meer::N,mórje,meri
130,Bucht::N,zalív,laht
131,Insel::N,ôtok,saar
132,Blume::N,cvetlíca,lill
133,Gras::N,tráva,rohi
134,Wurzel::N,korenína,juur
135,Baum::N,drevó,puu
136,Stamm::N,dêblo,tüvi
137,Rinde::N,lúbje,koor
138,Rinde::N,skórja,koor
139,Ast::N,véja,oks
140,Zweig::N,véja,oks
141,Blatt::N,líst,leht
142,Birke::N,bréza,kask
143,Kiefer[Baum]::N,bòr,mänd
144,Weide[Baum]::N,vŕba,paju
145,Tanne::N,hója,nulg
146,Horn::N,róg,sarv
147,Feder::N,peró,sulg
148,Fell::N,kŕzno,karvkate
149,Fell::N,kŕzno,karusnahk
150,Flügel::N,krílo,tiib
151,Flügel::N,krílo,tiivik
152,Klaue::N,párkelj,küüs
153,Kralle::N,krémpelj,küünis
154,Schwanz::N,rèp,saba
155,Ei::N,jájce,muna
156,Nest::N,gnézdo,pesa
157,Bau::N,brlòg,urg
158,Tier::N,živál,loom
159,Herde::N,čréda,kari
160,Kuh::N,kráva,lehm
161,Bulle::N,bìk,pull
162,Pferd::N,kònj,hobune
163,Schaf::N,ôvca,lammas
164,Schwein::N,svínja,siga
165,Hund::N,pès,koer
166,Katze::N,máčka,kass
167,Bär::N,mêdved,karu
168,Eichhörnchen::N,véverica,orav
169,Elch::N,lós,põder
170,Fuchs::N,lisíca,rebane
171,Hase::N,zájec,jänes
172,Maus::N,mìš,hiir
173,Wolf::N,vólk,hunt
174,Vogel::N,ptìč,lind
175,Vogel::N,ptíca,lind
176,Schwarm::N,játa,parv
177,Huhn::N,kokóš,kana
178,Hahn::N,petêlin,kukk
179,Gans::N,gós,hani
180,Adler::N,ôrel,kotkas
181,Ente::N,ráca,part
182,Eule::N,sôva,kakk
183,Eule::N,sôva,öökull
184,Kranich::N,žerjàv,kurg
185,Krähe::N,vrána,vares
186,Kuckuck::N,kúkavica,kägu
187,Schwan::N,labód,luik
188,Fisch::N,ríba,kala
189,Barsch::N,ostríž,ahven
190,Hecht::N,ščúka,haug
191,Schlange[Tier]::N,káča,uss
192,Wurm::N,čr̀v,uss
193,Wurm::N,čr̀v,vagel
194,Wurm::N,glísta,uss
195,Wurm::N,glísta,vagel
196,Spinne::N,pájek,ämblik
197,Ameise::N,mrávlja,sipelgas
198,Laus::N,úš,täi
199,Mücke::N,komár,sääsk
200,Fliege::N,múha,kärbes
201,Schmetterling::N,metúlj,liblikas
202,Beere::N,jágoda,mari
203,Apfel::N,jábolko,õun
204,Pilz::N,góba,seen
205,Zwiebel::N,čebúla,sibul
206,Saat::N,séme,seeme
207,Korn::N,zŕno,iva
208,Korn::N,zŕno,tera
209,Heu::N,senó,hein
210,Schale::N,lupína,koor
211,Grube::N,jáma,kaevand
212,Falle::N,pást,lõks
213,Falle::N,pást,püünis
214,Schlinge::N,zánka,aas
215,Schlinge::N,pêtlja,aas
216,Spur::N,sléd,jälg
217,Asche::N,pepél,tuhk
218,Dreck::N,bláto,saast
219,Dreck::N,bláto,mustus
220,Eisen::N,želézo,raud
221,Gold::N,zlató,kuld
222,Silber::N,srebró,hõbe
223,Kohle::N,ógel,süsi
224,Glas::N,stêklo,klaas
225,Lehm::N,ílo,savi
226,Sand::N,pések,liiv
227,Mensch::N,člôvek,inimene
228,Mann::N,móž,mees
229,Mann::N,môški,mees
230,Frau::N,gospá,naine
231,Frau::N,žénska,naine
232,Kind::N,déte,laps
233,Kind::N,otròk,laps
234,Junge::N,fànt,poiss
235,Junge::N,déček,poiss
236,Mädchen::N,deklè,tüdruk
237,Mädchen::N,déklica,tüdruk
238,Familie::N,družína,perekond
239,Großvater::N,dèd,vanaisa
240,Großvater::N,dédek,vanaisa
241,Großmutter::N,bábica,vanaema
242,Eltern::N,stárši,vanemad
243,Vater::N,ôče,isa
244,Mutter::N,máma,ema
245,Sohn::N,sín,poeg
246,Tochter::N,hčí,tütar
247,Tochter::N,hčérka,tütar
248,Bruder::N,bràt,vend
249,Schwester::N,sêstra,õde
250,Onkel::N,újec,onu
251,Onkel::N,stríc,onu
252,Tante::N,têta,tädi
253,Tante::N,strína,tädi
254,Ehemann::N,móž,mees
255,Ehemann::N,móž,abikaasa
256,Ehemann::N,sopróg,mees
257,Ehemann::N,sopróg,abikaasa
258,Ehefrau::N,žêna,naine
259,Ehefrau::N,žêna,abikaasa
260,Ehefrau::N,sopróga,naine
261,Ehefrau::N,sopróga,abikaasa
262,Freude::N,rádost,rõõm
263,Freude::N,vesêlje,rõõm
264,Gelächter::N,sméh,naer
265,Gelächter::N,grohòt,naer
266,Glück::N,sréča,õnn
267,Kummer::N,gorjé,mure
268,Kummer::N,gorjé,kurbus
269,Wunsch::N,žêlja,soov
270,Lust::N,poželênje,himu
271,Geist::N,dúša,vaim
272,Gedanke::N,mísel,mõte
273,Gedächtnis::N,pámet,mälu
274,Sinn::N,pomèn,tähendus
275,Sinn::N,smísel,tähendus
276,Grund::N,vzròk,põhjus
277,Wahrheit::N,resníca,tõde
278,Gespräch::N,pogóvor,kõne
279,Gespräch::N,pogóvor,vestlus
280,Märchen::N,právljica,muinasjutt
281,Erzählung::N,povést,jutustus
282,Nachricht::N,sporočílo,teade
283,Neuigkeit::N,novóst,uudis
284,Name::N,imé,nimi
285,Rätsel::N,ugánka,mõistatus
286,Rede::N,góvor,kõne
287,Sprache::N,jêzik,keel
288,Stimme::N,glás,hääl
289,Wort::N,beséda,sõna
290,Zeichen::N,znák,märk
291,Ruf::N,klíc,hüüe
292,Lärm::N,hrúp,müra
