,Concept_ID,ru,ady
0,Auge::N,глаз,нэ
1,Ohr::N,ухо,тхьакӏу́м
2,Nase::N,нос,пэ
3,Mund::N,рот,жэ
4,Zahn::N,зуб,цэ
5,Zunge::N,язык,бзэгу
6,Lippe::N,губа,ӏупшӏэ́
7,Wange::N,щека,нэкӏу́шъу
8,Gesicht::N,лицо,нэ́гу
9,Stirn::N,лоб,натӏэ́
10,Haar::N,волос,шъхьацы́
11,Haar::N,волосы,шъхьацы́
12,Schnurrbart::N,ус,
13,Schnurrbart::N,усы,
14,Bart::N,борода,жакӏэ́
15,Kinn::N,подбородок,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,челюсть,жэпкъы́
17,Kehle::N,горло,чый
18,Hals::N,шея,пшъэ
19,Genick::N,затылок,шъхьэпхэтыку
20,Kopf::N,голова,шъхьэ́
21,Rücken::N,спина,кӏыбы́
22,Bauch::N,живот,ныбэ́
23,Nabel::N,пупок,
24,Busen::N,женская грудь,бгъэ́
25,Brust::N,грудь,бгъэ́
26,Schulter::N,плечо,блыпкъ
27,Arm::N,рука,ӏэ
28,Ellenbogen::N,локоть,ӏэнтэ́гъу
29,Hand::N,кисть,ӏэтхьэцу
30,Handfläche::N,ладонь,ӏэ́гу
31,Finger::N,палец,ӏэхъуа́мб
32,Fingernagel::N,ноготь,ӏэбжъа́н
33,Nagel[Anatomie]::N,ноготь,ӏэбжъа́н
34,Zeh::N,палец,ӏэхъуа́мб
35,Fuß::N,ступня,лъэгу
36,Ferse::N,пята,лъэдакъэ
37,Ferse::N,пятка,лъэдакъэ
38,Knie::N,колено,лъагуа́ндж
39,Oberschenkel::N,бедро,ко
40,Bein::N,нога,лъакъо́
41,Körper::N,тело,пкъышъол
42,Haut::N,кожа,кӏы́шъу
43,Blut::N,кровь,лъы
44,Ader::N,вена,льытф
45,Ader::N,сосуд,льытф
46,Sehne::N,жила,фэ
47,Sehne::N,тетива,фэ
48,Sehne::N,сухожилие,фэ
49,Knochen::N,кость,къупшъхьэ́
50,Gehirn::N,мозг,куцӏы
51,Herz::N,сердце,гу
52,Magen::N,желудок,мышкӏу
53,Leber::N,печень,шӏу
54,Atem::N,дух,къэщэныр
55,Atem::N,дыхание,къэщэныр
56,Hunger::N,голод,гъаблэ́
57,Träne::N,слеза,нэпсы
58,Geschmack::N,вкус,ӏэшӏугъа́кӏ
59,Geruch::N,запах,мэ
60,Schlaf::N,сон,пчыхьы́пӏ
61,Traum::N,сновидение,пчыхьы́пӏ
62,Himmel::N,небо,уашъо́
63,Sonne::N,солнце,тыгъэ
64,Mond::N,луна,мазэ
65,Stern::N,звезда,жъуагъо́
66,Luft::N,воздух,жьы
67,Wind::N,ветер,жьыбгъэ́
68,Welle::N,волна,ор
69,Welle::N,волна,оры
70,Wasser::N,вода,псы
71,Stein::N,камень,мыжъо́
72,Boden::N,почва,чӏ́ыгу
73,Erde::N,земля,чӏ́ыгу
74,Staub::N,пыль,сап
75,Rauch::N,дым,ӏугъо́
76,Funke::N,искра,мэшӏуа́ч
77,Feuer::N,огонь,машӏо́
78,Licht::N,свет,нэфы
79,Licht::N,свет,нэфын
80,Schatten::N,тень,жьау́
81,Schatten::N,тень,ныбжьыкъу
82,Wetter::N,погода,
83,Nebel::N,туман,пща́гъу
84,Wolke::N,облако,ошъуапщэ
85,Regen::N,дождь,ощхы
86,Schnee::N,снег,осы́
87,Eis::N,лед,мылы
88,Frost::N,мороз,
89,Kälte::N,холод,чъыӏэ́
90,Hitze::N,жара,фэба́е
91,Raureif::N,иней,
92,Regenbogen::N,радуга, лэгъупэкъо́пс
93,Donner::N,гром,шыблэ́
94,Strömung::N,течение,ток
95,Tropfen::N,капля,ткӏопс
96,Tropfen::N,капля,гъуаткӏу
97,Schaum::N,пена,тхъурбэ
98,Schmutz::N,грязь,псынжъы
99,See::N,озеро,хыку́м
100,See::N,озеро,псыхъура́й
101,Sumpf::N,топь,орыжъ
102,Moor::N,болото,орыжъ
103,Wiese::N,луг,хъупӏэ́
104,Wiese::N,луг,мэкъупӏ
105,Wald::N,лес,мэзы́
106,Hügel::N,холм,ӏуашъхь
107,Anhöhe::N,возвышенность,чӏыӏэтыгъ
108,Berg::N,гора,къушъхьэ́
109,Gipfel::N,вершина,шыгу
110,Höhle::N,пещера,гъочӏэгъ
111,Abhang::N,склон,чапэ
112,Quelle::N,источник,псынэчэ́чъ
113,Bach::N,ручей,псышкуашку
114,Fluss::N,река,псыхъо́
115,Ufer::N,берег,нэпкъы
116,Küste::N,побережье,ӏушъо
117,Festland::N,суша,чӏл́ыгу
118,Meer::N,море,хы
119,Bucht::N,бухта,хыблыгу
120,Insel::N,остров,хыгъэхъу́н
121,Blume::N,цветок,къэгъа́гь
122,Gras::N,трава,уцы́
123,Wurzel::N,корень,лъапсэ́
124,Baum::N,дерево,чъыгы́
125,Stamm::N,ствол,пкъы
126,Rinde::N,кора,пхъашъо́
127,Ast::N,сук,куамэ
128,Zweig::N,ветвь,къутамэ́
129,Blatt::N,лист,тхьап
130,Birke::N,береза,пчэн
131,Kiefer[Baum]::N,сосна,сэснэй
132,Weide[Baum]::N,ива,пце́л
133,Tanne::N,ель,ель
134,Horn::N,рог,бжъэ
135,Feder::N,перо,къамӏы́й
136,Fell::N,шкура,шъо
137,Flügel::N,крыло,тамэ́
138,Klaue::N,коготь,лъэбжъа́н
139,Kralle::N,лапа,лъакъо
140,Schwanz::N,хвост,кӏэ
141,Ei::N,яйцо,кӏэнкӏэ́
142,Nest::N,гнездо,набгъо́
143,Bau::N,нора,гъу
144,Bau::N,нора,бы
145,Tier::N,животное,псэу́шъхь
146,Herde::N,стадо,ӏэхъогъу
147,Kuh::N,корова,чэмы́
148,Bulle::N,бык,цу
149,Pferd::N,лошадь,шы
150,Schaf::N,овца,мэлы́
151,Schwein::N,свинья,къо
152,Hund::N,собака,бьэ
153,Katze::N,кошка,чэты́у
154,Bär::N,медведь,мышъэ́
155,Eichhörnchen::N,белка,цызэ́
156,Elch::N,лось,лось
157,Fuchs::N,лиса,баджэ́
158,Hase::N,заяц,тхьакӏумкӏы́хь
159,Maus::N,мышь,цыгъо́
160,Wolf::N,волк,тыгъу́жъ
161,Vogel::N,птица,бзы́у
162,Schwarm::N,стая,отэр
163,Huhn::N,курица,чэты́
164,Hahn::N,петух,атакъэ́
165,Gans::N,гусь,къа́з
166,Adler::N,орел,
167,Ente::N,утка,псычэ́т
