,Concept_ID,da,is
0,Auge::N,øje,auga
1,Ohr::N,øre,eyra
2,Nase::N,næse,nef
3,Mund::N,mund,munnur
4,Zahn::N,tand,tönn
5,Zunge::N,tunge,tunga
6,Lippe::N,læbe,vör
7,Wange::N,kind,kinn
8,Wange::N,kind,vangi
9,Gesicht::N,ansigt,andlit
10,Stirn::N,pande,enni
11,Haar::N,hår,hár
12,Schnurrbart::N,overskæg,yfirskegg
13,Bart::N,skæg,skegg
14,Kinn::N,hage,haka
15,Kiefer[Anatomie]::N,kæbe,kjálki
16,Kiefer[Anatomie]::N,kæbe,skoltur
17,Kehle::N,strube,kverk
18,Hals::N,hals,háls
19,Genick::N,nakke,hnakki
20,Kopf::N,hoved,höfuð
21,Rücken::N,ryg,hryggur
22,Bauch::N,mave,kviður
23,Nabel::N,navle,nafli
24,Busen::N,barm,barmur
25,Brust::N,bryst,brjóst
26,Schulter::N,skulder,öxl
27,Arm::N,arm,armur
28,Ellenbogen::N,albue,olnbogi
29,Hand::N,hånd,hönd
30,Handfläche::N,håndflade,lófi
31,Finger::N,finger,fingur
32,Fingernagel::N,fingernegl,fingurnögl
33,Nagel[Anatomie]::N,negl,nögl
34,Zeh::N,tå,tá
35,Fuß::N,fod,fótur
36,Ferse::N,hæl,hæll
37,Knie::N,knæ,kné
38,Oberschenkel::N,lår,læri
39,Bein::N,ben,fótleggur
40,Körper::N,krop,búkur
41,Körper::N,krop,líkami
42,Körper::N,legeme,búkur
43,Körper::N,legeme,líkami
44,Haut::N,hud,húð
45,Haut::N,hud,skinn
46,Blut::N,blod,blóð
47,Ader::N,åre,æð
48,Sehne::N,sene,sin
49,Knochen::N,ben,bein
50,Gehirn::N,hjerne,heili
51,Herz::N,hjerte,hjarta
52,Magen::N,mave,magi
53,Leber::N,lever,lifur
54,Atem::N,ånde,andi
55,Atem::N,ånde,andardráttur
56,Hunger::N,sult,hungur
57,Träne::N,tåre,tár
58,Geschmack::N,smag,smekkur
59,Geruch::N,lugt,lykt
60,Schlaf::N,søvn,svefn
61,Traum::N,drøm,draumur
62,Himmel::N,himmel,himinn
63,Sonne::N,sol,sól
64,Mond::N,måne,tungl
65,Stern::N,stjerne,stjarna
66,Luft::N,luft,loft
67,Wind::N,vind,vindur
68,Welle::N,bølge,alda
69,Welle::N,bølge,bylgja
70,Wasser::N,vand,vatn
71,Stein::N,sten,steinn
72,Boden::N,jord,botn
73,Erde::N,jord,jörð
74,Staub::N,støv,ryk
75,Staub::N,støv,duft
76,Rauch::N,røg,reykur
77,Funke::N,gnist,neisti
78,Feuer::N,ild,eldur
79,Licht::N,lys,ljós
80,Schatten::N,skygge,skuggi
81,Wetter::N,vejr,veður
82,Nebel::N,tåge,þoka
83,Wolke::N,sky,ský
84,Regen::N,regn,regn
85,Schnee::N,sne,snjór
86,Eis::N,is,ís
87,Frost::N,frost,frost
88,Kälte::N,kulde,kuldi
89,Hitze::N,hede,hiti
90,Raureif::N,rimfrost,hrím
91,Regenbogen::N,regnbue,regnbogi
92,Donner::N,torden,þruma
93,Strömung::N,strømning,straumur
94,Tropfen::N,dråbe,dropi
95,Schaum::N,skum,froða
96,Schmutz::N,snavs,óhreinindi
97,See::N,sø,stöðuvatn
98,Sumpf::N,sump,fen
99,Moor::N,mose,mýri
100,Wiese::N,eng,engi
101,Wald::N,skov,skógur
102,Hügel::N,høj,hæð
103,Hügel::N,høj,hóll
104,Hügel::N,bakke,hæð
105,Hügel::N,bakke,hóll
106,Anhöhe::N,høj,hæð
107,Anhöhe::N,høj,hóll
108,Anhöhe::N,bakke,hæð
109,Anhöhe::N,bakke,hóll
110,Berg::N,bjerg,fell
111,Berg::N,bjerg,fjall
112,Gipfel::N,top,tindur
113,Höhle::N,hule,hellir
114,Abhang::N,skrænt,hlíð
115,Abhang::N,skrænt,brekka
116,Abhang::N,skråning,hlíð
117,Abhang::N,skråning,brekka
118,Quelle::N,kilde,lind
119,Quelle::N,kilde,uppspretta
120,Bach::N,bæk,lækur
121,Fluss::N,flod,á
122,Fluss::N,flod,fljót
123,Ufer::N,bred,árbakki
124,Ufer::N,bred,sjávarbakki
125,Küste::N,kyst,strönd
126,Festland::N,fastland,meginland
127,Meer::N,hav,haf
128,Meer::N,hav,sjór
129,Bucht::N,bugt,vík
130,Insel::N,ø,eyja
131,Blume::N,blomst,blóm
132,Gras::N,græs,gras
133,Wurzel::N,rod,rót
134,Baum::N,træ,tré
135,Stamm::N,stamme,stofn
136,Rinde::N,bark,börkur
137,Ast::N,gren,grein
138,Zweig::N,kvist,angi
139,Zweig::N,kvist,kvistur
140,Blatt::N,blad,blað
141,Birke::N,birk,birki
142,Kiefer[Baum]::N,fyrretræ,fura
143,Weide[Baum]::N,piletræ,víðir
144,Tanne::N,gran,greni
145,Horn::N,horn,horn
146,Feder::N,fjer,fjöður
147,Fell::N,skind,skinn
148,Flügel::N,vinge,vængur
149,Klaue::N,klov,kló
150,Kralle::N,klo,kló
151,Schwanz::N,hale,rófa
152,Schwanz::N,hale,skott
153,Ei::N,æg,egg
154,Nest::N,rede,hreiður
155,Bau::N,bo,greni
156,Bau::N,bo,bæli
157,Tier::N,dyr,dýr
158,Herde::N,flok,hjörð
159,Kuh::N,ko,kýr
160,Bulle::N,tyr,boli
161,Pferd::N,hest,hestur
162,Schaf::N,får,kind
163,Schwein::N,gris,svín
164,Hund::N,hund,hundur
165,Katze::N,kat,köttur
166,Bär::N,bjørn,björn
167,Eichhörnchen::N,egern,íkorni
168,Elch::N,elg,elgur
169,Fuchs::N,ræv,refur
170,Hase::N,hare,héri
171,Maus::N,mus,mús
172,Wolf::N,ulv,úlfur
173,Vogel::N,fugl,fugl
174,Schwarm::N,sværm,sægur
175,Huhn::N,høne,hæna
176,Hahn::N,hane,hani
177,Gans::N,gås,gæs
178,Adler::N,ørn,örn
179,Ente::N,and,önd
180,Eule::N,ugle,uggla
181,Kranich::N,trane,trana
182,Krähe::N,krage,kráka
183,Kuckuck::N,gøg,gaukur
184,Schwan::N,svane,svanur
185,Fisch::N,fisk,fiskur
186,Barsch::N,aborre,aborri
187,Hecht::N,gedde,gedda
188,Schlange[Tier]::N,slange,naðra
189,Wurm::N,orm,ormur
190,Spinne::N,edderkop,kónguló
191,Ameise::N,myre,maur
192,Laus::N,lus,lús
193,Mücke::N,myg,mý
194,Mücke::N,myg,mýfluga
195,Fliege::N,flue,fluga
196,Schmetterling::N,sommerfugl,fiðrildi
197,Beere::N,bær,ber
198,Apfel::N,æble,epli
199,Pilz::N,svamp,sveppur
200,Zwiebel::N,løg,laukur
201,Saat::N,sæd,fræ
202,Saat::N,sæd,útsæði
203,Korn::N,korn,korn
204,Heu::N,hø,hey
205,Schale::N,skræl,hýði
206,Grube::N,grav,gryfja
207,Falle::N,fælde,gildra
208,Schlinge::N,snare,snara
209,Spur::N,spor,spor
210,Asche::N,aske,aska
211,Dreck::N,snavs,óþverri
212,Eisen::N,jern,járn
213,Gold::N,guld,gull
214,Silber::N,sølv,silfur
215,Kohle::N,kul,kol
216,Glas::N,glas,gler
217,Lehm::N,ler,leir
218,Sand::N,sand,sandur
219,Mensch::N,mennesge,maður
220,Mensch::N,mennesge,manneskja
221,Mann::N,mand,maður
222,Mann::N,mand,karlmaður
223,Frau::N,kvinde,kona
224,Kind::N,barn,barn
225,Kind::N,barn,krakki
226,Junge::N,dreng,drengur
227,Mädchen::N,pige,stelpa
228,Familie::N,familie,fjölskylda
229,Großvater::N,bedstefar,afi
230,Großmutter::N,bedstemor,amma
231,Eltern::N,forældre,foreldrar
232,Vater::N,far,faðir
233,Mutter::N,mor,móðir
234,Sohn::N,søn,sonur
235,Tochter::N,datter,dóttir
236,Bruder::N,bror,bróðir
237,Schwester::N,søster,systir
238,Onkel::N,onkel,föðurbróðir
