,Concept_ID,ab,cs
167,Huhn::N,акəты,kuře
168,Huhn::N,акəты,slepice
169,Hahn::N,арбаҕь,kohout
170,Gans::N,аҟыз,husa
171,Adler::N,ауарба,orel
172,Ente::N,акəата,kachna
173,Eule::N,аты,sova
174,Kranich::N,апҟа,jeřáb
175,Krähe::N,аҟəараан,vrána
176,Kuckuck::N,акəыкəу,kukačka
177,Schwan::N,агьад,labuť
178,Fisch::N,аҧсыӡ,ryba
179,Barsch::N,ацəыбла,okoun
180,Hecht::N,ахиаала,štika
181,Schlange[Tier]::N,амаҭ,had
182,Wurm::N,ахəа,červ
183,Wurm::N,ахəац,červ
184,Spinne::N,абызкаҭаҳа,pavouk
185,Ameise::N,ашышкамс,mravenec
186,Laus::N,аҵа,veš
187,Mücke::N,акəыбры,komár
188,Fliege::N,амҵ,moucha
189,Schmetterling::N,аҧарҧалыкь,motýl
190,Beere::N,аргуц,bobule
191,Apfel::N,аҵəа,jablko
192,Pilz::N,акəкəбаа,houba
193,Zwiebel::N,аџьымшьы,cibule
194,Zwiebel::N,аџьымшьхы,cibule
195,Saat::N,ажəла,osivo
196,Korn::N,арыц,zrno
197,Heu::N,аҭəа,seno
198,Schale::N,ацəа,slupka
199,Schale::N,ацəа,skořápka
200,Grube::N,ажра,jáma
201,Grube::N,атыша,jáma
202,Falle::N,арыҧҟьа,past
203,Falle::N,арыҧҟьа,léčka
204,Schlinge::N,аҟəараҟəантə,smyčka
205,Spur::N,ашьҭа,stopa
206,Asche::N,ахəа,popel
207,Dreck::N,аҳəынҵəа,špína
208,Dreck::N,аҟьамсар,špína
209,Eisen::N,аиха,železo
210,Gold::N,ахьы,zlato
211,Silber::N,аразны,stříbro
212,Kohle::N,арацəа,uhlí
213,Glas::N,асаркьа,sklo
214,Lehm::N,анышəаҧшь,jíl
215,Lehm::N,анышəаҧшь,hlína
216,Sand::N,аҧслымӡ,písek
217,Mensch::N,ауаҩы,člověk
218,Mann::N,ахаҵа,muž
219,Frau::N,аҧҳəыс,žena
220,Kind::N,ахəыҷы,dítě
221,Junge::N,аҷкəын,hoch
222,Junge::N,аҷкəын,chlapec
223,Junge::N,ахаҵарҧыс,hoch
224,Junge::N,ахаҵарҧыс,chlapec
225,Mädchen::N,аӡӷаб,děvče
226,Familie::N,аҭаацəа,rodina
227,Großvater::N,абду,děd
228,Großvater::N,абду,dědeček
229,Großmutter::N,анду,babička
230,Eltern::N,ани аби,rodiče
231,Vater::N,аб,otec
232,Mutter::N,ан,matka
233,Sohn::N,аҧа,syn
234,Tochter::N,аҧҳа,dcera
235,Bruder::N,аиашьа,bratr
236,Schwester::N,Аҳəшьа,sestra
237,Onkel::N,абиашьа,strýc
238,Onkel::N,аншьа,strýc
239,Tante::N,абиаҳəшьа,teta
240,Ehemann::N,ахаҵа,choť
241,Ehemann::N,ахаҵа,manžel
242,Ehemann::N,аҧшəма,choť
243,Ehemann::N,аҧшəма,manžel
244,Ehefrau::N,аҧҳəыс,choť
245,Ehefrau::N,аҧҳəыс,manželka
246,Freude::N,агəырӷьара,radost
247,Gelächter::N,ачча,smích
248,Gelächter::N,аччара,smích
249,Glück::N,аразҟы,štěstí
250,Kummer::N,агəырҩа,žal
251,Kummer::N,агəырҩа,trápení
252,Wunsch::N,агəхəтəы,přání
253,Wunsch::N,аҭахра,přání
254,Lust::N,агəазыҳəара,chuť
255,Geist::N,аҧсы,duch
256,Gedanke::N,ахəыцырҭа,myšlenka
257,Gedächtnis::N,агəынкылара,paměť
258,Verstand::N,ахшыҩ,rozum
259,Sinn::N,аҵакы,smysl
260,Grund::N,амзыз,důvod
261,Wahrheit::N,аиаша,pravda
262,Gespräch::N,аиҿцәажәара,rozhovor
263,Märchen::N,алакə,pohádka
264,Erzählung::N,ажәабжь,povídka
265,Nachricht::N,адырраҭара,zpráva
266,Neuigkeit::N,ажәабжь ҿыц,novina
267,Neuigkeit::N,ажәабжь ҿыц,novinka
268,Name::N,ахьӡ,jméno
269,Rätsel::N,ацуфара,hádanka
270,Rede::N,ажәа,řeč
271,Rede::N,ажәа,proslov
272,Sprache::N,абызшəа,řeč
273,Sprache::N,абызшəа,jazyk
274,Stimme::N,абжьы,hlas
275,Wort::N,ажәа,slovo
276,Zeichen::N,адырга,znamení
277,Ruf::N,аҿҭы,zavolání
278,Lärm::N,ашьҭыбжь,hluk
279,Laut::N,ашьҭыбжь,zvuk
280,Ton::N,атон,tón
281,Lied::N,ашəа,píseň
282,Ruhe::N,аҭынчра,klid
283,Ruhe::N,аҭынчра,pokoj
284,Leute::N,ауаа,lidé
285,Volk::N,ажəлар,národ
286,Arbeit::N,аусура,práce
287,Gast::N,асас,host
288,Geschenk::N,аҳамҭа,dar
289,Geschenk::N,аҿанҵа,dar
290,Spiel::N,ахəмарра,hra
291,Gesellschaft::N,агəыҧ,společnost
292,Hilfe::N,ацхыраара,pomoc
293,Freund::N,аҩыза,přítel
294,Kamerad::N,Аҧхнагьла,kamarád
295,Angelegenheit::N,аус,záležitost
296,Anzahl::N,ахыҧхьаӡара,počet
297,Art::N,ахкы,druh
298,Stück::N,аҽыҭ,kus
299,Stück::N,аҽыҭ,kousek
300,Teil::N,ахəҭа,díl
301,Teil::N,ахəҭа,část
302,Hälfte::N,абжа,půl
303,Kreis::N,агьагьа,kruh
304,Kreuz::N,аџьар,kříž
305,Linie::N,аицтәар,linka
306,Strich::N,ацəаҳəа,čára
307,Strich::N,ацəаҳəа,čárka
308,Abstand::N,абжьара,vzdálenost
309,Entfernung::N,абжьара,vzdálenost
310,Gegend::N,аҭыҧ,krajina
311,Platz::N,аҭыҧ,prostor
312,Ort::N,аҭыҧ,místo
313,Seite::N,аган,strana
314,Mitte::N,агəҭа,střed
315,Mitte::N,агəҭа,prostředek
316,Gegenstand::N,амаҭəар,předmět
317,Rand::N,аҵкар,kraj
318,Rand::N,аҵкар,okraj
319,Kante::N,авардым,hrana
320,Ecke::N,акəакь,roh
321,Spitze::N,аҧынҵа,hrot
322,Spitze::N,аҧынҵа,špička
323,Ende::N,анаӡара,konec
324,Loch::N,акылҵəара,díra
325,Winkel::N,агҿаҩра,kout
326,Winkel::N,акəындхə,kout
327,Winkel::N,акəакь,kout
328,Muster::N,аҟҟа,vzor
329,Größe::N,изаҟароу,velikost
330,Länge::N,аура,délka
331,Höhe::N,агылара,výška
332,Gewicht::N,акапан,váha
333,Haufen::N,ачаҟəа,kupa
334,Haufen::N,ачаҟəа,hromada
335,Reihe::N,ацəаҳəа,řada
336,Reihe::N,ацəаҳəа,řádek
337,Boot::N,анышь,člun
338,Ruder::N,ажəҩа,veslo
339,Schlitten::N,ашəаҩауардын,sáně
340,Ski::N,ашəаҩа,lyže
341,Ski::N,ашьахаха,lyže
342,Lagerfeuer::N,еиқуу амца,táborák
343,Last::N,ахьанҭара,náklad
344,Last::N,ахьанҭара,břemeno
345,Gang::N,аныҟəара,chůze
346,Gang::N,аныҟəара,chodba
347,Schritt::N,ашьаҿа,krok
348,Norden::N,аҩада,sever
349,Süden::N,алада,jih
350,Westen::N,амраҭашəара,západ
351,Osten::N,амрагылара,východ
352,Holz::N,амҿымаҭəахə,dřevo
353,Brett::N,аӷəы,prkno
354,Platte::N,ахаҳәцәы,deska
355,Stütze::N,аҵаргəа,opěra
356,Stütze::N,агəышьаҟа,opěra
357,Stange::N,акьат,tyč
358,Stange::N,акьат,tyčka
359,Stock::N,алаба,hůlka
360,Stab::N,акьат,hůl
361,Rohr::N,абыкь,trubka
362,Haus::N,аҩны,dům
363,Heim::N,аҭаацəа,domov
364,Ofen::N,аҳақə,kamna
365,Ofen::N,ауаџьаҟ,kamna
366,Ofen::N,афрына,kamna
367,Fußboden::N,адашьма,podlaha
368,Tisch::N,аишәа,stůl
369,Stuhl::N,аҟəардə,židle
370,Wiege::N,агара,kolébka
371,Bett::N,акаруаҭ,postel
372,Regal::N,акыӷəра,regál
373,Regal::N,акыӷəра,police
374,Kiste::N,аидчаҧала,bedna
375,Fenster::N,аҧенџьыр,okno
376,Tür::N,ашə,dveře
377,Tor::N,агəашə,vrata
378,Zaun::N,аанда,plot
379,Dach::N,ахыб,střecha
380,Leiter::N,амардуан,žebřík
381,Besen::N,аҧссага,koště
382,Besen::N,аҧссага,smeták
383,Spaten::N,ажыга,rýč
384,Schaufel::N,аҭəарӷəы,lopata
385,Gabel::N,ачқьыҧ,vidlička
386,Löffel::N,амҳаҵə,lžíce
387,Messer::N,аҳəызба,nůž
