,Concept_ID,bg,mhr
0,Auge::N,око,шинча́
1,Ohr::N,ухо,пы́лыш
2,Nase::N,нос,нер
3,Mund::N,уста,умша́
4,Zahn::N,зъб,пӱй
5,Zunge::N,език,йы́лме
6,Lippe::N,устна,тӱ́рвӧ
7,Wange::N,буза,шӱ́ргӧ
8,Gesicht::N,лице,чури́й
9,Gesicht::N,образ,чури́й
10,Stirn::N,чело,саҥга́
11,Haar::N,коса,ӱп
12,Haar::N,косъм,ӱп
13,Schnurrbart::N,мустаци,ӧ́рыш
14,Bart::N,брада,понда́ш
15,Kinn::N,брада,оҥыла́ш
16,Kinn::N,брадичка,оҥыла́ш
17,Kiefer[Anatomie]::N,челюст,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,челюст,пӱйората́
19,Kehle::N,гърло,лога́р
20,Hals::N,врат,шӱй
21,Genick::N,тил,шӱйло́дыш
22,Kopf::N,глава,вуй
23,Rücken::N,гръб,туп
24,Bauch::N,корем,мӱ́шкыр
25,Nabel::N,пъп,кы́лымде
26,Busen::N,бозка,чы́зе
27,Brust::N,гръд,оҥ
28,Schulter::N,рамо,ва́че
29,Schulter::N,плещи,ва́че
30,Arm::N,ръка,кид
31,Ellenbogen::N,лакът,кынерву́й
32,Hand::N,ръка,кид
33,Hand::N,ръка,копа́
34,Hand::N,китка,кид
35,Hand::N,китка,копа́
36,Handfläche::N,длан,со́во
37,Finger::N,пръст,парня́
38,Fingernagel::N,нокът,кидкӱ́ч
39,Fingernagel::N,нокът,парнягӱ́ч
40,Nagel[Anatomie]::N,нокът,кӱч
41,Zeh::N,пръст на крак,йолварня́
42,Fuß::N,крак,йол
43,Fuß::N,крак,йолкопа́
44,Fuß::N,нога,йол
45,Fuß::N,нога,йолкопа́
46,Ferse::N,пета,тага́н
47,Knie::N,коляно,пулву́й
48,Oberschenkel::N,бедро,э́рде
49,Bein::N,крак,йол
50,Bein::N,нога,йол
51,Körper::N,тяло,кап
52,Haut::N,кожа,кова́ште
53,Blut::N,кръв,вӱр
54,Ader::N,вена,шӧн
55,Ader::N,артерия,шӧн
56,Sehne::N,жила,шӧн
57,Sehne::N,жила,кӱсе́н
58,Sehne::N,сухожилие,шӧн
59,Sehne::N,сухожилие,кӱсе́н
60,Knochen::N,кост,лу
61,Gehirn::N,мозък,вем
