,Concept_ID,it,es
0,Auge::N,occhio,ojo
1,Ohr::N,orecchio,oreja
2,Nase::N,naso,nariz
3,Mund::N,bocca,boca
4,Zahn::N,dente,diente
5,Zunge::N,lingua,lengua
6,Lippe::N,labbro,labio
7,Wange::N,guancia,mejilla
8,Gesicht::N,viso,cara
9,Gesicht::N,faccia,cara
10,Stirn::N,fronte,frente
11,Haar::N,capello,cabello
12,Schnurrbart::N,baffi,bigote
13,Schnurrbart::N,mustacchi,bigote
14,Bart::N,barba,barba
15,Kinn::N,mento,barbilla
16,Kiefer[Anatomie]::N,mascella,mandíbula
17,Kehle::N,gola,garganta
18,Hals::N,collo,cuello
19,Genick::N,nuca,nuca
20,Genick::N,nuca,cerviz
21,Kopf::N,capo,cabeza
22,Kopf::N,testa,cabeza
23,Rücken::N,dorso,espalda
24,Rücken::N,schiena,espalda
25,Bauch::N,ventre,vientre
26,Nabel::N,ombelico,ombligo
27,Busen::N,seno,pecho
28,Brust::N,petto,pecho
29,Schulter::N,spalla,hombro
30,Arm::N,braccio,brazo
31,Ellenbogen::N,gomito,codo
32,Hand::N,mano,mano
33,Handfläche::N,palma,palma
34,Finger::N,dito,dedo
35,Fingernagel::N,unghia,uña
36,Nagel[Anatomie]::N,unghia,uña
37,Zeh::N,dito del piede,dedo del pie
38,Fuß::N,piede,pie
39,Ferse::N,tallone,talón
40,Ferse::N,calcagno,talón
41,Knie::N,ginocchio,rodilla
42,Oberschenkel::N,fèmore,muslo
43,Bein::N,gamba,pierna
44,Körper::N,corpo,cuerpo
45,Haut::N,pelle,piel
46,Blut::N,sangue,sangre
47,Ader::N,vena,vena
48,Sehne::N,tèndine,tendón
49,Knochen::N,osso,hueso
50,Gehirn::N,cervello,cerebro
51,Gehirn::N,cervello,encéfalo
52,Herz::N,cuore,corazón
53,Magen::N,stòmaco,estómago
54,Leber::N,fegato,hígado
55,Atem::N,fiato,aliento
56,Atem::N,respiro,aliento
57,Hunger::N,fame,hambre
58,Träne::N,làcrima,lágrima
59,Geschmack::N,gusto,gusto
60,Geschmack::N,sapore,gusto
61,Geruch::N,odore,olor
62,Schlaf::N,sonno,sueño
63,Traum::N,sogno,sueño
64,Traum::N,sogno,ensueño
65,Himmel::N,cielo,cielo
66,Sonne::N,sole,sol
67,Mond::N,luna,luna
68,Stern::N,stella,estrella
69,Luft::N,aria,aire
70,Wind::N,vento,viento
71,Welle::N,onda,ola
72,Welle::N,onda,onda
73,Wasser::N,acqua,agua
74,Stein::N,sasso,piedra
75,Stein::N,pietra,piedra
76,Boden::N,suolo,suelo
77,Boden::N,terreno,suelo
78,Erde::N,terra,tierra
79,Staub::N,polvere,polvo
80,Rauch::N,fumo,humo
81,Funke::N,scintilla,chispa
82,Feuer::N,fuoco,fuego
83,Licht::N,luce,luz
84,Schatten::N,ombra,sombra
85,Wetter::N,tempo,tiempo
86,Nebel::N,nebbia,niebla
87,Wolke::N,nube,nube
88,Wolke::N,nùvola,nube
89,Regen::N,pioggia,lluvia
90,Schnee::N,neve,nieve
91,Eis::N,ghiaccio,hielo
92,Frost::N,gelo,helada
93,Kälte::N,freddo,frío
94,Hitze::N,caldo,calor
95,Hitze::N,calura,calor
96,Raureif::N,brina,escarcha
97,Regenbogen::N,arcobaleno,arco iris
98,Donner::N,tuono,trueno
99,Strömung::N,corrente,corriente
100,Tropfen::N,goccia,gota
101,Schaum::N,spuma,espuma
102,Schaum::N,schiuma,espuma
103,Schmutz::N,sudiciume,suciedad
104,See::N,lago,lago
105,Sumpf::N,palude,pantano
106,Moor::N,torbiera,turbera
107,Wiese::N,prato,prado
108,Wiese::N,prato,pradera
109,Wald::N,bosco,bosque
110,Wald::N,foresta,bosque
111,Hügel::N,colle,colina
112,Hügel::N,collina,colina
113,Anhöhe::N,altura,cerro
114,Berg::N,monte,monte
115,Berg::N,monte,montaña
116,Berg::N,montagna,monte
117,Berg::N,montagna,montaña
118,Gipfel::N,cima,cima
119,Gipfel::N,cima,cumbre
120,Höhle::N,grotta,cueva
121,Höhle::N,grotta,caverna
122,Höhle::N,caverna,cueva
123,Höhle::N,caverna,caverna
124,Abhang::N,pendìo,cuesta
125,Abhang::N,pendìo,declive
126,Quelle::N,sorgente,fuente
127,Quelle::N,sorgente,manantial
128,Bach::N,ruscello,arroyo
129,Fluss::N,fiume,río
130,Ufer::N,riva,orilla
131,Küste::N,costa,costa
132,Festland::N,terraferma,tierra firme
133,Meer::N,mare,mar
134,Bucht::N,cala,cala
135,Bucht::N,cala,bahía
136,Insel::N,ìsola,isla
137,Blume::N,fiore,flor
138,Gras::N,erba,hierba
139,Wurzel::N,radice,raíz
140,Baum::N,àlbero,árbol
141,Stamm::N,tronco,tronco
142,Rinde::N,corteccia,corteza
143,Ast::N,ramo,rama
144,Zweig::N,ramo,ramo
145,Blatt::N,foglia,hoja
146,Birke::N,betulla,abedul
147,Kiefer[Baum]::N,pino,pino
148,Weide[Baum]::N,sàlice,sauce
149,Tanne::N,abete,abeto
150,Horn::N,corno,asta
151,Horn::N,corno,cuerno
152,Feder::N,penna,pluma
153,Fell::N,manto,piel
154,Fell::N,pelame,piel
155,Flügel::N,ala,ala
156,Klaue::N,grinfia,garra
157,Kralle::N,unghia,uña
158,Kralle::N,unghia,garra
159,Kralle::N,artiglio,uña
160,Kralle::N,artiglio,garra
161,Schwanz::N,coda,cola
162,Ei::N,uovo,huevo
163,Nest::N,nido,nido
164,Bau::N,covo,madriguera
165,Tier::N,bestia,animal
166,Tier::N,animale,animal
167,Herde::N,gregge,rebaño
168,Kuh::N,vacca,vaca
169,Bulle::N,toro,toro
170,Pferd::N,cavallo,caballo
171,Schaf::N,pècora,oveja
172,Schwein::N,porco,cerdo
173,Schwein::N,maiale,cerdo
174,Hund::N,cane,perro
175,Katze::N,gatta,gato
176,Bär::N,orso,oso
177,Eichhörnchen::N,scoiàttolo,ardilla
178,Elch::N,alce,alce
179,Fuchs::N,volpe,zorro
180,Hase::N,lepre,liebre
181,Maus::N,topo,ratón
182,Maus::N,sorcio,ratón
183,Wolf::N,lupo,lobo
184,Vogel::N,uccello,ave
185,Vogel::N,uccello,pájaro
186,Schwarm::N,stormo,bandada
187,Huhn::N,gallina,gallina
188,Hahn::N,gallo,gallo
189,Gans::N,oca,oca
190,Gans::N,oca,ganso
191,Adler::N,àquila,águila
192,Ente::N,ànatra,pato
193,Eule::N,gufo,lechuza
194,Eule::N,civetta,lechuza
195,Kranich::N,gru,grulla
196,Krähe::N,cornacchia,corneja
197,Kuckuck::N,cuccù,cuco
198,Kuckuck::N,cùculo,cuco
199,Schwan::N,cigno,cisne
200,Fisch::N,pesce,pez
201,Barsch::N,pèrsico,perca
202,Hecht::N,luccio,lucio
203,Schlange[Tier]::N,serpente,serpiente
204,Wurm::N,baco,gusano
205,Wurm::N,verme,gusano
206,Spinne::N,ragno,araña
207,Ameise::N,formica,hormiga
208,Laus::N,pidocchio,piojo
209,Mücke::N,zanzara,mosquito
210,Fliege::N,mosca,mosca
211,Schmetterling::N,farfalla,mariposa
212,Beere::N,bacca,baya
213,Apfel::N,mela,manzana
214,Pilz::N,fungo,seta
215,Pilz::N,fungo,hongo
216,Zwiebel::N,cipolla,cebolla
217,Saat::N,semente,siembra
218,Korn::N,grano,grano
219,Heu::N,fieno,heno
220,Schale::N,buccia,cáscara
221,Grube::N,cava,foso
222,Grube::N,fossa,foso
223,Falle::N,tràppola,trampa
224,Schlinge::N,laccio,lazo
225,Spur::N,traccia,huella
226,Asche::N,cenere,ceniza
227,Dreck::N,fango,suciedad
228,Eisen::N,ferro,hierro
229,Gold::N,oro,oro
230,Silber::N,argento,plata
231,Kohle::N,carbone,carbón
232,Glas::N,vetro,vidrio
233,Glas::N,vetro,cristal
234,Lehm::N,argilla,barro
235,Sand::N,arena,arena
236,Sand::N,sabbia,arena
237,Mensch::N,uomo,hombre
238,Mensch::N,uomo,ser humano
239,Mensch::N,èssere umano,hombre
240,Mensch::N,èssere umano,ser humano
241,Mann::N,uomo,hombre
242,Frau::N,donna,mujer
243,Kind::N,bambino,niño
244,Junge::N,ragazzo,chico
245,Junge::N,ragazzo,muchacho
246,Mädchen::N,ragazza,chica
247,Mädchen::N,ragazza,muchacha
248,Familie::N,famiglia,familia
249,Großvater::N,nonno,abuelo
250,Großmutter::N,nonna,abuela
251,Eltern::N,genitori,padres
252,Vater::N,padre,padre
253,Mutter::N,madre,madre
254,Sohn::N,figlio,hijo
255,Tochter::N,figlia,hija
256,Bruder::N,fratello,hermano
257,Schwester::N,sorella,hermana
258,Onkel::N,zio,tío
259,Tante::N,zia,tía
260,Ehemann::N,marito,esposo
261,Ehefrau::N,moglie,esposa
262,Freude::N,gioia,placer
263,Freude::N,gioia,alegría
264,Freude::N,piacere,placer
265,Freude::N,piacere,alegría
266,Gelächter::N,risata,risa
267,Gelächter::N,risata,carcajada
268,Glück::N,felicità,felicidad
269,Kummer::N,afflizione,pena
270,Wunsch::N,desiderio,deseo
271,Lust::N,voglia,ganas
272,Geist::N,mente,mente
273,Geist::N,mente,espíritu
274,Geist::N,spìrito,mente
275,Geist::N,spìrito,espíritu
276,Gedanke::N,idea,idea
277,Gedanke::N,idea,pensamiento
278,Gedanke::N,pensiero,idea
279,Gedanke::N,pensiero,pensamiento
280,Gedächtnis::N,memoria,memoria
281,Verstand::N,intelletto,razón
282,Verstand::N,intelletto,entendimiento
283,Sinn::N,senso,sentido
284,Sinn::N,senso,significado
285,Sinn::N,significato,sentido
286,Sinn::N,significato,significado
287,Grund::N,causa,causa
288,Grund::N,motivo,causa
289,Grund::N,ragione,causa
290,Wahrheit::N,verità,verdad
291,Gespräch::N,discorso,conversación
292,Gespräch::N,conversazione,conversación
293,Märchen::N,fiaba,cuento
294,Märchen::N,fàvola,cuento
295,Erzählung::N,racconto,cuento
296,Erzählung::N,racconto,narración
297,Erzählung::N,narrazione,cuento
298,Erzählung::N,narrazione,narración
299,Nachricht::N,messaggio,mensaje
300,Neuigkeit::N,notizia,noticia
301,Name::N,nome,nombre
302,Rätsel::N,indovinello,acertijo
303,Rätsel::N,indovinello,adivinanza
304,Rede::N,discorso,discurso
305,Sprache::N,lingua,lengua
306,Sprache::N,linguaggio,lengua
307,Stimme::N,voce,voz
308,Wort::N,parola,palabra
309,Zeichen::N,segno,señal
310,Zeichen::N,segnale,señal
311,Ruf::N,chiamata,llamada
312,Lärm::N,chiasso,ruido
313,Lärm::N,chiasso,barullo
314,Lärm::N,strèpito,ruido
315,Lärm::N,strèpito,barullo
316,Laut::N,suono,sonido
317,Ton::N,tono,tono
318,Lied::N,canto,canción
319,Lied::N,canzone,canción
320,Ruhe::N,calma,calma
321,Ruhe::N,calma,silencio
322,Ruhe::N,tranquillità,calma
323,Ruhe::N,tranquillità,silencio
324,Leute::N,gente,gente
325,Volk::N,pòpolo,pueblo
326,Arbeit::N,lavoro,trabajo
327,Gast::N,òspite,huésped
328,Gast::N,òspite,invitado
329,Gast::N,invitato,huésped
330,Gast::N,invitato,invitado
331,Geschenk::N,regalo,regalo
332,Spiel::N,gioco,juego
333,Gesellschaft::N,compagnìa,compañía
334,Hilfe::N,aiuto,ayuda
335,Hilfe::N,aiuto,socorro
336,Hilfe::N,soccorso,ayuda
337,Hilfe::N,soccorso,socorro
338,Freund::N,amico,amigo
339,Kamerad::N,camerata,camarada
340,Kamerad::N,camerata,compañero
341,Angelegenheit::N,affare,asunto
342,Angelegenheit::N,faccenda,asunto
343,Anzahl::N,nùmero,cantidad
344,Anzahl::N,quantità,cantidad
345,Art::N,tipo,tipo
346,Art::N,tipo,clase
347,Art::N,specie,tipo
348,Art::N,specie,clase
349,Stück::N,pezzo,pieza
350,Teil::N,parte,parte
351,Hälfte::N,metà,mitad
352,Kreis::N,cìrcolo,círculo
353,Kreuz::N,croce,cruz
354,Linie::N,lìnea,línea
355,Strich::N,tratto,raya
356,Strich::N,tratto,trazo
357,Abstand::N,distanza,distancia
358,Entfernung::N,distanza,distancia
359,Entfernung::N,lontananza,distancia
360,Gegend::N,regione,región
361,Gegend::N,regione,comarca
362,Platz::N,posto,espacio
363,Platz::N,spazio,espacio
364,Ort::N,luogo,sitio
365,Ort::N,località,sitio
366,Seite::N,lato,lado
367,Seite::N,lato,costado
368,Seite::N,parte,lado
369,Seite::N,parte,costado
370,Mitte::N,mezzo,medio
371,Mitte::N,mezzo,centro
372,Mitte::N,centro,medio
373,Mitte::N,centro,centro
374,Gegenstand::N,oggetto,objeto
375,Sache::N,cosa,cosa
376,Rand::N,orlo,borde
377,Rand::N,bordo,borde
378,Kante::N,spìgolo,borde
379,Ecke::N,canto,esquina
380,Spitze::N,punta,punta
381,Ende::N,capo,cabo
382,Ende::N,capo,extremo
383,Ende::N,estremità,cabo
384,Ende::N,estremità,extremo
385,Loch::N,buco,agujero
386,Loch::N,buco,abertura
387,Winkel::N,àngolo,ángulo
388,Muster::N,disegno,dibujo
389,Größe::N,taglia,tamaño
390,Größe::N,grandezza,tamaño
391,Länge::N,lunghezza,longitud
392,Höhe::N,altezza,altura
393,Höhe::N,altezza,altitud
394,Gewicht::N,peso,peso
395,Menge::N,quantità,cantidad
396,Haufen::N,cùmulo,montón
397,Haufen::N,mucchio,montón
398,Reihe::N,fila,fila
399,Boot::N,barca,bote
400,Boot::N,barca,barca
401,Boot::N,battello,bote
402,Boot::N,battello,barca
403,Ruder::N,remo,remo
404,Schlitten::N,slitta,trineo
405,Ski::N,sci,esquí
406,Lagerfeuer::N,falò,hoguera
407,Lagerfeuer::N,fuoco di bivacco,hoguera
408,Last::N,càrico,carga
409,Gang::N,andata,marcha
410,Schritt::N,passo,paso
411,Norden::N,nord,norte
412,Norden::N,settentrione,norte
413,Süden::N,sud,sur
414,Süden::N,meridione,sur
415,Westen::N,òvest,oeste
416,Westen::N,occidente,oeste
417,Osten::N,est,este
418,Osten::N,oriente,este
419,Holz::N,legno,madera
420,Brett::N,asse,tabla
421,Brett::N,tàvola,tabla
422,Platte::N,lastra,placa
423,Platte::N,lastra,plancha
424,Platte::N,piastra,placa
425,Platte::N,piastra,plancha
426,Stütze::N,supporto,sostén
427,Stütze::N,supporto,soporte
428,Stange::N,sbarra,vara
429,Stange::N,sbarra,percha
430,Stange::N,pèrtica,vara
431,Stange::N,pèrtica,percha
432,Stock::N,verga,palo
433,Stock::N,verga,bastón
434,Stock::N,bastone,palo
435,Stock::N,bastone,bastón
436,Stock::N,bacchetta,palo
437,Stock::N,bacchetta,bastón
438,Stab::N,asta,vara
439,Stab::N,asta,bastón
440,Rohr::N,tubo,tubo
441,Haus::N,casa,casa
442,Heim::N,casa,hogar
443,Ofen::N,stufa,estufa
444,Fußboden::N,pavimento,suelo
445,Tisch::N,tàvolo,mesa
446,Stuhl::N,sedia,silla
447,Wiege::N,culla,cuna
448,Bett::N,letto,cama
449,Regal::N,scaffale,estantería
450,Kiste::N,cassa,caja
451,Fenster::N,finestra,ventana
452,Tür::N,porta,puerta
453,Tor::N,portone,puerta
454,Zaun::N,recinto,valla
455,Zaun::N,recinto,cercado
456,Dach::N,tetto,techo
457,Dach::N,tetto,tejado
458,Leiter::N,scala,escalera
459,Leiter::N,scala a pioli,escalera
