,Concept_ID,ro,xal
0,Auge::N,ochi,нүдн
1,Ohr::N,ureche,чикн
2,Nase::N,nas,хамр
3,Mund::N,gură,амн
4,Zahn::N,dinte,шүдн
5,Zunge::N,limbă,келн
6,Lippe::N,buză,урл
7,Wange::N,bucă,халх
8,Wange::N,obraz,халх
9,Gesicht::N,față,нүр
10,Gesicht::N,figură,нүр
11,Stirn::N,frunte,маңна
12,Haar::N,păr,үсн
13,Schnurrbart::N,mustață,сахл
14,Bart::N,barbă,сахл
15,Bart::N,barbă,өргнә сахл
16,Kinn::N,bărbie,өргн
17,Kiefer[Anatomie]::N,falcă,өргн
18,Kehle::N,beregată,хол
19,Hals::N,gât,күзүн
20,Genick::N,ceafă,гиҗг
21,Kopf::N,cap,толһа
22,Rücken::N,dos,нурһн
23,Rücken::N,spate,нурһн
24,Rücken::N,spinare,нурһн
25,Bauch::N,burtă,гесн
26,Bauch::N,pântece,гесн
27,Nabel::N,buric,киисн
28,Busen::N,sân,көкн
29,Brust::N,piept,чееҗ
30,Schulter::N,umăr,ээм
31,Schulter::N,spate,ээм
32,Arm::N,braț,һар
33,Ellenbogen::N,cot,тоха
34,Hand::N,mână,баһлцг
35,Handfläche::N,palmă,альхн
36,Finger::N,deget,хурһн
37,Finger::N,deget,һарин хурһн
38,Fingernagel::N,unghie,хумсн
39,Nagel[Anatomie]::N,unghie,хумсн
40,Zeh::N,deget de la picior,хурһн
41,Zeh::N,deget de la picior,көлин хурһн
42,Fuß::N,picior,тавг
43,Ferse::N,călcâi,өскә
44,Knie::N,genunchi,өвдг
45,Oberschenkel::N,coapsă,һуй
46,Bein::N,picior,көл
47,Körper::N,corp,махмуд
48,Haut::N,piele,арсн
49,Blut::N,sânge,цусн
50,Ader::N,vână,судцн
51,Ader::N,arteră,судцн
52,Sehne::N,tendon,шүрүсн
53,Knochen::N,os,ясн
54,Gehirn::N,creier,экн
55,Herz::N,inimă,зүркн
56,Magen::N,stomac,гесн
57,Leber::N,ficat,элкн
58,Atem::N,răsuflare,әмсхл
59,Atem::N,respirație,әмсхл
60,Hunger::N,foame,харһнлһн
61,Träne::N,lacrimă,нульмсн
62,Geschmack::N,gust,амтн
63,Geruch::N,miros,үнр
64,Schlaf::N,somn,нөр
65,Traum::N,vis,зүүдн
66,Himmel::N,cer,теңгр
67,Sonne::N,soare,нарн
68,Mond::N,lună,сар
69,Stern::N,stea,одн
70,Luft::N,aer,аһар
71,Wind::N,vânt,салькн
72,Welle::N,val,дольган
73,Welle::N,undă,дольган
74,Wasser::N,apă,усн
75,Stein::N,piatră,чолун
76,Boden::N,sol,Һазр
77,Boden::N,pământ,Һазр
78,Erde::N,pământ,Һазр
79,Staub::N,praf,тоосн
80,Rauch::N,fum,утан
81,Funke::N,scânteie,очн
82,Feuer::N,foc,һал
83,Licht::N,lumină,герл
84,Schatten::N,umbră,сүүдр
