,Concept_ID,hy,hr
0,Auge::N,աչք,oko
1,Ohr::N,ականջ,uho
2,Nase::N,քիթ,nos
3,Mund::N,բերան,usta
4,Zahn::N,ատամ,zub
5,Zunge::N,լեզու,jezik
6,Lippe::N,շրթունք,usna
7,Wange::N,այտ,obraz
8,Wange::N,թուշ,obraz
9,Gesicht::N,դեմք,lice
10,Stirn::N,ճակատ,čelo
11,Haar::N,մազ,kosa
12,Schnurrbart::N,բեղ,brkovi
13,Bart::N,մորուք,brada
14,Kinn::N,կզակ,brada
15,Kinn::N,կզակ,podbradak
16,Kiefer[Anatomie]::N,ծնոտ,čeljust
17,Kehle::N,կոկորդ,grlo
18,Hals::N,վիզ,vrat
19,Hals::N,պարանոց,vrat
20,Genick::N,ծոծրակ,zatiljak
21,Kopf::N,գլուխ,glava
22,Rücken::N,մեջք,leđa
23,Rücken::N,մեջք,hrbat
24,Bauch::N,փոր,trbuh
25,Bauch::N,որովայն,trbuh
26,Nabel::N,պորտ,pupak
27,Busen::N,ծոց,sisa
28,Busen::N,ծոց,njedra
29,Brust::N,կուրծք,prsa
30,Schulter::N,ուս,rame
31,Schulter::N,ուս,pleći
32,Arm::N,թեւ,ruka
33,Arm::N,բազուկ,ruka
34,Ellenbogen::N,արմունկ,lakat
35,Hand::N,ձեռք,ruka
36,Handfläche::N,ափ,dlan
37,Finger::N,մատ,prst
38,Fingernagel::N,եղունգ,nokat
39,Nagel[Anatomie]::N,եղունգ,nokat
40,Zeh::N,ոտքի մատ,nozni prst
41,Fuß::N,ոտք,noga
42,Fuß::N,ոտք,stopalo
43,Ferse::N,գարշապար,peta
44,Knie::N,ծունկ,koljeno
45,Oberschenkel::N,ազդր,bedro
46,Bein::N,ոտք,noga
47,Körper::N,մարմին,tijelo
48,Haut::N,մաշկ,put
49,Haut::N,մաշկ,koža
50,Blut::N,արյուն,krv
51,Ader::N,երակ,žila
52,Sehne::N,ջիղ,tetiva
53,Sehne::N,ձգտան,tetiva
54,Knochen::N,ոսկոր,kost
55,Gehirn::N,խելք,
56,Herz::N,սիրտ,srce
57,Magen::N,ստամոքս,stomak
58,Magen::N,ստամոքս,želudac
59,Leber::N,լյարդ,jetra
60,Atem::N,շունչ,dah
61,Hunger::N,քաղց,glad
62,Träne::N,արտասուք,suza
63,Geschmack::N,համ,ukus
64,Geschmack::N,բուրմունք,ukus
65,Geruch::N,հոտ,njuh
66,Geruch::N,հոտ,miris
67,Geruch::N,բուրում,njuh
68,Geruch::N,բուրում,miris
69,Schlaf::N,քուն,san
70,Traum::N,երազ,san
71,Himmel::N,երկինք,nebo
72,Sonne::N,արեւ,sunce
73,Mond::N,լուսին,mjesec
74,Stern::N,աստղ,zvijezda
75,Luft::N,օդ,zrak
76,Wind::N,քամի,vjetar
77,Welle::N,ալիք,val
78,Welle::N,ալիք,talas
79,Wasser::N,ջուր,voda
80,Stein::N,քար,kamen
81,Boden::N,գետին,tlo
82,Boden::N,գետին,zemlja
83,Erde::N,հող,zemlja
84,Staub::N,փոշի,prah
85,Staub::N,փոշի,prašina
86,Rauch::N,ծուխ,dim
87,Funke::N,կայծ,iskra
88,Funke::N,կայծ,varnica
89,Feuer::N,կրակ,vatra
90,Feuer::N,հրդեհ,vatra
91,Licht::N,լույս,svjetlo
92,Schatten::N,ստվեր,hlad
93,Schatten::N,ստվեր,sjena
