,Concept_ID,myv,xal
0,Auge::N,сельме,нүдн
1,Ohr::N,пиле,чикн
2,Nase::N,судо,хамр
3,Mund::N,курго,амн
4,Zahn::N,пей,шүдн
5,Zunge::N,кель,келн
6,Lippe::N,турва,урл
7,Wange::N,чамабока,халх
8,Wange::N,чамаумарь,халх
9,Gesicht::N,чама,нүр
10,Stirn::N,коня,маңна
11,Haar::N,черь,үсн
12,Schnurrbart::N,ус,сахл
13,Schnurrbart::N,муюк,сахл
14,Bart::N,сакал,сахл
15,Bart::N,сакал,өргнә сахл
16,Kinn::N,уло,өргн
17,Kiefer[Anatomie]::N,пейпакар,өргн
18,Kiefer[Anatomie]::N,пейловажа,өргн
19,Kehle::N,кирьгапарь,хол
20,Hals::N,кирьга,күзүн
21,Genick::N,човонь,гиҗг
22,Kopf::N,пря,толһа
23,Rücken::N,копорь,нурһн
24,Bauch::N,пеке,гесн
25,Nabel::N,почо,киисн
26,Busen::N,поте,көкн
27,Brust::N,меште,чееҗ
28,Schulter::N,лавтов,ээм
29,Arm::N,кедь,һар
30,Ellenbogen::N,кенерепакарь,тоха
31,Hand::N,кедь,баһлцг
32,Handfläche::N,кедькуншка,альхн
33,Handfläche::N,кедьлапушка,альхн
34,Finger::N,сур,хурһн
35,Finger::N,сур,һарин хурһн
36,Fingernagel::N,кенже,хумсн
37,Nagel[Anatomie]::N,кенже,хумсн
38,Zeh::N,пильге сур,хурһн
39,Zeh::N,пильге сур,көлин хурһн
40,Fuß::N,пильге,тавг
41,Ferse::N,кочкаря,өскә
42,Knie::N,эле,өвдг
43,Knie::N,эзне,өвдг
44,Knie::N,кумажа,өвдг
45,Oberschenkel::N,качо,һуй
46,Bein::N,пильге,көл
47,Körper::N,рунго,махмуд
48,Haut::N,киське,арсн
49,Blut::N,верь,цусн
50,Ader::N,сан,судцн
51,Sehne::N,коське сан,шүрүсн
52,Knochen::N,пакарь,ясн
53,Gehirn::N,удем,экн
54,Herz::N,седей,зүркн
55,Magen::N,пеке,гесн
56,Leber::N,максо,элкн
57,Atem::N,лексема,әмсхл
58,Atem::N,оймень таргсема,әмсхл
