,Concept_ID,xal,mdf
0,Auge::N,нүдн,сельме
1,Ohr::N,чикн,пиле
2,Nase::N,хамр,шалхка
3,Mund::N,амн,курга
4,Zahn::N,шүдн,пей
5,Zunge::N,келн,кяль
6,Lippe::N,урл,търва́
7,Wange::N,халх,щёка
8,Gesicht::N,нүр,шама
9,Stirn::N,маңна,коня
10,Haar::N,үсн,шя́ярь
11,Schnurrbart::N,сахл,уса́
12,Bart::N,сахл,сакал
13,Bart::N,өргнә сахл,сакал
14,Kinn::N,өргн,ула
15,Kiefer[Anatomie]::N,өргн,саласка
16,Kehle::N,хол,кълдома
17,Kehle::N,хол,кърга́парь
18,Hals::N,күзүн,сялдаз
19,Genick::N,гиҗг,шовонь
20,Kopf::N,толһа,пря
21,Rücken::N,нурһн,копорь
22,Bauch::N,гесн,пеке
23,Nabel::N,киисн,по́кон
24,Busen::N,көкн,потя
25,Brust::N,чееҗ,мяште
26,Schulter::N,ээм,лафту
27,Arm::N,һар,кядь
28,Ellenbogen::N,тоха,кенерьба́карь
29,Hand::N,баһлцг,кядь
30,Handfläche::N,альхн,кядьлапш
31,Finger::N,хурһн,сур
32,Finger::N,һарин хурһн,сур
33,Fingernagel::N,хумсн,кенже
34,Nagel[Anatomie]::N,хумсн,кенже
35,Zeh::N,хурһн,пильгосу́р
36,Zeh::N,көлин хурһн,пильгосу́р
37,Fuß::N,тавг,пильге
38,Fuß::N,тавг,пильгелапа
39,Ferse::N,өскә,кочкяря
40,Knie::N,өвдг,эль
41,Knie::N,өвдг,пълма́нжа
42,Oberschenkel::N,һуй,пильгепукша
43,Bein::N,көл,пильге
44,Körper::N,махмуд,ро́нга
45,Körper::N,махмуд,по́нда
46,Haut::N,арсн,киське
47,Blut::N,цусн,вер
48,Ader::N,судцн,сан
49,Ader::N,судцн,верза́н
50,Sehne::N,шүрүсн,коське сан
51,Knochen::N,ясн,пакарь
52,Gehirn::N,экн,уй
53,Herz::N,зүркн,седи
54,Magen::N,гесн,коткърдазь
55,Leber::N,элкн,макса
56,Atem::N,әмсхл,лекома
57,Atem::N,әмсхл,ваймонь тарксема
58,Hunger::N,харһнлһн,вачеши
59,Träne::N,нульмсн,сельмове́дь
60,Geschmack::N,амтн,таньф
61,Geruch::N,үнр,шине
62,Schlaf::N,нөр,удома́
63,Traum::N,зүүдн,он
