,Concept_ID,is,pt
0,Auge::N,auga,olho
1,Ohr::N,eyra,orelha
2,Nase::N,nef,nariz
3,Mund::N,munnur,boca
4,Zahn::N,tönn,dente
5,Zunge::N,tunga,língua
6,Lippe::N,vör,lábio
7,Wange::N,kinn,face
8,Wange::N,vangi,face
9,Gesicht::N,andlit,cara
10,Gesicht::N,andlit,rosto
11,Stirn::N,enni,testa
12,Haar::N,hár,cabelo
13,Schnurrbart::N,yfirskegg,bigode
14,Bart::N,skegg,barba
15,Kinn::N,haka,queixo
16,Kiefer[Anatomie]::N,kjálki,maxila
17,Kiefer[Anatomie]::N,kjálki,mandíbula
18,Kiefer[Anatomie]::N,skoltur,maxila
19,Kiefer[Anatomie]::N,skoltur,mandíbula
20,Kehle::N,kverk,garganta
21,Hals::N,háls,colo
22,Hals::N,háls,pescoço
23,Genick::N,hnakki,nuca
24,Kopf::N,höfuð,cabeça
25,Rücken::N,hryggur,dorso
26,Rücken::N,hryggur,costas
27,Bauch::N,kviður,ventre
28,Bauch::N,kviður,barriga
29,Nabel::N,nafli,umbigo
30,Busen::N,barmur,seio
31,Brust::N,brjóst,peito
32,Schulter::N,öxl,ombro
33,Arm::N,armur,braço
34,Ellenbogen::N,olnbogi,cotovelo
35,Hand::N,hönd,mão
36,Handfläche::N,lófi,palma
37,Handfläche::N,lófi,palma da mão
38,Finger::N,fingur,dedo
39,Fingernagel::N,fingurnögl,unha
40,Nagel[Anatomie]::N,nögl,unha
41,Zeh::N,tá,dedo do pé
42,Fuß::N,fótur,pé
43,Ferse::N,hæll,calcanhar
44,Knie::N,kné,joelho
45,Oberschenkel::N,læri,coxa
46,Bein::N,fótleggur,perna
47,Körper::N,búkur,corpo
48,Körper::N,líkami,corpo
49,Haut::N,húð,pele
50,Haut::N,skinn,pele
51,Blut::N,blóð,sangue
52,Ader::N,æð,veia
53,Sehne::N,sin,tendão
54,Knochen::N,bein,osso
55,Gehirn::N,heili,cérebro
56,Herz::N,hjarta,coração
57,Magen::N,magi,estômago
58,Leber::N,lifur,fígado
59,Atem::N,andi,fôlego
60,Atem::N,andardráttur,fôlego
61,Hunger::N,hungur,fome
62,Träne::N,tár,lágrima
63,Geschmack::N,smekkur,gosto
64,Geruch::N,lykt,odor
65,Geruch::N,lykt,cheiro
66,Schlaf::N,svefn,sono
67,Traum::N,draumur,sonho
68,Himmel::N,himinn,céu
69,Sonne::N,sól,sol
70,Mond::N,tungl,lua
71,Stern::N,stjarna,estrela
72,Luft::N,loft,ar
73,Wind::N,vindur,vento
74,Welle::N,alda,onda
75,Welle::N,bylgja,onda
76,Wasser::N,vatn,água
77,Stein::N,steinn,pedra
78,Boden::N,botn,solo
79,Erde::N,jörð,terra
80,Staub::N,ryk,pó
81,Staub::N,duft,pó
82,Rauch::N,reykur,fumo
83,Funke::N,neisti,faísca
84,Funke::N,neisti,centelha
85,Feuer::N,eldur,fogo
86,Licht::N,ljós,luz
87,Schatten::N,skuggi,sombra
88,Wetter::N,veður,tempo
89,Nebel::N,þoka,nevoeiro
90,Wolke::N,ský,nuvem
91,Regen::N,regn,chuva
92,Schnee::N,snjór,neve
93,Eis::N,ís,gelo
94,Frost::N,frost,gelo
95,Frost::N,frost,geada
96,Kälte::N,kuldi,frio
97,Hitze::N,hiti,ardor
98,Raureif::N,hrím,geada
99,Regenbogen::N,regnbogi,arco-iris
100,Donner::N,þruma,trovão
101,Strömung::N,straumur,corrente
102,Tropfen::N,dropi,gota
103,Schaum::N,froða,espuma
104,Schmutz::N,óhreinindi,sujidade
105,Schmutz::N,óhreinindi,imundície
106,See::N,stöðuvatn,lago
107,Sumpf::N,fen,charco
108,Sumpf::N,fen,pântano
109,Moor::N,mýri,pântano
110,Wiese::N,engi,prado
111,Wald::N,skógur,bosque
112,Wald::N,skógur,floresta
113,Hügel::N,hæð,colina
114,Hügel::N,hóll,colina
115,Anhöhe::N,hæð,alto
116,Anhöhe::N,hæð,outeiro
117,Anhöhe::N,hóll,alto
118,Anhöhe::N,hóll,outeiro
