,Concept_ID,nl,sq
0,Auge::N,oog,sy
1,Ohr::N,oor,vesh
2,Nase::N,neus,hundë
3,Mund::N,mond,gojë
4,Zahn::N,tand,dhëmb
5,Zunge::N,tong,gjuhë
6,Lippe::N,lip,buzë
7,Wange::N,wang,faqe
8,Wange::N,wang,mollëz
9,Gesicht::N,gelaat,fytyrë
10,Gesicht::N,gezicht,fytyrë
11,Stirn::N,voorhoofd,ballë
12,Haar::N,haar,flokë
13,Schnurrbart::N,snor,mustaqe
14,Bart::N,baard,mjekër
15,Kinn::N,kin,mjekër
16,Kiefer[Anatomie]::N,kaak,nofull
17,Kehle::N,keel,fyt
18,Kehle::N,keel,grykë
19,Kehle::N,strot,fyt
20,Kehle::N,strot,grykë
21,Hals::N,hals,qafë
22,Genick::N,nek,arrëz
23,Kopf::N,hoofd,kokë
24,Rücken::N,rug,kurriz
25,Bauch::N,buik,bark
26,Nabel::N,navel,kërthizë
27,Busen::N,boezem,gji
28,Brust::N,borst,gjoks
29,Brust::N,borst,kraharor
30,Schulter::N,schouder,sup
31,Schulter::N,schouder,krah
32,Arm::N,arm,krah
33,Ellenbogen::N,elleboog,bërryl
34,Hand::N,hand,dorë
35,Handfläche::N,handpalm,pëllëmbë
36,Finger::N,vinger,gisht
37,Fingernagel::N,nagel,thua
38,Nagel[Anatomie]::N,nagel,thua
39,Zeh::N,teen,gisht i këmbës
40,Fuß::N,voet,këmbë
41,Ferse::N,hak,thembër
42,Ferse::N,hiel,thembër
43,Knie::N,knie,gju
44,Oberschenkel::N,dij,kofshë
45,Bein::N,been,këmbë
46,Körper::N,lichaam,trup
47,Haut::N,huid,lëkurë
48,Blut::N,bloed,gjak
49,Ader::N,ader,venë
50,Sehne::N,pees,dell
51,Knochen::N,bot,asht
52,Knochen::N,bot,kockë
53,Knochen::N,been,asht
54,Knochen::N,been,kockë
55,Knochen::N,knook,asht
56,Knochen::N,knook,kockë
57,Gehirn::N,hersenen,tru
58,Herz::N,hart,zemër
59,Magen::N,maag,stomak
60,Leber::N,lever,mëlçi
61,Atem::N,adem,frymë
62,Hunger::N,honger,uri
63,Träne::N,traan,lot
64,Geschmack::N,smaak,shije
65,Geruch::N,geur,erë
66,Schlaf::N,slaap,gjumë
67,Traum::N,droom,ëndërr
68,Himmel::N,hemel,qiell
69,Sonne::N,zon,diell
70,Mond::N,maan,hënë
71,Stern::N,ster,yll
72,Luft::N,lucht,ajër
73,Wind::N,wind,erë
74,Welle::N,golf,valë
75,Welle::N,golf,dallgë
76,Wasser::N,water,ujë
77,Stein::N,steen,gur
78,Boden::N,grond,tokë
79,Boden::N,grond,truall
80,Erde::N,aarde,dhe
81,Erde::N,aarde,baltë
82,Staub::N,stof,pluhur
83,Rauch::N,rook,tym
84,Funke::N,vonk,xixë
85,Funke::N,vonk,shkëndijë
86,Feuer::N,vuur,zjarr
87,Licht::N,licht,dritë
88,Schatten::N,schaduw,hije
89,Wetter::N,weer,mot
90,Nebel::N,mist,mjegull
91,Nebel::N,nevel,mjegull
92,Wolke::N,wolk,re
93,Regen::N,regen,shi
94,Schnee::N,sneeuw,borë
