,Concept_ID,tr,sq
0,Auge::N,göz,sy
1,Ohr::N,kulak,vesh
2,Nase::N,burun,hundë
3,Mund::N,ağız,gojë
4,Zahn::N,diş,dhëmb
5,Zunge::N,dil,gjuhë
6,Lippe::N,dudak,buzë
7,Wange::N,yanak,faqe
8,Wange::N,yanak,mollëz
9,Gesicht::N,yüz,fytyrë
10,Stirn::N,alın,ballë
11,Haar::N,saç,flokë
12,Schnurrbart::N,bıyık,mustaqe
13,Bart::N,sakal,mjekër
14,Kinn::N,çene,mjekër
15,Kiefer[Anatomie]::N,çene,nofull
16,Kehle::N,boğaz,fyt
17,Kehle::N,boğaz,grykë
18,Hals::N,boyun,qafë
19,Hals::N,gerdan,qafë
20,Genick::N,ense,arrëz
21,Kopf::N,baş,kokë
22,Kopf::N,kafa,kokë
23,Rücken::N,arka,kurriz
24,Bauch::N,karın,bark
25,Nabel::N,göbek,kërthizë
26,Busen::N,koyun,gji
27,Brust::N,göğüs,gjoks
28,Brust::N,göğüs,kraharor
29,Schulter::N,omuz,sup
30,Schulter::N,omuz,krah
31,Arm::N,kol,krah
32,Ellenbogen::N,dirsek,bërryl
33,Hand::N,el,dorë
34,Handfläche::N,avuç,pëllëmbë
35,Handfläche::N,el ayası,pëllëmbë
36,Finger::N,parmak,gisht
37,Fingernagel::N,el tırnağı,thua
38,Nagel[Anatomie]::N,tırnak,thua
39,Zeh::N,ayak parmağı,gisht i këmbës
40,Fuß::N,ayak,këmbë
41,Ferse::N,topuk,thembër
42,Knie::N,diz,gju
43,Oberschenkel::N,uyluk,kofshë
44,Bein::N,bacak,këmbë
45,Körper::N,vücut,trup
46,Haut::N,cilt,lëkurë
47,Blut::N,kan,gjak
48,Ader::N,damar,venë
49,Sehne::N,kiriş,dell
50,Knochen::N,kemik,asht
51,Knochen::N,kemik,kockë
52,Gehirn::N,beyin,tru
53,Herz::N,kalp,zemër
54,Herz::N,yürek,zemër
55,Magen::N,mide,stomak
56,Leber::N,karaciğer,mëlçi
57,Atem::N,nefes,frymë
58,Hunger::N,açlık,uri
59,Träne::N,gözyaşı,lot
60,Geschmack::N,tat,shije
61,Geschmack::N,lezzet,shije
62,Geruch::N,koku,erë
63,Schlaf::N,uyku,gjumë
64,Traum::N,düş,ëndërr
65,Traum::N,rüya,ëndërr
66,Himmel::N,gök,qiell
67,Sonne::N,güneş,diell
68,Mond::N,ay,hënë
69,Stern::N,yıldız,yll
70,Luft::N,hava,ajër
71,Wind::N,yel,erë
72,Wind::N,rüzgâr,erë
73,Welle::N,dalga,valë
74,Welle::N,dalga,dallgë
75,Wasser::N,su,ujë
76,Stein::N,taş,gur
77,Boden::N,yer,tokë
78,Boden::N,yer,truall
79,Boden::N,zemin,tokë
80,Boden::N,zemin,truall
81,Erde::N,toprak,dhe
82,Erde::N,toprak,baltë
83,Staub::N,toz,pluhur
84,Rauch::N,duman,tym
85,Funke::N,kıvılcım,xixë
86,Funke::N,kıvılcım,shkëndijë
87,Feuer::N,ateş,zjarr
88,Licht::N,ışık,dritë
89,Schatten::N,gölge,hije
90,Wetter::N,hava,mot
91,Nebel::N,pus,mjegull
92,Wolke::N,bulut,re
93,Regen::N,yağmur,shi
94,Schnee::N,kar,borë
95,Eis::N,buz,akull
96,Frost::N,don,ngricë
97,Kälte::N,soğukluk,të ftohtë
98,Hitze::N,sıcaklık,vapë
99,Hitze::N,sıcaklık,nxehtësi
100,Raureif::N,kırç,cikmë
101,Regenbogen::N,gökkuşağı,ylber
102,Donner::N,gök gürlemesi,gjëmim
103,Donner::N,gök gürlemesi,bubullimë
104,Strömung::N,akıntı,rrymë
105,Strömung::N,cereyan,rrymë
106,Tropfen::N,damla,pikë
107,Schaum::N,köpük,shkumë
108,Schmutz::N,çamur,baltë
109,Schmutz::N,pislik,baltë
110,See::N,göl,liqen
111,Sumpf::N,batak,batak
112,Moor::N,cılgıt,kënetë
113,Wiese::N,çimen,livadh
114,Wald::N,koru,pyll
115,Wald::N,orman,pyll
