,Concept_ID,mrj,ta
0,Auge::N,сӹнзӓ,கண்
1,Ohr::N,пӹлӹш,காது
2,Nase::N,нер,மூக்கு
3,Mund::N,ышма,வாய்
4,Zahn::N,пӱ,பல்
5,Zunge::N,йӹлмӹ,நாக்கு
6,Lippe::N,тӹрвӹ,உதடு
7,Wange::N,шӹргӹ,கன்னம்
8,Gesicht::N,лицӓ,முகம்
9,Stirn::N,лепкӓ,முன்னெற்றி
10,Haar::N,ӱп,முடி
11,Schnurrbart::N,öрш,மீசை
12,Bart::N,пандаш,தாடி
13,Kinn::N,онгылаш,கீழதாடை
14,Kiefer[Anatomie]::N,пӱ арата,தாடை
15,Kehle::N,логер,தொண்டை
16,Hals::N,шӱ,கழுத்து
17,Genick::N,ланга,கழுத்து
18,Kopf::N,вуй,தலை
19,Rücken::N,туп,முதுகு
20,Bauch::N,мӹшкӹр,வயிறு
21,Nabel::N,кӹлӹмдӹ,தொப்புள்
22,Busen::N,цӹзӹ,மார்பகம்
23,Brust::N,мел, மார்பு
24,Schulter::N,ӹнгӹжӓ,தோள்பட்டை
25,Arm::N,кид,கரம்
26,Ellenbogen::N,кӹнервуй,முழங்கை
27,Hand::N,лапа,கை
28,Handfläche::N,кид лапа,உள்ளங்கை
29,Finger::N,парня,விரல்
30,Fingernagel::N,кӹч,விரல் நகம்
31,Nagel[Anatomie]::N,кӹч,நகம்
32,Zeh::N,парня,கால்விரல்
33,Fuß::N,ял лапа,கால்
34,Ferse::N,ялгавал,குதிகால்
35,Ferse::N,ял кавал,குதிகால்
36,Knie::N,пылвуй,முழங்கால்
37,Oberschenkel::N,ӓрдӹ,தொடை
38,Bein::N,ял,கால்
39,Körper::N,монгыр,உடல்
40,Haut::N,кавашты,சருமம்
41,Blut::N,вӹр,இரத்தம்
42,Ader::N,вӹршӓр,நாளம்
43,Sehne::N,кукшышӱн,தசைநார்
44,Knochen::N,лу,எலுமபு
45,Gehirn::N,вим,மூனை
46,Herz::N,шӱм,இதயம
47,Magen::N,шӱм,வயிறு
48,Leber::N,мокш,கல்லீரல்
49,Atem::N,шӱлӹш,மூச்சு
50,Hunger::N,шужымаш,பசி
51,Träne::N,сӹнзӓвӹд,கண்ணீர்
52,Geschmack::N,тот,நறுமணம்
53,Geruch::N,пыш,துர்நாற்றம்
54,Schlaf::N,ом,தூக்கம்
55,Traum::N,ом,கனவு
56,Himmel::N,пӹлгом,வானம்
57,Sonne::N,кечӹ,சூரியன்
58,Mond::N,тӹлзӹ,சந்திரன்
59,Stern::N,шӹдӹр,நட்சத்திரம்
60,Luft::N,юж,காறறு
61,Luft::N,воздух,காறறு
62,Wind::N,мардеж,காற்று
63,Welle::N,ко,அலை
64,Welle::N,коэ,அலை
65,Wasser::N,вӹд,நீர்
66,Stein::N,кӱ,கல்
67,Boden::N,рок,தரை
68,Erde::N,свет,மண்
69,Staub::N,пырак,தூசி
70,Rauch::N,шӹкш,புகை
71,Funke::N,ип,தீப்பொறி
72,Funke::N,тылип,தீப்பொறி
73,Feuer::N,тыл,தீ
74,Licht::N,соты,வெளிச்சம்
75,Licht::N,валгыды,வெளிச்சம்
76,Schatten::N,ӹмӹл,நிழல்
77,Wetter::N,игечӹ,வானிலை
78,Nebel::N,тӹтӹрӓ,பனிமூட்டம்
79,Wolke::N,пӹл,மேகம்
80,Regen::N,юр,மழை
81,Schnee::N,лым,உறைபனி
82,Eis::N,и,பனிக்கட்டி
83,Frost::N,ӱштӹ,உறைபனி
84,Kälte::N,ӱштӹ,குளிர்ந்த
85,Hitze::N,шокшы,சூடு
86,Raureif::N,пöрш,உறைபனி வெண்திரை
87,Regenbogen::N,шанавӹл,வானவில்
88,Donner::N,хӹдӹртӹш,இடி
89,Strömung::N,йогы,நீரோட்டம்
90,Tropfen::N,капльы,துளி
91,Tropfen::N,капльык,துளி
92,Schaum::N,шонг,நுரை
93,Schmutz::N,лявӹрӓ,அழுக்கு
94,See::N,йӓр,ஏரி
95,Sumpf::N,лӱкӹ,சதுப்பு நிலம்
96,Moor::N,куп,முட்புதற்காடு
97,Wiese::N,алык,பசும் புல்தரை
98,Wald::N,шӹргӹ,காடு
99,Hügel::N,пӱгӹрикӓ,குன்று
100,Anhöhe::N,кӱкшикӓ,பதுக்கை
101,Berg::N,кырык,மலை
102,Gipfel::N,неркӓ,உச்சி மாநாடு
103,Höhle::N,ы́раж,குகை
104,Abhang::N,полом,சரிவு
105,Quelle::N,вӹдсӹнзӓ,மூலம்
106,Bach::N,ӓнгӹр,ஓடை
107,Fluss::N,вӹд,ஆறு
108,Ufer::N,сир,நீர்க்கரை
109,Küste::N,сир,கடற்கரை
110,Festland::N,мӱлӓндӹ,நிலம்
111,Meer::N,тангыж,கடல்
112,Bucht::N,вӹдъял,சிறுகுடா
113,Insel::N,острок,தீவு
114,Blume::N,пеледӹш,பூ
115,Gras::N,шуды,புல்தரை
116,Wurzel::N,важ,வேர்
117,Baum::N,пушӓнгӹ,மரம்
118,Stamm::N,пушӓнгӹ тӹнг,அடிமரம்
119,Rinde::N,каргыж,பட்டை
120,Rinde::N,каргыж,மரப்பட்டை
121,Ast::N,укш,கினை
122,Zweig::N,укш,குச்சி
123,Blatt::N,листӹ,இலை
124,Birke::N,куги,பிர்ச் மரம்
125,Kiefer[Baum]::N,йӓктӹ,தேவதாரு மரம்
126,Weide[Baum]::N,уа,மர வகைகளுள் ஒன்று
127,Tanne::N,кож,சாதிக்கய்
128,Horn::N,шур,கொம்பு
