,Concept_ID,uk,te
0,Auge::N,око,కన్ను
1,Ohr::N,вухо,చెవి
2,Nase::N,ніс,ముక్కు
3,Mund::N,рот,నోరు
4,Zahn::N,зуб,పల్లు
5,Zunge::N,язик,నాలుక
6,Lippe::N,губа,పెదవి
7,Wange::N,щока,చెంప
8,Gesicht::N,обличчя,ముఖము
9,Stirn::N,лоб,నుదురు
10,Haar::N,волосся,వెండ్రుక
11,Schnurrbart::N,вуса,మీసము
12,Bart::N,борода,గడ్డము
13,Kinn::N,підборіддя,గడ్డము
14,Kiefer[Anatomie]::N,щелепа,దౌడ
15,Kehle::N,горло,గొంతు
16,Hals::N,шия,మెడ
17,Genick::N,потилиця,మూపు
18,Kopf::N,голова,తల
19,Rücken::N,спина,వెన్ను
20,Bauch::N,живіт,కడుపు
21,Nabel::N,пупок,బొడ్డు
22,Busen::N,груди,స్తనము
23,Brust::N,груди,ఱొమ్ము
24,Schulter::N,плече,భుజము
25,Arm::N,рука,చేయి
26,Ellenbogen::N,лікоть,మోచేయి
27,Hand::N,рука,చేయి
28,Handfläche::N,долоня,అరచేయు
29,Finger::N,палець,చేతిప్రేలు
30,Fingernagel::N,ніготь,గోరు
31,Nagel[Anatomie]::N,ніготь,గోరు
32,Zeh::N,палець на нозі,కాలిప్రేలు
33,Fuß::N,нога,అడుగు
34,Ferse::N,п’ятка,మడమ
35,Knie::N,коліно,మోకాలు
36,Oberschenkel::N,стегно,తొడ
37,Bein::N,нога,కాలు
38,Körper::N,тіло,కాయము
39,Haut::N,шкіра,చర్మము
40,Blut::N,кров,రక్తము
41,Ader::N,вена,సిర
42,Sehne::N,сухожилля,స్నాయువు
43,Knochen::N,кістка,ఎముక
44,Gehirn::N,мозок,మెదడు
45,Herz::N,серце,హృదయము
46,Magen::N,шлунок,కడుపు
47,Leber::N,печінка,కాలేయము
48,Atem::N,дихання,ఉపిరి
49,Hunger::N,голод,ఆకలి
50,Träne::N,сльоза,కన్నీటిచుక్క
51,Geschmack::N,смак,రుచి
52,Geruch::N,запах,వాసన
53,Schlaf::N,сон,నిద్ర
54,Schlaf::N,сплячка,నిద్ర
55,Traum::N,сон,కల
