,Concept_ID,uz,hr
186,Ente::N,o'rdak,patka
187,Eule::N,boyo'g'li,sova
188,Kranich::N,turna,ždral
189,Krähe::N,qarg'a,vrana
190,Kuckuck::N,kakku,kukavica
191,Schwan::N,oqkush,labud
192,Fisch::N,baliq,riba
193,Barsch::N,olabug'a,grgeč
194,Hecht::N,cho'rtan,štuka
195,Schlange[Tier]::N,ilon,guja
196,Schlange[Tier]::N,ilon,zmija
197,Wurm::N,qurt,crv
198,Spinne::N,o'rgimchak,pauk
199,Ameise::N,chumoli,mrav
200,Laus::N,bit,uš
201,Mücke::N,chivin,komarac
202,Fliege::N,pashsha,muha
203,Schmetterling::N,kapalak,leptir
204,Beere::N,meva,boba
205,Beere::N,meva,bobica
206,Apfel::N,olma,jabuka
207,Pilz::N,qo'ziqorin,pečurka
208,Zwiebel::N,piyoz,luk
209,Zwiebel::N,piyoz,kapula
210,Saat::N,äkin,sjemenje
211,Korn::N,zarra,zrno
212,Heu::N,xashak,sijeno
213,Schale::N,po'choq,kora
214,Schale::N,po'choq,ljuska
215,Grube::N,co'ra,jama
216,Falle::N,qopqon,zamka
217,Falle::N,qopqon,klopka
218,Schlinge::N,sirtmoq,uzao
219,Schlinge::N,sirtmoq,petlja
220,Spur::N,iz,trag
221,Spur::N,iz,slijed
222,Asche::N,kul,pepeo
223,Dreck::N,kir,blato
224,Eisen::N,temir,željezo
225,Gold::N,tilla,zlato
226,Silber::N,kumush,srebro
227,Kohle::N,ko'mir,ugalj
228,Kohle::N,ko'mir,ugljen
229,Glas::N,oyna,staklo
230,Lehm::N,loy,glina
231,Lehm::N,loy,ilovača
232,Sand::N,qum,pijesak
233,Mensch::N,odam,čovjek
234,Mann::N,ärkak,muškarac
235,Frau::N,ayol,žena
236,Kind::N,bola,čedo
237,Kind::N,bola,dijete
238,Kind::N,kichkintoy,čedo
239,Kind::N,kichkintoy,dijete
240,Junge::N,bola,momče
241,Junge::N,bola,dječak
242,Mädchen::N,qiz,djevojka
243,Mädchen::N,qiz,djevojčica
244,Familie::N,oila,obitelj
245,Familie::N,oila,porodica
246,Großvater::N,buva,djed
247,Großvater::N,katta ota,djed
248,Großmutter::N,buvi,baka
249,Großmutter::N,katta oyi,baka
250,Eltern::N,ota-ona,roditelji
251,Vater::N,ota,otac
252,Mutter::N,ona,majka
253,Sohn::N,o'g'il,sin
254,Tochter::N,qiz,kći
255,Tochter::N,qiz,kćerka
256,Bruder::N,og'a,brat
257,Bruder::N,uka,brat
258,Schwester::N,opa,sestra
259,Schwester::N,singil,sestra
260,Onkel::N,amaki,čika
261,Onkel::N,amaki,ujak
262,Tante::N,amma,ujna
263,Tante::N,amma,tetka
264,Tante::N,xola,ujna
265,Tante::N,xola,tetka
266,Ehemann::N,är,muž
267,Ehemann::N,är,suprug
268,Ehefrau::N,rafiqa,žena
269,Ehefrau::N,rafiqa,supruga
270,Freude::N,ayish,radost
271,Gelächter::N,kulgi,grohot
272,Glück::N,saodat,sreća
273,Kummer::N,g'am,jad
274,Kummer::N,g'am,briga
275,Wunsch::N,orzu,želja
276,Lust::N,rag'bat,volja
277,Geist::N,ruh,duh
278,Gedanke::N,fikr,misao
279,Gedächtnis::N,äs,pamćenje
280,Verstand::N,aql,um
281,Verstand::N,aql,razum
282,Sinn::N,ma'ni,smisao
283,Sinn::N,ma'ni,značenje
284,Grund::N,sabab,razlog
285,Wahrheit::N,haq,istina
286,Gespräch::N,gap,razgovor
287,Märchen::N,ärtak,bajka
288,Erzählung::N,rivoyat,priča
289,Erzählung::N,rivoyat,pripovijest
290,Nachricht::N,xabar,vijest
291,Neuigkeit::N,yangilik,novost
292,Name::N,ot,ime
293,Rätsel::N,topishmoq,zagonetka
294,Rede::N,nutq,govor
295,Rede::N,nutq,besjeda
296,Sprache::N,til,jezik
297,Stimme::N,ovoz,glas
298,Wort::N,so'z,riječ
299,Zeichen::N,alomat,znak
300,Ruf::N,chaqiriq,povik
301,Ruf::N,chaqiriq,poklik
302,Lärm::N,taraq,buka
303,Lärm::N,taraq,galama
304,Laut::N,tovush,zvuk
305,Ton::N,un,ton
306,Lied::N,ashula,pjesma
307,Ruhe::N,tinchlik,tišina
308,Ruhe::N,tinchlik,počinak
309,Leute::N,xaloyiq,ljudi
310,Volk::N,xalq,puk
311,Volk::N,xalq,narod
312,Arbeit::N,ish,rad
313,Arbeit::N,ish,posao
314,Gast::N,mehmon,gost
315,Geschenk::N,hadya,dar
316,Geschenk::N,hadya,poklon
317,Spiel::N,o'yin,igra
318,Gesellschaft::N,jamiyat,društvo
319,Gesellschaft::N,jamiyat,kompanija
320,Hilfe::N,yordam,pomoć
321,Freund::N,do'st,prijatelj
