,Concept_ID,bn,hu
0,Auge::N,চক্ষু,szem
1,Ohr::N,কর্ণ,fül
2,Nase::N,নাক,orr
3,Mund::N,মুখ,száj
4,Zahn::N,দাঁত,fog
5,Zunge::N,জিহবা,nyelv
6,Lippe::N,অধর,ajak
7,Wange::N,গণ্ড,orca
8,Gesicht::N,মুখমণ্ডল,arc
9,Stirn::N,কপাল,homlok
10,Haar::N,চুল,haj
11,Schnurrbart::N,গোঁফ,bajusz
12,Bart::N,শ্মশ্রু,szakáll
13,Kinn::N,চিবুক,áll
14,Kiefer[Anatomie]::N,চোয়াল,állkapocs
15,Kehle::N,কণ্ঠ,gége
16,Kehle::N,কণ্ঠ,torok
17,Hals::N,গল,nyak
18,Genick::N,ঘাড়,tarkó
19,Kopf::N,মাথা,fő
20,Kopf::N,মাথা,fej
21,Rücken::N,পৃষ্ঠ,hát
22,Bauch::N,উদর,has
23,Nabel::N,নাভি,köldök
24,Busen::N,স্তন,mell
25,Busen::N,স্তন,kebel
26,Brust::N,বুক,mell
27,Schulter::N,স্কন্ধ,váll
28,Arm::N,বাহু,kar
29,Ellenbogen::N,কনুই,könyök
30,Hand::N,হাত,kéz
31,Handfläche::N,করতল,tenyér
32,Finger::N,আঙ্গুল,ujj
33,Fingernagel::N,হাতের নখ,köröm
34,Nagel[Anatomie]::N,নখ,köröm
35,Zeh::N,আঙ্গুল,lábujj
36,Fuß::N,পা,láb
37,Ferse::N,গোড়ালি,sarok
38,Knie::N,হাঁটু,térd
39,Oberschenkel::N,ঊরু,comb
40,Bein::N,পা,láb
41,Bein::N,পা,lábszár
42,Körper::N,দেহ,test
43,Haut::N,ত্বক,bőr
44,Blut::N,রক্ত,vér
45,Ader::N,শিরা,ér
46,Sehne::N,কণ্ডরা,ín
47,Knochen::N,অস্থি,csont
48,Gehirn::N,মস্তিষ্ক,agy
49,Gehirn::N,মস্তিষ্ক,agyvelő
50,Herz::N,হৃৎপিণ্ড,szív
51,Magen::N,পাকস্থলী,gyomor
52,Leber::N,যকৃৎ,máj
53,Atem::N,শ্বাস,lehelet
54,Atem::N,শ্বাস,lélegzet
55,Hunger::N,ক্ষুধা,éhség
56,Träne::N,অশ্রু,könny
57,Geschmack::N,স্বাদ,íz
58,Geruch::N,গন্ধ,szag
59,Schlaf::N,ঘুম,álom
60,Schlaf::N,ঘুম,alvás
61,Traum::N,স্বপ্ন,álom
62,Himmel::N,আকাশ,ég
63,Himmel::N,আকাশ,menny
64,Sonne::N,সূর্য,nap
65,Mond::N,চন্দ্র,hold
66,Stern::N,নক্ষত্র,csillag
67,Luft::N,বায়ু,levegő
68,Wind::N,বাতাস,szél
69,Welle::N,ঢেউ,hullám
70,Welle::N,তরঙ্গ,hullám
71,Wasser::N,জল,víz
72,Stein::N,ঢিল,kő
73,Stein::N,প্রস্তর,kő
74,Boden::N,ভূতল,föld
75,Boden::N,ভূতল,talaj
76,Erde::N,ভূমি,föld
77,Staub::N,ধুলা,por
78,Rauch::N,ধোঁয়া,füst
79,Funke::N,স্ফুলিঙ্গ,szikra
80,Feuer::N,অগ্নি,tűz
81,Licht::N,আলো,fény
82,Schatten::N,ছায়া,árnyék
83,Wetter::N,আবহাওয়া,idő
84,Wetter::N,আবহাওয়া,időjárás
85,Nebel::N,কুহেলিকা,köd
86,Wolke::N,মেঘ,felhő
87,Regen::N,বৃষ্টি,eső
88,Schnee::N,তুষার,hó
89,Eis::N,বরফ,jég
90,Frost::N,তুষার,fagy
91,Kälte::N,শৈত্য,hideg
92,Hitze::N,তাপ,hő
93,Hitze::N,তাপ,hőség
94,Raureif::N,তুহিন,zúzmara
95,Regenbogen::N,রামধনু,szivárvány
96,Donner::N,বজ্রধ্বনি,dörgés
97,Donner::N,বজ্রধ্বনি,mennydörgés
98,Strömung::N,স্রোত,áramlat
99,Tropfen::N,ফোঁটা,csepp
100,Schaum::N,ফেনা,hab
101,Schaum::N,ফেনা,tajték
102,Schmutz::N,ধুলা,piszok
103,See::N,হ্রদ,tó
104,Sumpf::N,জলা,mocsár
105,Moor::N,মাঠ,láp
106,Wiese::N,তৃণভূমি,rét
107,Wiese::N,তৃণভূমি,mező
108,Wald::N,বন,erdő
109,Hügel::N,পাহাড়,domb
110,Anhöhe::N,টিলা,magaslat
111,Berg::N,পর্বত,hegy
112,Gipfel::N,শীর্ষ,csúcs
113,Höhle::N,গুহা,barlang
114,Abhang::N,ঢাল,lejtő
115,Quelle::N,উৎস,forrás
116,Bach::N,ক্ষুদ্র নদী,patak
117,Fluss::N,নদী,folyó
118,Ufer::N,উপকূল,part
119,Küste::N,তীর,tengerpart
120,Festland::N,ভূমি,szárazföld
121,Meer::N,সমুদ্র,tenger
122,Bucht::N,উপসাগর,öböl
123,Insel::N,দ্বীপ,sziget
124,Blume::N,ফুল,virág
125,Gras::N,ঘাস,fű
126,Wurzel::N,শিকড়,gyökér
127,Baum::N,গাছ,fa
128,Stamm::N,স্কন্ধ,tő
129,Stamm::N,স্কন্ধ,törzs
130,Rinde::N,বল্কল,kéreg
131,Ast::N,শাখা,ág
132,Zweig::N,ডাল,gally
133,Blatt::N,পর্ণ,levél
134,Birke::N,ভুর্জ,nyír
135,Kiefer[Baum]::N,পাইন গাছ,fenyő
136,Weide[Baum]::N,উইলো,fűz
137,Tanne::N,দেবদারূ গাছ,fenyő
138,Horn::N,শিং,szarv
139,Feder::N,পালক,toll
140,Fell::N,রোম,szőr
141,Fell::N,রোম,bunda
142,Flügel::N,ডানা,szárny
143,Klaue::N,নখর,köröm
144,Kralle::N,নখর,karom
145,Schwanz::N,লেজ,farok
146,Ei::N,ডিম,tojás
147,Nest::N,কুলায়,fészek
148,Bau::N,ডেরা,odú
149,Tier::N,জন্তু,állat
150,Herde::N,ঝাঁক,nyáj
151,Herde::N,ঝাঁক,csorda
152,Kuh::N,গোরু,tehén
153,Bulle::N,বৃষ,bika
154,Pferd::N,ঘোড়া,ló
155,Schaf::N,ভেড়া,juh
156,Schaf::N,ভেড়া,birka
157,Schwein::N,শূকর,sertés
158,Hund::N,কুকুর,eb
159,Hund::N,কুকুর,kutya
160,Katze::N,বেড়াল,macska
161,Bär::N,ভল্লুক,medve
162,Eichhörnchen::N,কাঠবিড়াল,mókus
163,Elch::N,হরিণবিশেষ,jávorszarvas
164,Fuchs::N,পাঁতিশিয়াল,róka
165,Hase::N,শশক,nyúl
166,Maus::N,নেংটি ইঁদুর,egér
167,Wolf::N,নেকড়ে,farkas
168,Vogel::N,পক্ষী,madár
169,Schwarm::N,ঝাঁক,raj
170,Huhn::N,মোরগ,tyúk
171,Hahn::N,কুক্কুট,kakas
172,Gans::N,হংসী,lúd
173,Gans::N,হংসী,liba
174,Adler::N,ইগল,sas
175,Ente::N,হংসী,kacsa
176,Eule::N,পেচক,bagoly
177,Kranich::N,সারস,daru
178,Krähe::N,কাক,varjú
179,Kuckuck::N,কোকিল,kakukk
180,Schwan::N,মরাল,hattyú
181,Fisch::N,মাছ,hal
182,Barsch::N,মৎন্যবিশেষ,sügér
183,Hecht::N,বানমাছ,csuka
184,Schlange[Tier]::N,সর্প,kígyó
185,Wurm::N,কীট,kukac
186,Spinne::N,মাকড়সা,pók
187,Ameise::N,পিপীলিকা,hangya
188,Laus::N,উকুন,tetű
189,Mücke::N,মশা,szúnyog
