,Concept_ID,ta,hy
0,Auge::N,கண்,աչք
1,Ohr::N,காது,ականջ
2,Nase::N,மூக்கு,քիթ
3,Mund::N,வாய்,բերան
4,Zahn::N,பல்,ատամ
5,Zunge::N,நாக்கு,լեզու
6,Lippe::N,உதடு,շրթունք
7,Wange::N,கன்னம்,այտ
8,Wange::N,கன்னம்,թուշ
9,Gesicht::N,முகம்,դեմք
10,Stirn::N,முன்னெற்றி,ճակատ
11,Haar::N,முடி,մազ
12,Schnurrbart::N,மீசை,բեղ
13,Bart::N,தாடி,մորուք
14,Kinn::N,கீழதாடை,կզակ
15,Kiefer[Anatomie]::N,தாடை,ծնոտ
16,Kehle::N,தொண்டை,կոկորդ
17,Hals::N,கழுத்து,վիզ
18,Hals::N,கழுத்து,պարանոց
19,Genick::N,கழுத்து,ծոծրակ
20,Kopf::N,தலை,գլուխ
21,Rücken::N,முதுகு,մեջք
22,Bauch::N,வயிறு,փոր
23,Bauch::N,வயிறு,որովայն
24,Nabel::N,தொப்புள்,պորտ
25,Busen::N,மார்பகம்,ծոց
26,Brust::N, மார்பு,կուրծք
27,Schulter::N,தோள்பட்டை,ուս
28,Arm::N,கரம்,թեւ
29,Arm::N,கரம்,բազուկ
30,Ellenbogen::N,முழங்கை,արմունկ
31,Hand::N,கை,ձեռք
32,Handfläche::N,உள்ளங்கை,ափ
33,Finger::N,விரல்,մատ
34,Fingernagel::N,விரல் நகம்,եղունգ
35,Nagel[Anatomie]::N,நகம்,եղունգ
36,Zeh::N,கால்விரல்,ոտքի մատ
37,Fuß::N,கால்,ոտք
38,Ferse::N,குதிகால்,գարշապար
39,Knie::N,முழங்கால்,ծունկ
40,Oberschenkel::N,தொடை,ազդր
41,Bein::N,கால்,ոտք
42,Körper::N,உடல்,մարմին
43,Haut::N,சருமம்,մաշկ
44,Blut::N,இரத்தம்,արյուն
45,Ader::N,நாளம்,երակ
46,Sehne::N,தசைநார்,ջիղ
47,Sehne::N,தசைநார்,ձգտան
48,Knochen::N,எலுமபு,ոսկոր
49,Gehirn::N,மூனை,խելք
50,Herz::N,இதயம,սիրտ
51,Magen::N,வயிறு,ստամոքս
52,Leber::N,கல்லீரல்,լյարդ
53,Atem::N,மூச்சு,շունչ
54,Hunger::N,பசி,քաղց
55,Träne::N,கண்ணீர்,արտասուք
56,Geschmack::N,நறுமணம்,համ
57,Geschmack::N,நறுமணம்,բուրմունք
58,Geruch::N,துர்நாற்றம்,հոտ
59,Geruch::N,துர்நாற்றம்,բուրում
60,Schlaf::N,தூக்கம்,քուն
61,Traum::N,கனவு,երազ
62,Himmel::N,வானம்,երկինք
63,Sonne::N,சூரியன்,արեւ
64,Mond::N,சந்திரன்,լուսին
65,Stern::N,நட்சத்திரம்,աստղ
66,Luft::N,காறறு,օդ
67,Wind::N,காற்று,քամի
68,Welle::N,அலை,ալիք
69,Wasser::N,நீர்,ջուր
70,Stein::N,கல்,քար
71,Boden::N,தரை,գետին
72,Erde::N,மண்,հող
73,Staub::N,தூசி,փոշի
74,Rauch::N,புகை,ծուխ
75,Funke::N,தீப்பொறி,կայծ
76,Feuer::N,தீ,կրակ
77,Feuer::N,தீ,հրդեհ
78,Licht::N,வெளிச்சம்,լույս
79,Schatten::N,நிழல்,ստվեր
80,Wetter::N,வானிலை,եղանակ
81,Nebel::N,பனிமூட்டம்,մեգ
82,Nebel::N,பனிமூட்டம்,մառախուղ
83,Wolke::N,மேகம்,ամպ
84,Regen::N,மழை,անձրև
85,Schnee::N,உறைபனி,ձյուն
86,Eis::N,பனிக்கட்டி,սառույց
87,Frost::N,உறைபனி,սառնամանիք
88,Kälte::N,குளிர்ந்த,դող
89,Hitze::N,சூடு,շոգ
90,Raureif::N,உறைபனி வெண்திரை,ցօղեղեամ
91,Regenbogen::N,வானவில்,ծիածան
92,Donner::N,இடி,որոտ
93,Strömung::N,நீரோட்டம்,հոսանք
94,Tropfen::N,துளி,կաթիլ
95,Schaum::N,நுரை,փրփուր
96,Schmutz::N,அழுக்கு,կեղտ
97,See::N,ஏரி,լիճ
98,Sumpf::N,சதுப்பு நிலம்,ճահիճ
99,Moor::N,முட்புதற்காடு,ճահիճ
100,Wiese::N,பசும் புல்தரை,մարգագետին
101,Wald::N,காடு,անտառ
102,Hügel::N,குன்று,բլուր
