,Concept_ID,mhr,ku
0,Auge::N,шинча́,çav
1,Ohr::N,пы́лыш,guh
2,Nase::N,нер,bêvil
3,Mund::N,умша́,dev
4,Zahn::N,пӱй,didan
5,Zunge::N,йы́лме,ziman
6,Lippe::N,тӱ́рвӧ,lêv
7,Wange::N,шӱ́ргӧ,dêm
8,Wange::N,шӱ́ргӧ,hinarik
9,Gesicht::N,чури́й,rû
10,Stirn::N,саҥга́,enî
11,Haar::N,ӱп,por
12,Schnurrbart::N,ӧ́рыш,simbêl
13,Bart::N,понда́ш,rih
14,Kinn::N,оҥыла́ш,zenî
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,arguşk
16,Kiefer[Anatomie]::N,пӱйората́,arguşk
17,Kehle::N,лога́р,qirik
18,Hals::N,шӱй,stû
19,Hals::N,шӱй,qirik
20,Genick::N,шӱйло́дыш,stû
21,Kopf::N,вуй,serî
22,Rücken::N,туп,pişt
23,Bauch::N,мӱ́шкыр,ûr
24,Bauch::N,мӱ́шкыр,zik
25,Nabel::N,кы́лымде,navik
26,Busen::N,чы́зе,sîng
27,Brust::N,оҥ,sîng
28,Schulter::N,ва́че,mil
29,Arm::N,кид,çepil
30,Ellenbogen::N,кынерву́й,enîşk
31,Hand::N,кид,dest
32,Hand::N,копа́,dest
33,Handfläche::N,со́во,kefadest
34,Finger::N,парня́,tilî
35,Fingernagel::N,кидкӱ́ч,neynuk
36,Fingernagel::N,парнягӱ́ч,neynuk
37,Nagel[Anatomie]::N,кӱч,bizmar
38,Zeh::N,йолварня́,tilî linga
39,Fuß::N,йол,ling
40,Fuß::N,йолкопа́,ling
41,Ferse::N,тага́н,pahnî
42,Knie::N,пулву́й,kabok
43,Oberschenkel::N,э́рде,rahn
44,Bein::N,йол,çip
45,Körper::N,кап,laş
46,Körper::N,кап,gowde
47,Haut::N,кова́ште,çerm
48,Blut::N,вӱр,xwîn
49,Ader::N,шӧн,reh
50,Sehne::N,шӧн,reh
51,Sehne::N,кӱсе́н,reh
52,Knochen::N,лу,hestî
53,Gehirn::N,вем,mêjî
54,Gehirn::N,вуйве́м,mêjî
55,Herz::N,шӱм,dil
56,Magen::N,пага́р,navêş
57,Leber::N,мокш,kezeb
58,Atem::N,шӱ́лыш,hilm
59,Hunger::N,шужыма́ш,birçîtî
60,Träne::N,шинчавӱ́д,hêstir
61,Geschmack::N,там,tam
62,Geruch::N,пуш,bêhn
63,Schlaf::N,о́мо,xew
64,Traum::N,йӱдо́мо,xewn
65,Himmel::N,кава́,ezman
66,Sonne::N,ке́че,roj
67,Mond::N,ты́лзе,heyv
68,Stern::N,шӱ́дыр,stêrk
69,Luft::N,юж,ba
70,Wind::N,марде́ж,ba
71,Welle::N,то́лкын,şewl
72,Wasser::N,вӱд,av
73,Stein::N,кӱ,kevir
74,Boden::N,рок,herd
75,Erde::N,мла́нде,ax
76,Staub::N,пура́к,toz
77,Rauch::N,шикш,dû
78,Funke::N,сеске́м,çirûşk
79,Funke::N,тулйы́п,çirûşk
80,Feuer::N,тул,agir
81,Licht::N,со́то,ronahî
82,Schatten::N,ӱ́мыл,sî
83,Wetter::N,иге́че,hewa
84,Nebel::N,тӱтыра́,mij
85,Wolke::N,пыл,ewr
86,Regen::N,йӱр,baran
87,Schnee::N,лум,berf
88,Eis::N,ий,qeşa
89,Frost::N,чатлама́,xûsik
90,Kälte::N,йӱ́штӧ,serma
91,Hitze::N,шо́кшо,germayî
92,Raureif::N,пӧрш,şext
93,Raureif::N,по́кшым,şext
94,Regenbogen::N,шонанпы́л,heftreng
95,Donner::N,кӱ́дырчӧ,gire-gir
96,Strömung::N,йо́гын,şewl
97,Tropfen::N,чӱча́лтыш,dilop
98,Schaum::N,шоҥ,kef
99,Schmutz::N,лавыра́,gemar
100,See::N,ер,gol
101,Sumpf::N,лӱ́кӧ,hezek
102,Moor::N,куп,mafêl
103,Wiese::N,о́лык,sûrik
104,Wald::N,чодыра́,çiya
105,Wald::N,чодыра́,daristan
106,Hügel::N,арка́,gir
107,Anhöhe::N,тӧва́,sere gir
108,Anhöhe::N,кӱкшака́,sere gir
109,Berg::N,ку́рык,kaş
110,Gipfel::N,чаҥга́,sere gir
111,Gipfel::N,курыкву́й,sere gir
112,Höhle::N,пеще́р,şikeft
113,Höhle::N,курыкпо́мыш,şikeft
114,Abhang::N,та́йыл,kaş
115,Quelle::N,важ,kanî
116,Quelle::N,вӱдшинча́,kanî
117,Bach::N,изэҥе́р,çem
118,Fluss::N,эҥе́р,çem
119,Fluss::N,эҥе́р,rûbar
120,Ufer::N,сер,kevî
121,Küste::N,вӱдтӱ́р,berav
122,Festland::N,мла́нде,bejahî
123,Meer::N,те́ҥыз,behr
124,Bucht::N,икса́,derav
125,Insel::N,отро́,girav
126,Blume::N,пеле́дыш,kulînk
127,Gras::N,шу́до,giha
128,Wurzel::N,вож,reh
129,Baum::N,пуше́ҥге,dar
130,Stamm::N,йы́тыр,bavik
131,Rinde::N,шӱм,qaqil
132,Ast::N,укш,gulî
133,Zweig::N,торма́к,şax
134,Blatt::N,лышта́ш,pel
135,Birke::N,куэ́,dara sipî
136,Kiefer[Baum]::N,пӱ́нчӧ,dara bî
137,Weide[Baum]::N,уа́,dara belalûk
138,Tanne::N,кож,merx
139,Horn::N,шур,strô
140,Feder::N,пы́стыл,pîrtîk
141,Fell::N,кова́ште,heyar
142,Flügel::N,шу́лдыр,per
143,Klaue::N,кӱч,napîk
144,Kralle::N,ла́па,dinik
145,Kralle::N,ла́па,dirnax
146,Kralle::N,копа́,dinik
147,Kralle::N,копа́,dirnax
148,Schwanz::N,поч,dûv
149,Ei::N,му́но,hêk
150,Nest::N,пыжа́ш,hêlîn
151,Bau::N,пыжа́ш,avahî
152,Tier::N,я́нлык,heywan
153,Tier::N,живо́тный,heywan
154,Herde::N,кӱ́тӱ,hoz
155,Herde::N,тӱшка́,hoz
156,Kuh::N,ушка́л,çêlek
157,Bulle::N,ӱ́шкыж,ga
158,Pferd::N,и́мне,hesp
159,Schaf::N,шо́рык,mîh
160,Schwein::N,сӧсна́,beraz
161,Hund::N,пий,seh
162,Katze::N,пы́рыс,pişîk
163,Bär::N,маска́,hirç
164,Eichhörnchen::N,ур,pilûr
165,Elch::N,шо́рдо,pazkovî
166,Fuchs::N,ры́выж,rovî
167,Hase::N,мера́ҥ,kîroşk
168,Maus::N,коля́,mişk
169,Wolf::N,пи́ре,gur
170,Vogel::N,ка́йык,çûk
171,Schwarm::N,каша́к,lufik
172,Huhn::N,чы́ве,mirîşk
173,Hahn::N,агыта́н,dîk
174,Gans::N,ко́мбо,qaz
175,Adler::N,карагу́ш,eylo
176,Ente::N,лу́до,werdek
177,Eule::N,тумна́,bûm
