,Concept_ID,el,nl
0,Auge::N,μάτι,oog
1,Auge::N,οφθαλμός,oog
2,Ohr::N,αυτί,oor
3,Nase::N,μύτη,neus
4,Mund::N,στόμα,mond
5,Zahn::N,δόντι,tand
6,Zunge::N,γλώσσα,tong
7,Lippe::N,χείλος,lip
8,Wange::N,παρειά,wang
9,Wange::N,μάγουλο,wang
10,Gesicht::N,πρόσωπο,gelaat
11,Gesicht::N,πρόσωπο,gezicht
12,Stirn::N,μέτωπο,voorhoofd
13,Haar::N,μαλλιά,haar
14,Schnurrbart::N,μουστάκι,snor
15,Bart::N,γένια,baard
16,Kinn::N,πιγούνι,kin
17,Kiefer[Anatomie]::N,σαγόνι,kaak
18,Kehle::N,λαρύγγι,keel
19,Kehle::N,λαρύγγι,strot
20,Hals::N,λαιμός,hals
21,Genick::N,σβέρκος,nek
22,Kopf::N,κεφάλι,hoofd
23,Rücken::N,ράχη,rug
24,Bauch::N,κοιλιά,buik
25,Nabel::N,αφαλός,navel
26,Busen::N,στήθος,boezem
27,Brust::N,στήθος,borst
28,Schulter::N,ώμος,schouder
29,Arm::N,χέρι,arm
30,Arm::N,μπράτςο,arm
31,Ellenbogen::N,αγκώνας,elleboog
32,Hand::N,χέρι,hand
33,Handfläche::N,παλάμη,handpalm
34,Finger::N,δάχτυλο,vinger
35,Fingernagel::N,νύχι,nagel
36,Nagel[Anatomie]::N,νύχι,nagel
37,Zeh::N,δάχτυλο του ποδιού,teen
38,Fuß::N,πόδι,voet
39,Ferse::N,φτέρνα,hak
40,Ferse::N,φτέρνα,hiel
41,Knie::N,γόνατο,knie
42,Oberschenkel::N,μηρός,dij
43,Bein::N,πόδι,been
44,Körper::N,σώμα,lichaam
45,Körper::N,κορμί,lichaam
46,Haut::N,πετσί,huid
47,Blut::N,αίμα,bloed
48,Ader::N,φλέβα,ader
49,Sehne::N,νεύρο,pees
50,Sehne::N,τένοντας,pees
51,Knochen::N,οστό,bot
52,Knochen::N,οστό,been
53,Knochen::N,οστό,knook
54,Knochen::N,κόκκαλο,bot
55,Knochen::N,κόκκαλο,been
56,Knochen::N,κόκκαλο,knook
57,Gehirn::N,μυαλό,hersenen
58,Gehirn::N,εγκέφαλος,hersenen
59,Herz::N,καρδιά,hart
60,Magen::N,στομάχι,maag
61,Leber::N,ήπαρ,lever
62,Leber::N,συκωτί,lever
63,Atem::N,αναπνοή,adem
64,Hunger::N,πείνα,honger
65,Träne::N,δάκρυ,traan
66,Geschmack::N,γεύση,smaak
67,Geruch::N,οσμή,geur
68,Geruch::N,μυρωδία,geur
69,Schlaf::N,ύπνος,slaap
70,Traum::N,όνειρο,droom
71,Himmel::N,ουρανός,hemel
72,Sonne::N,ήλιος,zon
73,Mond::N,σελήνη,maan
74,Mond::N,φεγγάρι,maan
75,Stern::N,άστρο,ster
76,Stern::N,αστέρι,ster
77,Luft::N,αέρας,lucht
78,Wind::N,αέρας,wind
79,Wind::N,άνεμος,wind
80,Welle::N,κύμα,golf
81,Wasser::N,νερό,water
82,Stein::N,πέτρα,steen
83,Boden::N,χώμα,grond
84,Erde::N,γη,aarde
85,Staub::N,σκόνη,stof
86,Rauch::N,καπνός,rook
87,Funke::N,σπίθα,vonk
88,Funke::N,σπινθήρας,vonk
89,Feuer::N,φωτιά,vuur
90,Licht::N,φως,licht
91,Schatten::N,σκιά,schaduw
92,Schatten::N,ίσκιος,schaduw
93,Wetter::N,καιρός,weer
94,Nebel::N,ομίχλη,mist
95,Nebel::N,ομίχλη,nevel
96,Wolke::N,σύννεφο,wolk
97,Regen::N,βροχή,regen
98,Schnee::N,χιόνι,sneeuw
99,Eis::N,πάγος,ijs
100,Frost::N,παγωνία,vorst
101,Kälte::N,κρύο,kou
102,Kälte::N,κρύο,koude
103,Kälte::N,ψύχος,kou
104,Kälte::N,ψύχος,koude
105,Hitze::N,ζέστη,hitte
106,Raureif::N,πάχνη,rijp
107,Regenbogen::N,ουράνιο τόξο,regenboog
108,Donner::N,βροντή,donder
109,Strömung::N,ρεύμα,stroming
110,Tropfen::N,στάλα,druppel
111,Schaum::N,αφρός,schuim
112,Schmutz::N,βρωμιά,vuil
113,See::N,λίμνη,meer
114,Sumpf::N,βάλτος,moeras
115,Moor::N,έλος,veen
116,Wiese::N,λιβάδι,wei
117,Wiese::N,λιβάδι,weide
118,Wald::N,δάσος,bos
119,Hügel::N,λόφος,heuvel
120,Anhöhe::N,ύψωμα,hoogte
121,Berg::N,όρος,berg
122,Berg::N,βουνό,berg
123,Gipfel::N,κορυφή,top
124,Höhle::N,σπηλιά,hol
125,Abhang::N,πλαγιά,helling
126,Quelle::N,πηγή,bron
127,Quelle::N,βρύση,bron
128,Bach::N,ρυάκι,beek
129,Fluss::N,ποτάμι,stroom
130,Fluss::N,ποταμός,stroom
131,Ufer::N,όχθη,wal
132,Ufer::N,όχθη,oever
133,Küste::N,ακτή,kust
134,Küste::N,ακρογιαλιά,kust
135,Festland::N,στεριά,vasteland
136,Meer::N,θάλασσα,zee
137,Bucht::N,κόλπος,baai
138,Bucht::N,κόλπος,inham
139,Insel::N,νησί,eiland
140,Insel::N,νήσος,eiland
141,Blume::N,άνθος,bloem
142,Blume::N,λουλούδι,bloem
143,Gras::N,χόρτο,gras
144,Gras::N,χορτάρι,gras
145,Wurzel::N,ρίζα,wortel
146,Baum::N,δέντρο,boom
147,Stamm::N,κορμός,stam
148,Rinde::N,φλούδα,schors
149,Ast::N,κλαδί,tak
150,Zweig::N,κλαδί,twijg
151,Zweig::N,κλάδος,twijg
152,Blatt::N,φύλλο,blad
153,Birke::N,σημύδα,berk
154,Kiefer[Baum]::N,πεύκο,den
155,Weide[Baum]::N,ιτιά,wilg
156,Tanne::N,έλατο,spar
157,Horn::N,κέρας,hoorn
158,Horn::N,κέρατο,hoorn
159,Feder::N,φτερό,veer
160,Feder::N,φτερό,pluim
161,Fell::N,δέρμα,vel
162,Fell::N,τομάρι,vel
163,Flügel::N,πτερύγιο,vleugel
164,Klaue::N,κουλό,klauw
165,Kralle::N,νύχι,klauw
166,Schwanz::N,ουρά,staart
167,Ei::N,αβγό,ei
168,Nest::N,φωλιά,nest
169,Bau::N,φωλιά,hol
170,Tier::N,ζώο,dier
171,Herde::N,κοπάδι,kudde
172,Kuh::N,αγελάδα,koe
173,Bulle::N,ταύρος,stier
174,Pferd::N,άλογο,paard
175,Schaf::N,πρόβατο,schaap
176,Schwein::N,γουρούνι,varken
177,Hund::N,σκυλί,hond
178,Hund::N,σκύλος,hond
179,Katze::N,γάτα,kat
180,Bär::N,άρκτος,beer
181,Bär::N,αρκούδα,beer
182,Eichhörnchen::N,βερβερίτσα,eekhoorntje
183,Elch::N,άλκη,eland
184,Fuchs::N,αλεπού,vos
185,Hase::N,λαγός,haas
186,Maus::N,ποντικός,muis
187,Wolf::N,λύκος,wolf
188,Vogel::N,πουλί,vogel
189,Schwarm::N,σμήνος,zwerm
190,Huhn::N,κότα,kip
191,Huhn::N,κότα,hoen
192,Huhn::N,όρνιθα,kip
193,Huhn::N,όρνιθα,hoen
194,Hahn::N,πετεινός,haan
195,Gans::N,χήνα,gans
196,Adler::N,αετός,arend
197,Ente::N,πάπια,eend
198,Eule::N,κουκουβάγια,uil
199,Kranich::N,γερανός,kraanvogel
200,Krähe::N,καρακάξα,kraai
201,Kuckuck::N,κούκος,koekoek
202,Schwan::N,κύκνος,zwaan
203,Fisch::N,ψάρι,vis
204,Barsch::N,πέρκα,baars
205,Hecht::N,λούτσος,snoek
206,Schlange[Tier]::N,φίδι,slang
207,Wurm::N,σκουλήκι,worm
208,Spinne::N,αράχνη,spin
209,Ameise::N,μυρμήγκι,mier
210,Laus::N,ψείρα,luis
211,Mücke::N,κουνούπι,mug
212,Fliege::N,μύγα,vlieg
213,Schmetterling::N,πεταλούδα,vlinder
214,Beere::N,ρόγα,bes
215,Apfel::N,μήλο,appel
216,Pilz::N,μανιτάρι,paddestoel
217,Zwiebel::N,κρεμμύδι,ui
218,Saat::N,σπόρος,zaad
219,Korn::N,σπυρί,graan
220,Korn::N,σπυρί,korrel
221,Heu::N,σανός,hooi
222,Schale::N,τσόφλι,schil
223,Grube::N,λάκκος,kuil
224,Falle::N,παγίδα,val
225,Schlinge::N,θηλειά,strop
226,Spur::N,ίχνος,spoor
227,Asche::N,στάχτη,as
228,Dreck::N,βρωμιά,drek
229,Eisen::N,σίδερο,ijzer
230,Gold::N,μάλαμα,goud
231,Gold::N,χρυσάφι,goud
232,Silber::N,ασήμι,zilver
233,Silber::N,άργυρος,zilver
234,Kohle::N,κάρβουνο,kool
235,Glas::N,γυαλί,glas
236,Lehm::N,πηλός,klei
237,Sand::N,άμμος,zand
238,Mensch::N,άνθρωπος,mens
239,Mann::N,άνδρας,man
240,Frau::N,γυναίκα,vrouw
241,Kind::N,παιδί,kind
242,Junge::N,αγόρι,jongen
243,Mädchen::N,κοπέλα,meisje
