,Concept_ID,kv,te
157,Adler::N,кутш,గ్రద్ద
158,Ente::N,утка,పాట్టిబాతు
159,Eule::N,тупка,గ్రుడ్లగూబ
160,Kranich::N,тури,కొంగ
161,Krähe::N,рака,కాకి
162,Kuckuck::N,кӧк,కోయల
163,Schwan::N,юсь,హంస
164,Fisch::N,чери,చేప
165,Barsch::N,ёкыш,ఒకచేఁప
166,Hecht::N,сирпинь,గండుమీను
167,Schlange[Tier]::N,змей,పాము
168,Wurm::N,номыр,పురుగు
169,Spinne::N,черань,సాలె పురుగు
170,Ameise::N,кӧдзывкар,చీమ
171,Laus::N,ляпа той,పేను
172,Mücke::N,ном,చీకటీగ
173,Fliege::N,гут,ఈగ
174,Schmetterling::N,бабыв,సీతాకోకచిలుక
175,Beere::N,ягӧд,కాయ
176,Apfel::N,яблоко,ఆపిల్ పండు
177,Pilz::N,тшак,కుక్కగొడుగు
178,Zwiebel::N,грез,నీరుల్లి
179,Saat::N,кӧдзыс,విత్తనము
180,Korn::N,сю,గింజ
181,Heu::N,турун,ఎండుగడ్డి
182,Schale::N,кыш,పొట్టు
183,Schale::N,киль,పొట్టు
184,Grube::N,яма,గొయ్యి
185,Falle::N,нальк,బోను
186,Falle::N,кляпча,బోను
187,Schlinge::N,лӧч,ఉరి
188,Spur::N,туй,జాడ
189,Asche::N,пӧим,బూడిద
190,Dreck::N,нять,ముఱికి
191,Eisen::N,кӧрт,ఇనుము
192,Gold::N,зарни,బంగారము
193,Silber::N,язісь,వెండి
194,Kohle::N,шом,నేలబొగ్గు
195,Kohle::N,уголь,నేలబొగ్గు
196,Glas::N,стекло,గాజు
197,Lehm::N,сёй,బంకమన్ను
198,Sand::N,лыа,ఇసుక
199,Mensch::N,морт,నరుడు
200,Mann::N,мужик,పురుమడు
201,Frau::N,инька,ఆడుది
202,Kind::N,кага,బిడ్డ
203,Junge::N,зонка,బాలుడు
204,Mädchen::N,нывкаок,బాలిక
205,Familie::N,семья,కుటుంబము
206,Großvater::N,дед,తాత
207,Großmutter::N,баб,అయ్యమ్మ
208,Eltern::N,ай-мам,తల్లితండ్రులు
209,Vater::N,ай,తండ్రి
210,Mutter::N,мам,తల్లి
211,Sohn::N,зон,కొడుకు
212,Tochter::N,ныв,కూతురు
213,Bruder::N,вон,పోదరుడు
214,Schwester::N,сой,సోదరి
215,Onkel::N,дядь,మేనమామ
216,Tante::N,айӧлӧн сой,మేనత్త
217,Tante::N,айӧлӧн сой,పినతల్లి
218,Tante::N,ичинь,మేనత్త
219,Tante::N,ичинь,పినతల్లి
220,Ehemann::N,жӧник,భర్త
221,Ehefrau::N,инь,భార్య
222,Freude::N,гаж,సంతోషము
223,Freude::N,радъялӧм,సంతోషము
224,Gelächter::N,сералӧм,నవ్వు
225,Glück::N,мичлун,సంతోషము
226,Kummer::N,шог,దుఃఖము
227,Wunsch::N,мӧдӧм,కోరిక
228,Wunsch::N,охотитӧм,కోరిక
229,Lust::N,охота,కోరిక
230,Geist::N,лов,ఆత్మ
231,Gedanke::N,дума,ఆలోచన
232,Gedächtnis::N,тӧдвыв,జ్ఞాపకము
233,Verstand::N,вежӧр,మనస్సు
234,Sinn::N,ылӧс,అర్థము
235,Grund::N,мог,కారణము
236,Wahrheit::N,правда,సత్యము
237,Gespräch::N,сёрни,పంభాషణ
238,Märchen::N,сказка,అద్భుతకథ
239,Erzählung::N,висьт,కథ
240,Nachricht::N,юӧр,వార్త
241,Nachricht::N,висьталӧм,వార్త
242,Neuigkeit::N,новость,వార్త
243,Name::N,ним,పేరు
244,Rätsel::N,загадка,చిక్కు
245,Rede::N,сёрни,ఉపన్యాసము
246,Sprache::N,кыв,భాష
247,Stimme::N,голос,కంరథ్సని
248,Wort::N,кыв,మాట
249,Zeichen::N,пас,గుర్తు
250,Ruf::N,чуксӧм,పిలువు
251,Ruf::N,чукӧстӧм,పిలువు
252,Lärm::N,шум,సందడి
253,Laut::N,шы,ధ్వని
254,Ton::N,гор,స్వరము
255,Lied::N,сьыланкыв,పాట
256,Ruhe::N,спокой,గాలిలేమి
257,Leute::N,йӧз,జనులు
258,Volk::N,йӧз,జాతి
259,Volk::N,народ,జాతి
260,Arbeit::N,удж,పని
261,Gast::N,гӧсь,అతిధి
262,Geschenk::N,гӧснеч,దానము
263,Geschenk::N,подарок,దానము
264,Spiel::N,орсӧм,ఆట
265,Gesellschaft::N,компания,జట్టు
266,Hilfe::N,отсӧт,సాహాయ్యము
267,Freund::N,модз,స్నేహితుడు
268,Freund::N,дружок,స్నేహితుడు
269,Kamerad::N,тӧдса,చెలికాడు
270,Angelegenheit::N,дело,విషయము
271,Anzahl::N,лыд,లెక్క
272,Art::N,пӧлӧс,జాతి
273,Stück::N,тор,తునుక
274,Teil::N,юкӧм,భాగము
275,Hälfte::N,джын,సగము
276,Kreis::N,круг,వృత్తము
277,Kreuz::N,перна,సిలువ
278,Linie::N,визь,గీత
279,Strich::N,кырӧв,గీత
280,Abstand::N,колас,సందు
281,Entfernung::N,ылына,దూరము
282,Gegend::N,места,విస్తీర్ణము
283,Platz::N,места,ఎడము
284,Ort::N,места,స్థలము
285,Seite::N,ладор,ప్రక్క
286,Mitte::N,шӧр,నడిమి
287,Gegenstand::N,тор,పద్దు
288,Sache::N,тор,వస్తువు
289,Rand::N,дор,అంచు
290,Kante::N,ордлы,అంచు
291,Ecke::N,пельӧс,మూల
292,Spitze::N,йыв,మొన
293,Ende::N,йыв,కొన
294,Loch::N,осьта,రంధ్రము
295,Winkel::N,пельӧс,కోణము
296,Muster::N,сер,మాదిరి
297,Größe::N,ыжда,పరిమాణము
298,Länge::N,кузя,పొడుగు
299,Höhe::N,сувда,పొడుగు
300,Höhe::N,вылына,పొడుగు
301,Gewicht::N,сьӧкта,భారము
302,Haufen::N,куча,రాశి
303,Reihe::N,лёдз,వరుస
304,Boot::N,пыж,పడవ
305,Ruder::N,пелыс,అడక
306,Schlitten::N,додь,సరవండ్లు
307,Ski::N,лямпа,స్కీ
308,Lagerfeuer::N,бипур,నెగడు
309,Last::N,тягота,బరువు
310,Gang::N,мунӧм,నడక
311,Schritt::N,вожмӧв,అడుగు
312,Norden::N,ой,ఉత్తరదిక్కు
313,Süden::N,лун,దక్షిణము
314,Westen::N,рытвыв,పడమర
315,Osten::N,асыв,తూర్పు
316,Holz::N,пу,కొయ్య
317,Brett::N,пӧв,పలక
318,Platte::N,плита,పలక
319,Stütze::N,пика,వాల్సేడ్లు
320,Stange::N,зор,స్తంభము
321,Stange::N,потш,స్తంభము
322,Stock::N,бедь,కఱ్ఱ
323,Stab::N,шест,కఱ్ఱ
324,Rohr::N,труба,గొట్టము
325,Haus::N,керку,ఇల్లు
326,Heim::N,керку,స్వగృహము
327,Ofen::N,пӧжавны,పొయ్యి
328,Fußboden::N,джодж,నేల
329,Tisch::N,пызан,మేజా
330,Stuhl::N,стул,కుర్చీ
331,Wiege::N,зыбка,ఉయ్యాల
332,Bett::N,кровать,పడక
333,Bett::N,кровать,మంచం
334,Regal::N,джадж,అటక
335,Kiste::N,ящик,వెట్టె
336,Fenster::N,ӧшын,కిటికి
337,Tür::N,ыбӧс,ద్వారము
338,Tor::N,ворота,ద్వారము
339,Zaun::N,забор,కంచె
340,Dach::N,крыша,ఇంటివైకప్పు
341,Leiter::N,лиснич,నిచ్చెన
342,Besen::N,рос,చీపురుకట్ట
343,Spaten::N,зыр,పాఱ
344,Schaufel::N,зыр,పాఱ
345,Gabel::N,вила,ముండ్లగరిటె
346,Löffel::N,пань,గరిటె
347,Messer::N,пурт,కత్తి
348,Nagel::N,кӧрттув,మేకు
349,Netz::N,кыйӧт,వల
350,Haken::N,ем,కొక్కెము
351,Griff::N,пу,పిడి
352,Schloss::N,замок,తాళము
353,Bild::N,картина,చిత్రము
354,Figur::N,мыгӧр,రూపము
355,Puppe::N,акань,బొమ్మ
356,Beutel::N,мешӧк,సంచి
357,Bündel::N,нин,మూట
358,Tasche::N,сумка,సంచి
359,Eimer::N,ведра,చేద
360,Deckel::N,вевт,మూత
361,Geschirr::N,доз,వంటకాలు
362,Geschirr::N,бекӧрпань,వంటకాలు
363,Sack::N,мешӧк,గోనెసంచి
364,Tasse::N,бекӧр,గిన్నె
365,Topf::N,кастрюля,కుండ
366,Kessel::N,пӧрт,నీరుకాచుపాత్ర
367,Essen::N,сёйӧм,ఆహారము
368,Nahrung::N,вердан,ఆహారము
369,Speise::N,сёян,ఆహారము
370,Fleisch::N,яй,మాంసము
371,Getreide::N,сю,ధాన్యము
372,Brei::N,каша,గుజ్జు
373,Brot::N,нянь,రొట్టె
374,Scheibe::N,шӧрӧм,బద్ద
375,Fett::N,гос,క్రొవ్వు
376,Butter::N,ви,వెన్న
377,Öl::N,ви,నూనె
378,Salz::N,сов,ఉప్పు
379,Suppe::N,шыд,చారు
380,Honig::N,ма,తెనె
381,Milch::N,йӧв,పాలు
382,Tee::N,чай,తేనీరు
383,Leder::N,кучик,బాగుచేసివతోలు
384,Wolle::N,гӧн,ఉన్ని
385,Stoff::N,дӧра,బట్ట
386,Nadel::N,ем,సూది
387,Faden::N,сунис,దారము
388,Knopf::N,кизь,బొత్తాము
389,Knoten::N,узӧв,ముడి
390,Knoten::N,гӧрӧд,ముడి
391,Farbe::N,краска,రంగు
392,Kleidung::N,паськӧм,బట్టలు
393,Hemd::N,йӧрнӧс,చొక్కాయ
394,Kragen::N,воротник,మాల
395,Ärmel::N,сос,చొక్కాయచెయ్యి
396,Hose::N,вешьян,ఇజారు
397,Gürtel::N,йи,పటకా
398,Mütze::N,шапка,టోపి
399,Schuh::N,ботинки,పాదరక్ష
400,Stiefel::N,сапог,బూటు
401,Ring::N,чунькытш,ఉంగరము
402,Band::N,ленточка,నాడా
403,Kamm::N,сынан,దువ్వెన
404,Spiegel::N,зеркало,అద్దము
405,Riemen::N,ремень,వాడా
406,Schnur::N,гез,దారము
407,Leine::N,повод,వారు
408,Decke::N,одеяло,కంబళి
409,Kissen::N,подушка,తలగడ
410,Tuch::N,чышьян,బట్ట
411,Handtuch::N,чышкӧт,తువాలు
412,Kraft::N,прак,బలము
413,Stärke::N,вын,శక్తి
414,Gesundheit::N,здоровье,ఆరోగ్యము
415,Krankheit::N,шог,రోగము
416,Schmerz::N,зубыт,నొప్పి
