,Concept_ID,sq,udm
0,Auge::N,sy,син
1,Ohr::N,vesh,пель
2,Nase::N,hundë,ныр
3,Mund::N,gojë,ым
4,Zahn::N,dhëmb,пинь
5,Zunge::N,gjuhë,кыл
6,Lippe::N,buzë,ымдур
7,Wange::N,faqe,бам
8,Wange::N,mollëz,бам
9,Gesicht::N,fytyrë,ымныр
10,Stirn::N,ballë,кымес
11,Haar::N,flokë,йырси
12,Schnurrbart::N,mustaqe,мыйык
13,Bart::N,mjekër,туш
14,Kinn::N,mjekër,ангес
15,Kiefer[Anatomie]::N,nofull,ан
16,Kiefer[Anatomie]::N,nofull,анлы
17,Kehle::N,fyt,гульым
18,Kehle::N,grykë,гульым
19,Hals::N,qafë,чырты
20,Genick::N,arrëz,йырбер
21,Kopf::N,kokë,йыр
22,Rücken::N,kurriz,мыш
23,Bauch::N,bark,кӧт
24,Nabel::N,kërthizë,гогы
25,Busen::N,gji,ноны
26,Brust::N,gjoks,мӧля
27,Brust::N,kraharor,мӧля
28,Schulter::N,sup,пельпум
29,Schulter::N,krah,пельпум
30,Arm::N,krah,суй
31,Ellenbogen::N,bërryl,гырпум
32,Hand::N,dorë,ки
33,Handfläche::N,pëllëmbë,ки пыдэс
34,Handfläche::N,pëllëmbë,кырым пыдэс
35,Finger::N,gisht,чиньы
36,Fingernagel::N,thua,гижы
37,Fingernagel::N,thua,гиждӥнь
38,Nagel[Anatomie]::N,thua,гижы
39,Zeh::N,gisht i këmbës,пыдчиньы
40,Fuß::N,këmbë,пыд
41,Ferse::N,thembër,пыдбер
42,Knie::N,gju,пыдес
43,Oberschenkel::N,kofshë,макес
44,Bein::N,këmbë,пыд
45,Körper::N,trup,мугор
46,Körper::N,trup,вылтыр
47,Haut::N,lëkurë,ку
48,Blut::N,gjak,вир
49,Ader::N,venë,вирсэр
50,Sehne::N,dell,вуж
51,Knochen::N,asht,лы
52,Knochen::N,kockë,лы
53,Gehirn::N,tru,вим
54,Herz::N,zemër,сюлэм
55,Magen::N,stomak,ӝуш
56,Leber::N,mëlçi,мус
57,Atem::N,frymë,лул
58,Atem::N,frymë,шокан
59,Hunger::N,uri,кӧтсюман
60,Träne::N,lot,синкыли
61,Geschmack::N,shije,шӧм
62,Geruch::N,erë,зын
63,Schlaf::N,gjumë,вӧт
64,Traum::N,ëndërr,уйвӧт
65,Himmel::N,qiell,ин
66,Sonne::N,diell,шунды
67,Mond::N,hënë,толэзь
68,Stern::N,yll,кизили
69,Luft::N,ajër,омыр
70,Wind::N,erë,тӧл
71,Welle::N,valë,тулкым
72,Welle::N,dallgë,тулкым
73,Wasser::N,ujë,ву
74,Stein::N,gur,из
75,Boden::N,tokë,музъем
76,Boden::N,truall,музъем
77,Erde::N,dhe,му
78,Erde::N,baltë,му
79,Staub::N,pluhur,пыль
80,Rauch::N,tym,ӵын
81,Funke::N,xixë,гизьы
82,Funke::N,shkëndijë,гизьы
83,Feuer::N,zjarr,тыл
84,Licht::N,dritë,тыл
85,Schatten::N,hije,вужер
86,Wetter::N,mot,куазь
87,Nebel::N,mjegull,бус
88,Wolke::N,re,пилем
89,Regen::N,shi,зор
90,Schnee::N,borë,лымы
91,Eis::N,akull,йӧ
92,Frost::N,ngricë,кезьыт
93,Kälte::N,të ftohtë,кезьыт
94,Hitze::N,vapë,пӧсь
95,Hitze::N,nxehtësi,пӧсь
96,Raureif::N,cikmë,гӧр
97,Regenbogen::N,ylber,вуюись
98,Donner::N,gjëmim,гудыри
99,Donner::N,bubullimë,гудыри
100,Strömung::N,rrymë,бызён
101,Tropfen::N,pikë,шапык
102,Schaum::N,shkumë,шукы
103,Schmutz::N,baltë,нӧд
104,Schmutz::N,baltë,дэри
105,See::N,liqen,ты
106,Sumpf::N,batak,нюр
107,Moor::N,kënetë,нюр
108,Wiese::N,livadh,возь
109,Wiese::N,livadh,возьвыл
110,Wald::N,pyll,сик
111,Wald::N,pyll,нюлэс
112,Hügel::N,kodër,выр
113,Hügel::N,kodër,вырйыл
114,Anhöhe::N,bregore,выр
115,Anhöhe::N,bregore,вырйыл
116,Berg::N,mal,гурезь
117,Gipfel::N,kulm,йыл
118,Höhle::N,shpellë,гу
119,Höhle::N,zgafelle,гу
120,Abhang::N,shpat,бам
121,Abhang::N,tatëpjetë,бам
122,Quelle::N,krua,ошмес
123,Quelle::N,burim,ошмес
124,Bach::N,virua,пичи шур
125,Fluss::N,lumë,шур
126,Ufer::N,breg,ярдур
127,Küste::N,anëdet,вудур
128,Küste::N,bregdet,вудур
129,Festland::N,kontinent,мувыр
130,Meer::N,det,зарезь
131,Bucht::N,gji deti,вукож
132,Insel::N,ishull,вумуӵ
133,Insel::N,ishull,шормуӵ
134,Insel::N,ujdhesë,вумуӵ
135,Insel::N,ujdhesë,шормуӵ
136,Blume::N,lule,сяська
137,Gras::N,bar,турын
138,Wurzel::N,rrënjë,выжы
139,Baum::N,pemë,пу
140,Stamm::N,trung,модос
141,Rinde::N,lëvore,сул
142,Ast::N,degë,ул
143,Zweig::N,bisk,вай
144,Blatt::N,fletë,куар
145,Blatt::N,gjethe,куар
146,Birke::N,mështekën,кызьпу
147,Kiefer[Baum]::N,pishë,пужым
148,Weide[Baum]::N,shelg,бадьпу
149,Tanne::N,bredh,кыз
150,Horn::N,bri,сюр
151,Feder::N,pupël,тылы
152,Fell::N,lëkurë,ку
153,Flügel::N,krah,бурд
154,Flügel::N,fletë,бурд
155,Klaue::N,kthetër,гижы
156,Kralle::N,thua,пыд
157,Kralle::N,kthetër,пыд
158,Schwanz::N,bisht,быж
159,Ei::N,vezë,пуз
160,Ei::N,vezë,кукей
161,Nest::N,fole,кар
162,Nest::N,fole,пузкар
163,Bau::N,strofkë,кар
164,Bau::N,strofkë,гу
165,Tier::N,kafshë,пӧйшур
166,Herde::N,kope,уллё
167,Herde::N,grigjë,уллё
168,Kuh::N,lopë,скал
169,Bulle::N,dem,ош
170,Bulle::N,dem,пороз
171,Pferd::N,kalë,вал
172,Schaf::N,dele,ыж
173,Schwein::N,derr,парсь
174,Hund::N,qen,пуны
175,Katze::N,mace,коӵыш
176,Bär::N,ari,гондыр
177,Eichhörnchen::N,ketër,коньы
178,Elch::N,dre brilopatë,койык
179,Fuchs::N,dhelpër,ӟичы
180,Hase::N,lepur,кеч
181,Maus::N,mi,шыр
182,Wolf::N,ujk,кион
183,Vogel::N,zog,тылобурдо
184,Vogel::N,shpend,тылобурдо
185,Schwarm::N,luzmë,уллё
186,Huhn::N,pulë,курег
187,Hahn::N,gjel,атас
188,Hahn::N,këndes,атас
189,Gans::N,patë,ӟазег
190,Adler::N,shqiponjë,ӧрзи
191,Ente::N,rosë,ӵӧж
192,Eule::N,buf,кучыран
193,Kranich::N,lejlek,тури
194,Kranich::N,kurrillë,тури
195,Krähe::N,sorrë,куака
196,Kuckuck::N,qyqe,кикы
197,Schwan::N,mjellmë,юсь
198,Fisch::N,peshk,чорыг
199,Barsch::N,purtekë,юш
200,Hecht::N,mlysh,чипей
201,Schlange[Tier]::N,gjarpër,кый
202,Wurm::N,krimb,нумыр
203,Spinne::N,marimangë,чонари
204,Ameise::N,thnegël,кузьыли
205,Ameise::N,milingonë,кузьыли
206,Laus::N,morr,тэй
207,Mücke::N,kunup,нымы
208,Mücke::N,kunup,чибинь
209,Mücke::N,mushkonjë,нымы
210,Mücke::N,mushkonjë,чибинь
211,Fliege::N,mizë,кут
212,Schmetterling::N,flutur,бубыли
213,Beere::N,frutë,узы-боры
214,Beere::N,manaferrë,узы-боры
215,Apfel::N,mollë,яблок
216,Pilz::N,kërpudhë,губи
217,Zwiebel::N,qepë,сугон
218,Saat::N,farë,кидыс
219,Korn::N,grurë,тысь
220,Korn::N,kokërr,тысь
221,Heu::N,sanë,турын
222,Schale::N,lëkurë,кыд
223,Grube::N,gropë,гу
224,Grube::N,gropë,гоп
225,Falle::N,kurth,налик
226,Falle::N,grackë,налик
227,Schlinge::N,nyjë,гиӟ
228,Schlinge::N,nyjë,герд
229,Spur::N,gjurmë,пытьы
230,Spur::N,gjurmë,бервыл
231,Asche::N,hi,пень
232,Dreck::N,baltë,дэри
233,Eisen::N,hekur,корт
234,Gold::N,ar,зарни
235,Gold::N,flori,зарни
236,Silber::N,argjend,азвесь
237,Kohle::N,qymyr,эгыр
238,Glas::N,qelq,стекло
239,Glas::N,qelq,пияла
