,Concept_ID,ca,lt
186,Hahn::N,gall,gaidys
187,Gans::N,oca,žąsis
188,Adler::N,àguila,erelis
189,Ente::N,ànec,antis
190,Eule::N,òliba,pelėda
191,Eule::N,mussol,pelėda
192,Kranich::N,grua,gervė
193,Krähe::N,cornella,varna
194,Kuckuck::N,cucut,gegužė
195,Schwan::N,cigne,gulbė
196,Fisch::N,peix,žuvis
197,Barsch::N,perca,ešerys
198,Hecht::N,lluç,lydeka
199,Schlange[Tier]::N,serp,gyvatė
200,Wurm::N,cuc,kirmėlė
201,Spinne::N,aranya,voras
202,Ameise::N,formiga,skruzdė
203,Laus::N,poll,utėlė
204,Mücke::N,mosquit,uodas
205,Fliege::N,mosca,musė
206,Schmetterling::N,papallona,drugys
207,Schmetterling::N,papallona,peteliškė
208,Beere::N,baia,uoga
209,Apfel::N,poma,obuolys
210,Pilz::N,bolet,grybas
211,Zwiebel::N,ceba,svogūnas
212,Saat::N,sembra,sėkla
213,Korn::N,gra,grūdai
214,Heu::N,fenc,šienas
215,Schale::N,closca,žievelė
216,Grube::N,sot,duobė
217,Grube::N,clot,duobė
218,Falle::N,trampa,pinklės
219,Falle::N,trampa,žabangai
220,Schlinge::N,baga,kilpa
221,Spur::N,traça,vėžė
222,Spur::N,traça,pėdos
223,Spur::N,traça,pėdsakas
224,Asche::N,cendra,pelenai
225,Dreck::N,llot,purvas
226,Eisen::N,ferro,geležis
227,Gold::N,or,auksas
228,Silber::N,plata,sidabras
229,Kohle::N,carbó,anglis
230,Glas::N,vidre,stiklas
231,Lehm::N,fang,molis
232,Lehm::N,argila,molis
233,Sand::N,arena,smėlis
234,Mensch::N,humà,žmogus
235,Mensch::N,persona,žmogus
236,Mann::N,home,vyras
237,Mann::N,home,vyriškis
238,Frau::N,dona,moteris
239,Kind::N,nen,vaikas
240,Junge::N,noi,vaikinas
241,Junge::N,noi,berniukas
242,Mädchen::N,noia,mergytė
243,Mädchen::N,noia,mergaitė
244,Familie::N,família,šeima
245,Großvater::N,avi,senelis
246,Großmutter::N,àvia,senelė
247,Eltern::N,pares,tėvai
248,Vater::N,pare,tėvas
249,Mutter::N,mare,motina
250,Sohn::N,fill,sūnus
251,Tochter::N,filla,duktė
252,Bruder::N,germà,brolis
253,Schwester::N,germana,sesuo
254,Onkel::N,oncle,dėdė
255,Tante::N,tia,teta
256,Ehemann::N,espòs,vyras
257,Ehefrau::N,muller,žmona
258,Freude::N,goig,džiaugsmas
259,Freude::N,alegria,džiaugsmas
260,Gelächter::N,riallada,juokas
261,Glück::N,felicitat,laimė
262,Kummer::N,pena,vargas
263,Kummer::N,pena,rūpestis
264,Wunsch::N,desig,troškimas
265,Wunsch::N,desig,pageidavimas
266,Lust::N,ganes,noras
267,Lust::N,ganes,geidulys
268,Geist::N,ment,dvasia
269,Geist::N,esperit,dvasia
270,Gedanke::N,pensament,mintis
271,Gedächtnis::N,memòria,atmintis
272,Verstand::N,raó,protas
273,Verstand::N,seny,protas
274,Sinn::N,solta,prasmė
275,Sinn::N,sentit,prasmė
276,Grund::N,raó,priežastis
277,Grund::N,causa,priežastis
278,Wahrheit::N,veritāt,tiesa
279,Wahrheit::N,veritāt,teisybė
280,Gespräch::N,conversa,pokalbis
281,Märchen::N,conte,pasaka
282,Erzählung::N,narració,apsakymas
283,Erzählung::N,narració,pasakojimas
284,Nachricht::N,missatge,žinia
285,Neuigkeit::N,novetat,naujiena
286,Name::N,nom,vardas
287,Rätsel::N,endevinalla,mįslė
288,Rede::N,discurs,kalba
289,Sprache::N,llēngua,kalba
290,Stimme::N,veu,balsas
291,Wort::N,mot,žodis
292,Wort::N,paraula,žodis
293,Zeichen::N,signe,žymė
294,Zeichen::N,signe,ženklas
295,Zeichen::N,senyal,žymė
296,Zeichen::N,senyal,ženklas
297,Ruf::N,crida,šauksmas
298,Lärm::N,sorōll,triukšmas
299,Laut::N,so,garsas
300,Ton::N,to,tonas
301,Ton::N,to,garsas
302,Lied::N,cançó,daina
303,Lied::N,cançó,giesmė
304,Ruhe::N,calma,ramybė
305,Ruhe::N,calma,ramumas
306,Ruhe::N,silenci,ramybė
307,Ruhe::N,silenci,ramumas
308,Leute::N,gent,žmonės
309,Volk::N,poble,tauta
310,Arbeit::N,labor,darbas
311,Arbeit::N,labor,triūsas
312,Arbeit::N,treball,darbas
313,Arbeit::N,treball,triūsas
314,Gast::N,hoste,svečias
315,Geschenk::N,regal,dovana
316,Geschenk::N,obsequi,dovana
317,Spiel::N,joc,žaismas
318,Spiel::N,joc,žaidimas
319,Gesellschaft::N,companyia,draugija
320,Gesellschaft::N,companyia,kompanija
321,Hilfe::N,ajut,pagalba
322,Freund::N,amīc,draugas
323,Freund::N,amīc,bičiulis
324,Kamerad::N,company,draugas
325,Kamerad::N,camarada,draugas
326,Angelegenheit::N,afer,dalykas
327,Angelegenheit::N,afer,reikalas
328,Angelegenheit::N,assumpte,dalykas
329,Angelegenheit::N,assumpte,reikalas
330,Anzahl::N,nombre,kiekis
331,Anzahl::N,nombre,skaičius
332,Anzahl::N,quantitat,kiekis
333,Anzahl::N,quantitat,skaičius
334,Art::N,tipus,rūšis
335,Art::N,classe,rūšis
336,Stück::N,peça,gabalas
337,Teil::N,part,dalis
338,Hälfte::N,meitat,pusė
339,Kreis::N,cercle,ratas
340,Kreis::N,cercle,apskritis
341,Kreis::N,cercle,apskritimas
342,Kreuz::N,creu,kryžius
343,Linie::N,línia,linija
344,Strich::N,traç,brėžis
345,Strich::N,traç,brūkšnys
346,Strich::N,ratlla,brėžis
347,Strich::N,ratlla,brūkšnys
348,Abstand::N,distància,atstumas
349,Entfernung::N,distància,atstumas
350,Gegend::N,regió,vietovė
351,Gegend::N,contrada,vietovė
352,Platz::N,cabuda,vieta
353,Ort::N,lloc,vieta
354,Ort::N,lloc,vietovė
355,Seite::N,banda,pusė
356,Seite::N,banda,šonas
357,Seite::N,costāt,pusė
358,Seite::N,costāt,šonas
359,Mitte::N,mig,vidurys
360,Mitte::N,centre,vidurys
361,Gegenstand::N,objecte,dalykas
362,Sache::N,cosa,daiktas
363,Rand::N,vora,kraštas
364,Rand::N,vora,pakraštys
365,Rand::N,marge,kraštas
366,Rand::N,marge,pakraštys
367,Kante::N,caire,kraštas
368,Kante::N,cantell,kraštas
369,Ecke::N,cantonada,kertė
370,Ecke::N,cantonada,kampas
371,Spitze::N,punta,priekis
372,Spitze::N,punta,priešakys
373,Ende::N,cap,galas
374,Loch::N,forāt,skylė
375,Winkel::N,racó,kampas
376,Winkel::N,racó,kampelis
377,Muster::N,dibuix,raštas
378,Muster::N,disseny,raštas
379,Größe::N,grandària,dydis
380,Größe::N,grandària,didumas
381,Länge::N,longitud,ilgis
382,Länge::N,longitud,ilgumas
383,Höhe::N,altura,aukštis
384,Höhe::N,altura,aukštuma
385,Höhe::N,altitud,aukštis
386,Höhe::N,altitud,aukštuma
387,Gewicht::N,pes,svoris
388,Gewicht::N,pes,svarstis
389,Menge::N,quantitat,kiekis
390,Menge::N,quantitat,daugybė
391,Haufen::N,pila,krūva
392,Haufen::N,pila,šūsnis
393,Reihe::N,fila,greta
394,Boot::N,bot,valtis
395,Boot::N,bot,laivelis
396,Boot::N,barca,valtis
397,Boot::N,barca,laivelis
398,Ruder::N,rem,irklas
399,Schlitten::N,trineu,rogės
400,Schlitten::N,trineu,rogutės
401,Ski::N,esquí,slidė
402,Lagerfeuer::N,foc de campament,laužas
403,Last::N,càrrega,našta
404,Last::N,càrrega,nešulys
405,Gang::N,marxa,eisena
406,Schritt::N,pas,žingsnis
407,Norden::N,nord,šiaurė
408,Norden::N,nord,žiemiai
409,Süden::N,sud,pietūs
