,Concept_ID,tr,es
191,Huhn::N,tavuk,gallina
192,Hahn::N,horoz,gallo
193,Gans::N,kaz,oca
194,Gans::N,kaz,ganso
195,Adler::N,kartal,águila
196,Adler::N,karakuş,águila
197,Ente::N,ördek,pato
198,Eule::N,baykuş,lechuza
199,Kranich::N,turna,grulla
200,Krähe::N,karga,corneja
201,Kuckuck::N,guguk,cuco
202,Schwan::N,kuğu,cisne
203,Fisch::N,balık,pez
204,Barsch::N,hani,perca
205,Barsch::N,levrek,perca
206,Hecht::N,turnabalığı,lucio
207,Schlange[Tier]::N,yılan,serpiente
208,Wurm::N,kurt,gusano
209,Wurm::N,solucan,gusano
210,Spinne::N,örümcek,araña
211,Ameise::N,karınca,hormiga
212,Laus::N,bit,piojo
213,Mücke::N,sivrisinek,mosquito
214,Fliege::N,sinek,mosca
215,Schmetterling::N,kelebek,mariposa
216,Beere::N,tane,baya
217,Apfel::N,elma,manzana
218,Pilz::N,mantar,seta
219,Pilz::N,mantar,hongo
220,Zwiebel::N,soğan,cebolla
221,Saat::N,ekin,siembra
222,Korn::N,tane,grano
223,Heu::N,kuru ot,heno
224,Schale::N,kabuk,cáscara
225,Grube::N,çukur,foso
226,Falle::N,tuzak,trampa
227,Schlinge::N,ilmik,lazo
228,Spur::N,iz,huella
229,Asche::N,kül,ceniza
230,Dreck::N,pislik,suciedad
231,Eisen::N,demir,hierro
232,Gold::N,altın,oro
233,Silber::N,gümüş,plata
234,Kohle::N,kömür,carbón
235,Glas::N,cam,vidrio
236,Glas::N,cam,cristal
237,Lehm::N,balçık,barro
238,Sand::N,kum,arena
239,Mensch::N,insan,hombre
240,Mensch::N,insan,ser humano
241,Mann::N,adam,hombre
242,Mann::N,erkek,hombre
243,Frau::N,bayan,mujer
244,Kind::N,çocuk,niño
245,Junge::N,erkek çocuk,chico
246,Junge::N,erkek çocuk,muchacho
247,Mädchen::N,kız,chica
248,Mädchen::N,kız,muchacha
249,Familie::N,aile,familia
250,Großvater::N,dede,abuelo
251,Großvater::N,büyükbaba,abuelo
252,Großmutter::N,nine,abuela
253,Großmutter::N,büyükanne,abuela
254,Eltern::N,ebeveyn,padres
255,Eltern::N,ana baba,padres
256,Vater::N,ata,padre
257,Vater::N,baba,padre
258,Mutter::N,ana,madre
259,Mutter::N,anne,madre
260,Sohn::N,oğul,hijo
261,Tochter::N,kız,hija
262,Tochter::N,kız evlât,hija
263,Bruder::N,abi,hermano
264,Bruder::N,erkek kardeş,hermano
265,Schwester::N,abla,hermana
266,Schwester::N,kız kardeş,hermana
267,Onkel::N,dayı,tío
268,Tante::N,hala,tía
269,Tante::N,teyze,tía
270,Ehemann::N,koca,esposo
271,Ehefrau::N,karı,esposa
272,Freude::N,neşe,placer
273,Freude::N,neşe,alegría
274,Freude::N,sevinç,placer
275,Freude::N,sevinç,alegría
276,Gelächter::N,gülme,risa
277,Gelächter::N,gülme,carcajada
278,Gelächter::N,kahkaha,risa
279,Gelächter::N,kahkaha,carcajada
280,Glück::N,mutluluk,felicidad
281,Kummer::N,dert,pena
282,Kummer::N,keder,pena
283,Wunsch::N,arzu,deseo
284,Wunsch::N,istek,deseo
285,Lust::N,arzu,ganas
286,Lust::N,heves,ganas
287,Geist::N,tin,mente
288,Geist::N,tin,espíritu
289,Gedanke::N,fikir,idea
290,Gedanke::N,fikir,pensamiento
291,Gedanke::N,düşünce,idea
292,Gedanke::N,düşünce,pensamiento
293,Gedächtnis::N,bellek,memoria
294,Verstand::N,zekâ,razón
295,Verstand::N,zekâ,entendimiento
296,Sinn::N,anlam,sentido
297,Sinn::N,anlam,significado
298,Grund::N,sebep,causa
299,Wahrheit::N,doğruluk,verdad
300,Wahrheit::N,gerçeklik,verdad
301,Gespräch::N,görüşme,conversación
302,Märchen::N,masal,cuento
303,Erzählung::N,öykü,cuento
304,Erzählung::N,öykü,narración
305,Erzählung::N,hikâye,cuento
306,Erzählung::N,hikâye,narración
307,Nachricht::N,haber,mensaje
308,Neuigkeit::N,haber,noticia
309,Name::N,ad,nombre
310,Name::N,isim,nombre
311,Rätsel::N,bilmece,acertijo
312,Rätsel::N,bilmece,adivinanza
313,Rede::N,söylev,discurso
314,Rede::N,konuşma,discurso
315,Sprache::N,dil,lengua
316,Sprache::N,lisan,lengua
317,Stimme::N,ses,voz
318,Wort::N,kelime,palabra
319,Zeichen::N,işaret,señal
320,Ruf::N,çağırma,llamada
321,Lärm::N,şamata,ruido
322,Lärm::N,şamata,barullo
323,Lärm::N,gürültü,ruido
324,Lärm::N,gürültü,barullo
325,Laut::N,ses,sonido
326,Ton::N,ses,tono
327,Lied::N,türkü,canción
328,Ruhe::N,sakinlik,calma
329,Ruhe::N,sakinlik,silencio
330,Leute::N,halk,gente
331,Leute::N,insanlar,gente
332,Volk::N,ulus,pueblo
333,Volk::N,millet,pueblo
334,Arbeit::N,iş,trabajo
335,Arbeit::N,çalışma,trabajo
336,Gast::N,konuk,huésped
337,Gast::N,konuk,invitado
338,Gast::N,misafir,huésped
339,Gast::N,misafir,invitado
340,Geschenk::N,hediye,regalo
341,Geschenk::N,armağan,regalo
342,Spiel::N,oyun,juego
343,Gesellschaft::N,çevre,compañía
344,Gesellschaft::N,arkadaşlık,compañía
345,Hilfe::N,yardım,ayuda
346,Hilfe::N,yardım,socorro
347,Freund::N,dost,amigo
348,Freund::N,arkadaş,amigo
349,Kamerad::N,arkadaş,camarada
350,Kamerad::N,arkadaş,compañero
351,Angelegenheit::N,iş,asunto
352,Angelegenheit::N,husus,asunto
353,Anzahl::N,sayı,cantidad
354,Art::N,çeşit,tipo
355,Art::N,çeşit,clase
356,Stück::N,tane,pieza
357,Stück::N,parça,pieza
358,Teil::N,kısım,parte
359,Hälfte::N,yarı,mitad
360,Kreis::N,daire,círculo
361,Kreuz::N,haç,cruz
362,Linie::N,hat,línea
363,Linie::N,çizgi,línea
364,Strich::N,çizgi,raya
365,Strich::N,çizgi,trazo
366,Abstand::N,aralık,distancia
