,Concept_ID,tt,hy
0,Auge::N,күз,աչք
1,Ohr::N,колак,ականջ
2,Nase::N,борын,քիթ
3,Mund::N,авыз,բերան
4,Mund::N,тамак,բերան
5,Zahn::N,теш,ատամ
6,Zunge::N,тел,լեզու
7,Lippe::N,ирен,շրթունք
8,Wange::N,яңак,այտ
9,Wange::N,яңак,թուշ
10,Gesicht::N,йөз,դեմք
11,Stirn::N,маңгай,ճակատ
12,Haar::N,чәч,մազ
13,Schnurrbart::N,мыек,բեղ
14,Bart::N,сакал,մորուք
15,Kinn::N,ияк,կզակ
16,Kiefer[Anatomie]::N,казналык,ծնոտ
17,Kehle::N,тамак,կոկորդ
18,Hals::N,бугаз,վիզ
19,Hals::N,бугаз,պարանոց
20,Genick::N,җилкә,ծոծրակ
21,Kopf::N,баш,գլուխ
22,Rücken::N,сырт,մեջք
23,Bauch::N,корсак,փոր
24,Bauch::N,корсак,որովայն
25,Nabel::N,кендек,պորտ
26,Busen::N,түш,ծոց
27,Brust::N,имчәк,կուրծք
28,Brust::N,күкрәк,կուրծք
29,Schulter::N,иңбаш,ուս
30,Schulter::N,кулбаш,ուս
31,Arm::N,кул,թեւ
32,Arm::N,кул,բազուկ
33,Ellenbogen::N,терсәк,արմունկ
34,Hand::N,кул,ձեռք
35,Handfläche::N,уч,ափ
36,Finger::N,бармак,մատ
37,Fingernagel::N,тырнак,եղունգ
38,Nagel[Anatomie]::N,тырнак,եղունգ
39,Zeh::N,бармак,ոտքի մատ
40,Fuß::N,табан,ոտք
41,Ferse::N,үкчә,գարշապար
42,Knie::N,тез,ծունկ
43,Oberschenkel::N,бот,ազդր
44,Bein::N,аяк,ոտք
45,Körper::N,тән,մարմին
46,Körper::N,җисем,մարմին
47,Haut::N,тире,մաշկ
48,Blut::N,кан,արյուն
49,Ader::N,тамыр,երակ
50,Sehne::N,сеңер,ջիղ
51,Sehne::N,сеңер,ձգտան
52,Knochen::N,сөяк,ոսկոր
53,Gehirn::N,ми,խելք
54,Herz::N,йөрәк,սիրտ
55,Magen::N,ашказаны,ստամոքս
56,Leber::N,бавыр,լյարդ
57,Atem::N,сулыш,շունչ
58,Hunger::N,ачлык,քաղց
59,Träne::N,яшь,արտասուք
60,Geschmack::N,тәм,համ
61,Geschmack::N,тәм,բուրմունք
62,Geschmack::N,зәвык,համ
63,Geschmack::N,зәвык,բուրմունք
64,Geruch::N,ис,հոտ
65,Geruch::N,ис,բուրում
66,Schlaf::N,йокы,քուն
67,Traum::N,төш,երազ
68,Himmel::N,күк,երկինք
69,Sonne::N,кояш,արեւ
70,Mond::N,ай,լուսին
71,Stern::N,йолдыз,աստղ
72,Luft::N,һава,օդ
73,Wind::N,җил,քամի
74,Welle::N,дулкын,ալիք
75,Wasser::N,су,ջուր
76,Stein::N,таш,քար
77,Boden::N,туфрак,գետին
78,Erde::N,җир,հող
79,Staub::N,тузан,փոշի
80,Rauch::N,төтен,ծուխ
81,Funke::N,очкын,կայծ
82,Feuer::N,ут,կրակ
83,Feuer::N,ут,հրդեհ
84,Licht::N,якты,լույս
85,Schatten::N,күләгә,ստվեր
86,Wetter::N,һава,եղանակ
87,Nebel::N,томан,մեգ
88,Nebel::N,томан,մառախուղ
89,Wolke::N,болыт,ամպ
90,Regen::N,яңгыр,անձրև
91,Schnee::N,кар,ձյուն
92,Eis::N,боз,սառույց
93,Frost::N,суык,սառնամանիք
94,Frost::N,салкын,սառնամանիք
95,Kälte::N,суык,դող
96,Kälte::N,салкын,դող
97,Hitze::N,эсселек,շոգ
98,Raureif::N,бәс,ցօղեղեամ
99,Raureif::N,сыкы,ցօղեղեամ
100,Regenbogen::N,салават күпере,ծիածան
101,Donner::N,күкрәү,որոտ
102,Strömung::N,агыш'агым,հոսանք
103,Tropfen::N,тамчы,կաթիլ
104,Schaum::N,күбек,փրփուր
105,Schmutz::N,пычрак,կեղտ
106,See::N,күл,լիճ
107,Sumpf::N,саз,ճահիճ
108,Moor::N,торфлык,ճահիճ
109,Wiese::N,болын,մարգագետին
110,Wald::N,урман,անտառ
111,Hügel::N,калку,բլուր
112,Anhöhe::N,үр,բարձունք
113,Berg::N,тау,լեռ
114,Gipfel::N,оч,գագաթ
115,Gipfel::N,оч,կատար
116,Höhle::N,мәгарә,քարայր
117,Abhang::N,кабырга,լանջ
118,Abhang::N,кабырга,զառիվայր
119,Quelle::N,чишмә,աղբյուր
120,Bach::N,елга,վտակ
121,Fluss::N,дәрья,գետ
122,Ufer::N,су кырые,ծովափ
123,Küste::N,яр буе,ափ
124,Küste::N,яр буе,ծովափ
125,Festland::N,коры җир,ցամաք
126,Meer::N,диңгез,ծով
127,Bucht::N,бухта,հաչիւն
128,Bucht::N,култык,հաչիւն
129,Insel::N,атау,վղզի
130,Insel::N,утрау,վղզի
131,Blume::N,чәчкә,ծաղիկ
132,Gras::N,үлән,խոտ
133,Wurzel::N,тамыр,արմատ
134,Baum::N,агач,ծառ
135,Stamm::N,кәүсә,իրան
136,Rinde::N,кабык,կեղեւ
137,Rinde::N,кабык,հաչոց
138,Ast::N,ботак,ճյուղ
139,Zweig::N,ботак,ճյուղ
140,Zweig::N,тармак,ճյուղ
141,Blatt::N,яфрак,տերեւ
142,Birke::N,каен,ցարասի
143,Kiefer[Baum]::N,нарат,սոճի
144,Weide[Baum]::N,тал,ուռենի
145,Tanne::N,чыршы,եղեւին
146,Horn::N,мөгез,
147,Feder::N,йон,փետուր
148,Fell::N,тире,մորթի
149,Flügel::N,канат,թեւ
150,Klaue::N,тырнак,չանչ
151,Kralle::N,тырнак,ճանկ
152,Schwanz::N,койрык,պոչ
153,Ei::N,күкәй,ձու
154,Ei::N,йомырка,ձու
155,Nest::N,оя,բույն
156,Bau::N,өн,որջ
