,Concept_ID,fi,la
0,Auge::N,silmä,oculus
1,Ohr::N,korva,auris
2,Nase::N,nenä,nasus
3,Mund::N,suu,os
4,Zahn::N,hammas,dens
5,Zunge::N,kieli,lingua
6,Lippe::N,huuli,labrum
7,Wange::N,poski,gena
8,Gesicht::N,naama,vultus
9,Gesicht::N,kasvot,vultus
10,Stirn::N,otsa,frons
11,Haar::N,hius,capillus
12,Haar::N,tukka,capillus
13,Schnurrbart::N,viikset,barba labri superioris
14,Bart::N,parta,barba
15,Kinn::N,leuka,mentum
16,Kiefer[Anatomie]::N,leukaluu,mala
17,Kehle::N,kurkku,iugulums
18,Hals::N,kaula,collum
19,Genick::N,niska,cervices
20,Kopf::N,pää,caput
21,Rücken::N,selkä,tergum
22,Bauch::N,maha,venter
23,Bauch::N,vatsa,venter
24,Nabel::N,napa,umbilicus
25,Busen::N,rinta,sinus
26,Brust::N,rinta,pectus
27,Schulter::N,olka,umerus
28,Schulter::N,hartia,umerus
29,Schulter::N,olkapää,umerus
30,Arm::N,käsivarsi,bracchium
31,Ellenbogen::N,kyynärpää,cubitum
32,Hand::N,käsi,manus
33,Handfläche::N,kämmen,palma
34,Finger::N,sormi,digitus
35,Fingernagel::N,kynsi,unguiculus
36,Nagel[Anatomie]::N,kynsi,unguis
37,Zeh::N,varvas,digitus
38,Fuß::N,jalka,pes
39,Ferse::N,kantapää,calx
40,Knie::N,polvi,genu
41,Oberschenkel::N,reisi,femur
42,Bein::N,jalka,crus
43,Körper::N,keho,corpus
44,Körper::N,ruumis,corpus
45,Haut::N,iho,cutis
46,Haut::N,iho,pellis
47,Blut::N,veri,sanguis
48,Ader::N,suoni,vena
49,Sehne::N,jänne,nervus
50,Knochen::N,luu,os
51,Gehirn::N,aivot,cerebrum
52,Herz::N,sydän,cor
53,Herz::N,sydän,animus
54,Magen::N,maha,stomachus
55,Magen::N,vatsa,stomachus
56,Leber::N,maksa,iecur
57,Atem::N,henki,spiritus
58,Atem::N,hengitys,spiritus
59,Hunger::N,nälkä,fames
60,Träne::N,kyynel,lacrima
61,Geschmack::N,maku,sapor
62,Geschmack::N,maku,gustus
63,Geruch::N,haju,odor
64,Schlaf::N,uni,somnus
65,Traum::N,uni,somnium
66,Himmel::N,taivas,caelum
67,Sonne::N,aurinko,sol
68,Mond::N,kuu,luna
69,Stern::N,tähti,sidus
70,Stern::N,tähti,stella
71,Luft::N,ilma,aer
72,Wind::N,tuuli,ventus
73,Welle::N,aalto,unda
74,Wasser::N,vesi,aqua
75,Stein::N,kivi,lapis
76,Boden::N,maa,solum
77,Boden::N,maaperä,solum
78,Erde::N,maa,terra
79,Staub::N,pöly,pulvis
80,Rauch::N,savu,fumus
81,Funke::N,kipinä,scintilla
82,Feuer::N,tuli,ignis
83,Licht::N,valo,lux
84,Licht::N,valo,lumen
85,Schatten::N,varjo,umbra
86,Wetter::N,sää,caelum
87,Wetter::N,sää,tempestas
88,Nebel::N,sumu,nebula
89,Wolke::N,pilvi,nubes
90,Regen::N,sade,imber
91,Regen::N,sade,pluvia
92,Schnee::N,lumi,nix
93,Eis::N,jää,glacies
94,Frost::N,halla,gelu
95,Frost::N,pakkanen,gelu
96,Kälte::N,vilu,frigus
97,Kälte::N,kylmyys,frigus
98,Hitze::N,helle,calor
99,Hitze::N,helle,aestus
100,Hitze::N,kuumuus,calor
101,Hitze::N,kuumuus,aestus
102,Raureif::N,huurre,pruina
103,Regenbogen::N,sateenkaari,arcus
104,Donner::N,jyrinä,tonitrus
105,Strömung::N,virtaus,fluctus
106,Tropfen::N,tippa,gutta
107,Tropfen::N,pisara,gutta
108,Schaum::N,vaahto,spuma
109,Schmutz::N,loka,sordes
110,Schmutz::N,loka,squalor
111,See::N,järvi,lacus
112,Sumpf::N,suo,palus
113,Moor::N,räme,palus
114,Wiese::N,niitty,pratum
115,Wald::N,metsä,silva
116,Hügel::N,mäki,collis
117,Hügel::N,kumpu,collis
118,Hügel::N,kukkula,collis
119,Anhöhe::N,mäki,specula
120,Anhöhe::N,kumpare,specula
121,Berg::N,mäki,mons
122,Berg::N,vuori,mons
123,Gipfel::N,laki,vertex
124,Gipfel::N,huippu,vertex
125,Höhle::N,luola,caverna
126,Höhle::N,luola,spelunca
127,Abhang::N,rinne,declivum
128,Quelle::N,lähde,fons
129,Bach::N,puro,rivus
130,Fluss::N,joki,flumen
131,Ufer::N,ranta,ripa
132,Küste::N,rannikko,litus
133,Festland::N,manner,continens
134,Meer::N,meri,mare
135,Bucht::N,lahti,sinus
136,Insel::N,saari,insula
137,Blume::N,kukka,flos
138,Gras::N,ruoho,herba
139,Gras::N,ruoho,gramen
140,Wurzel::N,juuri,radix
141,Baum::N,puu,arbor
142,Stamm::N,runko,truncus
143,Rinde::N,kuori,cortex
144,Rinde::N,parkki,cortex
145,Ast::N,oksa,ramus
146,Zweig::N,haara,ramus
147,Blatt::N,lehti,folium
148,Birke::N,koivu,betulla
149,Kiefer[Baum]::N,mänty,pinus
150,Kiefer[Baum]::N,petäjä,pinus
151,Weide[Baum]::N,paju,salix
152,Tanne::N,kuusi,abies
153,Horn::N,sarvi,cornu
154,Feder::N,sulka,penna
155,Feder::N,höyhen,penna
156,Fell::N,talja,pellis
157,Flügel::N,siipi,ala
158,Klaue::N,kynsi,unguis
159,Kralle::N,kynsi,unguis
160,Schwanz::N,häntä,cauda
161,Schwanz::N,pyrstö,cauda
162,Ei::N,muna,ovum
163,Nest::N,pesä,nidus
164,Bau::N,pesä,cavum
165,Bau::N,pesä,latibulum
166,Tier::N,eläin,bestia
167,Herde::N,lauma,grex
168,Kuh::N,lehmä,vacca
169,Bulle::N,sonni,taurus
170,Pferd::N,hevonen,equus
171,Schaf::N,lammas,ovis
172,Schwein::N,sika,sus
173,Schwein::N,sika,porcus
174,Hund::N,koira,canis
175,Katze::N,kissa,felis
176,Bär::N,karhu,ursus
177,Eichhörnchen::N,orava,sciurus
178,Elch::N,hirvi,alces
179,Fuchs::N,kettu,vulpes
180,Hase::N,jänis,lepus
181,Maus::N,hiiri,mus
182,Wolf::N,susi,lupus
183,Vogel::N,lintu,avis
184,Schwarm::N,parvi,examen
185,Huhn::N,kana,gallina
186,Hahn::N,kukko,gallus
187,Gans::N,hanhi,anser
188,Adler::N,kotka,aquila
189,Ente::N,ankka,anas
190,Eule::N,pöllö,ulula
191,Eule::N,pöllö,noctua
192,Kranich::N,kurki,grus
193,Krähe::N,varis,cornix
194,Kuckuck::N,käki,cuculus
195,Schwan::N,joutsen,olor
196,Schwan::N,joutsen,cycnus
197,Fisch::N,kala,piscis
198,Barsch::N,ahven,perca
199,Hecht::N,hauki,esox
200,Schlange[Tier]::N,käärme,serpens
201,Wurm::N,mato,vermis
202,Spinne::N,hämähäkki,aranea
203,Ameise::N,muurahainen,formica
204,Laus::N,täi,pediculus
205,Mücke::N,sääski,culex
206,Mücke::N,hyttynen,culex
207,Fliege::N,kärpänen,musca
208,Schmetterling::N,perhonen,papilio
209,Beere::N,marja,baca
210,Apfel::N,omena,malum
211,Pilz::N,sieni,fungus
212,Zwiebel::N,sipuli,cepa
213,Saat::N,siemenet,seges
214,Korn::N,jyvä,granum
215,Korn::N,vilja,granum
216,Heu::N,heinä,faenum
217,Schale::N,kuori,putamen
218,Grube::N,kuoppa,fovea
219,Falle::N,loukku,pedica
220,Schlinge::N,ansa,laqueus
221,Spur::N,jälki,vestigium
222,Asche::N,tuhka,cinis
223,Dreck::N,lika,lutum
224,Eisen::N,rauta,ferrum
225,Gold::N,kulta,aurum
226,Silber::N,hopea,argentum
227,Kohle::N,hiili,carbo
228,Glas::N,lasi,vitrum
229,Lehm::N,savi,lutum
230,Sand::N,hiekka,arena
231,Mensch::N,ihminen,homo
232,Mann::N,mies,vir
233,Frau::N,nainen,mulier
234,Kind::N,lapsi,puer
235,Kind::N,lapsi,infans
236,Junge::N,poika,puer
237,Mädchen::N,tyttö,puella
238,Familie::N,perhe,familia
239,Großvater::N,isoisä,avus
240,Großmutter::N,isoäiti,avia
241,Eltern::N,vanhemmat,parentes
242,Vater::N,isä,pater
243,Mutter::N,äiti,mater
244,Sohn::N,poika,filius
245,Tochter::N,tytär,filia
246,Bruder::N,veli,frater
247,Schwester::N,sisko,soror
248,Onkel::N,eno,patruus
249,Onkel::N,eno,avunculus
250,Onkel::N,setä,patruus
251,Onkel::N,setä,avunculus
252,Tante::N,täti,amita
253,Ehemann::N,mies,maritus
254,Ehemann::N,aviomies,maritus
255,Ehefrau::N,vaimo,uxor
256,Ehefrau::N,aviovaimo,uxor
257,Freude::N,ilo,gaudium
258,Freude::N,ilo,laetitia
259,Freude::N,riemu,gaudium
260,Freude::N,riemu,laetitia
261,Gelächter::N,nauru,risus
262,Glück::N,onni,felicitas
263,Kummer::N,suru,aegritudo
264,Kummer::N,murhe,aegritudo
265,Wunsch::N,toive,voluntas
266,Wunsch::N,toive,desiderium
267,Wunsch::N,toivomus,voluntas
268,Wunsch::N,toivomus,desiderium
269,Lust::N,himo,libido
270,Lust::N,himo,voluptas
271,Geist::N,henki,mens
272,Geist::N,henki,animus
273,Gedanke::N,aate,sententia
274,Gedanke::N,ajatus,sententia
275,Gedächtnis::N,muisti,memoria
276,Verstand::N,äly,ratio
277,Verstand::N,äly,ingenium
278,Verstand::N,järki,ratio
279,Verstand::N,järki,ingenium
280,Verstand::N,ymmärrys,ratio
281,Verstand::N,ymmärrys,ingenium
282,Sinn::N,merkitys,sensus
283,Grund::N,syy,causa
284,Grund::N,peruste,causa
285,Wahrheit::N,tosi,veritas
286,Wahrheit::N,totuus,veritas
287,Gespräch::N,puhelu,sermo
288,Gespräch::N,keskustelu,sermo
289,Märchen::N,satu,fabula
290,Erzählung::N,tarina,fabula
291,Erzählung::N,tarina,narratio
292,Erzählung::N,kertomus,fabula
293,Erzählung::N,kertomus,narratio
294,Nachricht::N,tieto,nuntius
295,Nachricht::N,ilmoitus,nuntius
296,Neuigkeit::N,uutinen,novitas
297,Name::N,nimi,nomen
298,Rätsel::N,arvoitus,aenigma
299,Rede::N,puhe,oratio
300,Sprache::N,kieli,lingua
301,Stimme::N,ääni,vox
302,Wort::N,sana,verbum
303,Wort::N,sana,vocabulum
