,Concept_ID,udm,udm
0,Auge::N,син,син
1,Ohr::N,пель,пель
2,Nase::N,ныр,ныр
3,Mund::N,ым,ым
4,Zahn::N,пинь,пинь
5,Zunge::N,кыл,кыл
6,Lippe::N,ымдур,ымдур
7,Wange::N,бам,бам
8,Gesicht::N,ымныр,ымныр
9,Stirn::N,кымес,кымес
10,Haar::N,йырси,йырси
11,Schnurrbart::N,мыйык,мыйык
12,Bart::N,туш,туш
13,Kinn::N,ангес,ангес
14,Kiefer[Anatomie]::N,ан,ан
15,Kiefer[Anatomie]::N,ан,анлы
16,Kiefer[Anatomie]::N,анлы,ан
17,Kiefer[Anatomie]::N,анлы,анлы
18,Kehle::N,гульым,гульым
19,Hals::N,чырты,чырты
20,Genick::N,йырбер,йырбер
21,Kopf::N,йыр,йыр
22,Rücken::N,мыш,мыш
23,Bauch::N,кӧт,кӧт
24,Nabel::N,гогы,гогы
25,Busen::N,ноны,ноны
26,Brust::N,мӧля,мӧля
27,Schulter::N,пельпум,пельпум
28,Arm::N,суй,суй
29,Ellenbogen::N,гырпум,гырпум
30,Hand::N,ки,ки
31,Handfläche::N,ки пыдэс,ки пыдэс
32,Handfläche::N,ки пыдэс,кырым пыдэс
33,Handfläche::N,кырым пыдэс,ки пыдэс
34,Handfläche::N,кырым пыдэс,кырым пыдэс
35,Finger::N,чиньы,чиньы
36,Fingernagel::N,гижы,гижы
37,Fingernagel::N,гижы,гиждӥнь
38,Fingernagel::N,гиждӥнь,гижы
39,Fingernagel::N,гиждӥнь,гиждӥнь
40,Nagel[Anatomie]::N,гижы,гижы
41,Zeh::N,пыдчиньы,пыдчиньы
42,Fuß::N,пыд,пыд
43,Ferse::N,пыдбер,пыдбер
44,Knie::N,пыдес,пыдес
45,Oberschenkel::N,макес,макес
46,Bein::N,пыд,пыд
47,Körper::N,мугор,мугор
48,Körper::N,мугор,вылтыр
49,Körper::N,вылтыр,мугор
50,Körper::N,вылтыр,вылтыр
51,Haut::N,ку,ку
52,Blut::N,вир,вир
53,Ader::N,вирсэр,вирсэр
54,Sehne::N,вуж,вуж
55,Knochen::N,лы,лы
56,Gehirn::N,вим,вим
57,Herz::N,сюлэм,сюлэм
58,Magen::N,ӝуш,ӝуш
59,Leber::N,мус,мус
60,Atem::N,лул,лул
61,Atem::N,лул,шокан
62,Atem::N,шокан,лул
