,Concept_ID,vep,mhr
0,Auge::N,sil'm,шинча́
1,Ohr::N,korv,пы́лыш
2,Nase::N,nena,нер
3,Mund::N,su,умша́
4,Zahn::N,pi,пӱй
5,Zahn::N,hambaz,пӱй
6,Zunge::N,kel',йы́лме
7,Lippe::N,hul',тӱ́рвӧ
8,Wange::N,modpolišk,шӱ́ргӧ
9,Gesicht::N,mod,чури́й
10,Stirn::N,oc,саҥга́
11,Haar::N,tuk,ӱп
12,Haar::N,hibuz,ӱп
13,Schnurrbart::N,habinod,ӧ́рыш
14,Bart::N,bard,понда́ш
15,Kinn::N,löug,оҥыла́ш
16,Kiefer[Anatomie]::N,hambazlu,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,hambazlu,пӱйората́
18,Kehle::N,kurk,лога́р
19,Hals::N,kagl,шӱй
20,Genick::N,tagarai,шӱйло́дыш
21,Kopf::N,pä,вуй
22,Rücken::N,sel'g,туп
23,Bauch::N,vac,мӱ́шкыр
24,Bauch::N,koht,мӱ́шкыр
25,Nabel::N,naba,кы́лымде
26,Busen::N,niža,чы́зе
27,Brust::N,rind,оҥ
28,Schulter::N,oug,ва́че
29,Arm::N,käzi,кид
30,Ellenbogen::N,künambruz,кынерву́й
31,Hand::N,käzi,кид
32,Hand::N,käzi,копа́
33,Hand::N,käzitera,кид
34,Hand::N,käzitera,копа́
35,Handfläche::N,kämen,со́во
36,Finger::N,sor'm,парня́
37,Fingernagel::N,künz',кидкӱ́ч
38,Fingernagel::N,künz',парнягӱ́ч
39,Nagel[Anatomie]::N,künz',кӱч
40,Zeh::N,barbaz,йолварня́
41,Fuß::N,jaug,йол
42,Fuß::N,jaug,йолкопа́
43,Ferse::N,kand,тага́н
44,Knie::N,komb,пулву́й
45,Knie::N,pol'v,пулву́й
46,Oberschenkel::N,riiže,э́рде
47,Bein::N,jaug,йол
48,Körper::N,hibj,кап
49,Haut::N,nahk,кова́ште
50,Blut::N,čak,вӱр
51,Blut::N,veri,вӱр
52,Ader::N,son',шӧн
53,Sehne::N,jände,шӧн
54,Sehne::N,jände,кӱсе́н
55,Knochen::N,lu,лу
56,Gehirn::N,aivod,вем
57,Gehirn::N,aivod,вуйве́м
58,Herz::N,südäin,шӱм
59,Magen::N,südäikoht,пага́р
60,Leber::N,maks,мокш
61,Atem::N,hengaiduz,шӱ́лыш
62,Hunger::N,näl'g,шужыма́ш
63,Träne::N,kündal',шинчавӱ́д
64,Geschmack::N,magu,там
65,Geruch::N,haju,пуш
66,Schlaf::N,uni,о́мо
67,Traum::N,unikuva,йӱдо́мо
68,Himmel::N,taivaz,кава́
69,Sonne::N,päiväine,ке́че
70,Mond::N,kudmaine,ты́лзе
71,Stern::N,tähtaz,шӱ́дыр
72,Luft::N,il'm,юж
73,Wind::N,döl,марде́ж
74,Wind::N,tullei,марде́ж
75,Welle::N,ald,то́лкын
76,Welle::N,laineh,то́лкын
77,Wasser::N,vezi,вӱд
78,Stein::N,kivi,кӱ
79,Boden::N,ma,рок
80,Boden::N,pohj,рок
81,Erde::N,ma,мла́нде
82,Staub::N,pölü,пура́к
83,Rauch::N,savu,шикш
84,Funke::N,kibin,сеске́м
85,Funke::N,kibin,тулйы́п
86,Feuer::N,lämoi,тул
87,Licht::N,vauktuz,со́то
88,Schatten::N,pil'vez,ӱ́мыл
89,Schatten::N,kuvahaine,ӱ́мыл
90,Wetter::N,sä,иге́че
91,Nebel::N,sumeg,тӱтыра́
92,Wolke::N,pil'v,пыл
93,Regen::N,vihm,йӱр
94,Schnee::N,lumi,лум
95,Eis::N,jä,ий
96,Frost::N,hala,чатлама́
97,Frost::N,pakaine,чатлама́
98,Kälte::N,vilu,йӱ́штӧ
99,Hitze::N,räk,шо́кшо
100,Raureif::N,hüde,пӧрш
101,Raureif::N,hüde,по́кшым
102,Regenbogen::N,jumalanbembel',шонанпы́л
103,Donner::N,juru,кӱ́дырчӧ
104,Donner::N,jumalanjuru,кӱ́дырчӧ
105,Strömung::N,joksmuz,йо́гын
106,Tropfen::N,tilkuine,чӱча́лтыш
107,Schaum::N,vaht,шоҥ
108,Schmutz::N,redu,лавыра́
109,Schmutz::N,pačak,лавыра́
110,See::N,järv,ер
111,Sumpf::N,so,лӱ́кӧ
112,Moor::N,so,куп
113,Wiese::N,nit,о́лык
114,Wald::N,mec,чодыра́
115,Hügel::N,kukaz,арка́
116,Anhöhe::N,kukaz,тӧва́
117,Anhöhe::N,kukaz,кӱкшака́
118,Berg::N,mägi,ку́рык
119,Gipfel::N,ladv,чаҥга́
120,Gipfel::N,ladv,курыкву́й
121,Höhle::N,mägionduz,пеще́р
122,Höhle::N,mägionduz,курыкпо́мыш
123,Abhang::N,paute,та́йыл
124,Quelle::N,lähte,важ
125,Quelle::N,lähte,вӱдшинча́
126,Bach::N,oja,изэҥе́р
127,Fluss::N,jogi,эҥе́р
128,Ufer::N,rand,сер
129,Küste::N,randišt,вӱдтӱ́р
130,Festland::N,kuivma,мла́нде
131,Meer::N,meri,те́ҥыз
132,Bucht::N,laht,икса́
133,Insel::N,sar',отро́
134,Blume::N,änik,пеле́дыш
135,Gras::N,hein,шу́до
136,Wurzel::N,jur',вож
137,Baum::N,pu,пуше́ҥге
138,Stamm::N,tüvi,йы́тыр
139,Rinde::N,kor',шӱм
140,Ast::N,oks,укш
141,Zweig::N,oks,торма́к
142,Zweig::N,barb,торма́к
143,Blatt::N,lehtez,лышта́ш
144,Birke::N,koiv,куэ́
145,Kiefer[Baum]::N,pedai,пӱ́нчӧ
146,Weide[Baum]::N,raid,уа́
147,Tanne::N,kuz',кож
148,Horn::N,sar'v,шур
149,Feder::N,höuneh,пы́стыл
150,Fell::N,nahk,кова́ште
151,Flügel::N,suug,шу́лдыр
152,Klaue::N,künz',кӱч
153,Kralle::N,künz',ла́па
154,Kralle::N,künz',копа́
155,Schwanz::N,händ,поч
156,Ei::N,muna,му́но
157,Nest::N,peza,пыжа́ш
158,Bau::N,uru,пыжа́ш
159,Tier::N,živat,я́нлык
160,Tier::N,živat,живо́тный
161,Herde::N,kogo,кӱ́тӱ
162,Herde::N,kogo,тӱшка́
163,Kuh::N,lehm,ушка́л
164,Bulle::N,härg,ӱ́шкыж
165,Pferd::N,hebo,и́мне
166,Schaf::N,lambaz,шо́рык
167,Schwein::N,siga,сӧсна́
168,Hund::N,koir,пий
169,Katze::N,kaži,пы́рыс
170,Bär::N,kondi,маска́
171,Eichhörnchen::N,orav,ур
172,Elch::N,hirb',шо́рдо
173,Fuchs::N,reboi,ры́выж
174,Hase::N,jäniš,мера́ҥ
175,Maus::N,hir',коля́
176,Wolf::N,händikaz,пи́ре
177,Vogel::N,lind,ка́йык
178,Schwarm::N,parveh,каша́к
179,Huhn::N,kana,чы́ве
180,Hahn::N,kukoi,агыта́н
181,Gans::N,hanh',ко́мбо
182,Adler::N,orl,карагу́ш
183,Ente::N,sorz,лу́до
184,Eule::N,hir'pulo,тумна́
185,Kranich::N,kurg,турня́
186,Krähe::N,variš,кора́к
187,Kuckuck::N,kägi,куку́
188,Schwan::N,joucen,йӱ́ксӧ
189,Fisch::N,kala,кол
190,Barsch::N,ahven,ола́ҥге
191,Hecht::N,haug',нуж
192,Hecht::N,haug',чорта́н
193,Schlange[Tier]::N,kü,ки́шке
194,Schlange[Tier]::N,mado,ки́шке
195,Wurm::N,mado,шукш
196,Spinne::N,hämähouk,эҥыре́мыш
197,Ameise::N,murahaine,ку́тко
198,Laus::N,täi,тий
199,Mücke::N,säs'k,шыҥа́
200,Fliege::N,kärbhaine,ка́рме
201,Schmetterling::N,lipkaine,лы́ве
202,Beere::N,marj,мӧр
203,Apfel::N,jablok,олма́
204,Pilz::N,sen',по́ҥго
205,Pilz::N,babuk,по́ҥго
206,Zwiebel::N,lauk,шога́н
207,Saat::N,semned,нӧ́шмӧ
208,Saat::N,semned,туш
209,Korn::N,jüvä,шу́рно
210,Korn::N,vill',шу́рно
211,Heu::N,hein,шу́до
212,Schale::N,kor',шӱм
213,Grube::N,kop,выне́м
214,Falle::N,rida,лӧ́дӧ
215,Schlinge::N,rihm,о́птыш
216,Schlinge::N,rihm,шӧрга́лтыш
217,Spur::N,jäl'g,кыша́
218,Asche::N,tuhk,ло́мыж
219,Dreck::N,redu,лавыра́
220,Dreck::N,pačak,лавыра́
221,Eisen::N,raud,кӱ́ртньӧ
222,Gold::N,kuld,шӧ́ртньӧ
223,Silber::N,hobed,ший
224,Kohle::N,hil',мландышӱ́й
225,Glas::N,stökol,янда́
226,Lehm::N,savi,шун
227,Sand::N,lete,ошма́
228,Mensch::N,mez',еҥ
229,Mensch::N,mez',айде́ме
230,Mensch::N,ristit,еҥ
231,Mensch::N,ristit,айде́ме
232,Mann::N,mez',пӧръе́ҥ
233,Frau::N,naine,ӱдырама́ш
234,Kind::N,laps',аза́
235,Junge::N,poig,рве́зе
236,Junge::N,prihaine,рве́зе
237,Mädchen::N,neičukaine,ӱдыра́ш
238,Familie::N,kanz,еш
239,Familie::N,pereh,еш
