,Concept_ID,fi,kk
0,Auge::N,silmä,көз
1,Ohr::N,korva,құлақ
2,Nase::N,nenä,мұрын
3,Mund::N,suu,ауыз
4,Zahn::N,hammas,тіс
5,Zunge::N,kieli,тіл
6,Lippe::N,huuli,ерін
7,Wange::N,poski,ұрт
8,Gesicht::N,naama,бет-аузы
9,Gesicht::N,kasvot,бет-аузы
10,Stirn::N,otsa,маңдай
11,Haar::N,hius,қыл
12,Haar::N,tukka,қыл
13,Schnurrbart::N,viikset,мұрт
14,Bart::N,parta,сақал
15,Kinn::N,leuka,иек
16,Kiefer[Anatomie]::N,leukaluu,жақ
17,Kehle::N,kurkku,алқым
18,Hals::N,kaula,мойын
19,Genick::N,niska,желке
20,Kopf::N,pää,кәллә
21,Rücken::N,selkä,арқа
22,Bauch::N,maha,қарын
23,Bauch::N,vatsa,қарын
24,Nabel::N,napa,кіндік
25,Busen::N,rinta,омырау
26,Brust::N,rinta,кеуде
27,Schulter::N,olka,иық
28,Schulter::N,hartia,иық
29,Schulter::N,olkapää,иық
30,Arm::N,käsivarsi,қол
31,Ellenbogen::N,kyynärpää,шынтақ
32,Hand::N,käsi,қол
33,Handfläche::N,kämmen,алақан
34,Finger::N,sormi,саусақ
35,Fingernagel::N,kynsi,тырнақ
36,Nagel[Anatomie]::N,kynsi,тырнақ
37,Zeh::N,varvas,тырнақ
38,Zeh::N,varvas,тұяқ
39,Fuß::N,jalka,аяқ-басы
40,Ferse::N,kantapää,өкше
41,Ferse::N,kantapää,өкшелік
42,Knie::N,polvi,тізе
43,Oberschenkel::N,reisi,жамбас
44,Bein::N,jalka,аяқ
45,Körper::N,keho,дене
46,Körper::N,ruumis,дене
47,Haut::N,iho,тері
48,Blut::N,veri,қан
49,Ader::N,suoni,көктамыр
50,Ader::N,suoni,күретамыр
51,Sehne::N,jänne,сіңір
52,Knochen::N,luu,жілік
53,Gehirn::N,aivot,ми
54,Herz::N,sydän,жүрек
55,Magen::N,maha,асқазан
56,Magen::N,vatsa,асқазан
57,Leber::N,maksa,бауыр
58,Atem::N,henki,леп
59,Atem::N,hengitys,леп
60,Hunger::N,nälkä,ашаршылық
61,Träne::N,kyynel,жас
62,Geschmack::N,maku,дәм
63,Geschmack::N,maku,татым
64,Geschmack::N,maku,талғам
65,Geruch::N,haju,иіс
66,Schlaf::N,uni,ұйқы
67,Schlaf::N,uni,ұйықтау
68,Traum::N,uni,түс
69,Himmel::N,taivas,аспан
70,Himmel::N,taivas,көқ
71,Himmel::N,taivas,таңдай
72,Sonne::N,aurinko,күн
73,Mond::N,kuu,ай
74,Stern::N,tähti,жұлдыз
75,Luft::N,ilma,әуе
76,Wind::N,tuuli,жел
77,Welle::N,aalto,толқын
78,Wasser::N,vesi,су
79,Stein::N,kivi,тас
80,Boden::N,maa,қыртыс
81,Boden::N,maaperä,қыртыс
82,Erde::N,maa,топырақ
83,Staub::N,pöly,шаң
84,Rauch::N,savu,түтін
85,Funke::N,kipinä,ұшқын
86,Feuer::N,tuli,алау
87,Licht::N,valo,шұғыла
88,Schatten::N,varjo,көлеңке
89,Wetter::N,sää,ауа райы
90,Nebel::N,sumu,тұман
91,Wolke::N,pilvi,бұлт
92,Regen::N,sade,жаңбыр
93,Schnee::N,lumi,қар
94,Eis::N,jää,мұз
95,Frost::N,halla,суық
96,Frost::N,pakkanen,суық
97,Kälte::N,vilu,ызғар
98,Kälte::N,vilu,суықтық
99,Kälte::N,kylmyys,ызғар
100,Kälte::N,kylmyys,суықтық
101,Hitze::N,helle,аптап
102,Hitze::N,kuumuus,аптап
103,Raureif::N,huurre,қырау
104,Regenbogen::N,sateenkaari,кемпірқосақ
105,Donner::N,jyrinä,күн күркіреу
106,Strömung::N,virtaus,ағын
107,Tropfen::N,tippa,тамшы
108,Tropfen::N,pisara,тамшы
109,Schaum::N,vaahto,көбік
110,Schmutz::N,loka,кір
111,See::N,järvi,көл
112,Sumpf::N,suo,саз
113,Moor::N,räme,саз
114,Wiese::N,niitty,шалғын
115,Wald::N,metsä,орман
116,Hügel::N,mäki,төбе
117,Hügel::N,mäki,белес
118,Hügel::N,mäki,белес-белес
119,Hügel::N,kumpu,төбе
120,Hügel::N,kumpu,белес
121,Hügel::N,kumpu,белес-белес
122,Hügel::N,kukkula,төбе
123,Hügel::N,kukkula,белес
124,Hügel::N,kukkula,белес-белес
125,Anhöhe::N,mäki,дөң
126,Anhöhe::N,mäki,адыр
127,Anhöhe::N,mäki,қырат
128,Anhöhe::N,kumpare,дөң
129,Anhöhe::N,kumpare,адыр
130,Anhöhe::N,kumpare,қырат
131,Berg::N,mäki,тау
132,Berg::N,vuori,тау
133,Gipfel::N,laki,төбе
134,Gipfel::N,huippu,төбе
135,Höhle::N,luola,үңгір
136,Abhang::N,rinne,бауыр
137,Quelle::N,lähde,қайнар
138,Bach::N,puro,жылға
139,Fluss::N,joki,өзен
140,Ufer::N,ranta,жиек
141,Küste::N,rannikko,жиегі
142,Küste::N,rannikko,жағалау
143,Festland::N,manner,құрылық
144,Meer::N,meri,теңіз
145,Bucht::N,lahti,шығанақ
146,Insel::N,saari,арал
147,Blume::N,kukka,гүл
148,Gras::N,ruoho,от
149,Wurzel::N,juuri,түбір
150,Baum::N,puu,ағаш
151,Baum::N,puu,дарақ
152,Stamm::N,runko,сояу
153,Stamm::N,runko,оқпан
154,Rinde::N,kuori,қабық
155,Rinde::N,parkki,қабық
156,Ast::N,oksa,бұтақ
157,Zweig::N,haara,шыбық
158,Blatt::N,lehti,жапырақ
159,Birke::N,koivu,қайың
160,Kiefer[Baum]::N,mänty,қарағай
161,Kiefer[Baum]::N,petäjä,қарағай
162,Weide[Baum]::N,paju,тал
163,Tanne::N,kuusi,шырша
164,Horn::N,sarvi,мүйіз
165,Feder::N,sulka,қаламұш
166,Feder::N,höyhen,қаламұш
167,Fell::N,talja,тері
168,Flügel::N,siipi,қанат
169,Klaue::N,kynsi,тырнақ
170,Kralle::N,kynsi,аяқ
171,Schwanz::N,häntä,құйрық
172,Schwanz::N,pyrstö,құйрық
173,Ei::N,muna,жұмыртқа
174,Nest::N,pesä,ұя
175,Bau::N,pesä,жатақ
176,Tier::N,eläin,айуан
177,Tier::N,eläin,жануар
178,Herde::N,lauma,пада
179,Kuh::N,lehmä,сиыр
180,Bulle::N,sonni,өгіз
181,Pferd::N,hevonen,жылқы
182,Schaf::N,lammas,қой
183,Schwein::N,sika,шошқа
184,Hund::N,koira,ит
185,Katze::N,kissa,мысық
186,Bär::N,karhu,аю
187,Eichhörnchen::N,orava,тиін
188,Elch::N,hirvi,бұғы
189,Fuchs::N,kettu,түлкі
190,Hase::N,jänis,қоян
191,Maus::N,hiiri,қаптесер
192,Wolf::N,susi,бөрі
193,Wolf::N,susi,қасқыр
194,Vogel::N,lintu,құс
195,Schwarm::N,parvi,топ
196,Schwarm::N,parvi,үйір
197,Huhn::N,kana,тауық
198,Huhn::N,kana,мекиен
199,Hahn::N,kukko,әтеш
200,Hahn::N,kukko,қораз
201,Gans::N,hanhi,қаз
202,Adler::N,kotka,бүркіт
203,Ente::N,ankka,үйрек
204,Eule::N,pöllö,жапалақ
205,Kranich::N,kurki,тырна
206,Krähe::N,varis,қарға
207,Kuckuck::N,käki,көкек
208,Schwan::N,joutsen,аққу
209,Fisch::N,kala,балық
210,Barsch::N,ahven,алабұға
211,Hecht::N,hauki,шортан
212,Schlange[Tier]::N,käärme,жылан
213,Wurm::N,mato,шұбалшаң
214,Spinne::N,hämähäkki,өрмекші
215,Ameise::N,muurahainen,қүмырска
216,Laus::N,täi,бит
217,Mücke::N,sääski,маса
218,Mücke::N,hyttynen,маса
219,Fliege::N,kärpänen,шыбын
220,Schmetterling::N,perhonen,көбелек
221,Beere::N,marja,жидек
222,Apfel::N,omena,алма
223,Pilz::N,sieni,қозықұйрық
224,Pilz::N,sieni,саңыраукулақ
225,Zwiebel::N,sipuli,жуа
226,Saat::N,siemenet,тұқым
227,Korn::N,jyvä,дән
228,Korn::N,vilja,дән
229,Heu::N,heinä,шөп
230,Schale::N,kuori,қабық
231,Schale::N,kuori,қабығы
232,Grube::N,kuoppa,ор
233,Falle::N,loukku,дұзақ
234,Falle::N,loukku,қақпан
235,Schlinge::N,ansa,ілмек
236,Spur::N,jälki,із
237,Asche::N,tuhka,күл
238,Dreck::N,lika,былғаныш
239,Eisen::N,rauta,темір
240,Gold::N,kulta,алтын
241,Silber::N,hopea,күміс
242,Kohle::N,hiili,көмір
243,Glas::N,lasi,шыны
