,Concept_ID,bn,be
0,Auge::N,চক্ষু,вока
1,Ohr::N,কর্ণ,вуха
2,Nase::N,নাক,нос
3,Mund::N,মুখ,рот
4,Zahn::N,দাঁত,зуб
5,Zunge::N,জিহবা,язык
6,Lippe::N,অধর,губа
7,Wange::N,গণ্ড,шчака
8,Gesicht::N,মুখমণ্ডল,твар
9,Stirn::N,কপাল,лоб
10,Haar::N,চুল,волас
11,Haar::N,চুল,валасы
12,Schnurrbart::N,গোঁফ,вус
13,Schnurrbart::N,গোঁফ,вусы
14,Bart::N,শ্মশ্রু,барада
15,Kinn::N,চিবুক,падбародак
16,Kiefer[Anatomie]::N,চোয়াল,сківіца
17,Kehle::N,কণ্ঠ,горла
18,Hals::N,গল,шыя
19,Genick::N,ঘাড়,патыліца
20,Kopf::N,মাথা,галава
21,Rücken::N,পৃষ্ঠ,спіна
22,Bauch::N,উদর,жывот
23,Nabel::N,নাভি,пупок
24,Busen::N,স্তন,грудзі
25,Brust::N,বুক,грудзі
26,Schulter::N,স্কন্ধ,плячо
27,Arm::N,বাহু,рука
28,Ellenbogen::N,কনুই,локаць
29,Hand::N,হাত,кісць
30,Handfläche::N,করতল,далонь
31,Finger::N,আঙ্গুল,палец
32,Fingernagel::N,হাতের নখ,ногаць
33,Nagel[Anatomie]::N,নখ,ногаць
34,Zeh::N,আঙ্গুল,палец
35,Fuß::N,পা,нага
36,Ferse::N,গোড়ালি,пята
37,Ferse::N,গোড়ালি,пятка
38,Knie::N,হাঁটু,калена
39,Oberschenkel::N,ঊরু,бядро
40,Oberschenkel::N,ঊরু,сцягно
41,Bein::N,পা,нага
42,Körper::N,দেহ,цела
43,Haut::N,ত্বক,скура
44,Blut::N,রক্ত,кроў
45,Ader::N,শিরা,вена
46,Ader::N,শিরা,сасуд
47,Sehne::N,কণ্ডরা,жыла
48,Sehne::N,কণ্ডরা,цеціва
49,Sehne::N,কণ্ডরা,сухажылле
50,Knochen::N,অস্থি,косць
51,Gehirn::N,মস্তিষ্ক,мозг
52,Herz::N,হৃৎপিণ্ড,сэрца
53,Magen::N,পাকস্থলী,страўнік
54,Leber::N,যকৃৎ,печань
55,Atem::N,শ্বাস,дыханне
56,Hunger::N,ক্ষুধা,голад
57,Träne::N,অশ্রু,сляза
58,Geschmack::N,স্বাদ,смак
59,Geruch::N,গন্ধ,пах
60,Schlaf::N,ঘুম,сон
61,Traum::N,স্বপ্ন,сон
62,Himmel::N,আকাশ,неба
63,Sonne::N,সূর্য,сонца
64,Mond::N,চন্দ্র,месяц
65,Stern::N,নক্ষত্র,зорка
66,Luft::N,বায়ু,паветра
67,Wind::N,বাতাস,вецер
68,Welle::N,ঢেউ,хваля
69,Welle::N,তরঙ্গ,хваля
70,Wasser::N,জল,вада
71,Stein::N,ঢিল,камень
72,Stein::N,প্রস্তর,камень
73,Boden::N,ভূতল,глеба
74,Erde::N,ভূমি,зямля
75,Staub::N,ধুলা,пыл
76,Rauch::N,ধোঁয়া,дым
77,Funke::N,স্ফুলিঙ্গ,іскра
78,Feuer::N,অগ্নি,агонь
79,Licht::N,আলো,святло
80,Schatten::N,ছায়া,цень
81,Wetter::N,আবহাওয়া,пагода
82,Wetter::N,আবহাওয়া,надворʼе
83,Nebel::N,কুহেলিকা,туман
84,Wolke::N,মেঘ,воблака
85,Regen::N,বৃষ্টি,дождж
86,Schnee::N,তুষার,снег
87,Eis::N,বরফ,лёд
88,Frost::N,তুষার,мароз
89,Kälte::N,শৈত্য,холад
90,Hitze::N,তাপ,спёка
91,Raureif::N,তুহিন,іней
92,Regenbogen::N,রামধনু,вясёлка
93,Donner::N,বজ্রধ্বনি,гром
94,Strömung::N,স্রোত,цячэнне
95,Tropfen::N,ফোঁটা,кропля
96,Schaum::N,ফেনা,пена
97,Schmutz::N,ধুলা,гразь
98,See::N,হ্রদ,возера
99,Sumpf::N,জলা,багна
100,Moor::N,মাঠ,балота
101,Wiese::N,তৃণভূমি,луг
102,Wald::N,বন,лес
103,Hügel::N,পাহাড়,узгорак
104,Anhöhe::N,টিলা,узвышша
105,Berg::N,পর্বত,гара
106,Gipfel::N,শীর্ষ,вяршыня
107,Höhle::N,গুহা,пячора
108,Abhang::N,ঢাল,схіл
109,Quelle::N,উৎস,крыніца
110,Bach::N,ক্ষুদ্র নদী,ручай
111,Fluss::N,নদী,рака
112,Ufer::N,উপকূল,бераг
113,Küste::N,তীর,узбярэжжа
114,Festland::N,ভূমি,суша
115,Meer::N,সমুদ্র,мора
116,Bucht::N,উপসাগর,бухта
117,Insel::N,দ্বীপ,востраў
118,Blume::N,ফুল,кветка
119,Gras::N,ঘাস,трава
120,Wurzel::N,শিকড়,корань
121,Baum::N,গাছ,дрэва
122,Stamm::N,স্কন্ধ,ствол
123,Rinde::N,বল্কল,кара
124,Ast::N,শাখা,сук
125,Zweig::N,ডাল,галіна
126,Blatt::N,পর্ণ,ліст
127,Birke::N,ভুর্জ,бяроза
128,Kiefer[Baum]::N,পাইন গাছ,хвоя
129,Kiefer[Baum]::N,পাইন গাছ,сасна
130,Weide[Baum]::N,উইলো,вярба
131,Tanne::N,দেবদারূ গাছ,яліна
132,Horn::N,শিং,рог
133,Feder::N,পালক,пяро
134,Fell::N,রোম,шкура
135,Flügel::N,ডানা,крыло
136,Klaue::N,নখর,кіпцюр
137,Kralle::N,নখর,лапа
138,Schwanz::N,লেজ,хвост
139,Ei::N,ডিম,яйка
140,Nest::N,কুলায়,гняздо
