,Concept_ID,it,br
0,Auge::N,occhio,lagad
1,Ohr::N,orecchio,skouarn
2,Nase::N,naso,fri
3,Mund::N,bocca,genoù
4,Zahn::N,dente,dant
5,Zunge::N,lingua,teod
6,Lippe::N,labbro,muzell
7,Wange::N,guancia,chot
8,Gesicht::N,viso,dremm
9,Gesicht::N,faccia,dremm
10,Stirn::N,fronte,tal
11,Haar::N,capello,blev
12,Schnurrbart::N,baffi,mourenn
13,Schnurrbart::N,mustacchi,mourenn
14,Bart::N,barba,barv
15,Kinn::N,mento,groñj
16,Kiefer[Anatomie]::N,mascella,javed
17,Kehle::N,gola,gouzoug
18,Hals::N,collo,gouzoug
19,Genick::N,nuca,choug
20,Kopf::N,capo,penn
21,Kopf::N,testa,penn
22,Rücken::N,dorso,kein
23,Rücken::N,schiena,kein
24,Bauch::N,ventre,kof
25,Nabel::N,ombelico,begel
26,Busen::N,seno,bronn
27,Brust::N,petto,bruched
28,Schulter::N,spalla,skoaz
29,Arm::N,braccio,brec'h
30,Ellenbogen::N,gomito,ilin
31,Hand::N,mano,dorn
32,Handfläche::N,palma,palv
33,Finger::N,dito,biz
34,Fingernagel::N,unghia,ivin
35,Nagel[Anatomie]::N,unghia,ivin
36,Zeh::N,dito del piede,biz-troad
37,Fuß::N,piede,troad
38,Ferse::N,tallone,seul
39,Ferse::N,calcagno,seul
40,Knie::N,ginocchio,glin
41,Oberschenkel::N,fèmore,morzhed
42,Bein::N,gamba,gar
43,Körper::N,corpo,korf
44,Haut::N,pelle,kroc'hen
45,Blut::N,sangue,gwad
46,Ader::N,vena,gwazhi
47,Sehne::N,tèndine,stir
48,Knochen::N,osso,askorn
49,Gehirn::N,cervello,empenn
50,Herz::N,cuore,kalon
51,Magen::N,stòmaco,stomog
52,Leber::N,fegato,avu
53,Atem::N,fiato,anal
54,Atem::N,respiro,anal
55,Hunger::N,fame,naon
56,Träne::N,làcrima,daer
57,Geschmack::N,gusto,blaz
58,Geschmack::N,sapore,blaz
59,Geruch::N,odore,c'hwezh
60,Schlaf::N,sonno,kousked
61,Traum::N,sogno,hune
62,Himmel::N,cielo,oabl
63,Sonne::N,sole,heol
64,Mond::N,luna,loar
65,Stern::N,stella,steredenn
66,Luft::N,aria,aer
67,Wind::N,vento,avel
68,Welle::N,onda,houlenn
69,Wasser::N,acqua,dour
70,Stein::N,sasso,maen
71,Stein::N,pietra,maen
72,Boden::N,suolo,tachenn
73,Boden::N,terreno,tachenn
74,Erde::N,terra,douar
75,Staub::N,polvere,poultr
76,Rauch::N,fumo,moged
77,Funke::N,scintilla,ful
78,Feuer::N,fuoco,tan
79,Licht::N,luce,gouloù
80,Schatten::N,ombra,disheol
81,Wetter::N,tempo,amzer
82,Nebel::N,nebbia,brumenn
83,Wolke::N,nube,koumoulenn
84,Wolke::N,nùvola,koumoulenn
85,Regen::N,pioggia,glav
86,Schnee::N,neve,erc'h
87,Eis::N,ghiaccio,skorn
88,Frost::N,gelo,rev
89,Kälte::N,freddo,yen
90,Hitze::N,caldo,tommder
91,Hitze::N,calura,tommder
92,Raureif::N,brina,frim
93,Regenbogen::N,arcobaleno,gwareg-ar-glav
94,Donner::N,tuono,kurun
95,Strömung::N,corrente,red
96,Tropfen::N,goccia,bannac'h
97,Tropfen::N,goccia,takenn
98,Schaum::N,spuma,spoum
99,Schaum::N,schiuma,spoum
100,Schmutz::N,sudiciume,fank
101,See::N,lago,lenn
102,Sumpf::N,palude,gwern
103,Moor::N,torbiera,taouarc'heg
104,Wiese::N,prato,prad
105,Wald::N,bosco,koad
106,Wald::N,foresta,koad
107,Hügel::N,colle,torgenn
108,Hügel::N,collina,torgenn
109,Anhöhe::N,altura,run
110,Berg::N,monte,menez
111,Berg::N,montagna,menez
112,Gipfel::N,cima,barr
113,Höhle::N,grotta,kav
114,Höhle::N,caverna,kav
115,Abhang::N,pendìo,naou
116,Quelle::N,sorgente,feunteun
117,Bach::N,ruscello,gwazh
118,Fluss::N,fiume,stêr
119,Ufer::N,riva,ribl
120,Küste::N,costa,aod
121,Festland::N,terraferma,douar
122,Meer::N,mare,mor
123,Bucht::N,cala,mor-bihan
124,Insel::N,ìsola,enez
125,Blume::N,fiore,bleunienn
126,Gras::N,erba,geot
127,Wurzel::N,radice,gwrizienn
128,Baum::N,àlbero,gwezenn
129,Stamm::N,tronco,kef
130,Rinde::N,corteccia,rusk
131,Ast::N,ramo,barr
132,Zweig::N,ramo,bod
133,Blatt::N,foglia,delienn
134,Birke::N,betulla,bezvenn
