,Concept_ID,os,ta
0,Auge::N,цӕст,கண்
1,Ohr::N,хъус,காது
2,Nase::N,фындз,மூக்கு
3,Mund::N,дзых,வாய்
4,Zahn::N,дӕндаг,பல்
5,Zunge::N,ӕвзаг,நாக்கு
6,Lippe::N,был,உதடு
7,Wange::N,рус,கன்னம்
8,Wange::N,уадул,கன்னம்
9,Wange::N,ӕхсӕрфарс,கன்னம்
10,Gesicht::N,цӕсгом,முகம்
11,Stirn::N,ных,முன்னெற்றி
12,Haar::N,хил,முடி
13,Schnurrbart::N,рихи,மீசை
14,Bart::N,зачъе,தாடி
15,Kinn::N,роцъо,கீழதாடை
16,Kiefer[Anatomie]::N,ӕфсӕр,தாடை
17,Kehle::N,хъуыр,தொண்டை
18,Hals::N,къубал,கழுத்து
19,Genick::N,къӕбут,கழுத்து
20,Kopf::N,сӕр,தலை
21,Rücken::N,фӕсонтӕ,முதுகு
22,Bauch::N,гуыбын,வயிறு
23,Nabel::N,бикъ,தொப்புள்
24,Busen::N,дзидзи,மார்பகம்
25,Brust::N,риу, மார்பு
26,Schulter::N,уӕхск,தோள்பட்டை
27,Arm::N,цонг,கரம்
28,Ellenbogen::N,рæмбын,முழங்கை
29,Hand::N,къух,கை
30,Handfläche::N,армытъӕпӕн,உள்ளங்கை
31,Finger::N,ӕнруылдз,விரல்
32,Fingernagel::N,ных,விரல் நகம்
33,Nagel[Anatomie]::N,ных,நகம்
34,Zeh::N,къух,கால்விரல்
35,Fuß::N,фад,கால்
36,Ferse::N,зӕвӕт,குதிகால்
37,Knie::N,уӕраг,முழங்கால்
38,Oberschenkel::N,агъд,தொடை
39,Bein::N,зӕнг,கால்
40,Körper::N,буар,உடல்
41,Haut::N,царм,சருமம்
42,Blut::N,туг,இரத்தம்
43,Ader::N,дадзин,நாளம்
44,Ader::N,тугдадзин,நாளம்
45,Sehne::N,хъиутæ,தசைநார்
46,Sehne::N,нуар,தசைநார்
47,Knochen::N,стӕг,எலுமபு
48,Gehirn::N,магъз,மூனை
49,Herz::N,зӕрдӕ,இதயம
50,Magen::N,ахсӕн,வயிறு
51,Leber::N,игæр,கல்லீரல்
52,Atem::N,улӕфт,மூச்சு
53,Hunger::N,стонг,பசி
54,Träne::N,цæссыг,கண்ணீர்
55,Geschmack::N,ад,நறுமணம்
56,Geruch::N,смаг,துர்நாற்றம்
57,Schlaf::N,хуыссӕг,தூக்கம்
58,Traum::N,фын,கனவு
59,Himmel::N,арв,வானம்
60,Himmel::N,уӕларв,வானம்
61,Sonne::N,хур,சூரியன்
62,Mond::N,мӕй,சந்திரன்
63,Stern::N,стъалы,நட்சத்திரம்
64,Luft::N,уӕлдӕф,காறறு
65,Wind::N,дымгӕ,காற்று
66,Welle::N,уылӕн,அலை
67,Wasser::N,дон,நீர்
68,Stein::N,дур,கல்
69,Boden::N,зӕхх,தரை
70,Erde::N,сыджыт,மண்
71,Staub::N,рыг,தூசி
72,Rauch::N,фӕздӕг,புகை
73,Funke::N,цӕхӕр,தீப்பொறி
74,Feuer::N,зынг,தீ
75,Licht::N,рухс,வெளிச்சம்
76,Schatten::N,аууон,நிழல்
77,Wetter::N,боныхъӕд,வானிலை
78,Nebel::N,мигъ,பனிமூட்டம்
79,Wolke::N,ӕврагъ,மேகம்
80,Regen::N,уарын,மழை
81,Schnee::N,мит,உறைபனி
82,Eis::N,их,பனிக்கட்டி
83,Frost::N,ихæн,உறைபனி
84,Kälte::N,уазал,குளிர்ந்த
85,Hitze::N,ӕнтӕф,சூடு
86,Raureif::N,халас,உறைபனி வெண்திரை
87,Regenbogen::N,арвырон,வானவில்
88,Regenbogen::N,арвырдын,வானவில்
89,Donner::N,æрвнæрын,இடி
90,Strömung::N,цыд,நீரோட்டம்
91,Tropfen::N,æртах,துளி
92,Schaum::N,фынк,நுரை
93,Schmutz::N,цъыф,அழுக்கு
94,See::N,цад,ஏரி
95,Sumpf::N,цъыфдзаст,சதுப்பு நிலம்
96,Moor::N,цъыфдзаст,முட்புதற்காடு
97,Wiese::N,уыгӕрдӕн,பசும் புல்தரை
98,Wald::N,хъӕд,காடு
99,Hügel::N,обау,குன்று
100,Hügel::N,къуыбыр,குன்று
101,Anhöhe::N,уæлвæз,பதுக்கை
102,Anhöhe::N,уæлхох,பதுக்கை
103,Berg::N,хох,மலை
104,Gipfel::N,цъупп,உச்சி மாநாடு
105,Höhle::N,лӕгӕт,குகை
106,Abhang::N,къул,சரிவு
107,Quelle::N,суадон,மூலம்
108,Bach::N,мӕсчъыдон,ஓடை
109,Fluss::N,дон,ஆறு
110,Fluss::N,цӕугӕдон,ஆறு
111,Ufer::N,был,நீர்க்கரை
112,Küste::N,донбыл,கடற்கரை
113,Festland::N,сурзæхх,நிலம்
114,Meer::N,денджыз,கடல்
115,Bucht::N,донбакæлæн,சிறுகுடா
116,Insel::N,сакъадах,தீவு
117,Blume::N,дидинӕг,பூ
118,Gras::N,кӕрдӕг,புல்தரை
119,Wurzel::N,уидаг,வேர்
120,Baum::N,бӕлас,மரம்
121,Stamm::N,хӕтӕл,அடிமரம்
122,Rinde::N,цъар,பட்டை
123,Rinde::N,цъар,மரப்பட்டை
124,Ast::N,арх,கினை
