,Concept_ID,av,udm
0,Ohr::N,гӏин,пель
1,Nase::N,мегӏер,ныр
2,Mund::N,кӏал,ым
3,Zahn::N,гӏус,пинь
4,Zunge::N,мацӏ,кыл
5,Lippe::N,кӏветӏ,ымдур
6,Wange::N,гӏоно,бам
7,Gesicht::N,гьумер,ымныр
8,Stirn::N,нодо,кымес
9,Haar::N,рас,йырси
10,Schnurrbart::N,михъ,мыйык
11,Bart::N,мегеж,туш
12,Kinn::N,нилъу,ангес
13,Kiefer[Anatomie]::N,чанагъ,ан
14,Kiefer[Anatomie]::N,чанагъ,анлы
15,Kehle::N,щекъер,гульым
16,Hals::N,габур,чырты
17,Genick::N,гъванща,йырбер
18,Kopf::N,бетӏер,йыр
19,Rücken::N,мугъ,мыш
20,Bauch::N,чехь,кӧт
21,Nabel::N,цӏину,гогы
22,Busen::N,керен,ноны
23,Brust::N,керен,мӧля
24,Schulter::N,гъажазубетӏер,пельпум
25,Arm::N,гъеж,суй
26,Ellenbogen::N,гӏункӏрукь,гырпум
27,Hand::N,квер,ки
28,Handfläche::N,огъохъат,ки пыдэс
29,Handfläche::N,огъохъат,кырым пыдэс
30,Handfläche::N,жанисахъат,ки пыдэс
31,Handfläche::N,жанисахъат,кырым пыдэс
32,Finger::N,килищ,чиньы
33,Fingernagel::N,малъ,гижы
34,Fingernagel::N,малъ,гиждӥнь
35,Nagel[Anatomie]::N,малъ,гижы
36,Zeh::N,килищ,пыдчиньы
37,Fuß::N,хӏетӏ,пыд
38,Fuß::N,хӏетӏе,пыд
39,Ferse::N,эгъе,пыдбер
40,Knie::N,наку,пыдес
41,Oberschenkel::N,мачӏ,макес
42,Bein::N,бох,пыд
43,Körper::N,къаркъала,мугор
44,Körper::N,къаркъала,вылтыр
45,Haut::N,тӏом,ку
46,Blut::N,би,вир
47,Ader::N,бидурихь,вирсэр
48,Knochen::N,ракьа,лы
49,Gehirn::N,гӏадалнах,вим
50,Herz::N,ракӏ,сюлэм
51,Magen::N,кванирукъ,ӝуш
52,Leber::N,тӏул,мус
53,Atem::N,хӏухь,лул
54,Atem::N,хӏухь,шокан
55,Hunger::N,ракъи,кӧтсюман
56,Träne::N,магӏу,синкыли
57,Geschmack::N,тату,шӧм
58,Geruch::N,махӏ,зын
59,Schlaf::N,макьу,вӧт
60,Traum::N,макьу,уйвӧт
61,Himmel::N,зоб,ин
62,Sonne::N,бакъ,шунды
63,Mond::N,моцӏ,толэзь
64,Stern::N,цӏва,кизили
65,Luft::N,гьава,омыр
66,Wind::N,гьури,тӧл
67,Welle::N,карачел,тулкым
68,Wasser::N,лъим,ву
69,Stein::N,гьецӏо,из
70,Boden::N,ракь,музъем
71,Erde::N,ракь,му
72,Erde::N,дуниял,му
73,Staub::N,хӏур,пыль
74,Rauch::N,кӏкӏуй,ӵын
75,Feuer::N,цӏа,тыл
76,Licht::N,канлъи,тыл
77,Schatten::N,рагӏад,вужер
78,Wetter::N,гьава-бакъ,куазь
79,Nebel::N,гӏодобнакӏкӏ,бус
80,Wolke::N,накӏкӏ,пилем
81,Regen::N,цӏад,зор
82,Schnee::N,гӏазу,лымы
83,Eis::N,цӏер,йӧ
84,Frost::N,замгьари,кезьыт
85,Kälte::N,квач,кезьыт
86,Hitze::N,багӏари,пӧсь
87,Raureif::N,мартӏ,гӧр
88,Regenbogen::N,нур,вуюись
89,Regenbogen::N,чамбара,вуюись
90,Donner::N,гъугъай,гудыри
91,Donner::N,гъугъади,гудыри
92,Strömung::N,чвахи,бызён
93,Tropfen::N,резел,шапык
94,Tropfen::N,тӏинкӏ,шапык
95,Tropfen::N,къатӏра,шапык
96,Tropfen::N,тӏенкӏел,шапык
97,Schaum::N,полоп,шукы
98,Schmutz::N,чороклъи,нӧд
99,Schmutz::N,чороклъи,дэри
100,See::N,хӏор,ты
101,Sumpf::N,хьуцӏ,нюр
102,Wiese::N,мегъ,возь
103,Wiese::N,мегъ,возьвыл
104,Wiese::N,гӏурдаллъи,возь
105,Wiese::N,гӏурдаллъи,возьвыл
106,Wald::N,рохь,сик
107,Wald::N,рохь,нюлэс
108,Hügel::N,гохӏ,выр
109,Hügel::N,гохӏ,вырйыл
110,Anhöhe::N,сийитма,выр
111,Anhöhe::N,сийитма,вырйыл
112,Berg::N,мегӏер,гурезь
113,Gipfel::N,тӏогь,йыл
114,Höhle::N,нохъо,гу
115,Abhang::N,лабаллъи,бам
116,Quelle::N,ицц,ошмес
117,Bach::N,лъар,пичи шур
118,Fluss::N,гӏор,шур
119,Ufer::N,рагӏал,ярдур
120,Küste::N,рагӏал,вудур
121,Festland::N,ракь,мувыр
122,Festland::N,ракъдаллъи,мувыр
123,Meer::N,ралъад,зарезь
124,Bucht::N,кӏветӏ,вукож
125,Insel::N,чӏинкӏиллъи,вумуӵ
126,Insel::N,чӏинкӏиллъи,шормуӵ
127,Blume::N,тӏегь,сяська
128,Gras::N,хер,турын
129,Wurzel::N,кьибил,выжы
130,Baum::N,гъветӏ,пу
131,Stamm::N,рохти,модос
132,Rinde::N,макъар,сул
133,Ast::N,ноцӏ,ул
134,Zweig::N,гӏаркьел,вай
135,Blatt::N,тӏамах,куар
136,Birke::N,мах,кызьпу
137,Birke::N,махигъветӏ,кызьпу
138,Kiefer[Baum]::N,накӏкӏигъветӏ,пужым
139,Weide[Baum]::N,рицӏцӏ,бадьпу
140,Weide[Baum]::N,рицӏцӏигъветӏ,бадьпу
141,Tanne::N,ёлка,кыз
142,Horn::N,лълъар,сюр
143,Feder::N,хӏули,тылы
144,Fell::N,тӏом,ку
145,Fell::N,цӏоко,ку
146,Flügel::N,кваркьи,бурд
147,Klaue::N,галъ,гижы
148,Kralle::N,квачӏ,пыд
149,Kralle::N,катиквачӏ,пыд
150,Schwanz::N,рачӏ,быж
151,Ei::N,хоно,пуз
152,Ei::N,хоно,кукей
153,Nest::N,бусен,кар
154,Nest::N,бусен,пузкар
155,Bau::N,каратӏ,кар
156,Bau::N,каратӏ,гу
157,Tier::N,хӏайван,пӧйшур
158,Herde::N,рехъен,уллё
159,Herde::N,рехъед,уллё
160,Kuh::N,гӏака,скал
161,Bulle::N,оц,ош
162,Bulle::N,оц,пороз
163,Pferd::N,чу,вал
164,Schaf::N,чахъу,ыж
165,Schwein::N,болъон,парсь
166,Hund::N,гьой,пуны
167,Katze::N,кету,коӵыш
168,Bär::N,ци,гондыр
169,Eichhörnchen::N,гвангва,коньы
170,Fuchs::N,цер,ӟичы
171,Hase::N,гӏанкӏ,кеч
172,Maus::N,гӏункӏкӏ,шыр
173,Wolf::N,бацӏ,кион
174,Vogel::N,хӏинчӏ,тылобурдо
175,Schwarm::N,тӏел,уллё
176,Huhn::N,гӏанкӏу,курег
177,Hahn::N,хӏелеко,атас
178,Gans::N,хъаз,ӟазег
179,Adler::N,цӏум,ӧрзи
180,Ente::N,ордек,ӵӧж
181,Eule::N,беццаруз,кучыран
182,Kranich::N,къункъра,тури
183,Krähe::N,гъеду,куака
184,Kuckuck::N,гагу,кикы
185,Schwan::N,хӏанкъва,юсь
186,Fisch::N,ччугӏа,чорыг
187,Barsch::N,окунь,юш
188,Hecht::N,щука,чипей
189,Schlange[Tier]::N,борохь,кый
190,Wurm::N,хӏапара,нумыр
191,Spinne::N,хъанхъра,чонари
192,Ameise::N,цӏунцӏра,кузьыли
193,Laus::N,нацӏ,тэй
194,Mücke::N,кӏкӏара,нымы
195,Mücke::N,кӏкӏара,чибинь
196,Fliege::N,тӏутӏ,кут
197,Schmetterling::N,кӏалкӏучӏ,бубыли
198,Apfel::N,гӏеч,яблок
199,Pilz::N,гӏурдахӏан,губи
200,Zwiebel::N,кӏочӏопер,сугон
201,Saat::N,хьон,кидыс
202,Korn::N,мугь,тысь
203,Heu::N,хер,турын
204,Schale::N,хъал,кыд
205,Grube::N,гвенд,гу
206,Grube::N,гвенд,гоп
207,Falle::N,къор,налик
208,Falle::N,къотен,налик
209,Schlinge::N,кӏичӏ,гиӟ
210,Schlinge::N,кӏичӏ,герд
211,Spur::N,лъалкӏ,пытьы
212,Spur::N,лъалкӏ,бервыл
213,Asche::N,рахъу,пень
214,Dreck::N,гъиз,дэри
215,Dreck::N,хӏарщ,дэри
216,Eisen::N,махх,корт
217,Gold::N,месед,зарни
218,Silber::N,гӏарац,азвесь
219,Kohle::N,тӏурччи,эгыр
220,Glas::N,цӏер,стекло
221,Glas::N,цӏер,пияла
222,Lehm::N,хӏатӏ,сюй
223,Sand::N,сали,луо
224,Mensch::N,чи,мурт
225,Mensch::N,чи,адями
226,Mann::N,бихьинчи,воргорон
227,Frau::N,гӏадан,кышномурт
228,Kind::N,лъимер,нуны
229,Kind::N,лъимер,пинал
230,Junge::N,вас,пи
231,Mädchen::N,яс,ныл
232,Familie::N,хъизан,семья
233,Großvater::N,кӏудада,песятай
234,Großvater::N,кӏудада,пересь атай
235,Großmutter::N,кӏодо,песянай
236,Großmutter::N,кӏодо,пересь анай
237,Eltern::N,эбел-эмен,атай-анай
238,Eltern::N,эбел-эмен,бубы-мумы
239,Vater::N,эмен,айы
240,Vater::N,эмен,атай
241,Mutter::N,эбел,мумы
242,Sohn::N,вас,пи
243,Tochter::N,яс,ныл
244,Bruder::N,вац,агай
245,Schwester::N,яц,апа
246,Schwester::N,яц,сузэр
247,Onkel::N,даци,агай
248,Tante::N,ада,апа
249,Tante::N,ада,кенак
250,Ehemann::N,рос,карт
251,Ehefrau::N,чӏужу,кышно
252,Freude::N,ракӏбохи,шумпотон
253,Gelächter::N,релъи,горем
254,Glück::N,талихӏ,шуд
255,Glück::N,талихӏ-рохел,шуд
256,Kummer::N,хӏалкъай,кайгу
257,Kummer::N,хӏалкъай,куректон
258,Wunsch::N,къасд,мылпотон
259,Lust::N,гъира,потон
260,Geist::N,чӏанкӏ,лул
261,Geist::N,рухӏ-жан,лул
262,Gedanke::N,пикру,малпан
263,Verstand::N,лумалъи,йырвизь
264,Verstand::N,цӏодорлъи,йырвизь
265,Sinn::N,магӏна,смысл
266,Grund::N,багьана,муг
267,Grund::N,багьана,ньӧм
268,Wahrheit::N,ритӏухълъи,зэм
269,Wahrheit::N,ритӏухълъи,шонер
270,Gespräch::N,накъит,вераськон
271,Märchen::N,маргьа,выжыкыл
272,Erzählung::N,къиса,верос
273,Nachricht::N,хабар,ивор
274,Neuigkeit::N,хабар-гӏазаб,выльивор
275,Name::N,цӏар,ним
276,Rätsel::N,бицанкӏо,мадькыл
277,Rede::N,речь,верам
278,Rede::N,калам,верам
279,Sprache::N,мацӏ,кыл
280,Stimme::N,гьаракь,куара
281,Wort::N,рагӏи,кыл
282,Zeichen::N,ишара,пус
283,Zeichen::N,ишара,тодмет
284,Zeichen::N,гӏаламат,пус
285,Zeichen::N,гӏаламат,тодмет
286,Ruf::N,ахӏи,ӧтён
287,Ruf::N,ахӏи,чортон
288,Lärm::N,хъуй,ӵашетон
289,Lärm::N,хъуди,ӵашетон
290,Laut::N,гьаракь,куара
291,Laut::N,сас,куара
292,Lied::N,кечӏ,кырӟан
293,Ruhe::N,рахӏат,чалмыт улон
294,Leute::N,гӏадамал,адямиос
295,Volk::N,халкъ,калык
296,Arbeit::N,хӏалтӏи,уж
297,Gast::N,гьобол,куно
298,Geschenk::N,сайигъат,салам
299,Geschenk::N,сайигъат,кузьым
300,Spiel::N,хӏай,шудон
301,Spiel::N,расанди,шудон
302,Gesellschaft::N,жамагӏат,калык
303,Hilfe::N,кумек,юрттон
304,Freund::N,гьудул,эш
305,Freund::N,гьудул,юлтош
306,Kamerad::N,гьалмагъ,тодмо
307,Angelegenheit::N,къваригӏел,уж
308,Anzahl::N,рикӏкӏен,лыд
309,Art::N,жинс,тус
310,Stück::N,кесек,юдэс
311,Teil::N,пай,люкет
312,Hälfte::N,бащдаб,ӝыны
313,Kreis::N,гор,котырес
314,Kreuz::N,хъанч,крест
315,Linie::N,мухъ,гож
316,Strich::N,хӏучч,гож
317,Abstand::N,манзил,вис
318,Abstand::N,манзил,кусып
319,Entfernung::N,манзил,кусып
320,Gegend::N,рахъ,инты
321,Platz::N,бакӏ,инты
322,Ort::N,бакӏ,инты
323,Ort::N,бакӏ,места
324,Seite::N,рахъ,пал
325,Mitte::N,бакьулъбакӏ,шор
326,Gegenstand::N,жо,арбери
327,Sache::N,жо,котыр
328,Rand::N,мицӏир,дур
329,Rand::N,мицӏир,шаер
330,Kante::N,рагӏал,дур
331,Kante::N,рагӏа-ракьан,дур
332,Ecke::N,цили,сэрег
333,Spitze::N,тӏогь,йыл
334,Ende::N,кӏал,пум
335,Loch::N,каратӏ,пась
336,Muster::N,накъиш,пужы
337,Größe::N,кӏодо́лъи,быдӟала
338,Länge::N,халалъи,кузьдала
339,Höhe::N,борхалъи,ӝуждала
340,Gewicht::N,бакӏлъи,сектала
341,Gewicht::N,бакӏлъи,секытлык
342,Haufen::N,гъуни,люк
343,Reihe::N,ирга́,чур
344,Boot::N,раса,пыж
345,Boot::N,раса,лодка
346,Ruder::N,раххан,полыс
347,Schlitten::N,чанагъ,додьы
348,Ski::N,лыжаби,куас
349,Lagerfeuer::N,цӏа,тылскем
350,Last::N,бакӏлъи,секыт
351,Gang::N,хьвади,ветлон
352,Gang::N,хьвада-чӏвади,ветлон
353,Schritt::N,гали,вамыш
354,Norden::N,шимал,уйпал
355,Süden::N,юг,лымшор
356,Süden::N,къибла,лымшор
357,Westen::N,гъарб,шунды пуксён
358,Westen::N,магъриб,шунды пуксён
359,Osten::N,шаркъ,шунды ӝужан
360,Osten::N,машрикъ,шунды ӝужан
361,Holz::N,цӏул,пу
362,Brett::N,хъарщи,пул
363,Platte::N,къоно,плита
364,Stange::N,гӏер,пуӵ
365,Stock::N,тӏил,боды
366,Stab::N,гӏер,пуӵ
367,Stab::N,гӏер,боды
368,Rohr::N,турба,труба
369,Haus::N,ригь,юрт
370,Haus::N,рукъзал,юрт
371,Heim::N,рукъ,корка
372,Ofen::N,печь,гур
373,Fußboden::N,чӏабар,выж
374,Tisch::N,стол,ӝӧк
375,Stuhl::N,бакӏу,пукон
376,Wiege::N,кини,кӧкы
377,Wiege::N,кини,зыбка
378,Bett::N,кровать,валес
