,Concept_ID,udm,tr
0,Auge::N,син,göz
1,Ohr::N,пель,kulak
2,Nase::N,ныр,burun
3,Mund::N,ым,ağız
4,Zahn::N,пинь,diş
5,Zunge::N,кыл,dil
6,Lippe::N,ымдур,dudak
7,Wange::N,бам,yanak
8,Gesicht::N,ымныр,yüz
9,Stirn::N,кымес,alın
10,Haar::N,йырси,saç
11,Schnurrbart::N,мыйык,bıyık
12,Bart::N,туш,sakal
13,Kinn::N,ангес,çene
14,Kiefer[Anatomie]::N,ан,çene
15,Kiefer[Anatomie]::N,анлы,çene
16,Kehle::N,гульым,boğaz
17,Hals::N,чырты,boyun
18,Hals::N,чырты,gerdan
19,Genick::N,йырбер,ense
20,Kopf::N,йыр,baş
21,Kopf::N,йыр,kafa
22,Rücken::N,мыш,arka
23,Bauch::N,кӧт,karın
24,Nabel::N,гогы,göbek
25,Busen::N,ноны,koyun
26,Brust::N,мӧля,göğüs
27,Schulter::N,пельпум,omuz
28,Arm::N,суй,kol
29,Ellenbogen::N,гырпум,dirsek
30,Hand::N,ки,el
31,Handfläche::N,ки пыдэс,avuç
32,Handfläche::N,ки пыдэс,el ayası
33,Handfläche::N,кырым пыдэс,avuç
34,Handfläche::N,кырым пыдэс,el ayası
35,Finger::N,чиньы,parmak
36,Fingernagel::N,гижы,el tırnağı
37,Fingernagel::N,гиждӥнь,el tırnağı
38,Nagel[Anatomie]::N,гижы,tırnak
39,Zeh::N,пыдчиньы,ayak parmağı
40,Fuß::N,пыд,ayak
41,Ferse::N,пыдбер,topuk
42,Knie::N,пыдес,diz
43,Oberschenkel::N,макес,uyluk
44,Bein::N,пыд,bacak
45,Körper::N,мугор,vücut
46,Körper::N,вылтыр,vücut
47,Haut::N,ку,cilt
48,Blut::N,вир,kan
49,Ader::N,вирсэр,damar
50,Sehne::N,вуж,kiriş
51,Knochen::N,лы,kemik
52,Gehirn::N,вим,beyin
53,Herz::N,сюлэм,kalp
54,Herz::N,сюлэм,yürek
55,Magen::N,ӝуш,mide
56,Leber::N,мус,karaciğer
57,Atem::N,лул,nefes
58,Atem::N,шокан,nefes
59,Hunger::N,кӧтсюман,açlık
60,Träne::N,синкыли,gözyaşı
61,Geschmack::N,шӧм,tat
62,Geschmack::N,шӧм,lezzet
63,Geruch::N,зын,koku
64,Schlaf::N,вӧт,uyku
65,Traum::N,уйвӧт,düş
66,Traum::N,уйвӧт,rüya
67,Himmel::N,ин,gök
68,Sonne::N,шунды,güneş
69,Mond::N,толэзь,ay
70,Stern::N,кизили,yıldız
71,Luft::N,омыр,hava
72,Wind::N,тӧл,yel
73,Wind::N,тӧл,rüzgâr
74,Welle::N,тулкым,dalga
75,Wasser::N,ву,su
76,Stein::N,из,taş
77,Boden::N,музъем,yer
78,Boden::N,музъем,zemin
79,Erde::N,му,toprak
80,Staub::N,пыль,toz
81,Rauch::N,ӵын,duman
82,Funke::N,гизьы,kıvılcım
83,Feuer::N,тыл,ateş
84,Licht::N,тыл,ışık
85,Schatten::N,вужер,gölge
86,Wetter::N,куазь,hava
87,Nebel::N,бус,pus
88,Wolke::N,пилем,bulut
89,Regen::N,зор,yağmur
90,Schnee::N,лымы,kar
91,Eis::N,йӧ,buz
92,Frost::N,кезьыт,don
93,Kälte::N,кезьыт,soğukluk
94,Hitze::N,пӧсь,sıcaklık
95,Raureif::N,гӧр,kırç
96,Regenbogen::N,вуюись,gökkuşağı
97,Donner::N,гудыри,gök gürlemesi
98,Strömung::N,бызён,akıntı
99,Strömung::N,бызён,cereyan
100,Tropfen::N,шапык,damla
101,Schaum::N,шукы,köpük
102,Schmutz::N,нӧд,çamur
103,Schmutz::N,нӧд,pislik
104,Schmutz::N,дэри,çamur
105,Schmutz::N,дэри,pislik
106,See::N,ты,göl
107,Sumpf::N,нюр,batak
108,Moor::N,нюр,cılgıt
109,Wiese::N,возь,çimen
110,Wiese::N,возьвыл,çimen
111,Wald::N,сик,koru
112,Wald::N,сик,orman
113,Wald::N,нюлэс,koru
114,Wald::N,нюлэс,orman
115,Hügel::N,выр,tepe
116,Hügel::N,вырйыл,tepe
117,Anhöhe::N,выр,tümsek
118,Anhöhe::N,выр,yükseklik
119,Anhöhe::N,вырйыл,tümsek
120,Anhöhe::N,вырйыл,yükseklik
121,Berg::N,гурезь,dağ
122,Gipfel::N,йыл,zirve
123,Höhle::N,гу,in
124,Höhle::N,гу,mağara
125,Abhang::N,бам,bayır
126,Quelle::N,ошмес,pınar
127,Quelle::N,ошмес,kaynak
128,Bach::N,пичи шур,çay
129,Bach::N,пичи шур,dere
130,Fluss::N,шур,nehir
131,Ufer::N,ярдур,kıyı
132,Ufer::N,ярдур,sahil
133,Küste::N,вудур,kıyı
134,Küste::N,вудур,sahil
135,Festland::N,мувыр,kara
136,Meer::N,зарезь,deniz
137,Bucht::N,вукож,koy
138,Bucht::N,вукож,körfez
139,Insel::N,вумуӵ,ada
140,Insel::N,шормуӵ,ada
141,Blume::N,сяська,çiçek
142,Gras::N,турын,ot
143,Gras::N,турын,çim
144,Wurzel::N,выжы,kök
145,Baum::N,пу,ağaç
146,Stamm::N,модос,gövde
147,Rinde::N,сул,kabuk
148,Ast::N,ул,dal
149,Ast::N,ул,budak
150,Zweig::N,вай,dal
151,Blatt::N,куар,yaprak
152,Birke::N,кызьпу,huş
153,Kiefer[Baum]::N,пужым,çam
154,Weide[Baum]::N,бадьпу,söğüt
