,Concept_ID,la,fi
0,Auge::N,oculus,silmä
1,Ohr::N,auris,korva
2,Nase::N,nasus,nenä
3,Mund::N,os,suu
4,Zahn::N,dens,hammas
5,Zunge::N,lingua,kieli
6,Lippe::N,labrum,huuli
7,Wange::N,gena,poski
8,Gesicht::N,vultus,naama
9,Gesicht::N,vultus,kasvot
10,Stirn::N,frons,otsa
11,Haar::N,capillus,hius
12,Haar::N,capillus,tukka
13,Schnurrbart::N,barba labri superioris,viikset
14,Bart::N,barba,parta
15,Kinn::N,mentum,leuka
16,Kiefer[Anatomie]::N,mala,leukaluu
17,Kehle::N,iugulums,kurkku
18,Hals::N,collum,kaula
19,Genick::N,cervices,niska
20,Kopf::N,caput,pää
21,Rücken::N,tergum,selkä
22,Bauch::N,venter,maha
23,Bauch::N,venter,vatsa
24,Nabel::N,umbilicus,napa
25,Busen::N,sinus,rinta
26,Brust::N,pectus,rinta
27,Schulter::N,umerus,olka
28,Schulter::N,umerus,hartia
29,Schulter::N,umerus,olkapää
30,Arm::N,bracchium,käsivarsi
31,Ellenbogen::N,cubitum,kyynärpää
32,Hand::N,manus,käsi
33,Handfläche::N,palma,kämmen
34,Finger::N,digitus,sormi
35,Fingernagel::N,unguiculus,kynsi
36,Nagel[Anatomie]::N,unguis,kynsi
37,Zeh::N,digitus,varvas
38,Fuß::N,pes,jalka
39,Ferse::N,calx,kantapää
40,Knie::N,genu,polvi
41,Oberschenkel::N,femur,reisi
42,Bein::N,crus,jalka
43,Körper::N,corpus,keho
44,Körper::N,corpus,ruumis
45,Haut::N,cutis,iho
46,Haut::N,pellis,iho
47,Blut::N,sanguis,veri
48,Ader::N,vena,suoni
49,Sehne::N,nervus,jänne
50,Knochen::N,os,luu
51,Gehirn::N,cerebrum,aivot
52,Herz::N,cor,sydän
53,Herz::N,animus,sydän
54,Magen::N,stomachus,maha
55,Magen::N,stomachus,vatsa
56,Leber::N,iecur,maksa
57,Atem::N,spiritus,henki
58,Atem::N,spiritus,hengitys
59,Hunger::N,fames,nälkä
60,Träne::N,lacrima,kyynel
61,Geschmack::N,sapor,maku
62,Geschmack::N,gustus,maku
63,Geruch::N,odor,haju
64,Schlaf::N,somnus,uni
65,Traum::N,somnium,uni
66,Himmel::N,caelum,taivas
67,Sonne::N,sol,aurinko
68,Mond::N,luna,kuu
69,Stern::N,sidus,tähti
70,Stern::N,stella,tähti
71,Luft::N,aer,ilma
72,Wind::N,ventus,tuuli
73,Welle::N,unda,aalto
74,Wasser::N,aqua,vesi
75,Stein::N,lapis,kivi
76,Boden::N,solum,maa
77,Boden::N,solum,maaperä
78,Erde::N,terra,maa
79,Staub::N,pulvis,pöly
80,Rauch::N,fumus,savu
81,Funke::N,scintilla,kipinä
82,Feuer::N,ignis,tuli
83,Licht::N,lux,valo
84,Licht::N,lumen,valo
85,Schatten::N,umbra,varjo
86,Wetter::N,caelum,sää
87,Wetter::N,tempestas,sää
88,Nebel::N,nebula,sumu
89,Wolke::N,nubes,pilvi
90,Regen::N,imber,sade
91,Regen::N,pluvia,sade
92,Schnee::N,nix,lumi
93,Eis::N,glacies,jää
94,Frost::N,gelu,halla
95,Frost::N,gelu,pakkanen
96,Kälte::N,frigus,vilu
97,Kälte::N,frigus,kylmyys
98,Hitze::N,calor,helle
99,Hitze::N,calor,kuumuus
100,Hitze::N,aestus,helle
101,Hitze::N,aestus,kuumuus
102,Raureif::N,pruina,huurre
103,Regenbogen::N,arcus,sateenkaari
104,Donner::N,tonitrus,jyrinä
105,Strömung::N,fluctus,virtaus
106,Tropfen::N,gutta,tippa
107,Tropfen::N,gutta,pisara
108,Schaum::N,spuma,vaahto
109,Schmutz::N,sordes,loka
110,Schmutz::N,squalor,loka
111,See::N,lacus,järvi
112,Sumpf::N,palus,suo
113,Moor::N,palus,räme
114,Wiese::N,pratum,niitty
115,Wald::N,silva,metsä
116,Hügel::N,collis,mäki
117,Hügel::N,collis,kumpu
118,Hügel::N,collis,kukkula
119,Anhöhe::N,specula,mäki
120,Anhöhe::N,specula,kumpare
121,Berg::N,mons,mäki
122,Berg::N,mons,vuori
123,Gipfel::N,vertex,laki
124,Gipfel::N,vertex,huippu
125,Höhle::N,caverna,luola
126,Höhle::N,spelunca,luola
127,Abhang::N,declivum,rinne
128,Quelle::N,fons,lähde
129,Bach::N,rivus,puro
130,Fluss::N,flumen,joki
131,Ufer::N,ripa,ranta
132,Küste::N,litus,rannikko
133,Festland::N,continens,manner
134,Meer::N,mare,meri
135,Bucht::N,sinus,lahti
136,Insel::N,insula,saari
137,Blume::N,flos,kukka
138,Gras::N,herba,ruoho
139,Gras::N,gramen,ruoho
140,Wurzel::N,radix,juuri
141,Baum::N,arbor,puu
142,Stamm::N,truncus,runko
143,Rinde::N,cortex,kuori
144,Rinde::N,cortex,parkki
145,Ast::N,ramus,oksa
146,Zweig::N,ramus,haara
147,Blatt::N,folium,lehti
148,Birke::N,betulla,koivu
149,Kiefer[Baum]::N,pinus,mänty
150,Kiefer[Baum]::N,pinus,petäjä
151,Weide[Baum]::N,salix,paju
152,Tanne::N,abies,kuusi
153,Horn::N,cornu,sarvi
154,Feder::N,penna,sulka
155,Feder::N,penna,höyhen
156,Fell::N,pellis,talja
157,Flügel::N,ala,siipi
158,Klaue::N,unguis,kynsi
159,Kralle::N,unguis,kynsi
160,Schwanz::N,cauda,häntä
161,Schwanz::N,cauda,pyrstö
162,Ei::N,ovum,muna
163,Nest::N,nidus,pesä
164,Bau::N,cavum,pesä
165,Bau::N,latibulum,pesä
166,Tier::N,bestia,eläin
167,Herde::N,grex,lauma
168,Kuh::N,vacca,lehmä
169,Bulle::N,taurus,sonni
170,Pferd::N,equus,hevonen
171,Schaf::N,ovis,lammas
172,Schwein::N,sus,sika
173,Schwein::N,porcus,sika
174,Hund::N,canis,koira
175,Katze::N,felis,kissa
176,Bär::N,ursus,karhu
177,Eichhörnchen::N,sciurus,orava
