,Concept_ID,myv,zh
0,Auge::N,сельме,眼睛
1,Ohr::N,пиле,耳朵
2,Nase::N,судо,鼻子
3,Mund::N,курго,嘴
4,Zahn::N,пей,牙齿
5,Zunge::N,кель,舌头
6,Lippe::N,турва,嘴唇
7,Wange::N,чамабока,面颊
8,Wange::N,чамаумарь,面颊
9,Gesicht::N,чама,脸
10,Stirn::N,коня,额
11,Haar::N,черь,头发
12,Schnurrbart::N,ус,髭须
13,Schnurrbart::N,муюк,髭须
14,Bart::N,сакал,胡子
15,Kinn::N,уло,下巴
16,Kiefer[Anatomie]::N,пейпакар,颌
17,Kiefer[Anatomie]::N,пейловажа,颌
18,Kehle::N,кирьгапарь,嗓子
19,Hals::N,кирьга,颈
20,Genick::N,човонь,后颈
21,Kopf::N,пря,头
22,Rücken::N,копорь,背
23,Bauch::N,пеке,肚子
24,Nabel::N,почо,肚脐
25,Busen::N,поте,胸脯
26,Brust::N,меште,胸
27,Schulter::N,лавтов,肩膀
28,Arm::N,кедь,臂膀
29,Ellenbogen::N,кенерепакарь,肘
30,Hand::N,кедь,手
31,Handfläche::N,кедькуншка,手掌
32,Handfläche::N,кедьлапушка,手掌
33,Finger::N,сур,手指
34,Fingernagel::N,кенже,指甲
35,Nagel[Anatomie]::N,кенже,指甲
36,Zeh::N,пильге сур,脚趾
37,Fuß::N,пильге,脚
38,Ferse::N,кочкаря,后跟
39,Knie::N,эле,膝
40,Knie::N,эзне,膝
41,Knie::N,кумажа,膝
42,Oberschenkel::N,качо,大腿
43,Bein::N,пильге,腿
44,Körper::N,рунго,身体
45,Haut::N,киське,皮肤
46,Blut::N,верь,血
47,Ader::N,сан,血管
48,Sehne::N,коське сан,腱
49,Knochen::N,пакарь,骨
50,Gehirn::N,удем,脑
51,Herz::N,седей,心
52,Magen::N,пеке,胃
53,Leber::N,максо,肝
54,Atem::N,лексема,呼吸
55,Atem::N,оймень таргсема,呼吸
56,Hunger::N,вачочи,饿
57,Träne::N,селведь,眼泪
58,Geschmack::N,тансть,味道
59,Geruch::N,чине,气味
60,Schlaf::N,удома,睡眠
61,Traum::N,он,梦
62,Himmel::N,менель,天空
63,Sonne::N,чи,太阳
64,Mond::N,ков,月亮
65,Stern::N,теште,星
66,Luft::N,кошт,空气
67,Wind::N,варма,风
68,Welle::N,толкун,波
69,Wasser::N,ведь,水
70,Stein::N,кев,石头
71,Boden::N,мода,地面
72,Erde::N,мастор,地
73,Staub::N,пуль,灰尘
74,Rauch::N,качамо,烟
75,Funke::N,сятко,火花
76,Feuer::N,тол,火
77,Licht::N,валдо,光
78,Schatten::N,сулей,影子
79,Schatten::N,сулейкс,影子
80,Wetter::N,ушо,天气
81,Nebel::N,сув,雾
82,Wolke::N,пель,云
83,Regen::N,пиземс,雨
84,Schnee::N,лов,雪
85,Eis::N,эй,冰
86,Frost::N,кельме,霜冻
87,Kälte::N,якшамо,寒冷
88,Hitze::N,пси,炎热
89,Raureif::N,лекш,霜
90,Regenbogen::N,пурьгинечирьке,虹
91,Regenbogen::N,пурьгинеёнкс,虹
92,Donner::N,пурьгине,雷
93,Strömung::N,чудема,水流
94,Strömung::N,чудевкс,水流
95,Tropfen::N,петнявкс,滴
96,Schaum::N,чов,泡沫
97,Schmutz::N,рудаз,赃物
98,See::N,эрьке,湖
99,Sumpf::N,чей,沼泽
100,Moor::N,чей,沼泽
101,Wiese::N,луга,草地
102,Wald::N,вирь,森林
103,Hügel::N,губорь,丘陵
104,Hügel::N,пандыне,丘陵
105,Anhöhe::N,губорь,山丘
106,Anhöhe::N,пандыне,山丘
107,Berg::N,пандо,山
108,Gipfel::N,пря,峰
109,Höhle::N,пещера,洞穴
110,Abhang::N,пандочама,斜坡
111,Quelle::N,ушодкс,泉
112,Bach::N,чудикерькс,溪
113,Fluss::N,лей,河流
114,Ufer::N,чире,岸
115,Küste::N,лейчире,海岸
116,Festland::N,мода,大陆
117,Meer::N,моря,海
118,Bucht::N,усия,海湾
119,Insel::N,усия,岛
120,Blume::N,цеця,花
121,Gras::N,тикше,草
122,Wurzel::N,юр,根
123,Wurzel::N,ундокс,根
124,Baum::N,чувто,树
125,Stamm::N,рунго,树干
126,Rinde::N,суд,树皮
127,Rinde::N,керь,树皮
128,Ast::N,морго,树枝
129,Zweig::N,тарад,树枝
130,Blatt::N,лопа,叶子
