,Concept_ID,ka,el
0,Auge::N,თვალი,μάτι
1,Auge::N,თვალი,οφθαλμός
2,Ohr::N,ყური,αυτί
3,Nase::N,ცხვირი,μύτη
4,Mund::N,პირი,στόμα
5,Zahn::N,კბილი,δόντι
6,Zunge::N,ენა,γλώσσα
7,Lippe::N,ბაგე,χείλος
8,Wange::N,ლოყა,παρειά
9,Wange::N,ლოყა,μάγουλο
10,Gesicht::N,სახე,πρόσωπο
11,Stirn::N,შუბლი,μέτωπο
12,Haar::N,თმა,μαλλιά
13,Schnurrbart::N,ულვაში,μουστάκι
14,Bart::N,წვერი,γένια
15,Kinn::N,ნიკაპი,πιγούνι
16,Kiefer[Anatomie]::N,ყბა,σαγόνι
17,Kehle::N,ყელი,λαρύγγι
18,Hals::N,ყელი,λαιμός
19,Hals::N,კისერი,λαιμός
20,Genick::N,კეფა,σβέρκος
21,Kopf::N,თავი,κεφάλι
22,Rücken::N,ზურგი,ράχη
23,Bauch::N,მუცელი,κοιλιά
24,Nabel::N,ჭიპი,αφαλός
25,Busen::N,ძუძუ,στήθος
26,Brust::N,მკერდი,στήθος
27,Schulter::N,მხარი,ώμος
28,Schulter::N,მკლავი,ώμος
29,Arm::N,ხელი,χέρι
30,Arm::N,ხელი,μπράτςο
31,Ellenbogen::N,იდაყვი,αγκώνας
32,Hand::N,ხელი,χέρι
33,Handfläche::N,ნები,παλάμη
34,Handfläche::N,ხელისგული,παλάμη
35,Finger::N,თითი,δάχτυλο
36,Fingernagel::N,ფრჩხილი,νύχι
37,Nagel[Anatomie]::N,ფრჩხილი,νύχι
38,Zeh::N,ფეხის თითი,δάχτυλο του ποδιού
39,Fuß::N,ტერფი,πόδι
40,Fuß::N,ფეხისგული,πόδι
41,Ferse::N,ქუსლი,φτέρνα
42,Knie::N,მუხლი,γόνατο
43,Oberschenkel::N,ბარძაყი,μηρός
44,Bein::N,ფეხი,πόδι
45,Körper::N,ტანი,σώμα
46,Körper::N,ტანი,κορμί
47,Körper::N,სხეული,σώμα
48,Körper::N,სხეული,κορμί
49,Haut::N,კანი,πετσί
50,Blut::N,სისხლი,αίμα
51,Ader::N,ძარღვი,φλέβα
52,Sehne::N,მყესი,νεύρο
53,Sehne::N,მყესი,τένοντας
54,Knochen::N,ძვალი,οστό
55,Knochen::N,ძვალი,κόκκαλο
56,Gehirn::N,ტვინი,μυαλό
57,Gehirn::N,ტვინი,εγκέφαλος
58,Herz::N,გული,καρδιά
59,Magen::N,კუჭი,στομάχι
60,Leber::N,ღვიძლი,ήπαρ
61,Leber::N,ღვიძლი,συκωτί
62,Atem::N,სუნთქვა,αναπνοή
63,Hunger::N,შიმშილი,πείνα
64,Träne::N,ცრემლი,δάκρυ
65,Geschmack::N,გემო,γεύση
66,Geruch::N,სუნი,οσμή
67,Geruch::N,სუნი,μυρωδία
68,Schlaf::N,ძილი,ύπνος
69,Traum::N,სიზმარი,όνειρο
70,Himmel::N,ცა,ουρανός
71,Sonne::N,მზე,ήλιος
72,Mond::N,მთვარე,σελήνη
73,Mond::N,მთვარე,φεγγάρι
74,Stern::N,ვარსკვლავი,άστρο
75,Stern::N,ვარსკვლავი,αστέρι
76,Luft::N,ჰაერი,αέρας
77,Wind::N,ქარი,αέρας
78,Wind::N,ქარი,άνεμος
79,Welle::N,ტალღა,κύμα
80,Wasser::N,წყალი,νερό
81,Stein::N,ქვა,πέτρα
82,Boden::N,მიწა,χώμα
83,Erde::N,ნიადაგი,γη
84,Staub::N,მტვერი,σκόνη
85,Rauch::N,ბოლი,καπνός
86,Rauch::N,კვამლი,καπνός
87,Funke::N,ნაკვესი,σπίθα
88,Funke::N,ნაკვესი,σπινθήρας
89,Feuer::N,ცეცხლი,φωτιά
90,Licht::N,შუქი,φως
91,Licht::N,სინათლე,φως
92,Schatten::N,ლანდი,σκιά
93,Schatten::N,ლანდი,ίσκιος
94,Schatten::N,ჩრდილი,σκιά
95,Schatten::N,ჩრდილი,ίσκιος
96,Wetter::N,ამინდი,καιρός
97,Nebel::N,ნისლი,ομίχλη
98,Wolke::N,ღრუბელი,σύννεφο
99,Regen::N,წვიმა,βροχή
100,Schnee::N,თოვლი,χιόνι
101,Eis::N,თოში,πάγος
102,Eis::N,ყინული,πάγος
103,Frost::N,ყინვა,παγωνία
104,Kälte::N,სიცივე,κρύο
105,Kälte::N,სიცივე,ψύχος
106,Hitze::N,სიცხე,ζέστη
107,Raureif::N,ჭირხლი,πάχνη
108,Raureif::N,თრთვილი,πάχνη
109,Regenbogen::N,ცისარტყელა,ουράνιο τόξο
110,Donner::N,ქუხილი,βροντή
111,Strömung::N,დინება,ρεύμα
112,Tropfen::N,წვეთი,στάλα
113,Schaum::N,ქაფი,αφρός
114,Schaum::N,დორბლი,αφρός
115,Schmutz::N,ჭუჭყი,βρωμιά
116,Schmutz::N,ტალახი,βρωμιά
117,See::N,ტბა,λίμνη
118,Sumpf::N,ჭაობი,βάλτος
119,Moor::N,ტორფნარი,έλος
120,Wiese::N,ველი,λιβάδι
121,Wiese::N,მდელო,λιβάδι
122,Wald::N,ტყე,δάσος
123,Hügel::N,ბორცვი,λόφος
