,Concept_ID,bg,sah
0,Auge::N,око,харах
1,Ohr::N,ухо,кулгаах
2,Nase::N,нос,мурун
3,Mund::N,уста,айах
4,Zahn::N,зъб,тиис
5,Zunge::N,език,тыл
6,Lippe::N,устна,уос
7,Wange::N,буза,иэдэс
8,Gesicht::N,лице,сирэй
9,Gesicht::N,образ,сирэй
10,Stirn::N,чело,сүүс
11,Haar::N,коса,баттах
12,Haar::N,косъм,баттах
13,Schnurrbart::N,мустаци,уос бытыга
14,Bart::N,брада,сэҥийэ бытыга
15,Kinn::N,брада,сэҥийэ
16,Kinn::N,брадичка,сэҥийэ
17,Kiefer[Anatomie]::N,челюст,сыҥаах
18,Kehle::N,гърло,тамах
19,Kehle::N,гърло,күөмэй
20,Hals::N,врат,моой
21,Genick::N,тил,кэтэх
22,Kopf::N,глава,бас
23,Rücken::N,гръб,көҕүс
24,Bauch::N,корем,ис
25,Nabel::N,пъп,киин
26,Busen::N,бозка,эмиий
27,Brust::N,гръд,түөс
28,Schulter::N,рамо,сарын
29,Schulter::N,плещи,сарын
30,Arm::N,ръка,илии
31,Ellenbogen::N,лакът,тоҕонох
32,Hand::N,ръка,илии
33,Hand::N,китка,илии
34,Handfläche::N,длан,ытыс
35,Finger::N,пръст,тарбах
36,Fingernagel::N,нокът,тыҥырах
37,Nagel[Anatomie]::N,нокът,тыҥырах
38,Zeh::N,пръст на крак,тарбах
39,Fuß::N,крак,уллуҥах
40,Fuß::N,нога,уллуҥах
41,Ferse::N,пета,тилэх
42,Knie::N,коляно,тобук
43,Knie::N,коляно,дьилбэк
44,Oberschenkel::N,бедро,уллук
45,Oberschenkel::N,бедро,өттүк
46,Bein::N,крак,атах
47,Bein::N,нога,атах
48,Körper::N,тяло,бэйэ
49,Haut::N,кожа,тирии
50,Blut::N,кръв,хаан
51,Ader::N,вена,вена
52,Ader::N,вена,күөх_тымыр
53,Ader::N,артерия,вена
54,Ader::N,артерия,күөх_тымыр
55,Sehne::N,жила,иҥиир
56,Sehne::N,сухожилие,иҥиир
57,Knochen::N,кост,уҥуох
58,Knochen::N,кост,уҥгуох
59,Gehirn::N,мозък,мэйии
60,Herz::N,сърце,сүрэх
61,Magen::N,стомах,куртах
62,Leber::N,черен дроб,быар
63,Atem::N,дишане,тыын
64,Hunger::N,глад,аас
65,Träne::N,сълза,харах уута
66,Geschmack::N,вкус,амтан
67,Geruch::N,миризма,сыт
68,Schlaf::N,сън,утуйуу
69,Traum::N,сън,түүл
70,Himmel::N,небе,халлаан
71,Sonne::N,слънце,күн
72,Mond::N,луна,ый
73,Mond::N,месец,ый
74,Stern::N,звезда,сулус
75,Luft::N,въздух,салгын
76,Wind::N,вятър,тыал
77,Welle::N,вълна,долгун
78,Welle::N,вълна,балхаан
79,Wasser::N,вода,уу
80,Stein::N,камък,таас
81,Boden::N,земя,сир
82,Boden::N,почва,сир
83,Erde::N,земя,буор
84,Erde::N,почва,буор
85,Staub::N,прах,быыл
86,Rauch::N,дим,буруо
87,Rauch::N,пушек,буруо
88,Funke::N,искра,кыым
89,Feuer::N,огън,уот
90,Licht::N,светлина,уот
91,Schatten::N,сянка,күлүк
92,Wetter::N,време,күн-дьыл
93,Nebel::N,мъгла,туман
94,Wolke::N,облак,былыт
95,Regen::N,дъжд,самыыр
96,Schnee::N,сняг,хаар
97,Eis::N,лед,муус
98,Frost::N,мраз,тымныы
99,Kälte::N,студ,тымныы
100,Hitze::N,жега,куйаас
101,Hitze::N,горещина,куйаас
102,Raureif::N,скреж,кырыа
103,Raureif::N,слана,кырыа
104,Regenbogen::N,дъга,кустук
105,Donner::N,гръм,этиҥ
106,Strömung::N,течение,сүүрүк
