,Concept_ID,hy,zh
0,Auge::N,աչք,眼睛
1,Ohr::N,ականջ,耳朵
2,Nase::N,քիթ,鼻子
3,Mund::N,բերան,嘴
4,Zahn::N,ատամ,牙齿
5,Zunge::N,լեզու,舌头
6,Lippe::N,շրթունք,嘴唇
7,Wange::N,այտ,面颊
8,Wange::N,թուշ,面颊
9,Gesicht::N,դեմք,脸
10,Stirn::N,ճակատ,额
11,Haar::N,մազ,头发
12,Schnurrbart::N,բեղ,髭须
13,Bart::N,մորուք,胡子
14,Kinn::N,կզակ,下巴
15,Kiefer[Anatomie]::N,ծնոտ,颌
16,Kehle::N,կոկորդ,嗓子
17,Hals::N,վիզ,颈
18,Hals::N,պարանոց,颈
19,Genick::N,ծոծրակ,后颈
20,Kopf::N,գլուխ,头
21,Rücken::N,մեջք,背
22,Bauch::N,փոր,肚子
23,Bauch::N,որովայն,肚子
24,Nabel::N,պորտ,肚脐
25,Busen::N,ծոց,胸脯
26,Brust::N,կուրծք,胸
27,Schulter::N,ուս,肩膀
28,Arm::N,թեւ,臂膀
29,Arm::N,բազուկ,臂膀
30,Ellenbogen::N,արմունկ,肘
31,Hand::N,ձեռք,手
32,Handfläche::N,ափ,手掌
33,Finger::N,մատ,手指
34,Fingernagel::N,եղունգ,指甲
35,Nagel[Anatomie]::N,եղունգ,指甲
36,Zeh::N,ոտքի մատ,脚趾
37,Fuß::N,ոտք,脚
38,Ferse::N,գարշապար,后跟
39,Knie::N,ծունկ,膝
40,Oberschenkel::N,ազդր,大腿
41,Bein::N,ոտք,腿
42,Körper::N,մարմին,身体
43,Haut::N,մաշկ,皮肤
44,Blut::N,արյուն,血
45,Ader::N,երակ,血管
46,Sehne::N,ջիղ,腱
47,Sehne::N,ձգտան,腱
48,Knochen::N,ոսկոր,骨
49,Gehirn::N,խելք,脑
50,Herz::N,սիրտ,心
51,Magen::N,ստամոքս,胃
52,Leber::N,լյարդ,肝
53,Atem::N,շունչ,呼吸
54,Hunger::N,քաղց,饿
55,Träne::N,արտասուք,眼泪
56,Geschmack::N,համ,味道
57,Geschmack::N,բուրմունք,味道
58,Geruch::N,հոտ,气味
59,Geruch::N,բուրում,气味
60,Schlaf::N,քուն,睡眠
61,Traum::N,երազ,梦
62,Himmel::N,երկինք,天空
63,Sonne::N,արեւ,太阳
64,Mond::N,լուսին,月亮
65,Stern::N,աստղ,星
66,Luft::N,օդ,空气
67,Wind::N,քամի,风
68,Welle::N,ալիք,波
69,Wasser::N,ջուր,水
70,Stein::N,քար,石头
71,Boden::N,գետին,地面
72,Erde::N,հող,地
73,Staub::N,փոշի,灰尘
74,Rauch::N,ծուխ,烟
75,Funke::N,կայծ,火花
76,Feuer::N,կրակ,火
77,Feuer::N,հրդեհ,火
78,Licht::N,լույս,光
79,Schatten::N,ստվեր,影子
80,Wetter::N,եղանակ,天气
81,Nebel::N,մեգ,雾
82,Nebel::N,մառախուղ,雾
83,Wolke::N,ամպ,云
84,Regen::N,անձրև,雨
