,Concept_ID,be,hr
0,Auge::N,вока,oko
1,Ohr::N,вуха,uho
2,Nase::N,нос,nos
3,Mund::N,рот,usta
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jezik
6,Lippe::N,губа,usna
7,Wange::N,шчака,obraz
8,Gesicht::N,твар,lice
9,Stirn::N,лоб,čelo
10,Haar::N,волас,kosa
11,Haar::N,валасы,kosa
12,Schnurrbart::N,вус,brkovi
13,Schnurrbart::N,вусы,brkovi
14,Bart::N,барада,brada
15,Kinn::N,падбародак,brada
16,Kinn::N,падбародак,podbradak
17,Kiefer[Anatomie]::N,сківіца,čeljust
18,Kehle::N,горла,grlo
19,Hals::N,шыя,vrat
20,Genick::N,патыліца,zatiljak
21,Kopf::N,галава,glava
22,Rücken::N,спіна,leđa
23,Rücken::N,спіна,hrbat
24,Bauch::N,жывот,trbuh
25,Nabel::N,пупок,pupak
26,Busen::N,грудзі,sisa
27,Busen::N,грудзі,njedra
28,Brust::N,грудзі,prsa
29,Schulter::N,плячо,rame
30,Schulter::N,плячо,pleći
31,Arm::N,рука,ruka
32,Ellenbogen::N,локаць,lakat
33,Hand::N,кісць,ruka
34,Handfläche::N,далонь,dlan
35,Finger::N,палец,prst
36,Fingernagel::N,ногаць,nokat
37,Nagel[Anatomie]::N,ногаць,nokat
38,Zeh::N,палец,nozni prst
39,Fuß::N,нага,noga
40,Fuß::N,нага,stopalo
41,Ferse::N,пята,peta
42,Ferse::N,пятка,peta
43,Knie::N,калена,koljeno
44,Oberschenkel::N,бядро,bedro
45,Oberschenkel::N,сцягно,bedro
46,Bein::N,нага,noga
47,Körper::N,цела,tijelo
48,Haut::N,скура,put
49,Haut::N,скура,koža
50,Blut::N,кроў,krv
51,Ader::N,вена,žila
52,Ader::N,сасуд,žila
53,Sehne::N,жыла,tetiva
54,Sehne::N,цеціва,tetiva
55,Sehne::N,сухажылле,tetiva
56,Knochen::N,косць,kost
57,Gehirn::N,мозг,
58,Herz::N,сэрца,srce
59,Magen::N,страўнік,stomak
60,Magen::N,страўнік,želudac
61,Leber::N,печань,jetra
62,Atem::N,дыханне,dah
63,Hunger::N,голад,glad
64,Träne::N,сляза,suza
65,Geschmack::N,смак,ukus
66,Geruch::N,пах,njuh
67,Geruch::N,пах,miris
68,Schlaf::N,сон,san
69,Traum::N,сон,san
70,Himmel::N,неба,nebo
71,Sonne::N,сонца,sunce
72,Mond::N,месяц,mjesec
73,Stern::N,зорка,zvijezda
74,Luft::N,паветра,zrak
75,Wind::N,вецер,vjetar
76,Welle::N,хваля,val
77,Welle::N,хваля,talas
78,Wasser::N,вада,voda
79,Stein::N,камень,kamen
80,Boden::N,глеба,tlo
81,Boden::N,глеба,zemlja
82,Erde::N,зямля,zemlja
83,Staub::N,пыл,prah
84,Staub::N,пыл,prašina
85,Rauch::N,дым,dim
86,Funke::N,іскра,iskra
87,Funke::N,іскра,varnica
88,Feuer::N,агонь,vatra
89,Licht::N,святло,svjetlo
90,Schatten::N,цень,hlad
91,Schatten::N,цень,sjena
92,Wetter::N,пагода,vrijeme
93,Wetter::N,надворʼе,vrijeme
94,Nebel::N,туман,magla
95,Wolke::N,воблака,oblak
96,Regen::N,дождж,kiša
97,Schnee::N,снег,snijeg
98,Eis::N,лёд,led
99,Frost::N,мароз,mraz
100,Kälte::N,холад,studen
101,Kälte::N,холад,hladnoća
102,Hitze::N,спёка,vrućina
103,Raureif::N,іней,inje
104,Regenbogen::N,вясёлка,duga
105,Donner::N,гром,grom
106,Donner::N,гром,grmljavina
107,Strömung::N,цячэнне,struja
108,Strömung::N,цячэнне,strujanje
109,Tropfen::N,кропля,kap
110,Tropfen::N,кропля,kaplja
111,Schaum::N,пена,pjena
112,Schmutz::N,гразь,nečistoća
113,Schmutz::N,гразь,prljavština
114,See::N,возера,jezero
115,Sumpf::N,багна,bara
116,Moor::N,балота,močvara
117,Wiese::N,луг,livada
118,Wald::N,лес,šuma
119,Hügel::N,узгорак,brijeg
120,Hügel::N,узгорак,brežuljak
121,Anhöhe::N,узвышша,uzvišica
122,Berg::N,гара,brdo
123,Gipfel::N,вяршыня,vrh
124,Höhle::N,пячора,pećina
125,Höhle::N,пячора,spilja
126,Abhang::N,схіл,obronak
127,Abhang::N,схіл,nizbrdica
128,Quelle::N,крыніца,izvor
129,Quelle::N,крыніца,vrelo
130,Bach::N,ручай,potok
131,Fluss::N,рака,rijeka
132,Ufer::N,бераг,obala
133,Küste::N,узбярэжжа,obala
134,Küste::N,узбярэжжа,morska obala
135,Festland::N,суша,kopno
136,Meer::N,мора,more
137,Bucht::N,бухта,zaliv
138,Insel::N,востраў,ada
139,Insel::N,востраў,otok
140,Blume::N,кветка,cvijet
141,Gras::N,трава,trava
142,Wurzel::N,корань,korijen
143,Baum::N,дрэва,drvo
144,Baum::N,дрэва,stablo
145,Stamm::N,ствол,deblo
146,Stamm::N,ствол,stablo
147,Rinde::N,кара,kora
148,Ast::N,сук,grana
149,Zweig::N,галіна,grana
150,Blatt::N,ліст,list
151,Birke::N,бяроза,breza
152,Kiefer[Baum]::N,хвоя,bor
153,Kiefer[Baum]::N,сасна,bor
154,Weide[Baum]::N,вярба,iva
155,Weide[Baum]::N,вярба,vŕba
156,Tanne::N,яліна,jela
157,Horn::N,рог,rog
158,Feder::N,пяро,pero
159,Fell::N,шкура,koža
160,Flügel::N,крыло,krilo
161,Klaue::N,кіпцюр,papak
162,Kralle::N,лапа,pandža
163,Schwanz::N,хвост,rep
164,Ei::N,яйка,jaje
165,Nest::N,гняздо,gnijezdo
166,Bau::N,нара,jazbina
167,Tier::N,жывёла,životinja
168,Herde::N,статак,krdo
169,Herde::N,статак,stado
170,Kuh::N,карова,krava
171,Bulle::N,бык,bik
172,Pferd::N,конь,konj
173,Schaf::N,авечка,ovca
174,Schwein::N,свіння,svinja
175,Hund::N,сабака,pas
176,Hund::N,сабака,pseto
177,Katze::N,кошка,mačka
178,Bär::N,мядзведзь,medvjed
179,Eichhörnchen::N,вавёрка,vjeverica
180,Elch::N,лось,los
181,Fuchs::N,ліса,lisica
182,Hase::N,заяц,zec
183,Maus::N,мыш,miš
184,Wolf::N,воўк,vuk
185,Wolf::N,воўк,kurjak
186,Vogel::N,птах,ptica
