,Concept_ID,hu,sl
0,Auge::N,szem,okó
1,Ohr::N,fül,uhó
2,Nase::N,orr,nós
3,Mund::N,száj,ústa
4,Zahn::N,fog,zób
5,Zunge::N,nyelv,jêzik
6,Lippe::N,ajak,ústnica
7,Wange::N,orca,líce
8,Gesicht::N,arc,oblíčje
9,Stirn::N,homlok,čêlo
10,Haar::N,haj,lás
11,Schnurrbart::N,bajusz,bŕki
12,Bart::N,szakáll,bráda
13,Kinn::N,áll,bráda
14,Kiefer[Anatomie]::N,állkapocs,čeljúst
15,Kehle::N,gége,gŕlo
16,Kehle::N,torok,gŕlo
17,Hals::N,nyak,vrát
18,Genick::N,tarkó,zatílnik
19,Kopf::N,fő,gláva
20,Kopf::N,fej,gláva
21,Rücken::N,hát,hrbèt
22,Bauch::N,has,trébuh
23,Nabel::N,köldök,pópek
24,Busen::N,mell,nédrja
25,Busen::N,kebel,nédrja
26,Brust::N,mell,pŕsi
27,Schulter::N,váll,ráma
28,Schulter::N,váll,plêče
29,Arm::N,kar,rôka
30,Ellenbogen::N,könyök,komólec
31,Hand::N,kéz,rôka
32,Handfläche::N,tenyér,dlán
33,Finger::N,ujj,pŕst
34,Fingernagel::N,köröm,nóht na rôki
35,Nagel[Anatomie]::N,köröm,nóht
36,Zeh::N,lábujj,pŕst na nôgi
37,Fuß::N,láb,nôga
38,Ferse::N,sarok,pêta
39,Knie::N,térd,koléno
40,Oberschenkel::N,comb,stêgno
41,Bein::N,láb,nôga
42,Bein::N,lábszár,nôga
43,Körper::N,test,teló
44,Haut::N,bőr,kóža
45,Blut::N,vér,krí
46,Ader::N,ér,žíla
47,Sehne::N,ín,kíta
48,Knochen::N,csont,kóst
49,Gehirn::N,agy,možgáni
50,Gehirn::N,agyvelő,možgáni
51,Herz::N,szív,srcé
52,Magen::N,gyomor,želódec
53,Leber::N,máj,jétra
54,Atem::N,lehelet,díh
55,Atem::N,lélegzet,díh
56,Hunger::N,éhség,glád
57,Träne::N,könny,sólza
58,Geschmack::N,íz,okús
59,Geruch::N,szag,vónj
60,Schlaf::N,álom,sèn
61,Schlaf::N,álom,spánec
