,Concept_ID,es,la
0,Auge::N,ojo,oculus
1,Ohr::N,oreja,auris
2,Nase::N,nariz,nasus
3,Mund::N,boca,os
4,Zahn::N,diente,dens
5,Zunge::N,lengua,lingua
6,Lippe::N,labio,labrum
7,Wange::N,mejilla,gena
8,Gesicht::N,cara,vultus
9,Stirn::N,frente,frons
10,Haar::N,cabello,capillus
11,Schnurrbart::N,bigote,barba labri superioris
12,Bart::N,barba,barba
13,Kinn::N,barbilla,mentum
14,Kiefer[Anatomie]::N,mandíbula,mala
15,Kehle::N,garganta,iugulums
16,Hals::N,cuello,collum
17,Genick::N,nuca,cervices
18,Genick::N,cerviz,cervices
19,Kopf::N,cabeza,caput
20,Rücken::N,espalda,tergum
21,Bauch::N,vientre,venter
22,Nabel::N,ombligo,umbilicus
23,Busen::N,pecho,sinus
24,Brust::N,pecho,pectus
25,Schulter::N,hombro,umerus
26,Arm::N,brazo,bracchium
27,Ellenbogen::N,codo,cubitum
28,Hand::N,mano,manus
29,Handfläche::N,palma,palma
30,Finger::N,dedo,digitus
31,Fingernagel::N,uña,unguiculus
32,Nagel[Anatomie]::N,uña,unguis
33,Zeh::N,dedo del pie,digitus
34,Fuß::N,pie,pes
35,Ferse::N,talón,calx
36,Knie::N,rodilla,genu
37,Oberschenkel::N,muslo,femur
38,Bein::N,pierna,crus
39,Körper::N,cuerpo,corpus
40,Haut::N,piel,cutis
41,Haut::N,piel,pellis
42,Blut::N,sangre,sanguis
43,Ader::N,vena,vena
44,Sehne::N,tendón,nervus
45,Knochen::N,hueso,os
46,Gehirn::N,cerebro,cerebrum
47,Gehirn::N,encéfalo,cerebrum
48,Herz::N,corazón,cor
49,Herz::N,corazón,animus
50,Magen::N,estómago,stomachus
51,Leber::N,hígado,iecur
52,Atem::N,aliento,spiritus
53,Hunger::N,hambre,fames
54,Träne::N,lágrima,lacrima
55,Geschmack::N,gusto,sapor
56,Geschmack::N,gusto,gustus
57,Geruch::N,olor,odor
58,Schlaf::N,sueño,somnus
59,Traum::N,sueño,somnium
60,Traum::N,ensueño,somnium
61,Himmel::N,cielo,caelum
62,Sonne::N,sol,sol
63,Mond::N,luna,luna
64,Stern::N,estrella,sidus
65,Stern::N,estrella,stella
66,Luft::N,aire,aer
67,Wind::N,viento,ventus
68,Welle::N,ola,unda
69,Welle::N,onda,unda
70,Wasser::N,agua,aqua
71,Stein::N,piedra,lapis
72,Boden::N,suelo,solum
73,Erde::N,tierra,terra
74,Staub::N,polvo,pulvis
75,Rauch::N,humo,fumus
76,Funke::N,chispa,scintilla
77,Feuer::N,fuego,ignis
78,Licht::N,luz,lux
79,Licht::N,luz,lumen
80,Schatten::N,sombra,umbra
81,Wetter::N,tiempo,caelum
82,Wetter::N,tiempo,tempestas
83,Nebel::N,niebla,nebula
84,Wolke::N,nube,nubes
85,Regen::N,lluvia,imber
86,Regen::N,lluvia,pluvia
87,Schnee::N,nieve,nix
88,Eis::N,hielo,glacies
89,Frost::N,helada,gelu
90,Kälte::N,frío,frigus
91,Hitze::N,calor,calor
92,Hitze::N,calor,aestus
93,Raureif::N,escarcha,pruina
94,Regenbogen::N,arco iris,arcus
95,Donner::N,trueno,tonitrus
96,Strömung::N,corriente,fluctus
97,Tropfen::N,gota,gutta
98,Schaum::N,espuma,spuma
99,Schmutz::N,suciedad,sordes
100,Schmutz::N,suciedad,squalor
101,See::N,lago,lacus
102,Sumpf::N,pantano,palus
103,Moor::N,turbera,palus
104,Wiese::N,prado,pratum
105,Wiese::N,pradera,pratum
106,Wald::N,bosque,silva
107,Hügel::N,colina,collis
108,Anhöhe::N,cerro,specula
109,Berg::N,monte,mons
110,Berg::N,montaña,mons
111,Gipfel::N,cima,vertex
112,Gipfel::N,cumbre,vertex
113,Höhle::N,cueva,caverna
114,Höhle::N,cueva,spelunca
115,Höhle::N,caverna,caverna
116,Höhle::N,caverna,spelunca
117,Abhang::N,cuesta,declivum
118,Abhang::N,declive,declivum
119,Quelle::N,fuente,fons
120,Quelle::N,manantial,fons
121,Bach::N,arroyo,rivus
122,Fluss::N,río,flumen
123,Ufer::N,orilla,ripa
124,Küste::N,costa,litus
125,Festland::N,tierra firme,continens
126,Meer::N,mar,mare
127,Bucht::N,cala,sinus
128,Bucht::N,bahía,sinus
129,Insel::N,isla,insula
130,Blume::N,flor,flos
131,Gras::N,hierba,herba
132,Gras::N,hierba,gramen
133,Wurzel::N,raíz,radix
134,Baum::N,árbol,arbor
135,Stamm::N,tronco,truncus
136,Rinde::N,corteza,cortex
137,Ast::N,rama,ramus
138,Zweig::N,ramo,ramus
139,Blatt::N,hoja,folium
140,Birke::N,abedul,betulla
141,Kiefer[Baum]::N,pino,pinus
142,Weide[Baum]::N,sauce,salix
143,Tanne::N,abeto,abies
144,Horn::N,asta,cornu
145,Horn::N,cuerno,cornu
146,Feder::N,pluma,penna
147,Fell::N,piel,pellis
148,Flügel::N,ala,ala
149,Klaue::N,garra,unguis
150,Kralle::N,uña,unguis
151,Kralle::N,garra,unguis
152,Schwanz::N,cola,cauda
153,Ei::N,huevo,ovum
154,Nest::N,nido,nidus
155,Bau::N,madriguera,cavum
156,Bau::N,madriguera,latibulum
157,Tier::N,animal,bestia
158,Herde::N,rebaño,grex
159,Kuh::N,vaca,vacca
160,Bulle::N,toro,taurus
161,Pferd::N,caballo,equus
162,Schaf::N,oveja,ovis
163,Schwein::N,cerdo,sus
164,Schwein::N,cerdo,porcus
165,Hund::N,perro,canis
166,Katze::N,gato,felis
167,Bär::N,oso,ursus
168,Eichhörnchen::N,ardilla,sciurus
169,Elch::N,alce,alces
170,Fuchs::N,zorro,vulpes
171,Hase::N,liebre,lepus
172,Maus::N,ratón,mus
173,Wolf::N,lobo,lupus
174,Vogel::N,ave,avis
175,Vogel::N,pájaro,avis
176,Schwarm::N,bandada,examen
177,Huhn::N,gallina,gallina
178,Hahn::N,gallo,gallus
179,Gans::N,oca,anser
180,Gans::N,ganso,anser
181,Adler::N,águila,aquila
182,Ente::N,pato,anas
183,Eule::N,lechuza,ulula
184,Eule::N,lechuza,noctua
185,Kranich::N,grulla,grus
186,Krähe::N,corneja,cornix
187,Kuckuck::N,cuco,cuculus
188,Schwan::N,cisne,olor
189,Schwan::N,cisne,cycnus
190,Fisch::N,pez,piscis
191,Barsch::N,perca,perca
192,Hecht::N,lucio,esox
193,Schlange[Tier]::N,serpiente,serpens
194,Wurm::N,gusano,vermis
195,Spinne::N,araña,aranea
196,Ameise::N,hormiga,formica
197,Laus::N,piojo,pediculus
198,Mücke::N,mosquito,culex
199,Fliege::N,mosca,musca
200,Schmetterling::N,mariposa,papilio
201,Beere::N,baya,baca
202,Apfel::N,manzana,malum
203,Pilz::N,seta,fungus
204,Pilz::N,hongo,fungus
205,Zwiebel::N,cebolla,cepa
206,Saat::N,siembra,seges
207,Korn::N,grano,granum
208,Heu::N,heno,faenum
209,Schale::N,cáscara,putamen
210,Grube::N,foso,fovea
211,Falle::N,trampa,pedica
212,Schlinge::N,lazo,laqueus
213,Spur::N,huella,vestigium
214,Asche::N,ceniza,cinis
215,Dreck::N,suciedad,lutum
216,Eisen::N,hierro,ferrum
217,Gold::N,oro,aurum
218,Silber::N,plata,argentum
219,Kohle::N,carbón,carbo
220,Glas::N,vidrio,vitrum
221,Glas::N,cristal,vitrum
222,Lehm::N,barro,lutum
223,Sand::N,arena,arena
224,Mensch::N,hombre,homo
225,Mensch::N,ser humano,homo
226,Mann::N,hombre,vir
227,Frau::N,mujer,mulier
228,Kind::N,niño,puer
229,Kind::N,niño,infans
230,Junge::N,chico,puer
231,Junge::N,muchacho,puer
232,Mädchen::N,chica,puella
233,Mädchen::N,muchacha,puella
234,Familie::N,familia,familia
235,Großvater::N,abuelo,avus
236,Großmutter::N,abuela,avia
237,Eltern::N,padres,parentes
238,Vater::N,padre,pater
239,Mutter::N,madre,mater
240,Sohn::N,hijo,filius
241,Tochter::N,hija,filia
242,Bruder::N,hermano,frater
243,Schwester::N,hermana,soror
244,Onkel::N,tío,patruus
245,Onkel::N,tío,avunculus
246,Tante::N,tía,amita
247,Ehemann::N,esposo,maritus
248,Ehefrau::N,esposa,uxor
249,Freude::N,placer,gaudium
250,Freude::N,placer,laetitia
251,Freude::N,alegría,gaudium
252,Freude::N,alegría,laetitia
253,Gelächter::N,risa,risus
254,Gelächter::N,carcajada,risus
255,Glück::N,felicidad,felicitas
256,Kummer::N,pena,aegritudo
257,Wunsch::N,deseo,voluntas
258,Wunsch::N,deseo,desiderium
259,Lust::N,ganas,libido
260,Lust::N,ganas,voluptas
261,Geist::N,mente,mens
262,Geist::N,mente,animus
263,Geist::N,espíritu,mens
264,Geist::N,espíritu,animus
265,Gedanke::N,idea,sententia
266,Gedanke::N,pensamiento,sententia
267,Gedächtnis::N,memoria,memoria
268,Verstand::N,razón,ratio
269,Verstand::N,razón,ingenium
270,Verstand::N,entendimiento,ratio
271,Verstand::N,entendimiento,ingenium
272,Sinn::N,sentido,sensus
273,Sinn::N,significado,sensus
274,Grund::N,causa,causa
275,Wahrheit::N,verdad,veritas
276,Gespräch::N,conversación,sermo
277,Märchen::N,cuento,fabula
278,Erzählung::N,cuento,fabula
279,Erzählung::N,cuento,narratio
280,Erzählung::N,narración,fabula
281,Erzählung::N,narración,narratio
282,Nachricht::N,mensaje,nuntius
283,Neuigkeit::N,noticia,novitas
284,Name::N,nombre,nomen
285,Rätsel::N,acertijo,aenigma
286,Rätsel::N,adivinanza,aenigma
287,Rede::N,discurso,oratio
288,Sprache::N,lengua,lingua
289,Stimme::N,voz,vox
290,Wort::N,palabra,verbum
291,Wort::N,palabra,vocabulum
292,Zeichen::N,señal,signum
293,Ruf::N,llamada,clamor
294,Lärm::N,ruido,strepitus
295,Lärm::N,barullo,strepitus
296,Laut::N,sonido,sonus
297,Ton::N,tono,sonus
298,Lied::N,canción,carmen
299,Ruhe::N,calma,quies
300,Ruhe::N,silencio,quies
301,Leute::N,gente,homines
302,Volk::N,pueblo,populus
303,Arbeit::N,trabajo,labor
304,Gast::N,huésped,hospes
305,Gast::N,huésped,conviva
306,Gast::N,invitado,hospes
307,Gast::N,invitado,conviva
308,Geschenk::N,regalo,munus
309,Spiel::N,juego,ludus
310,Gesellschaft::N,compañía,societas
311,Hilfe::N,ayuda,auxilium
312,Hilfe::N,ayuda,subsidium
313,Hilfe::N,socorro,auxilium
314,Hilfe::N,socorro,subsidium
315,Freund::N,amigo,amicus
316,Kamerad::N,camarada,socius
317,Kamerad::N,compañero,socius
318,Angelegenheit::N,asunto,res
319,Anzahl::N,cantidad,numerus
320,Art::N,tipo,genus
321,Art::N,clase,genus
322,Stück::N,pieza,frustum
323,Stück::N,pieza,fragmentum
324,Teil::N,parte,pars
325,Hälfte::N,mitad,dimidium
326,Kreis::N,círculo,orbis
327,Kreis::N,círculo,circus
328,Kreuz::N,cruz,crux
329,Linie::N,línea,linea
330,Strich::N,raya,lineamentum
331,Strich::N,trazo,lineamentum
332,Abstand::N,distancia,intervallum
333,Entfernung::N,distancia,spatium
334,Gegend::N,región,loca
335,Gegend::N,región,regio
336,Gegend::N,comarca,loca
337,Gegend::N,comarca,regio
338,Platz::N,espacio,locus
339,Ort::N,sitio,locus
340,Seite::N,lado,latus
341,Seite::N,costado,latus
342,Mitte::N,medio,medium
343,Mitte::N,centro,medium
344,Gegenstand::N,objeto,res
345,Sache::N,cosa,res
346,Rand::N,borde,margo
347,Kante::N,borde,angulus
348,Ecke::N,esquina,angulus
349,Spitze::N,punta,cacumen
350,Ende::N,cabo,caput
351,Ende::N,extremo,caput
352,Loch::N,agujero,foramen
353,Loch::N,abertura,foramen
354,Winkel::N,ángulo,angulus
355,Muster::N,dibujo,exemplum
356,Größe::N,tamaño,magnitudo
357,Länge::N,longitud,longitudo
358,Höhe::N,altura,altitudo
359,Höhe::N,altitud,altitudo
360,Gewicht::N,peso,pondus
361,Menge::N,cantidad,copia
362,Haufen::N,montón,acervus
363,Reihe::N,fila,ordo
364,Boot::N,bote,navicula
365,Boot::N,barca,navicula
366,Ruder::N,remo,remus
367,Schlitten::N,trineo,sclodia
368,Ski::N,esquí,narta
369,Lagerfeuer::N,hoguera,ignis
370,Last::N,carga,onus
371,Gang::N,marcha,cursus
372,Schritt::N,paso,gradus
373,Norden::N,norte,septentriones
374,Süden::N,sur,meridies
375,Westen::N,oeste,occidens
376,Osten::N,este,oriens
377,Holz::N,madera,lignum
378,Brett::N,tabla,tabula
379,Platte::N,placa,lamina
380,Platte::N,plancha,lamina
381,Stütze::N,sostén,adminiculum
382,Stütze::N,soporte,adminiculum
383,Stange::N,vara,pertica
384,Stange::N,percha,pertica
385,Stock::N,palo,baculum
386,Stock::N,bastón,baculum
387,Stab::N,vara,scipio
388,Stab::N,bastón,scipio
389,Rohr::N,tubo,tubus
390,Haus::N,casa,aedes
391,Heim::N,hogar,domicilium
392,Ofen::N,estufa,fornax
393,Fußboden::N,suelo,solum
394,Tisch::N,mesa,mensa
395,Stuhl::N,silla,sella
396,Wiege::N,cuna,cunae
397,Bett::N,cama,lectus
398,Regal::N,estantería,foruli
399,Kiste::N,caja,cista
400,Fenster::N,ventana,fenestra
401,Tür::N,puerta,ianua
402,Tor::N,puerta,porta
403,Zaun::N,valla,saepes
404,Zaun::N,cercado,saepes
405,Dach::N,techo,tectum
406,Dach::N,tejado,tectum
407,Leiter::N,escalera,scalae
408,Besen::N,escoba,scopae
409,Spaten::N,pala,pala
410,Schaufel::N,pala,pala
411,Schaufel::N,paleta,pala
412,Gabel::N,tenedor,fuscinula
413,Löffel::N,cuchara,coclear
414,Messer::N,cuchillo,culter
415,Nagel::N,clavo,clavus
416,Netz::N,red,rete
417,Haken::N,gancho,hamus
418,Haken::N,corchete,hamus
419,Griff::N,asa,manubrium
420,Griff::N,mango,manubrium
421,Schloss::N,cerradura,claustra
422,Bild::N,imagen,tabula
423,Bild::N,imagen,pictura
424,Figur::N,figura,statunculum
425,Puppe::N,muñeca,pupa
426,Beutel::N,bolsa,sacculus
427,Bündel::N,haz,fascis
428,Tasche::N,bolso,sacculus
429,Eimer::N,cubo,situla
430,Deckel::N,tapa,operculum
431,Deckel::N,tapadera,operculum
432,Geschirr::N,vajilla,vasa
433,Sack::N,saco,saccus
434,Tasse::N,taza,pocillum
435,Topf::N,olla,olla
436,Topf::N,marmita,olla
437,Kessel::N,caldera,aenum
438,Essen::N,comida,cena
439,Nahrung::N,alimento,cibus
440,Nahrung::N,alimento,alimenta
441,Speise::N,plato,cibus
442,Fleisch::N,carne,caro
443,Getreide::N,cereales,frumentum
444,Brei::N,puré,puls
445,Brei::N,papilla,puls
446,Brot::N,pan,panis
447,Scheibe::N,lonja,frustum
448,Scheibe::N,rebanada,frustum
449,Fett::N,grasa,pingue
450,Butter::N,mantequilla,butȳrum
451,Öl::N,aceite,oleum
452,Salz::N,sal,sal
453,Suppe::N,sopa,ius
454,Honig::N,miel,mel
455,Milch::N,leche,lac
456,Tee::N,té,thea
457,Leder::N,cuero,corium
458,Wolle::N,lana,lana
459,Stoff::N,tela,textum
460,Stoff::N,tejido,textum
461,Nadel::N,aguja,acus
462,Faden::N,hilo,filum
463,Knopf::N,botón,bulla
464,Knoten::N,nudo,nodus
465,Farbe::N,pintura,pigmentum
466,Kleidung::N,ropa,vestimenta
467,Kleidung::N,vestidos,vestimenta
468,Hemd::N,camisa,tunica
469,Kragen::N,cuello,collare
470,Ärmel::N,manga,manica
471,Hose::N,pantalón,bracae
472,Gürtel::N,cinturón,cingulum
473,Mütze::N,gorro,pilleus
474,Schuh::N,zapato,calceus
475,Stiefel::N,bota,pero
476,Stiefel::N,bota,caliga
477,Ring::N,anillo,anulus
478,Band::N,cinta,redimiculum
479,Kamm::N,peine,pecten
480,Spiegel::N,espejo,speculum
481,Riemen::N,correa,lorum
482,Schnur::N,cuerda,linum
483,Leine::N,correa,retinaculum
484,Decke::N,manta,lodix
485,Kissen::N,almohada,pulvinus
486,Tuch::N,pañuelo,velum
487,Handtuch::N,toalla,mantele
488,Kraft::N,fuerza,vis
489,Stärke::N,fuerza,robur
490,Gesundheit::N,salud,valetudo
491,Krankheit::N,enfermedad,morbus
492,Schmerz::N,dolor,dolor
493,Wunde::N,llaga,vulnus
494,Wunde::N,herida,vulnus
495,Fieber::N,fiebre,febris
496,Arznei::N,medicina,remedium
497,Arznei::N,medicamento,remedium
498,Brücke::N,puente,pons
499,Brunnen::N,pozo,puteus
500,Weide::N,pasto,pascua
501,Pfad::N,sendero,semita
502,Weg::N,camino,iter
503,Straße::N,vía,via
504,Straße::N,carretera,via
505,Dorf::N,aldea,vicus
506,Dorf::N,pueblo,vicus
507,Stadt::N,ciudad,urbs
508,Stadt::N,ciudad,oppidum
509,Brief::N,carta,epistula
510,Buch::N,libro,liber
511,Buchstabe::N,letra,littera
512,Buchstabe::N,carácter,littera
513,Zeitung::N,diario,diurnum
514,Zeitung::N,periódico,diurnum
515,Leben::N,vida,vita
516,Tod::N,muerte,mors
517,Grab::N,tumba,sepulcrum
518,Grab::N,sepulcro,sepulcrum
519,Kirche::N,iglesia,ecclesia
520,Sünde::N,pecado,peccatum
521,Gott::N,dios,deus
522,Arbeiter::N,obrero,operarius
523,Arbeiter::N,trabajador,operarius
524,Chef::N,jefe,praefectus
525,Meister::N,maestro,magister
526,Arzt::N,médico,medicus
527,Lehrer::N,profesor,magister
528,Geld::N,dinero,aes
529,Geld::N,dinero,pecunia
530,Geschäft::N,negocio,negotium
531,Laden::N,tienda,taberna
532,Preis::N,precio,pretium
533,Ware::N,mercancía,merx
534,Nutzen::N,provecho,utilitas
535,Reichtum::N,riqueza,opes
536,Reichtum::N,riqueza,divitiae
537,Welt::N,mundo,mundus
538,Land::N,país,terra
539,Staat::N,Estado,res publica
540,König::N,rey,rex
541,Macht::N,poder,potestas
542,Macht::N,potencia,potestas
543,Grenze::N,frontera,limes
544,Krieg::N,guerra,bellum
545,Feind::N,enemigo,inimicus
546,Gewalt::N,violencia,vis
547,Kampf::N,lucha,pugna
548,Kampf::N,combate,pugna
549,Bogen[Waffe]::N,arco,arcus
550,Pfeil::N,flecha,sagitta
551,Gewehr::N,fusil,sclopetum
552,Gewehr::N,escopeta,sclopetum
553,Fehler::N,error,error
554,Lüge::N,mentira,mendacium
555,Schaden::N,daño,damnum
556,Schaden::N,daño,detrimentum
557,Unglück::N,desgracia,miseria
558,Unglück::N,desgracia,calamitas
559,Schuld::N,culpa,culpa
560,Alter::N,edad,aetas
561,Schluss::N,fin,finis
562,Schluss::N,final,finis
563,Zeit::N,tiempo,tempus
564,Tag::N,día,dies
565,Morgen::N,mañana,mane
566,Mittag::N,mediodía,meridies
567,Abend::N,noche,vesper
568,Nacht::N,noche,nox
569,Woche::N,semana,septimana
570,Monat::N,mes,mensis
571,Jahr::N,año,annus
572,Frühling::N,primavera,ver
573,Sommer::N,verano,aestas
574,Herbst::N,otoño,autumnus
575,Winter::N,invierno,hiems
576,Januar::N,enero,Ianuarius
577,Februar::N,febrero,Februarius
578,März::N,marzo,Martius
579,April::N,abril,Aprilis
580,Mai::N,mayo,Maius
581,Juni::N,junio,Iunius
582,Juli::N,julio,Iulius
583,August::N,agosto,Augustus
584,September::N,septiembre,September
585,Oktober::N,octubre,Octobris
586,November::N,noviembre,Novembris
587,Dezember::N,diciembre,December
588,Montag::N,lunes,dies lunae
589,Dienstag::N,martes,dies Martis 
590,Mittwoch::N,miércoles,dies Mercurii
591,Donnerstag::N,jueves,dies Iovis
592,Freitag::N,viernes,dies Veneris
593,Samstag::N,sábado,dies Saturni
594,Sonntag::N,domingo,dominicus
595,Sonntag::N,domingo,dies solis
596,groß::A,grande,magnus
597,klein::A,pequeño,parvus
598,lang::A,largo,longus
599,kurz::A,corto,brevis
600,breit::A,ancho,latus
601,schmal::A,estrecho,angustus
602,dicht::A,denso,densus
603,dick[Gegenstand]::A,grueso,crassus
604,dünn::A,fino,tenuis
605,dünn::A,delgado,tenuis
606,fein::A,fino,subtilis
607,fein::A,delicado,subtilis
608,fest::A,firme,solidus
609,fest::A,firme,stabilis
610,fest::A,sólido,solidus
611,fest::A,sólido,stabilis
612,flach::A,plano,planus
613,glatt::A,liso,levis
614,hart::A,duro,durus
615,weich::A,muelle,mollis
616,rund::A,redondo,rotundus
617,spitz::A,agudo,acutus
618,spitz::A,apuntado,acutus
619,scharf::A,agudo,acer
620,scharf::A,afilado,acer
621,stumpf::A,sin filo,hebes
622,schwer::A,pesado,gravis
623,schön::A,bello,pulcher
624,schön::A,bello,formosus
625,schön::A,hermoso,pulcher
626,schön::A,hermoso,formosus
627,heiß::A,caluroso,fervidus
628,warm::A,cálido,calidus
629,warm::A,caliente,calidus
630,kalt::A,frío,frigidus
631,kühl::A,fresco,frigidus
632,frisch::A,fresco,recens
633,feucht::A,húmedo,umidus
634,nass::A,mojado,madidus
635,trocken::A,seco,aridus
636,voll::A,lleno,plenus
637,leer::A,vacío,vacuus
638,offen::A,abierto,apertus
639,geschlossen::A,cerrado,clausus
640,sauber::A,limpio,lautus
641,schmutzig::A,sucio,sordidus
642,roh::A,crudo,crudus
643,reif::A,maduro,maturus
644,lecker::A,rico,delicatus
645,lecker::A,sabroso,delicatus
646,süß::A,dulce,dulcis
647,bitter::A,amargo,amarus
648,bitter::A,amargo,acerbus
649,sauer::A,agrio,acidus
650,hell::A,claro,clarus
651,dunkel::A,oscuro,obscurus
652,schwarz::A,negro,niger
653,weiß::A,blanco,albus
654,rot::A,rojo,ruber
655,gelb::A,amarillo,flavus
656,blau::A,azul,caeruleus
657,grün::A,verde,viridis
658,grau::A,gris,canus
659,bunt::A,multicolor,varius
660,billig::A,barato,vilis
661,teuer::A,caro,carus
662,wertvoll::A,valioso,pretiosus
663,wertvoll::A,precioso,pretiosus
664,blind::A,ciego,caecus
665,taub::A,sordo,surdus
666,kräftig::A,fuerte,robustus
667,stark::A,fuerte,firmus
668,stark::A,fuerte,validus
669,stark::A,vigoroso,firmus
670,stark::A,vigoroso,validus
671,schwach::A,débil,debilis
672,schwach::A,débil,infirmus
673,fett::A,obeso,crassus
674,schlank::A,esbelto,procerus
675,hübsch::A,mono,pulcher
676,hübsch::A,guapo,pulcher
677,böse::A,malo,improbus
678,dumm::A,tonto,stultus
679,dumm::A,tonto,stupidus
680,dumm::A,estúpido,stultus
681,dumm::A,estúpido,stupidus
682,faul::A,vago,piger
683,faul::A,perezoso,piger
684,fleißig::A,aplicado,sedulus
685,fleißig::A,diligente,sedulus
686,geizig::A,avaro,avarus
687,klug::A,sensato,prudens
688,klug::A,inteligente,prudens
689,geschickt::A,hábil,sollers
690,lieb::A,querido,carus
691,lustig::A,alegre,iocosus
692,sanft::A,suave,clemens
693,hungrig::A,hambriento,impastus
694,krank::A,enfermo,aeger
695,nackt::A,desnudo,nudus
696,traurig::A,triste,maestus
697,lebendig::A,vivo,vivus
698,lebendig::A,viviente,vivus
699,gut::A,bueno,bonus
700,schlecht::A,malo,malus
701,richtig::A,justo,rectus
702,richtig::A,correcto,rectus
703,schlimm::A,malo,malus
704,schlimm::A,grave,malus
705,wahr::A,verídico,verus
706,wahr::A,verdadero,verus
707,alt::A,viejo,antiquus
708,neu::A,nuevo,novus
709,ehemalig::A,antiguo,pristinus
710,alt[Lebewesen]::A,viejo,vetus
711,jung::A,joven,iuvenis
712,arm::A,pobre,pauper
713,reich::A,rico,dives
714,bekannt::A,conocido,notus
715,berühmt::A,famoso,celeber
716,berühmt::A,famoso,illustris
