,Concept_ID,ta,pl
0,Auge::N,கண்,oko
1,Ohr::N,காது,ucho
2,Nase::N,மூக்கு,nos
3,Mund::N,வாய்,usta
4,Zahn::N,பல்,ząb
5,Zunge::N,நாக்கு,język
6,Lippe::N,உதடு,warga
7,Wange::N,கன்னம்,policzek
8,Gesicht::N,முகம்,twarz
9,Stirn::N,முன்னெற்றி,czoło
10,Haar::N,முடி,włos
11,Haar::N,முடி,włosy
12,Schnurrbart::N,மீசை,wąsy
13,Bart::N,தாடி,broda
14,Kinn::N,கீழதாடை,podbródek
15,Kiefer[Anatomie]::N,தாடை,czeluść
16,Kehle::N,தொண்டை,gardło
17,Hals::N,கழுத்து,szyja
18,Genick::N,கழுத்து,kark
19,Kopf::N,தலை,głowa
20,Rücken::N,முதுகு,plecy
21,Rücken::N,முதுகு,grzbiet
22,Bauch::N,வயிறு,brzuch
23,Nabel::N,தொப்புள்,pępek
24,Busen::N,மார்பகம்,biust
25,Brust::N, மார்பு,pierś
26,Schulter::N,தோள்பட்டை,bark
27,Schulter::N,தோள்பட்டை,ramię
28,Arm::N,கரம்,ręka
29,Arm::N,கரம்,ramię
30,Ellenbogen::N,முழங்கை,łokieć
31,Hand::N,கை,dłoń
32,Handfläche::N,உள்ளங்கை,dłoń
33,Finger::N,விரல்,palec
34,Fingernagel::N,விரல் நகம்,paznokieć
35,Nagel[Anatomie]::N,நகம்,paznokieć
36,Zeh::N,கால்விரல்,palec
37,Fuß::N,கால்,stopa
38,Ferse::N,குதிகால்,pięta
39,Knie::N,முழங்கால்,kolano
40,Oberschenkel::N,தொடை,udo
41,Bein::N,கால்,noga
42,Körper::N,உடல்,ciało
43,Haut::N,சருமம்,skóra
44,Blut::N,இரத்தம்,krew
45,Ader::N,நாளம்,żyła
46,Sehne::N,தசைநார்,ścięgno
47,Knochen::N,எலுமபு,kość
48,Gehirn::N,மூனை,mózg
49,Herz::N,இதயம,serce
50,Magen::N,வயிறு,żołądek
51,Leber::N,கல்லீரல்,wątroba
52,Atem::N,மூச்சு,dech
53,Atem::N,மூச்சு,oddech
54,Hunger::N,பசி,głód
55,Träne::N,கண்ணீர்,łza
56,Geschmack::N,நறுமணம்,smak
57,Geruch::N,துர்நாற்றம்,woń
58,Geruch::N,துர்நாற்றம்,zapach
