,Concept_ID,zh,cv
0,Auge::N,眼睛,куҫ
1,Ohr::N,耳朵,хӑлха
2,Nase::N,鼻子,сӑмса
3,Mund::N,嘴,ҫӑвар
4,Zahn::N,牙齿,шӑл
5,Zunge::N,舌头,чӗлхе
6,Lippe::N,嘴唇,тута
7,Wange::N,面颊,пит ҫӑмарти
8,Gesicht::N,脸,пит
9,Gesicht::N,脸,пит-куҫ
10,Stirn::N,额,ҫамка
11,Haar::N,头发,ҫӳҫ
12,Schnurrbart::N,髭须,усси
13,Bart::N,胡子,сухал
14,Kinn::N,下巴,янах
15,Kiefer[Anatomie]::N,颌,янах
16,Kehle::N,嗓子,пыр
17,Kehle::N,嗓子,карланкӑ
18,Hals::N,颈,пыр
19,Genick::N,后颈,ӗнсе
20,Kopf::N,头,пуҫ
21,Rücken::N,背,ҫурӑм
22,Bauch::N,肚子,
23,Nabel::N,肚脐,кӑвапа
24,Busen::N,胸脯,кӑкӑр
25,Brust::N,胸,умӗ
26,Schulter::N,肩膀,хул пуҫҫи
27,Arm::N,臂膀,алӑ
28,Ellenbogen::N,肘,чавса
29,Hand::N,手,алӑ сыппи
30,Handfläche::N,手掌,ал лаппи
31,Finger::N,手指,пӳрне
32,Fingernagel::N,指甲,чӗрне
33,Nagel[Anatomie]::N,指甲,чӗрне
34,Zeh::N,脚趾,пӳрне
35,Fuß::N,脚,ура лаппи
36,Ferse::N,后跟,кӗле
37,Knie::N,膝,чӗркуҫҫи
38,Oberschenkel::N,大腿,пӗҫӗ
39,Bein::N,腿,ура
40,Körper::N,身体,ӳт
41,Körper::N,身体,ӳт-пӳ
42,Haut::N,皮肤,тир
43,Blut::N,血,юн
44,Ader::N,血管,вена
45,Sehne::N,腱,шӑнӑр
46,Knochen::N,骨,шӑмӑ
47,Gehirn::N,脑,миме
48,Herz::N,心,чӗре
49,Magen::N,胃,хырӑмлӑх
50,Leber::N,肝,пӗвер
51,Atem::N,呼吸,сывлав
52,Hunger::N,饿,выҫлӑх
53,Träne::N,眼泪,куҫҫуль
54,Geschmack::N,味道,техӗм
55,Geruch::N,气味,шӑршӑ
56,Schlaf::N,睡眠,ыйхӑ
57,Traum::N,梦,тӗлӗк
58,Himmel::N,天空,пӗлӗт
59,Sonne::N,太阳,хӗвел
60,Mond::N,月亮,уйӑх
61,Stern::N,星,ҫӑлтӑр
62,Luft::N,空气,сывлӑш
63,Wind::N,风,ҫил
64,Welle::N,波,хум
65,Wasser::N,水,шыв
66,Wasser::N,水,шыв-шур
67,Stein::N,石头,чул
68,Boden::N,地面,тӑпра
69,Erde::N,地,ҫӗр
70,Staub::N,灰尘,тусан
71,Rauch::N,烟,тӗтӗм
72,Funke::N,火花,хӗм
73,Feuer::N,火,вут
74,Feuer::N,火,ҫулӑм
75,Licht::N,光,ҫутӑ
76,Schatten::N,影子,сулхӑн
77,Wetter::N,天气,ҫанталӑк
78,Nebel::N,雾,тӗтре
79,Wolke::N,云,пӗлӗт
80,Regen::N,雨,ҫумӑр
81,Schnee::N,雪,юр
82,Eis::N,冰,пӑр
83,Frost::N,霜冻,сивӗ
84,Kälte::N,寒冷,сивӗ
85,Hitze::N,炎热,вӗри
86,Hitze::N,炎热,шӑрӑх
87,Raureif::N,霜,пас
88,Regenbogen::N,虹,асамат кӗперӗ
89,Donner::N,雷,аслати
90,Strömung::N,水流,юхӑ
91,Tropfen::N,滴,тумлам
92,Schaum::N,泡沫,кӑпӑк
93,Schmutz::N,赃物,пылчӑк
94,See::N,湖,кӳлӗ
95,Sumpf::N,沼泽,шур
96,Sumpf::N,沼泽,шурлӑх
97,Moor::N,沼泽,торфлӑ шурлӑх
98,Wiese::N,草地,улӑх
99,Wiese::N,草地,ҫаран
100,Wald::N,森林,вӑрман
101,Hügel::N,丘陵,сӑрт
102,Hügel::N,丘陵,тӗмеске
103,Anhöhe::N,山丘,сӑрт
104,Berg::N,山,ту
105,Gipfel::N,峰,тӳпе
106,Höhle::N,洞穴,ҫӗр хӑвӑлӗ
107,Abhang::N,斜坡,тӑвайкки
108,Quelle::N,泉,ҫӑл куҫ
109,Bach::N,溪,пӗчӗк шыв
110,Fluss::N,河流,юхан шыв
111,Ufer::N,岸,ҫыран
112,Küste::N,海岸,тинӗс ҫыранӗ
113,Festland::N,大陆,тип ҫӗр
114,Meer::N,海,тинӗс
115,Bucht::N,海湾,тинӗс кукӑрӗ
116,Insel::N,岛,утрав
117,Blume::N,花,чечек
118,Gras::N,草,курӑк
119,Wurzel::N,根,тымар
120,Baum::N,树,йывӑҫ
121,Stamm::N,树干,вулӑ
122,Rinde::N,树皮,хуйӑр
123,Ast::N,树枝,турат
124,Zweig::N,树枝,турат
125,Blatt::N,叶子,ҫулҫӑ
126,Birke::N,桦木,хурӑн
127,Kiefer[Baum]::N,松树,хыр
128,Weide[Baum]::N,柳树,хӑва
129,Tanne::N,冷杉,чӑрӑш
130,Horn::N,角,мӑйрака
131,Feder::N,羽毛,тӗк
132,Fell::N,皮毛,ҫӑм
133,Flügel::N,翅膀,ҫунат
134,Klaue::N,爪子,чӗрне
135,Kralle::N,爪子,ура
136,Schwanz::N,尾巴,хӳре
137,Ei::N,蛋,ҫӑмарта
138,Nest::N,巢,йӑва
139,Bau::N,穴,йӗнӗ
140,Tier::N,动物,выльӑх
141,Herde::N,群,кӗтӳ
142,Kuh::N,母牛,ӗне
143,Bulle::N,公牛,вӑкӑр
144,Pferd::N,马,лаша
145,Schaf::N,羊,сурӑх
146,Schwein::N,猪,сысна
147,Hund::N,狗,йытӑ
148,Katze::N,猫,кушак
149,Bär::N,熊,упа
150,Eichhörnchen::N,松鼠,пакша
151,Elch::N,麋鹿,пӑши
152,Fuchs::N,狐狸,тилӗ
153,Hase::N,兔子,куян
154,Hase::N,兔子,мулкач
155,Maus::N,老鼠,шӑши
156,Wolf::N,狼,кашкӑр
157,Vogel::N,鸟,кайӑк
158,Vogel::N,鸟,вӗҫен кайӑк
159,Schwarm::N,群,ушкӑн
160,Huhn::N,鸡,чӑх
161,Huhn::N,鸡,чӑхӑ
162,Hahn::N,公鸡,автан
163,Gans::N,鹅,хур
164,Adler::N,鹰,ӑмӑрт кайӑк
165,Ente::N,鸭,кӑвакал
166,Eule::N,猫头鹰,тӑмана
167,Kranich::N,鹤,тӑрна
168,Krähe::N,乌鸦,ула курак
169,Kuckuck::N,布谷鸟,куккук
170,Schwan::N,天鹅,акӑш
171,Fisch::N,鱼,пулӑ
172,Barsch::N,鲈鱼,уланкӑ
173,Hecht::N,狗鱼,ҫӑрттан
174,Schlange[Tier]::N,蛇,ҫӗлен
175,Wurm::N,蠕虫,ӑман
176,Spinne::N,蜘蛛,эрешмен
177,Ameise::N,蚂蚁,кӑткӑ
178,Laus::N,虱子,пыйтӑ
179,Mücke::N,蚊子,вӑрӑм туна
180,Fliege::N,苍蝇,шӑна
181,Schmetterling::N,蝴蝶,лӗпӗш
182,Beere::N,将果,ҫырла
183,Apfel::N,苹果,улма
184,Apfel::N,苹果,пан улми
185,Pilz::N,蘑菇,кӑмпа
186,Zwiebel::N,洋葱,сухан
187,Saat::N,种子,вӑрӑ
188,Korn::N,谷粒,тӗшӗ
189,Korn::N,谷粒,пӗрчӗ
190,Heu::N,干草,утӑ
191,Schale::N,壳,хупӑ
192,Grube::N,坑,шӑтӑк
193,Falle::N,圈套,тапӑ
194,Falle::N,圈套,капкӑн
195,Schlinge::N,活扣,йӑлӑ
196,Spur::N,踪迹,йӗр
197,Asche::N,灰烬,кӗл
198,Dreck::N,污垢,пылчӑк
199,Eisen::N,铁,тимӗр
200,Gold::N,金子,ылтӑн
201,Silber::N,银,кӗмӗл
202,Kohle::N,煤,кӑмрӑк
203,Glas::N,玻璃,кӗленче
204,Lehm::N,粘土,тӑм
205,Sand::N,沙,хӑйӑр
206,Mensch::N,人,ҫын
207,Mensch::N,人,этем
208,Mann::N,男子,ар
209,Frau::N,妇女,хӗрарӑм
210,Kind::N,小孩,ача
211,Junge::N,男孩,ача
212,Junge::N,男孩,ар ҫын ача
213,Mädchen::N,女孩,хӗр ача
214,Familie::N,家庭,ҫемье
215,Familie::N,家庭,кил-йыш
216,Großvater::N,祖父,кукаҫи
217,Großmutter::N,祖母,кукамай
218,Eltern::N,父母,аҫа-ама
219,Vater::N,父亲,атте
220,Mutter::N,母亲,анне
221,Sohn::N,儿子,ывӑл
222,Tochter::N,女儿,хӗр
223,Bruder::N,兄弟,ар тӑван
224,Schwester::N,姐妹,аппа
225,Schwester::N,姐妹,йӑмӑк
226,Onkel::N,伯父,мучи
227,Onkel::N,伯父,пичче
228,Tante::N,阿姨,аппа
229,Ehemann::N,丈夫,упӑшка
230,Ehefrau::N,妻子,арӑм
231,Freude::N,愉快,савӑнӑҫ
232,Freude::N,愉快,хаваслӑх
233,Gelächter::N,大笑,кулӑ
234,Glück::N,运气,телей
235,Glück::N,运气,ӑраскал
236,Kummer::N,苦恼,хурлӑх
237,Wunsch::N,愿望,ӗмӗт
238,Wunsch::N,愿望,кӑмӑл
239,Lust::N,乐趣,кӑмӑл
240,Geist::N,精神,чун-чӗм
241,Geist::N,精神,ыр-усал
242,Geist::N,精神,чун хавалӗ
243,Gedanke::N,思想,шухӑш
244,Gedächtnis::N,记性,ас
245,Verstand::N,理智,ӑс
246,Verstand::N,理智,ӑс-тӑн
247,Verstand::N,理智,ӑс-хакӑл
248,Sinn::N,感觉,тупсӑм
249,Sinn::N,感觉,пӗлтерӗш
250,Grund::N,理由,сӑлтав
251,Wahrheit::N,真理,чӑнлӑх
252,Gespräch::N,谈话,калаҫу
253,Märchen::N,童话,юмах
254,Erzählung::N,故事,акалав
255,Erzählung::N,故事,каласа пани
256,Nachricht::N,消息,хыпар
257,Neuigkeit::N,新闻,ҫӗнӗ хыпар
258,Name::N,名字,ят
259,Rätsel::N,谜语,сутмалли юмах
260,Rede::N,讲话,сӑмах
261,Sprache::N,语言,чӗлхе
262,Stimme::N,声音,сасӑ
263,Wort::N,词,сӑмах
264,Zeichen::N,标记,паллӑ
265,Ruf::N,呼喊,йыхрав
266,Ruf::N,呼喊,чӗнӳ
267,Lärm::N,噪音,шав
268,Laut::N,响声,сасӑ
269,Ton::N,声音,сасӑ
270,Lied::N,歌曲,юрӑ
271,Ruhe::N,安静,канӑҫлӑх
272,Ruhe::N,安静,лӑпкӑлӑх
273,Leute::N,人们,ҫамрӑксем
274,Leute::N,人们,ҫамрӑк ҫынсем
275,Volk::N,人民,халӑх
276,Arbeit::N,劳动,ӗҫхӗл
277,Arbeit::N,劳动,ӗҫлев
278,Gast::N,客人,хӑна
279,Geschenk::N,礼物,парне
280,Geschenk::N,礼物,кучченеҫ
281,Spiel::N,游戏,вӑйӑ
282,Gesellschaft::N,陪同,общество
283,Hilfe::N,帮助,пулӑшу
284,Freund::N,朋友,тус
285,Kamerad::N,同志,юлташ
286,Kamerad::N,同志,тус
287,Angelegenheit::N,事情,ӗҫ
288,Anzahl::N,数目,йыш
289,Anzahl::N,数目,хисеп
290,Art::N,种类,тӗс
291,Stück::N,块,татӑк
292,Teil::N,部分,пай
293,Hälfte::N,一半,ҫурӑ
294,Kreis::N,圆,ункӑ
295,Kreis::N,圆,ҫавракӑш
296,Kreuz::N,十字架,хӗрес
297,Linie::N,线条,йӗр
298,Strich::N,划,йӗр
299,Abstand::N,距离,хушӑ
300,Entfernung::N,距离,хушӑ
301,Gegend::N,地区,вырӑн
302,Platz::N,场所,хутлӑх
303,Ort::N,地点,вырӑн
304,Seite::N,面,ен
305,Seite::N,面,аяк
306,Seite::N,面,айӑк
307,Mitte::N,中间,варӑ
308,Gegenstand::N,物品,япала
309,Sache::N,物,япала
310,Rand::N,边,вӗҫ
311,Rand::N,边,хӗрӗ
312,Rand::N,边,хӗрри
313,Kante::N,棱,хайкача
314,Kante::N,棱,хысак
315,Ecke::N,角,кӗтес
316,Spitze::N,尖,вӗҫ
317,Ende::N,结尾,вӗҫ
318,Loch::N,洞,шӑтӑк
319,Winkel::N,角度,кӗтес
320,Muster::N,模型,эреш
321,Größe::N,大小,пысӑкӑш
322,Länge::N,长度,вӑрӑмӑш
323,Höhe::N,高度,ҫӳллӗш
324,Gewicht::N,重量,виҫе
