,Concept_ID,ru,el
0,Auge::N,глаз,μάτι
1,Auge::N,глаз,οφθαλμός
2,Ohr::N,ухо,αυτί
3,Nase::N,нос,μύτη
4,Mund::N,рот,στόμα
5,Zahn::N,зуб,δόντι
6,Zunge::N,язык,γλώσσα
7,Lippe::N,губа,χείλος
8,Wange::N,щека,παρειά
9,Wange::N,щека,μάγουλο
10,Gesicht::N,лицо,πρόσωπο
11,Stirn::N,лоб,μέτωπο
12,Haar::N,волос,μαλλιά
13,Haar::N,волосы,μαλλιά
14,Schnurrbart::N,ус,μουστάκι
15,Schnurrbart::N,усы,μουστάκι
16,Bart::N,борода,γένια
17,Kinn::N,подбородок,πιγούνι
18,Kiefer[Anatomie]::N,челюсть,σαγόνι
19,Kehle::N,горло,λαρύγγι
20,Hals::N,шея,λαιμός
21,Genick::N,затылок,σβέρκος
22,Kopf::N,голова,κεφάλι
23,Rücken::N,спина,ράχη
24,Bauch::N,живот,κοιλιά
25,Nabel::N,пупок,αφαλός
26,Busen::N,женская грудь,στήθος
27,Brust::N,грудь,στήθος
28,Schulter::N,плечо,ώμος
29,Arm::N,рука,χέρι
30,Arm::N,рука,μπράτςο
31,Ellenbogen::N,локоть,αγκώνας
32,Hand::N,кисть,χέρι
33,Handfläche::N,ладонь,παλάμη
34,Finger::N,палец,δάχτυλο
35,Fingernagel::N,ноготь,νύχι
36,Nagel[Anatomie]::N,ноготь,νύχι
37,Zeh::N,палец,δάχτυλο του ποδιού
38,Fuß::N,ступня,πόδι
39,Ferse::N,пята,φτέρνα
40,Ferse::N,пятка,φτέρνα
41,Knie::N,колено,γόνατο
42,Oberschenkel::N,бедро,μηρός
43,Bein::N,нога,πόδι
44,Körper::N,тело,σώμα
45,Körper::N,тело,κορμί
46,Haut::N,кожа,πετσί
47,Blut::N,кровь,αίμα
48,Ader::N,вена,φλέβα
49,Ader::N,сосуд,φλέβα
50,Sehne::N,жила,νεύρο
51,Sehne::N,жила,τένοντας
52,Sehne::N,тетива,νεύρο
53,Sehne::N,тетива,τένοντας
54,Sehne::N,сухожилие,νεύρο
55,Sehne::N,сухожилие,τένοντας
56,Knochen::N,кость,οστό
57,Knochen::N,кость,κόκκαλο
58,Gehirn::N,мозг,μυαλό
59,Gehirn::N,мозг,εγκέφαλος
60,Herz::N,сердце,καρδιά
61,Magen::N,желудок,στομάχι
62,Leber::N,печень,ήπαρ
63,Leber::N,печень,συκωτί
64,Atem::N,дух,αναπνοή
65,Atem::N,дыхание,αναπνοή
66,Hunger::N,голод,πείνα
67,Träne::N,слеза,δάκρυ
68,Geschmack::N,вкус,γεύση
69,Geruch::N,запах,οσμή
70,Geruch::N,запах,μυρωδία
71,Schlaf::N,сон,ύπνος
72,Traum::N,сновидение,όνειρο
73,Himmel::N,небо,ουρανός
74,Sonne::N,солнце,ήλιος
75,Mond::N,луна,σελήνη
76,Mond::N,луна,φεγγάρι
77,Stern::N,звезда,άστρο
78,Stern::N,звезда,αστέρι
79,Luft::N,воздух,αέρας
80,Wind::N,ветер,αέρας
81,Wind::N,ветер,άνεμος
82,Welle::N,волна,κύμα
83,Wasser::N,вода,νερό
84,Stein::N,камень,πέτρα
85,Boden::N,почва,χώμα
86,Erde::N,земля,γη
87,Staub::N,пыль,σκόνη
88,Rauch::N,дым,καπνός
89,Funke::N,искра,σπίθα
90,Funke::N,искра,σπινθήρας
91,Feuer::N,огонь,φωτιά
92,Licht::N,свет,φως
93,Schatten::N,тень,σκιά
94,Schatten::N,тень,ίσκιος
95,Wetter::N,погода,καιρός
96,Nebel::N,туман,ομίχλη
97,Wolke::N,облако,σύννεφο
98,Regen::N,дождь,βροχή
99,Schnee::N,снег,χιόνι
100,Eis::N,лед,πάγος
101,Frost::N,мороз,παγωνία
102,Kälte::N,холод,κρύο
103,Kälte::N,холод,ψύχος
104,Hitze::N,жара,ζέστη
105,Raureif::N,иней,πάχνη
106,Regenbogen::N,радуга,ουράνιο τόξο
107,Donner::N,гром,βροντή
108,Strömung::N,течение,ρεύμα
109,Tropfen::N,капля,στάλα
110,Schaum::N,пена,αφρός
111,Schmutz::N,грязь,βρωμιά
112,See::N,озеро,λίμνη
113,Sumpf::N,топь,βάλτος
114,Moor::N,болото,έλος
115,Wiese::N,луг,λιβάδι
116,Wald::N,лес,δάσος
117,Hügel::N,холм,λόφος
118,Anhöhe::N,возвышенность,ύψωμα
119,Berg::N,гора,όρος
120,Berg::N,гора,βουνό
121,Gipfel::N,вершина,κορυφή
122,Höhle::N,пещера,σπηλιά
123,Abhang::N,склон,πλαγιά
124,Quelle::N,источник,πηγή
125,Quelle::N,источник,βρύση
126,Bach::N,ручей,ρυάκι
127,Fluss::N,река,ποτάμι
128,Fluss::N,река,ποταμός
129,Ufer::N,берег,όχθη
130,Küste::N,побережье,ακτή
131,Küste::N,побережье,ακρογιαλιά
132,Festland::N,суша,στεριά
133,Meer::N,море,θάλασσα
134,Bucht::N,бухта,κόλπος
135,Insel::N,остров,νησί
136,Insel::N,остров,νήσος
137,Blume::N,цветок,άνθος
138,Blume::N,цветок,λουλούδι
139,Gras::N,трава,χόρτο
140,Gras::N,трава,χορτάρι
141,Wurzel::N,корень,ρίζα
142,Baum::N,дерево,δέντρο
143,Stamm::N,ствол,κορμός
144,Rinde::N,кора,φλούδα
145,Ast::N,сук,κλαδί
146,Zweig::N,ветвь,κλαδί
147,Zweig::N,ветвь,κλάδος
148,Blatt::N,лист,φύλλο
149,Birke::N,береза,σημύδα
150,Kiefer[Baum]::N,сосна,πεύκο
151,Weide[Baum]::N,ива,ιτιά
152,Tanne::N,ель,έλατο
153,Horn::N,рог,κέρας
154,Horn::N,рог,κέρατο
155,Feder::N,перо,φτερό
156,Fell::N,шкура,δέρμα
157,Fell::N,шкура,τομάρι
158,Flügel::N,крыло,πτερύγιο
159,Klaue::N,коготь,κουλό
160,Kralle::N,лапа,νύχι
161,Schwanz::N,хвост,ουρά
162,Ei::N,яйцо,αβγό
163,Nest::N,гнездо,φωλιά
164,Bau::N,нора,φωλιά
165,Tier::N,животное,ζώο
166,Herde::N,стадо,κοπάδι
167,Kuh::N,корова,αγελάδα
168,Bulle::N,бык,ταύρος
169,Pferd::N,лошадь,άλογο
170,Schaf::N,овца,πρόβατο
171,Schwein::N,свинья,γουρούνι
172,Hund::N,собака,σκυλί
173,Hund::N,собака,σκύλος
174,Katze::N,кошка,γάτα
175,Bär::N,медведь,άρκτος
176,Bär::N,медведь,αρκούδα
177,Eichhörnchen::N,белка,βερβερίτσα
178,Elch::N,лось,άλκη
179,Fuchs::N,лиса,αλεπού
180,Hase::N,заяц,λαγός
181,Maus::N,мышь,ποντικός
182,Wolf::N,волк,λύκος
183,Vogel::N,птица,πουλί
184,Schwarm::N,стая,σμήνος
185,Huhn::N,курица,κότα
186,Huhn::N,курица,όρνιθα
187,Hahn::N,петух,πετεινός
188,Gans::N,гусь,χήνα
189,Adler::N,орел,αετός
190,Ente::N,утка,πάπια
191,Eule::N,сова,κουκουβάγια
192,Kranich::N,журавль,γερανός
193,Krähe::N,ворона,καρακάξα
194,Kuckuck::N,кукушка,κούκος
195,Schwan::N,лебедь,κύκνος
196,Fisch::N,рыба,ψάρι
197,Barsch::N,окунь,πέρκα
198,Hecht::N,щука,λούτσος
199,Schlange[Tier]::N,змея,φίδι
200,Wurm::N,червяк,σκουλήκι
201,Spinne::N,паук,αράχνη
202,Ameise::N,муравей,μυρμήγκι
203,Laus::N,вошь,ψείρα
204,Mücke::N,комар,κουνούπι
205,Fliege::N,муха,μύγα
206,Schmetterling::N,бабочка,πεταλούδα
207,Beere::N,ягода,ρόγα
208,Apfel::N,яблоко,μήλο
209,Pilz::N,гриб,μανιτάρι
210,Zwiebel::N,луковица,κρεμμύδι
211,Saat::N,семя,σπόρος
212,Korn::N,зерно,σπυρί
213,Heu::N,сено,σανός
214,Schale::N,шелуха,τσόφλι
215,Grube::N,яма,λάκκος
216,Falle::N,ловушка,παγίδα
217,Schlinge::N,силок,θηλειά
218,Spur::N,след,ίχνος
219,Asche::N,зола,στάχτη
220,Asche::N,пепел,στάχτη
221,Dreck::N,грязь,βρωμιά
222,Eisen::N,железо,σίδερο
223,Gold::N,золото,μάλαμα
224,Gold::N,золото,χρυσάφι
225,Silber::N,серебро,ασήμι
226,Silber::N,серебро,άργυρος
227,Kohle::N,уголь,κάρβουνο
228,Glas::N,стекло,γυαλί
229,Lehm::N,глина,πηλός
230,Sand::N,песок,άμμος
231,Mensch::N,человек,άνθρωπος
232,Mann::N,мужчина,άνδρας
233,Frau::N,женщина,γυναίκα
234,Kind::N,ребенок,παιδί
235,Junge::N,мальчик,αγόρι
236,Mädchen::N,девочка,κοπέλα
237,Mädchen::N,девочка,κορίτσι
238,Familie::N,семья,οικογένεια
239,Großvater::N,дедушка,παππούς
240,Großmutter::N,бабушка,γιαγιά
241,Eltern::N,родители,γονείς
242,Vater::N,отец,πατέρας
243,Mutter::N,мать,μητέρα
244,Sohn::N,сын,γιος
245,Tochter::N,дочь,κόρη
246,Bruder::N,брат,αδελφός
247,Schwester::N,сестра,αδελφή
248,Onkel::N,дядя,θείος
249,Tante::N,тетя,θεία
250,Ehemann::N,муж,σύζυγος
251,Ehefrau::N,жена,σύζυγος
252,Freude::N,радость,χαρά
253,Gelächter::N,смех,γέλια
254,Glück::N,счастье,ευτυχία
255,Kummer::N,горе,έγνοια
256,Wunsch::N,желание,επιθυμία
257,Lust::N,влечение,όρεξη
