,Concept_ID,he,xal
0,Auge::N,עין,нүдн
1,Ohr::N,אזן,чикн
2,Nase::N,אף,хамр
3,Nase::N,חטם,хамр
4,Mund::N,פה,амн
5,Zahn::N,שן,шүдн
6,Zunge::N,לשון,келн
7,Lippe::N,שפה,урл
8,Wange::N,לחי,халх
9,Gesicht::N,פנים,нүр
10,Stirn::N,מצח,маңна
11,Haar::N,שערה,үсн
12,Schnurrbart::N,שפם,сахл
13,Bart::N,זקן,сахл
14,Bart::N,זקן,өргнә сахл
15,Kinn::N,סנטר,өргн
16,Kiefer[Anatomie]::N,לסת,өргн
17,Kehle::N,גרון,хол
18,Hals::N,צואר,күзүн
19,Genick::N,ערף,гиҗг
20,Kopf::N,ראש,толһа
21,Rücken::N,גב,нурһн
22,Bauch::N,בטן,гесн
23,Nabel::N,טבור,киисн
24,Busen::N,שד,көкн
25,Brust::N,חזה,чееҗ
26,Schulter::N,כתף,ээм
27,Arm::N,זרוע,һар
28,Ellenbogen::N,מרפק,тоха
29,Hand::N,יד,баһлцг
30,Handfläche::N,כף יד,альхн
31,Finger::N,אצבע,хурһн
32,Finger::N,אצבע,һарин хурһн
33,Fingernagel::N,צפרן,хумсн
34,Nagel[Anatomie]::N,צפרן,хумсн
35,Zeh::N,אצבע,хурһн
36,Zeh::N,אצבע,көлин хурһн
37,Fuß::N,רגל,тавг
38,Ferse::N,עקב,өскә
39,Knie::N,ברך,өвдг
40,Oberschenkel::N,ירך,һуй
41,Bein::N,רגל,көл
42,Körper::N,גוף,махмуд
43,Haut::N,עור,арсн
44,Blut::N,דם,цусн
45,Ader::N,וריד,судцн
46,Sehne::N,גיד,шүрүсн
47,Knochen::N,עצם,ясн
48,Gehirn::N,מוח,экн
49,Herz::N,לב,зүркн
50,Magen::N,קבה,гесн
51,Leber::N,כבד,элкн
52,Atem::N,נשימה,әмсхл
53,Hunger::N,רעב,харһнлһн
54,Träne::N,דמעה,нульмсн
55,Geschmack::N,טעם,амтн
56,Geruch::N,ריח,үнр
57,Schlaf::N,שנה,нөр
58,Traum::N,חלום,зүүдн
59,Himmel::N,שמים,теңгр
60,Sonne::N,שמש,нарн
61,Mond::N,ירח,сар
62,Stern::N,כוכב,одн
63,Luft::N,אויר,аһар
64,Wind::N,רוח,салькн
65,Welle::N,גל,дольган
66,Wasser::N,מים,усн
67,Stein::N,אבן,чолун
68,Boden::N,קרקע,Һазр
69,Erde::N,אדמה,Һазр
70,Staub::N,אבק,тоосн
71,Rauch::N,עשן,утан
72,Funke::N,ניצוץ,очн
73,Feuer::N,אש,һал
74,Licht::N,אור,герл
75,Schatten::N,צל,сүүдр
76,Wetter::N,מזג אויר,теңгр
77,Nebel::N,ערפל,будн
78,Wolke::N,ענן,үүлн
79,Regen::N,גשם,хур
80,Schnee::N,שלג,цасн
81,Eis::N,קרח,мөсн
82,Frost::N,צנה,киитн
83,Kälte::N,קר,киитн
84,Hitze::N,חם,халун
85,Raureif::N,כפור,цаң
86,Raureif::N,כפור,кирү
87,Regenbogen::N,קשת,солңһ
88,Donner::N,רעם,оһтрһун дун
89,Strömung::N,זרימה,урсхл
90,Tropfen::N,טפה,дусал
