,Concept_ID,br,sq
0,Auge::N,lagad,sy
1,Ohr::N,skouarn,vesh
2,Nase::N,fri,hundë
3,Mund::N,genoù,gojë
4,Zahn::N,dant,dhëmb
5,Zunge::N,teod,gjuhë
6,Lippe::N,muzell,buzë
7,Wange::N,chot,faqe
8,Wange::N,chot,mollëz
9,Gesicht::N,dremm,fytyrë
10,Stirn::N,tal,ballë
11,Haar::N,blev,flokë
12,Schnurrbart::N,mourenn,mustaqe
13,Bart::N,barv,mjekër
14,Kinn::N,groñj,mjekër
15,Kiefer[Anatomie]::N,javed,nofull
16,Kehle::N,gouzoug,fyt
17,Kehle::N,gouzoug,grykë
18,Hals::N,gouzoug,qafë
19,Genick::N,choug,arrëz
20,Kopf::N,penn,kokë
21,Rücken::N,kein,kurriz
22,Bauch::N,kof,bark
23,Nabel::N,begel,kërthizë
24,Busen::N,bronn,gji
25,Brust::N,bruched,gjoks
26,Brust::N,bruched,kraharor
27,Schulter::N,skoaz,sup
28,Schulter::N,skoaz,krah
29,Arm::N,brec'h,krah
30,Ellenbogen::N,ilin,bërryl
31,Hand::N,dorn,dorë
32,Handfläche::N,palv,pëllëmbë
33,Finger::N,biz,gisht
34,Fingernagel::N,ivin,thua
35,Nagel[Anatomie]::N,ivin,thua
36,Zeh::N,biz-troad,gisht i këmbës
37,Fuß::N,troad,këmbë
38,Ferse::N,seul,thembër
39,Knie::N,glin,gju
40,Oberschenkel::N,morzhed,kofshë
41,Bein::N,gar,këmbë
42,Körper::N,korf,trup
43,Haut::N,kroc'hen,lëkurë
44,Blut::N,gwad,gjak
45,Ader::N,gwazhi,venë
46,Sehne::N,stir,dell
47,Knochen::N,askorn,asht
48,Knochen::N,askorn,kockë
49,Gehirn::N,empenn,tru
50,Herz::N,kalon,zemër
51,Magen::N,stomog,stomak
52,Leber::N,avu,mëlçi
53,Atem::N,anal,frymë
54,Hunger::N,naon,uri
55,Träne::N,daer,lot
56,Geschmack::N,blaz,shije
57,Geruch::N,c'hwezh,erë
58,Schlaf::N,kousked,gjumë
59,Traum::N,hune,ëndërr
60,Himmel::N,oabl,qiell
61,Sonne::N,heol,diell
62,Mond::N,loar,hënë
63,Stern::N,steredenn,yll
64,Luft::N,aer,ajër
65,Wind::N,avel,erë
66,Welle::N,houlenn,valë
67,Welle::N,houlenn,dallgë
68,Wasser::N,dour,ujë
69,Stein::N,maen,gur
70,Boden::N,tachenn,tokë
71,Boden::N,tachenn,truall
72,Erde::N,douar,dhe
73,Erde::N,douar,baltë
74,Staub::N,poultr,pluhur
75,Rauch::N,moged,tym
76,Funke::N,ful,xixë
77,Funke::N,ful,shkëndijë
78,Feuer::N,tan,zjarr
79,Licht::N,gouloù,dritë
80,Schatten::N,disheol,hije
81,Wetter::N,amzer,mot
82,Nebel::N,brumenn,mjegull
83,Wolke::N,koumoulenn,re
84,Regen::N,glav,shi
85,Schnee::N,erc'h,borë
86,Eis::N,skorn,akull
87,Frost::N,rev,ngricë
88,Kälte::N,yen,të ftohtë
89,Hitze::N,tommder,vapë
90,Hitze::N,tommder,nxehtësi
91,Raureif::N,frim,cikmë
92,Regenbogen::N,gwareg-ar-glav,ylber
93,Donner::N,kurun,gjëmim
94,Donner::N,kurun,bubullimë
95,Strömung::N,red,rrymë
96,Tropfen::N,bannac'h,pikë
97,Tropfen::N,takenn,pikë
98,Schaum::N,spoum,shkumë
99,Schmutz::N,fank,baltë
100,See::N,lenn,liqen
101,Sumpf::N,gwern,batak
102,Moor::N,taouarc'heg,kënetë
103,Wiese::N,prad,livadh
104,Wald::N,koad,pyll
105,Hügel::N,torgenn,kodër
106,Anhöhe::N,run,bregore
107,Berg::N,menez,mal
108,Gipfel::N,barr,kulm
109,Höhle::N,kav,shpellë
110,Höhle::N,kav,zgafelle
111,Abhang::N,naou,shpat
112,Abhang::N,naou,tatëpjetë
113,Quelle::N,feunteun,krua
114,Quelle::N,feunteun,burim
115,Bach::N,gwazh,virua
116,Fluss::N,stêr,lumë
117,Ufer::N,ribl,breg
118,Küste::N,aod,anëdet
119,Küste::N,aod,bregdet
120,Festland::N,douar,kontinent
121,Meer::N,mor,det
122,Bucht::N,mor-bihan,gji deti
123,Insel::N,enez,ishull
124,Insel::N,enez,ujdhesë
125,Blume::N,bleunienn,lule
126,Gras::N,geot,bar
127,Wurzel::N,gwrizienn,rrënjë
128,Baum::N,gwezenn,pemë
129,Stamm::N,kef,trung
130,Rinde::N,rusk,lëvore
131,Ast::N,barr,degë
132,Zweig::N,bod,bisk
133,Blatt::N,delienn,fletë
134,Blatt::N,delienn,gjethe
135,Birke::N,bezvenn,mështekën
136,Kiefer[Baum]::N,pinenn,pishë
137,Weide[Baum]::N,halegenn,shelg
138,Tanne::N,sapenn,bredh
139,Horn::N,korn,bri
140,Feder::N,pluñv,pupël
141,Fell::N,kreoñ,lëkurë
142,Flügel::N,askell,krah
143,Flügel::N,askell,fletë
144,Klaue::N,skilf,kthetër
145,Kralle::N,skilf,thua
146,Kralle::N,skilf,kthetër
147,Schwanz::N,lost,bisht
148,Ei::N,vi,vezë
149,Nest::N,neizh,fole
150,Bau::N,douarenn,strofkë
151,Tier::N,loen,kafshë
152,Herde::N,tropell,kope
153,Herde::N,tropell,grigjë
154,Kuh::N,buoc'h,lopë
155,Bulle::N,tarv,dem
156,Pferd::N,marc'h,kalë
157,Schaf::N,dañvad,dele
158,Schwein::N,pemoc'h,derr
159,Hund::N,ki,qen
160,Katze::N,kazh,mace
161,Bär::N,arzh,ari
162,Eichhörnchen::N,gwiñver,ketër
163,Elch::N,karv-dour,dre brilopatë
164,Fuchs::N,louarn,dhelpër
165,Hase::N,gad,lepur
166,Maus::N,logodenn,mi
167,Wolf::N,bleiz,ujk
168,Vogel::N,labous,zog
169,Vogel::N,labous,shpend
170,Schwarm::N,nijad,luzmë
171,Huhn::N,yar,pulë
172,Hahn::N,kilhog,gjel
173,Hahn::N,kilhog,këndes
174,Gans::N,gwazenn,patë
175,Adler::N,erer,shqiponjë
176,Ente::N,houad,rosë
177,Eule::N,toud,buf
178,Kranich::N,garan,lejlek
179,Kranich::N,garan,kurrillë
180,Krähe::N,bran,sorrë
181,Kuckuck::N,koukoug,qyqe
182,Schwan::N,alarc'h,mjellmë
183,Fisch::N,pesk,peshk
184,Barsch::N,brell,purtekë
185,Hecht::N,beked,mlysh
186,Schlange[Tier]::N,naer,gjarpër
187,Wurm::N,preñv,krimb
188,Spinne::N,kevnidenn,marimangë
189,Ameise::N,merion,thnegël
190,Ameise::N,merion,milingonë
191,Laus::N,laouenn,morr
192,Mücke::N,moustik,kunup
193,Mücke::N,moustik,mushkonjë
194,Fliege::N,kelienenn,mizë
195,Schmetterling::N,balafenn,flutur
196,Beere::N,hog,frutë
197,Beere::N,hog,manaferrë
198,Apfel::N,aval,mollë
199,Pilz::N,kabell-touseg,kërpudhë
200,Zwiebel::N,ognonenn,qepë
201,Saat::N,had,farë
202,Korn::N,ed,grurë
203,Korn::N,ed,kokërr
204,Heu::N,foenn,sanë
205,Schale::N,peliadur,lëkurë
206,Falle::N,pech,kurth
207,Falle::N,pech,grackë
208,Schlinge::N,krouglas,nyjë
209,Asche::N,ludu,hi
210,Dreck::N,fank,baltë
211,Eisen::N,houarn,hekur
212,Gold::N,aour,ar
213,Gold::N,aour,flori
214,Silber::N,arc'hant,argjend
215,Kohle::N,glaou,qymyr
216,Glas::N,gwer,qelq
217,Sand::N,traezh,rërë
218,Mensch::N,den,njeri
219,Mann::N,den,burrë
220,Mann::N,den,mashkull
221,Frau::N,maouez,grua
222,Frau::N,maouez,femër
223,Kind::N,bugel,kalama
224,Junge::N,paotr,djalë
225,Mädchen::N,plac'h,gocë
226,Mädchen::N,plac'h,vajzë
227,Familie::N,familh,familje
228,Großvater::N,tad-kozh,gjysh
229,Großmutter::N,mamm-gozh,gjyshe
230,Eltern::N,kerent,prindër
231,Vater::N,tad,atë
232,Mutter::N,mamm,nënë
233,Sohn::N,mab,bir
234,Tochter::N,merc'h,bijë
235,Bruder::N,breur,vëlla
236,Schwester::N,c'hoar,motër
237,Onkel::N,eontr,dajë
238,Onkel::N,eontr,xhaxha
239,Tante::N,moereb,teze
240,Tante::N,moereb,hallë
241,Ehemann::N,gwaz,burrë
242,Ehemann::N,gwaz,bashkëshort
243,Ehefrau::N,gwreg,grua
244,Ehefrau::N,gwreg,bashkëshorte
245,Freude::N,levenez,gaz
246,Freude::N,levenez,gëzim
247,Gelächter::N,c'hoarzherezh,qeshje
248,Glück::N,chañs,lumturi
249,Kummer::N,doan,brengë
250,Kummer::N,doan,pikëllim
251,Wunsch::N,c'hoant,dëshirë
252,Lust::N,c'hoant,epsh
253,Lust::N,c'hoant,dashuri
254,Geist::N,spered,frymë
255,Geist::N,spered,shpirt
256,Gedanke::N,soñj,ide
257,Gedanke::N,soñj,mendim
258,Gedächtnis::N,eñvor,kujtesë
259,Verstand::N,skiant,mend
260,Sinn::N,ster,kuptim
261,Grund::N,kaoz,arsye
262,Wahrheit::N,gwirionez,vërtetë
263,Gespräch::N,kaozeadenn,bisedim
264,Märchen::N,kaoz korriganez,përrallë
265,Erzählung::N,kontadenn,tregim
266,Nachricht::N,keloù,lajm
267,Neuigkeit::N,kelaouenn,risi
268,Name::N,anv,emër
269,Rätsel::N,divinatez,gjëzë
270,Rätsel::N,divinatez,gjëegjëzë
271,Rede::N,diskour,fjalim
272,Sprache::N,yezh,gjuhë
273,Stimme::N,mouezh,zë
274,Wort::N,ger,fjalë
275,Zeichen::N,sin,shenjë
276,Ruf::N,galv,thirrmë
277,Lärm::N,trouz,zhurmë
278,Ton::N,ton,ton
279,Lied::N,kanaouenn,këngë
280,Ruhe::N,sioulded,qetësi
281,Leute::N,tud,botë
282,Leute::N,tud,njerëz
283,Volk::N,pobl,popull
284,Arbeit::N,labour,punë
285,Gast::N,kouviad,mik
286,Gast::N,kouviad,mysafir
287,Geschenk::N,prof,dhuratë
288,Geschenk::N,prof,peshqesh
289,Spiel::N,c'hoari,lojë
290,Gesellschaft::N,kompagnunezh,shoqëri
291,Gesellschaft::N,kavandad,shoqëri
292,Hilfe::N,sikour,ndihmë
293,Freund::N,mignon,mik
294,Kamerad::N,kamarad,shok
295,Angelegenheit::N,afer,punë
296,Anzahl::N,niver,sasi
297,Art::N,sort,lloj
298,Stück::N,tamm,copë
299,Teil::N,pezh,pjesë
300,Hälfte::N,hanterenn,gjysmë
301,Kreis::N,kelc'h,qark
302,Kreis::N,kelc'h,rreth
303,Kreuz::N,kroaz,kryq
304,Linie::N,linenn,vijë
305,Strich::N,tenn,vizë
306,Abstand::N,distok,distancë
307,Entfernung::N,keid,largim
308,Entfernung::N,kehid,largim
309,Gegend::N,korn-bro,vise
310,Gegend::N,korn-bro,krahinë
311,Platz::N,plasenn,shesh
312,Ort::N,lec'h,vend
313,Seite::N,tu,anë
314,Mitte::N,kreiz,mes
315,Gegenstand::N,tra,send
316,Sache::N,tra,gjë
317,Sache::N,tra,send
318,Rand::N,kantenn,qoshe
319,Kante::N,kantenn,teh
320,Ecke::N,korn,qoshe
321,Spitze::N,begell,majë
322,Ende::N,dibenn,skaj
323,Ende::N,dibenn,bisht
324,Loch::N,toull,vrimë
325,Muster::N,tresadenn,mostër
326,Größe::N,ment,madhësi
327,Länge::N,hirder,gjatësi
328,Höhe::N,uhelder,lartësi
329,Gewicht::N,pouez,peshë
330,Menge::N,bern,sasi
331,Haufen::N,bern,grumbull
332,Reihe::N,steud,radhë
333,Reihe::N,steud,rresht
334,Boot::N,bag,barkë
335,Boot::N,bag,lundër
336,Ruder::N,roeñv,rrem
337,Schlitten::N,trainell,sajë
338,Ski::N,ski,ski
339,Last::N,karg,barrë
340,Gang::N,kerzh,ecje
341,Schritt::N,paz,hap
342,Norden::N,norzh,veri
343,Norden::N,hanternoz,veri
344,Süden::N,su,jug
345,Süden::N,kreisteiz,jug
346,Westen::N,kuzh-heol,perëndim
347,Osten::N,reter,lindje
348,Osten::N,sav-heol,lindje
349,Holz::N,koad,dru
350,Brett::N,plankenn,dërrasë
351,Platte::N,plakenn,pllakë
352,Stütze::N,harp,shtyllë
353,Stütze::N,harp,mbështetesë
354,Stange::N,sparl,shufër
355,Stock::N,bazh,dajak
356,Stab::N,bazh,shkop
357,Rohr::N,tub,tub
358,Rohr::N,korz,tub
359,Haus::N,ti,shtëpi
360,Heim::N,kêr,konak
361,Heim::N,kêr,shtëpi
362,Ofen::N,forn,sobë
363,Ofen::N,forn,stufë
364,Fußboden::N,plañchod,dysheme
365,Tisch::N,taol,tryezë
366,Stuhl::N,kador,karrige
367,Wiege::N,kavell,djep
368,Bett::N,gwele,shtrat
369,Regal::N,estajerenn,raft
370,Kiste::N,kased,kuti
371,Fenster::N,prenestr,dritare
372,Tür::N,dor,derë
373,Tor::N,portal,portë
374,Zaun::N,sklotur,gardh
375,Dach::N,toenn,çati
376,Leiter::N,skeul,shkallë
377,Besen::N,skubell,fshesë
378,Spaten::N,pal,lopatë
379,Schaufel::N,pal,qyrek
380,Gabel::N,fourchetez,pirun
381,Löffel::N,loa,lugë
382,Messer::N,kontell,thikë
383,Nagel::N,tach,gozhdë
384,Netz::N,roued,rrjetë
385,Haken::N,krog,grep
386,Haken::N,krog,grremç
387,Griff::N,kemer,dorak
388,Griff::N,kemer,dorezë
389,Schloss::N,potenn,bravë
390,Bild::N,skeudenn,tablo
391,Bild::N,skeudenn,pikturë
392,Figur::N,skeud,figurë
393,Figur::N,figur,figurë
394,Puppe::N,merc'hodenn,kukull
395,Beutel::N,sac'h,qese
396,Beutel::N,sac'h,trastë
397,Bündel::N,feskenn,deng
398,Tasche::N,sac'h,çantë
399,Eimer::N,sailh,kovë
400,Deckel::N,pallenn,kapak
401,Deckel::N,pallenn,mbulesë
402,Geschirr::N,listriaj,enë
403,Sack::N,sac'h,thes
404,Sack::N,sac'h,torbë
405,Tasse::N,tas,filxhan
406,Topf::N,pod,kusi
407,Topf::N,pod,tenxhere
408,Kessel::N,chaodouron,kazan
409,Essen::N,pred,ngrënie
410,Nahrung::N,boued,ushqim
411,Speise::N,meuz,gatesë
412,Fleisch::N,kig,mish
413,Getreide::N,ed,drithë
414,Brei::N,yod,qull
415,Brot::N,bara,bukë
416,Scheibe::N,tailhenn,fetë
417,Fett::N,lard,lyrë
418,Fett::N,lard,yndyrë
419,Butter::N,amann,gjalpë
420,Öl::N,eoul,vaj
421,Salz::N,holen,kripë
422,Suppe::N,soubenn,supë
423,Suppe::N,soubenn,çorbë
424,Honig::N,mel,mjaltë
425,Milch::N,laezh,qumësht
426,Tee::N,te,çaj
427,Leder::N,lêr,lëkurë
428,Wolle::N,gloan,lesh
429,Stoff::N,danvez,pëlhurë
430,Nadel::N,nadoz,gjilpërë
431,Faden::N,neudenn,pe
432,Faden::N,neudenn,fije
433,Knopf::N,bouton,kopsë
434,Knoten::N,skoulm,komb
435,Farbe::N,liv,bojë
436,Kleidung::N,dilhad,veshje
437,Hemd::N,roc'hed,këmishë
438,Kragen::N,gouzoug,jakë
439,Ärmel::N,milgin,mëngë
440,Hose::N,bragoù,brekë
441,Gürtel::N,gouriz,rrip
442,Mütze::N,boned,kësulë
443,Schuh::N,botez,këpucë
444,Stiefel::N,botez,çizme
445,Ring::N,gwalenn,unazë
446,Band::N,bagad,shirit
447,Kamm::N,krib,krehër
448,Spiegel::N,melezour,pasqyrë
449,Riemen::N,lerenn,rrip
450,Schnur::N,kordenn,litar
451,Schnur::N,kordenn,cikomë
452,Leine::N,roll,rrip
453,Decke::N,golo,batanije
454,Kissen::N,goubenner,jastëk
455,Tuch::N,mezher,shami
456,Handtuch::N,toailhon,peshqir
