,Concept_ID,tr,da
0,Auge::N,göz,øje
1,Ohr::N,kulak,øre
2,Nase::N,burun,næse
3,Mund::N,ağız,mund
4,Zahn::N,diş,tand
5,Zunge::N,dil,tunge
6,Lippe::N,dudak,læbe
7,Wange::N,yanak,kind
8,Gesicht::N,yüz,ansigt
9,Stirn::N,alın,pande
10,Haar::N,saç,hår
11,Schnurrbart::N,bıyık,overskæg
12,Bart::N,sakal,skæg
13,Kinn::N,çene,hage
14,Kiefer[Anatomie]::N,çene,kæbe
15,Kehle::N,boğaz,strube
16,Hals::N,boyun,hals
17,Hals::N,gerdan,hals
18,Genick::N,ense,nakke
19,Kopf::N,baş,hoved
20,Kopf::N,kafa,hoved
21,Rücken::N,arka,ryg
22,Bauch::N,karın,mave
23,Nabel::N,göbek,navle
24,Busen::N,koyun,barm
25,Brust::N,göğüs,bryst
26,Schulter::N,omuz,skulder
27,Arm::N,kol,arm
28,Ellenbogen::N,dirsek,albue
29,Hand::N,el,hånd
30,Handfläche::N,avuç,håndflade
31,Handfläche::N,el ayası,håndflade
32,Finger::N,parmak,finger
33,Fingernagel::N,el tırnağı,fingernegl
34,Nagel[Anatomie]::N,tırnak,negl
35,Zeh::N,ayak parmağı,tå
36,Fuß::N,ayak,fod
37,Ferse::N,topuk,hæl
38,Knie::N,diz,knæ
39,Oberschenkel::N,uyluk,lår
40,Bein::N,bacak,ben
41,Körper::N,vücut,krop
42,Körper::N,vücut,legeme
43,Haut::N,cilt,hud
44,Blut::N,kan,blod
45,Ader::N,damar,åre
46,Sehne::N,kiriş,sene
47,Knochen::N,kemik,ben
48,Gehirn::N,beyin,hjerne
49,Herz::N,kalp,hjerte
50,Herz::N,yürek,hjerte
51,Magen::N,mide,mave
52,Leber::N,karaciğer,lever
53,Atem::N,nefes,ånde
54,Hunger::N,açlık,sult
55,Träne::N,gözyaşı,tåre
56,Geschmack::N,tat,smag
57,Geschmack::N,lezzet,smag
58,Geruch::N,koku,lugt
59,Schlaf::N,uyku,søvn
60,Traum::N,düş,drøm
61,Traum::N,rüya,drøm
62,Himmel::N,gök,himmel
63,Sonne::N,güneş,sol
64,Mond::N,ay,måne
65,Stern::N,yıldız,stjerne
66,Luft::N,hava,luft
67,Wind::N,yel,vind
68,Wind::N,rüzgâr,vind
69,Welle::N,dalga,bølge
70,Wasser::N,su,vand
71,Stein::N,taş,sten
72,Boden::N,yer,jord
73,Boden::N,zemin,jord
74,Erde::N,toprak,jord
75,Staub::N,toz,støv
76,Rauch::N,duman,røg
77,Funke::N,kıvılcım,gnist
78,Feuer::N,ateş,ild
79,Licht::N,ışık,lys
80,Schatten::N,gölge,skygge
81,Wetter::N,hava,vejr
82,Nebel::N,pus,tåge
83,Wolke::N,bulut,sky
84,Regen::N,yağmur,regn
85,Schnee::N,kar,sne
86,Eis::N,buz,is
87,Frost::N,don,frost
88,Kälte::N,soğukluk,kulde
89,Hitze::N,sıcaklık,hede
90,Raureif::N,kırç,rimfrost
91,Regenbogen::N,gökkuşağı,regnbue
92,Donner::N,gök gürlemesi,torden
93,Strömung::N,akıntı,strømning
94,Strömung::N,cereyan,strømning
95,Tropfen::N,damla,dråbe
96,Schaum::N,köpük,skum
97,Schmutz::N,çamur,snavs
98,Schmutz::N,pislik,snavs
99,See::N,göl,sø
100,Sumpf::N,batak,sump
101,Moor::N,cılgıt,mose
102,Wiese::N,çimen,eng
103,Wald::N,koru,skov
104,Wald::N,orman,skov
105,Hügel::N,tepe,høj
106,Hügel::N,tepe,bakke
107,Anhöhe::N,tümsek,høj
108,Anhöhe::N,tümsek,bakke
109,Anhöhe::N,yükseklik,høj
110,Anhöhe::N,yükseklik,bakke
111,Berg::N,dağ,bjerg
112,Gipfel::N,zirve,top
