,Concept_ID,en,az
0,Auge::N,eye,göz
1,Ohr::N,ear,qulaq
2,Nase::N,nose,burun
3,Mund::N,mouth,ağız
4,Zahn::N,tooth,diş
5,Zunge::N,tongue,dil
6,Lippe::N,lip,dodaq
7,Wange::N,cheek,yanaq
8,Gesicht::N,face,üz
9,Stirn::N,forehead,alın
10,Haar::N,hair,saç
11,Schnurrbart::N,moustache,bığ
12,Bart::N,beard,saqqal
13,Kinn::N,chin,çənə
14,Kiefer[Anatomie]::N,jaw,çənə
15,Kehle::N,throat,boğaz
16,Hals::N,neck,boyun
17,Genick::N,nape,ənsə
18,Kopf::N,head,baş
19,Rücken::N,back,bel
20,Rücken::N,spine,bel
21,Bauch::N,belly,qarın
22,Nabel::N,navel,göbək
23,Busen::N,bosom,məmə
24,Brust::N,chest,döş
25,Brust::N,breast,döş
26,Schulter::N,shoulder,çiyin
27,Arm::N,arm,qol
28,Ellenbogen::N,elbow,dirsək
29,Hand::N,hand,əl
30,Handfläche::N,palm,ovuc
31,Finger::N,finger,barmaq
32,Fingernagel::N,fingernail,barmaq dırnağı
33,Nagel[Anatomie]::N,nail,dırnak
34,Zeh::N,toe,ayaq barmağı
35,Fuß::N,foot,ayaq
36,Ferse::N,heel,daban
37,Knie::N,knee,diz
38,Oberschenkel::N,thigh,bud
39,Bein::N,leg,qıç
40,Körper::N,body,əndam
41,Haut::N,skin,dəri
42,Blut::N,blood,qan
43,Ader::N,vein,damar
44,Sehne::N,sinew,vətər
45,Knochen::N,bone,sümük
46,Gehirn::N,brain,beyin
47,Herz::N,heart,ürək
48,Magen::N,stomach,mədə
49,Leber::N,liver,qara ciyər
50,Atem::N,breath,nəfəs
51,Hunger::N,hunger,aclıq
52,Träne::N,tear,göz yaşı
53,Geschmack::N,flavour,tam
54,Geschmack::N,flavour,ləzzət
55,Geschmack::N,flavor,tam
56,Geschmack::N,flavor,ləzzət
57,Geruch::N,odour,qoxu
58,Geruch::N,odor,qoxu
59,Schlaf::N,sleep,yuxu
60,Traum::N,dream,röya
61,Himmel::N,sky,göy
62,Himmel::N,sky,səma
63,Sonne::N,sun,günəş
64,Mond::N,moon,ay
65,Stern::N,star,ulduz
66,Luft::N,air,hava
67,Wind::N,wind,yel
68,Wind::N,wind,külək
69,Welle::N,wave,dalğa
70,Wasser::N,water,su
71,Stein::N,stone,daş
72,Boden::N,soil,yer
73,Boden::N,soil,zəmin
