,Concept_ID,cs,lt
0,Auge::N,oko,akis
1,Ohr::N,ucho,ausis
2,Nase::N,nos,nosis
3,Mund::N,pusa,burna
4,Zahn::N,zub,dantis
5,Zunge::N,jazyk,liežuvis
6,Lippe::N,ret,lūpa
7,Wange::N,tvář,žandas
8,Wange::N,tvář,skruostas
9,Gesicht::N,obličej,veidas
10,Stirn::N,čelo,kakta
11,Haar::N,vlas,plaukai
12,Haar::N,vlasy,plaukai
13,Schnurrbart::N,kníry,ūsai
14,Bart::N,vousy,barzda
15,Kinn::N,brada,smakras
16,Kiefer[Anatomie]::N,čelist,žandikaulis
17,Kehle::N,hrdlo,gerklė
18,Hals::N,krk,kaklas
19,Genick::N,týl,sprandas
20,Kopf::N,hlava,galva
21,Rücken::N,záda,nugara
22,Rücken::N,hřbet,nugara
23,Bauch::N,břicho,pilvas
24,Nabel::N,pupek,bamba
25,Busen::N,ňadra,krūtinė
26,Brust::N,prsa,krūtis
27,Schulter::N,plece,petys
28,Schulter::N,rameno,petys
29,Arm::N,ruka,ranka
30,Ellenbogen::N,loket,alkūnė
31,Hand::N,ruka,ranka
32,Hand::N,ruka,plaštaka
33,Handfläche::N,dlaň,delnas
34,Handfläche::N,dlaň,plaštaka
35,Finger::N,prst,pirštas
36,Fingernagel::N,nehet,nagas
37,Nagel[Anatomie]::N,nehet,nagas
38,Zeh::N,prst u nohy,pirštas
39,Fuß::N,noha,pėda
40,Ferse::N,pata,kulnas
41,Knie::N,koleno,kelis
42,Oberschenkel::N,stehno,kulšis
43,Oberschenkel::N,stehno,šlaunis
44,Bein::N,noha,koja
45,Körper::N,tělo,kūnas
46,Haut::N,kůže,oda
47,Blut::N,krev,kraujas
48,Ader::N,céva,kraujagyslė
49,Sehne::N,šlacha,sausgyslė
50,Knochen::N,kost,kaulas
51,Gehirn::N,mozek,smegenys
52,Herz::N,srdce,širdis
53,Magen::N,žaludek,skrandis
54,Leber::N,játra,kepenys
55,Atem::N,dech,kvapas
56,Hunger::N,hlad,badas
57,Hunger::N,hlad,alkis
58,Träne::N,slza,ašara
59,Geschmack::N,vkus,skonis
60,Geruch::N,vůně,kvapas
61,Geruch::N,zápach,kvapas
62,Schlaf::N,spánek,miegas
63,Traum::N,sen,sapnas
64,Himmel::N,nebe,dangus
65,Sonne::N,slunce,saulė
66,Mond::N,měsíc,mėnulis
67,Stern::N,hvězda,žvaigždė
68,Luft::N,vzduch,oras
69,Wind::N,vítr,vėjas
70,Welle::N,vlna,banga
71,Welle::N,vlna,vilnis
72,Wasser::N,voda,vanduo
73,Stein::N,kámen,akmuo
74,Boden::N,půda,žemė
75,Boden::N,půda,dugnas
76,Erde::N,země,žemė
77,Staub::N,prach,dulkės
78,Rauch::N,dým,dūmai
79,Rauch::N,kouř,dūmai
80,Funke::N,jiskra,kibirkštis
81,Feuer::N,oheň,ugnis
82,Licht::N,světlo,šviesa
83,Schatten::N,stín,paūksmė
84,Wetter::N,počasí,oras
85,Nebel::N,mlha,migla
86,Nebel::N,mlha,rūkas
87,Wolke::N,mrak,debesis
88,Wolke::N,oblak,debesis
89,Regen::N,déšť,lietus
90,Schnee::N,sníh,sniegas
91,Eis::N,led,ledas
92,Frost::N,mráz,šalna
93,Kälte::N,chlad,šaltis
94,Hitze::N,horko,karštis
95,Raureif::N,jinovatka,šerkšnas
96,Regenbogen::N,duha,vaivorykštė
97,Donner::N,hrom,perkūnas
98,Donner::N,hrom,griaustinis
99,Strömung::N,proudění,tėkmė
100,Tropfen::N,kapka,lašas
101,Schaum::N,pěna,putos
102,Schmutz::N,špína,purvas
103,See::N,jezero,ežeras
104,Sumpf::N,močál,klampynė
105,Sumpf::N,močál,liūnas
106,Sumpf::N,bažina,klampynė
107,Sumpf::N,bažina,liūnas
108,Moor::N,bažina,pelkė
109,Moor::N,slatina,pelkė
110,Wiese::N,louka,pieva
111,Wald::N,les,miškas
112,Hügel::N,kopec,kalva
113,Anhöhe::N,pahorek,kauburys
114,Berg::N,hora,kalnas
115,Gipfel::N,vrchol,viršūnė
116,Höhle::N,jeskyně,ola
117,Abhang::N,svah,šlaitas
