,Concept_ID,ml,hu
0,Auge::N,കണ്ണ്,szem
1,Ohr::N,ചെവി,fül
2,Nase::N,മൂക്ക്,orr
3,Mund::N,വായ,száj
4,Zahn::N,പല്ല്,fog
5,Zunge::N,നാക്ക്,nyelv
6,Lippe::N,ചുണ്ട്,ajak
7,Wange::N,കവിൾത്തടം,orca
8,Gesicht::N,മുഖം,arc
9,Stirn::N,നെറ്റി,homlok
10,Haar::N,തലമുടി,haj
11,Schnurrbart::N,മീശ,bajusz
12,Bart::N,താടിരോമം,szakáll
13,Kinn::N,താടി,áll
14,Kiefer[Anatomie]::N,താടിയെല്ല്,állkapocs
15,Kehle::N,കണ്ഠനാളം,gége
16,Kehle::N,കണ്ഠനാളം,torok
17,Hals::N,കഴുത്ത്,nyak
18,Genick::N,പിടലി,tarkó
19,Kopf::N,തല,fő
20,Kopf::N,തല,fej
21,Rücken::N,മുതുക്,hát
22,Bauch::N,നയറ്,has
23,Nabel::N,നാഭി,köldök
24,Busen::N,സ്തനം,mell
25,Busen::N,സ്തനം,kebel
26,Brust::N,സ്തനം,mell
27,Schulter::N,തോൾ,váll
28,Arm::N,കൈ,kar
29,Ellenbogen::N,കൈമുട്ട്,könyök
30,Hand::N,കൈ,kéz
31,Handfläche::N,ഉള്ളം കൈ,tenyér
32,Finger::N,വിരൽ,ujj
33,Fingernagel::N,നഖം,köröm
34,Nagel[Anatomie]::N,നഖം,köröm
35,Zeh::N,കാൽവിരൽ,lábujj
36,Fuß::N,കാൽപ്പാദം,láb
37,Ferse::N,ഉപ്പൂറ്റി,sarok
38,Knie::N,കാൽമുട്ട്,térd
39,Oberschenkel::N,തുട,comb
40,Bein::N,കാൽ,láb
41,Bein::N,കാൽ,lábszár
42,Körper::N,ശരീരം,test
43,Haut::N,ചർമ്മം,bőr
44,Blut::N,രക്തം,vér
45,Ader::N,ഞരമ്പ്,ér
46,Sehne::N,സ്നായു,ín
47,Knochen::N,അസ്ഥി,csont
48,Gehirn::N,തലച്ചോറ്,agy
49,Gehirn::N,തലച്ചോറ്,agyvelő
50,Herz::N,ഹൃദയം,szív
51,Magen::N,വയർ,gyomor
52,Leber::N,കരൾ,máj
53,Atem::N,ശ്വാസം,lehelet
54,Atem::N,ശ്വാസം,lélegzet
55,Hunger::N,വിശപ്പ്,éhség
56,Träne::N,കണ്ണീർ,könny
57,Geschmack::N,രുചി,íz
58,Geruch::N,ഗന്ധം,szag
59,Schlaf::N,ഉറകും,álom
