,Concept_ID,os,hu
1211,reparieren::V,æмпъузын,javít
1212,reparieren::V,æмпъузын,kijavít
1213,reparieren::V,æмпъузын,megjavít
1214,reparieren::V,цалцæг кæнын,javít
1215,reparieren::V,цалцæг кæнын,kijavít
1216,reparieren::V,цалцæг кæнын,megjavít
1217,verbessern::V,фæхуыздæр кæнын,megjavít
1218,ändern::V,аивын,változtat
1219,ändern::V,аивын,megváltoztat
1220,graben::V,къахын,ás
1221,beugen::V,æркъæдз кæнын,meghajt
1222,beugen::V,æртасын кæнын,meghajt
1223,biegen::V,тасын кӕнын,hajlít
1224,drehen::V,здухын,forgat
1225,wenden::V,афæлдахын,fordít
1226,wenden::V,афæлдахын,megfordít
1227,wenden::V,рафæлдахын,fordít
1228,wenden::V,рафæлдахын,megfordít
1229,umdrehen::V,афæлдахын,megfordít
1230,umdrehen::V,афæлдахын,megforgat
1231,heben::V,сдарын,emel
1232,heben::V,схæцын,emel
1233,hochheben::V,уæлæмæ хæцын,felemel
1234,ergreifen::V,фӕлӕбурын,megfog
1235,halten::V,дарын,tart
1236,drücken::V,æлхъивын,nyom
1237,drücken::V,æлхъивын,megnyom
1238,drücken::V,хæцын,nyom
1239,drücken::V,хæцын,megnyom
1240,schieben::V,схойын,tol
1241,kratzen::V,хафын,vakar
1242,lecken::V,сдæрын,nyal
1243,beißen::V,хæцын,harap
1244,abreißen::V,ратонын,letép
1245,abschneiden::V,ралыг кӕнын,levág
1246,binden::V,бабӕттын,köt
1247,binden::V,бабӕттын,kötöz
1248,stecken::V,ныссадзын,dug
1249,brechen::V,асæттын,tör
1250,brechen::V,асæттын,eltör
1251,brechen::V,басæттын,tör
1252,brechen::V,басæттын,eltör
1253,brechen::V,ныссæттын,tör
1254,brechen::V,ныссæттын,eltör
1255,klopfen::V,хойын,kopogtat
1256,klopfen::V,гуыпп-гуыпп кæнын,kopogtat
1257,klopfen::V,къуырцц-къуырцц кæнын,kopogtat
1258,hauen::V,цӕвын,vág
1259,hauen::V,цӕвын,levág
1260,hauen::V,нӕмын,vág
1261,hauen::V,нӕмын,levág
1262,kleben::V,ныхасын,tapaszt
1263,kleben::V,æндадзын,tapaszt
1264,reiben::V,сӕрфын,dörzsöl
1265,reiben::V,сӕрфын,súrol
1266,reiben::V,хафын,dörzsöl
1267,reiben::V,хафын,súrol
1268,streichen::V,байсæрдын,simít
1269,streichen::V,сахорын,simít
1270,schleifen::V,ссын,fen
1271,schleifen::V,ссын,csiszol
1272,schleifen::V,ссын,köszörül
1273,schleifen::V,цыргъ кӕнын,fen
1274,schleifen::V,цыргъ кӕнын,csiszol
1275,schleifen::V,цыргъ кӕнын,köszörül
1276,schneiden::V,кӕрдын,vág
1277,schneiden::V,кӕрдын,szel
1278,schneiden::V,кӕрдын,metsz
1279,rütteln::V,æнкъусын,ráz
1280,schütteln::V,уигъын,ráz
1281,schütteln::V,уигъын,megráz
1282,schwenken::V,тилын,lóbál
1283,schwenken::V,тилын,lobogtat
1284,schwenken::V,уигъын,lóbál
1285,schwenken::V,уигъын,lobogtat
1286,schütten::V,ныккӕнын,önt
1287,füllen::V,байдзаг кæнын,tölt
1288,füllen::V,байдзаг кæнын,megtölt
1289,einwickeln::V,батухын,becsavar
1290,tragen::V,хӕссын,hord
1291,schleppen::V,ласын,vonszol
1292,ziehen::V,ласын,húz
1293,aufbewahren::V,æвæрын,megőriz
1294,werfen::V,зыввытт кӕнын,dob
1295,werfen::V,зыввытт кӕнын,hajít
1296,fangen::V,ӕрцахсын,fog
1297,packen::V,рацахсын,megragad
1298,verstecken::V,æмбæхсын,eldug
1299,verstecken::V,æмбæхсын,elrejt
1300,verstecken::V,нымæхсын,eldug
1301,verstecken::V,нымæхсын,elrejt
1302,teilen::V,уарын,oszt
1303,teilen::V,уарын,megoszt
1304,schicken::V,ӕрвитын,küld
1305,bringen::V,æрхæссын,hoz
1306,bringen::V,æрхæссын,visz
1307,bringen::V,æрбахæссын,hoz
1308,bringen::V,æрбахæссын,visz
1309,hinzufügen::V,ӕфтауын,hozzáad
1310,bekommen::V,ссарын,kap
1311,bekommen::V,ссарын,megkap
1312,bekommen::V,сфæрæз кæнын,kap
1313,bekommen::V,сфæрæз кæнын,megkap
1314,bekommen::V,самал кæнын,kap
1315,bekommen::V,самал кæнын,megkap
1316,erhalten::V,райсын,kap
1317,erhalten::V,райсын,megkap
1318,nehmen::V,райсын,vesz
1319,wählen::V,равзарын,választ
1320,auswählen::V,авзарын,kiválaszt
1321,bewahren::V,бавæрын,megtart
1322,bewahren::V,нывæрын,megtart
1323,behindern::V,цæлхдур æвæрын,akadályoz
1324,behindern::V,цæлхдур æвæрын,gátol
1325,behindern::V,ныхдур æвæрын,akadályoz
1326,behindern::V,ныхдур æвæрын,gátol
1327,behindern::V,къуылымпы кæнын,akadályoz
1328,behindern::V,къуылымпы кæнын,gátol
1329,behindern::V,хъыг дарын,akadályoz
1330,behindern::V,хъыг дарын,gátol
1331,verderben::V,фесафын,elront
1332,beschädigen::V,халын,rongál
