,Concept_ID,vep,be
0,Auge::N,sil'm,вока
1,Ohr::N,korv,вуха
2,Nase::N,nena,нос
3,Mund::N,su,рот
4,Zahn::N,pi,зуб
5,Zahn::N,hambaz,зуб
6,Zunge::N,kel',язык
7,Lippe::N,hul',губа
8,Wange::N,modpolišk,шчака
9,Gesicht::N,mod,твар
10,Stirn::N,oc,лоб
11,Haar::N,tuk,волас
12,Haar::N,tuk,валасы
13,Haar::N,hibuz,волас
14,Haar::N,hibuz,валасы
15,Schnurrbart::N,habinod,вус
16,Schnurrbart::N,habinod,вусы
17,Bart::N,bard,барада
18,Kinn::N,löug,падбародак
19,Kiefer[Anatomie]::N,hambazlu,сківіца
20,Kehle::N,kurk,горла
21,Hals::N,kagl,шыя
22,Genick::N,tagarai,патыліца
23,Kopf::N,pä,галава
24,Rücken::N,sel'g,спіна
25,Bauch::N,vac,жывот
26,Bauch::N,koht,жывот
27,Nabel::N,naba,пупок
28,Busen::N,niža,грудзі
29,Brust::N,rind,грудзі
30,Schulter::N,oug,плячо
31,Arm::N,käzi,рука
32,Ellenbogen::N,künambruz,локаць
33,Hand::N,käzi,кісць
34,Hand::N,käzitera,кісць
35,Handfläche::N,kämen,далонь
36,Finger::N,sor'm,палец
37,Fingernagel::N,künz',ногаць
38,Nagel[Anatomie]::N,künz',ногаць
39,Zeh::N,barbaz,палец
40,Fuß::N,jaug,нага
41,Ferse::N,kand,пята
42,Ferse::N,kand,пятка
43,Knie::N,komb,калена
44,Knie::N,pol'v,калена
45,Oberschenkel::N,riiže,бядро
46,Oberschenkel::N,riiže,сцягно
47,Bein::N,jaug,нага
48,Körper::N,hibj,цела
49,Haut::N,nahk,скура
50,Blut::N,čak,кроў
51,Blut::N,veri,кроў
52,Ader::N,son',вена
53,Ader::N,son',сасуд
54,Sehne::N,jände,жыла
55,Sehne::N,jände,цеціва
56,Sehne::N,jände,сухажылле
57,Knochen::N,lu,косць
58,Gehirn::N,aivod,мозг
59,Herz::N,südäin,сэрца
60,Magen::N,südäikoht,страўнік
61,Leber::N,maks,печань
62,Atem::N,hengaiduz,дыханне
63,Hunger::N,näl'g,голад
64,Träne::N,kündal',сляза
65,Geschmack::N,magu,смак
66,Geruch::N,haju,пах
67,Schlaf::N,uni,сон
68,Traum::N,unikuva,сон
69,Himmel::N,taivaz,неба
70,Sonne::N,päiväine,сонца
71,Mond::N,kudmaine,месяц
72,Stern::N,tähtaz,зорка
73,Luft::N,il'm,паветра
74,Wind::N,döl,вецер
75,Wind::N,tullei,вецер
76,Welle::N,ald,хваля
77,Welle::N,laineh,хваля
78,Wasser::N,vezi,вада
79,Stein::N,kivi,камень
80,Boden::N,ma,глеба
81,Boden::N,pohj,глеба
82,Erde::N,ma,зямля
83,Staub::N,pölü,пыл
84,Rauch::N,savu,дым
85,Funke::N,kibin,іскра
86,Feuer::N,lämoi,агонь
87,Licht::N,vauktuz,святло
88,Schatten::N,pil'vez,цень
89,Schatten::N,kuvahaine,цень
90,Wetter::N,sä,пагода
91,Wetter::N,sä,надворʼе
92,Nebel::N,sumeg,туман
93,Wolke::N,pil'v,воблака
94,Regen::N,vihm,дождж
95,Schnee::N,lumi,снег
96,Eis::N,jä,лёд
97,Frost::N,hala,мароз
98,Frost::N,pakaine,мароз
99,Kälte::N,vilu,холад
100,Hitze::N,räk,спёка
101,Raureif::N,hüde,іней
102,Regenbogen::N,jumalanbembel',вясёлка
103,Donner::N,juru,гром
104,Donner::N,jumalanjuru,гром
105,Strömung::N,joksmuz,цячэнне
106,Tropfen::N,tilkuine,кропля
107,Schaum::N,vaht,пена
108,Schmutz::N,redu,гразь
109,Schmutz::N,pačak,гразь
110,See::N,järv,возера
