,Concept_ID,ab,ar
0,Auge::N,ала,عين
1,Ohr::N,алымҳа,أذن
2,Nase::N,аҧынҵа,أنف
3,Mund::N,аҧышə,فم
4,Zahn::N,ахаҧыц,سن
5,Zunge::N,абз,لسان
6,Lippe::N,ақьышə,شفة
7,Wange::N,аӡамҩа,خد
8,Wange::N,аӡамҩа,وجنة
9,Gesicht::N,аҿы,وجه
10,Stirn::N,алахь,جبين
11,Haar::N,ахəыц,شعر
12,Schnurrbart::N,аҧаҵа,شارب
13,Bart::N,ажакьа,لحية
14,Kinn::N,ацламкəыгə,ذقن
15,Kiefer[Anatomie]::N,ацламҳəа,فك
16,Kehle::N,ахəда,حلق
17,Hals::N,ахəда,عنق
18,Hals::N,ахəда,رقبة
19,Genick::N,ахəдаџьал,قفا
20,Kopf::N,ахы,رأس
21,Rücken::N,азқəа,ظهر
22,Bauch::N,амгəа,بطن
23,Nabel::N,аҷапан,سرة
24,Busen::N,агəыҧҳəы,ثدي
25,Brust::N,агəышҧы,صدر
26,Schulter::N,ажəҩахыр,كتف
27,Arm::N,амахəар,ذراع
28,Ellenbogen::N,амашьхəылҵ,كوع
29,Hand::N,анапы,يد
30,Handfläche::N,анапсаргəыҵа,كف
31,Finger::N,анацəа,إصبع
32,Fingernagel::N,анапхыц,ظفر
33,Nagel[Anatomie]::N,ашьапхыц,ظفر
34,Zeh::N,ашьацəа,إصبع القدم
35,Fuß::N,ашьапсыргəыҵа,قدم
36,Ferse::N,ашьхəа,كعب
37,Knie::N,ашьамхы,ركبة
38,Oberschenkel::N,ауаҭəа,فخذ
39,Bein::N,ашьапы,ساق
40,Körper::N,ацəеижь,جسم
41,Haut::N,ацəа,بشرة
42,Blut::N,ашьа,دم
43,Ader::N,ада,عرق
44,Sehne::N,адаш,طنب
45,Knochen::N,абаҩ,عظم
46,Gehirn::N,ахшлыбаҩ,دماغ
47,Gehirn::N,ахшыбаҩ,دماغ
48,Herz::N,агəы,قلب
49,Magen::N,аца,معدة
50,Magen::N,ацар,معدة
51,Leber::N,агəаҵəа,كبد
52,Atem::N,аҧсыҧлагаҩгара,نفس
53,Hunger::N,амла,جوع
54,Träne::N,алабжыш,دمعة
55,Geschmack::N,агьама,طعم
56,Geschmack::N,агьама,مذاق
57,Geruch::N,афҩы,رائحة
58,Schlaf::N,ацəа,نوم
59,Schlaf::N,ацəа,منام
60,Traum::N,аҧхыӡ,حلم
61,Himmel::N,ажəҩан,سماء
62,Sonne::N,амра,شمس
63,Mond::N,амза,قمر
64,Stern::N,аеҵəа,نجم
65,Stern::N,аеҵəа,كوكب
66,Luft::N,аҳаир,هواء
67,Wind::N,аҧша,ريح
68,Welle::N,ацəқəырҧа,موجة
69,Wasser::N,аӡы,ماء
70,Stein::N,ахаҳə,حجر
71,Boden::N,адгьыл,تراب
72,Erde::N,адгьыл,أرض
73,Staub::N,асаба,غبار
74,Rauch::N,алҩа,دخان
75,Funke::N,акəиц,شرارة
76,Funke::N,ацҧхь,شرارة
77,Feuer::N,амца,نار
78,Licht::N,алашара,نور
79,Licht::N,алашара,ضوء
80,Schatten::N,ашəшьыра,ظل
81,Schatten::N,ашəшьыра,فيء
