,Concept_ID,ka,fi
0,Auge::N,თვალი,silmä
1,Ohr::N,ყური,korva
2,Nase::N,ცხვირი,nenä
3,Mund::N,პირი,suu
4,Zahn::N,კბილი,hammas
5,Zunge::N,ენა,kieli
6,Lippe::N,ბაგე,huuli
7,Wange::N,ლოყა,poski
8,Gesicht::N,სახე,naama
9,Gesicht::N,სახე,kasvot
10,Stirn::N,შუბლი,otsa
11,Haar::N,თმა,hius
12,Haar::N,თმა,tukka
13,Schnurrbart::N,ულვაში,viikset
14,Bart::N,წვერი,parta
15,Kinn::N,ნიკაპი,leuka
16,Kiefer[Anatomie]::N,ყბა,leukaluu
17,Kehle::N,ყელი,kurkku
18,Hals::N,ყელი,kaula
19,Hals::N,კისერი,kaula
20,Genick::N,კეფა,niska
21,Kopf::N,თავი,pää
22,Rücken::N,ზურგი,selkä
23,Bauch::N,მუცელი,maha
24,Bauch::N,მუცელი,vatsa
25,Nabel::N,ჭიპი,napa
26,Busen::N,ძუძუ,rinta
27,Brust::N,მკერდი,rinta
28,Schulter::N,მხარი,olka
29,Schulter::N,მხარი,hartia
30,Schulter::N,მხარი,olkapää
31,Schulter::N,მკლავი,olka
32,Schulter::N,მკლავი,hartia
33,Schulter::N,მკლავი,olkapää
34,Arm::N,ხელი,käsivarsi
35,Ellenbogen::N,იდაყვი,kyynärpää
36,Hand::N,ხელი,käsi
37,Handfläche::N,ნები,kämmen
38,Handfläche::N,ხელისგული,kämmen
39,Finger::N,თითი,sormi
40,Fingernagel::N,ფრჩხილი,kynsi
41,Nagel[Anatomie]::N,ფრჩხილი,kynsi
42,Zeh::N,ფეხის თითი,varvas
43,Fuß::N,ტერფი,jalka
44,Fuß::N,ფეხისგული,jalka
45,Ferse::N,ქუსლი,kantapää
46,Knie::N,მუხლი,polvi
47,Oberschenkel::N,ბარძაყი,reisi
48,Bein::N,ფეხი,jalka
49,Körper::N,ტანი,keho
50,Körper::N,ტანი,ruumis
51,Körper::N,სხეული,keho
52,Körper::N,სხეული,ruumis
53,Haut::N,კანი,iho
54,Blut::N,სისხლი,veri
55,Ader::N,ძარღვი,suoni
56,Sehne::N,მყესი,jänne
57,Knochen::N,ძვალი,luu
58,Gehirn::N,ტვინი,aivot
59,Herz::N,გული,sydän
60,Magen::N,კუჭი,maha
61,Magen::N,კუჭი,vatsa
62,Leber::N,ღვიძლი,maksa
63,Atem::N,სუნთქვა,henki
64,Atem::N,სუნთქვა,hengitys
65,Hunger::N,შიმშილი,nälkä
66,Träne::N,ცრემლი,kyynel
67,Geschmack::N,გემო,maku
68,Geruch::N,სუნი,haju
69,Schlaf::N,ძილი,uni
70,Traum::N,სიზმარი,uni
71,Himmel::N,ცა,taivas
72,Sonne::N,მზე,aurinko
73,Mond::N,მთვარე,kuu
74,Stern::N,ვარსკვლავი,tähti
75,Luft::N,ჰაერი,ilma
76,Wind::N,ქარი,tuuli
77,Welle::N,ტალღა,aalto
78,Wasser::N,წყალი,vesi
79,Stein::N,ქვა,kivi
80,Boden::N,მიწა,maa
81,Boden::N,მიწა,maaperä
82,Erde::N,ნიადაგი,maa
83,Staub::N,მტვერი,pöly
84,Rauch::N,ბოლი,savu
85,Rauch::N,კვამლი,savu
86,Funke::N,ნაკვესი,kipinä
87,Feuer::N,ცეცხლი,tuli
88,Licht::N,შუქი,valo
89,Licht::N,სინათლე,valo
90,Schatten::N,ლანდი,varjo
91,Schatten::N,ჩრდილი,varjo
92,Wetter::N,ამინდი,sää
93,Nebel::N,ნისლი,sumu
94,Wolke::N,ღრუბელი,pilvi
95,Regen::N,წვიმა,sade
96,Schnee::N,თოვლი,lumi
97,Eis::N,თოში,jää
98,Eis::N,ყინული,jää
99,Frost::N,ყინვა,halla
100,Frost::N,ყინვა,pakkanen
101,Kälte::N,სიცივე,vilu
102,Kälte::N,სიცივე,kylmyys
103,Hitze::N,სიცხე,helle
104,Hitze::N,სიცხე,kuumuus
105,Raureif::N,ჭირხლი,huurre
106,Raureif::N,თრთვილი,huurre
107,Regenbogen::N,ცისარტყელა,sateenkaari
108,Donner::N,ქუხილი,jyrinä
109,Strömung::N,დინება,virtaus
110,Tropfen::N,წვეთი,tippa
111,Tropfen::N,წვეთი,pisara
112,Schaum::N,ქაფი,vaahto
113,Schaum::N,დორბლი,vaahto
114,Schmutz::N,ჭუჭყი,loka
115,Schmutz::N,ტალახი,loka
116,See::N,ტბა,järvi
117,Sumpf::N,ჭაობი,suo
118,Moor::N,ტორფნარი,räme
119,Wiese::N,ველი,niitty
120,Wiese::N,მდელო,niitty
121,Wald::N,ტყე,metsä
122,Hügel::N,ბორცვი,mäki
123,Hügel::N,ბორცვი,kumpu
124,Hügel::N,ბორცვი,kukkula
125,Anhöhe::N,მაღლობი,mäki
126,Anhöhe::N,მაღლობი,kumpare
127,Berg::N,მთა,mäki
128,Berg::N,მთა,vuori
129,Gipfel::N,მწვერვალი,laki
130,Gipfel::N,მწვერვალი,huippu
131,Höhle::N,მღვიმე,luola
132,Höhle::N,გამოქვებული,luola
133,Abhang::N,ფერდობი,rinne
134,Quelle::N,წყარო,lähde
135,Quelle::N,სათავე,lähde
136,Bach::N,რუ,puro
137,Bach::N,ნაკადული,puro
138,Fluss::N,მდინარე,joki
139,Ufer::N,კიდე,ranta
140,Ufer::N,ნაპირი,ranta
141,Küste::N,ნაპირი,rannikko
142,Festland::N,ხმელეთი,manner
143,Meer::N,ზღვა,meri
144,Bucht::N,ყურე,lahti
145,Insel::N,კუნძული,saari
146,Blume::N,ყვავილი,kukka
147,Gras::N,ბალახი,ruoho
148,Wurzel::N,ძირი,juuri
149,Wurzel::N,ფესვი,juuri
150,Baum::N,ხე,puu
151,Stamm::N,ტანი,runko
152,Rinde::N,ქერქი,kuori
153,Rinde::N,ქერქი,parkki
154,Ast::N,ტოტი,oksa
155,Zweig::N,შტო,haara
156,Blatt::N,ფოთოლი,lehti
157,Birke::N,არყი,koivu
158,Kiefer[Baum]::N,ფიჭვი,mänty
159,Kiefer[Baum]::N,ფიჭვი,petäjä
160,Weide[Baum]::N,ტირიფი,paju
161,Tanne::N,ნაძვი,kuusi
162,Horn::N,რქა,sarvi
163,Feder::N,ფრთა,sulka
164,Feder::N,ფრთა,höyhen
165,Fell::N,ტყავი,talja
166,Flügel::N,ფრთა,siipi
167,Klaue::N,კლანჭი,kynsi
168,Kralle::N,ტორი,kynsi
169,Schwanz::N,კუდი,häntä
170,Schwanz::N,კუდი,pyrstö
171,Ei::N,კვერცხი,muna
172,Nest::N,ბუდე,pesä
173,Bau::N,სორო,pesä
174,Tier::N,ნადირი,eläin
175,Tier::N,ცხოველი,eläin
176,Herde::N,ფარა,lauma
177,Kuh::N,ფური,lehmä
178,Kuh::N,ძროხა,lehmä
179,Bulle::N,ხარი,sonni
180,Pferd::N,რაში,hevonen
181,Pferd::N,ცხენი,hevonen
182,Schaf::N,ცხვარი,lammas
183,Schwein::N,ღორი,sika
184,Hund::N,ძაღლი,koira
185,Katze::N,კატა,kissa
186,Bär::N,დათვი,karhu
187,Eichhörnchen::N,ციყვი,orava
188,Elch::N,ცხენ-ირემი,hirvi
189,Fuchs::N,მელა,kettu
190,Hase::N,კურდღელი,jänis
191,Maus::N,თაგვი,hiiri
192,Wolf::N,მგელი,susi
193,Vogel::N,ჩიტი,lintu
194,Vogel::N,ფრინველი,lintu
195,Schwarm::N,გუნდი,parvi
196,Huhn::N,დედალი,kana
197,Hahn::N,მამალი,kukko
198,Gans::N,ბატი,hanhi
199,Adler::N,არწივი,kotka
200,Ente::N,იხვი,ankka
201,Eule::N,ბუ,pöllö
202,Kranich::N,წერო,kurki
203,Krähe::N,ყვავი,varis
204,Kuckuck::N,გუგული,käki
205,Schwan::N,გედი,joutsen
206,Fisch::N,თევზი,kala
207,Barsch::N,ქორჭილა,ahven
208,Hecht::N,ქარიყლაპია,hauki
209,Schlange[Tier]::N,გველი,käärme
210,Wurm::N,ჭია,mato
211,Spinne::N,ობობა,hämähäkki
212,Ameise::N,ჭიანჭველა,muurahainen
213,Laus::N,ტილი,täi
214,Laus::N,მკბენარი,täi
215,Mücke::N,კოღო,sääski
216,Mücke::N,კოღო,hyttynen
217,Fliege::N,ბუზი,kärpänen
218,Schmetterling::N,პეპელა,perhonen
219,Beere::N,კენკრა,marja
220,Apfel::N,ვაშლი,omena
221,Pilz::N,სოკო,sieni
222,Zwiebel::N,ხახვი,sipuli
223,Saat::N,თესლი,siemenet
224,Korn::N,მარცვალი,jyvä
225,Korn::N,მარცვალი,vilja
226,Heu::N,თივა,heinä
227,Schale::N,ჩენჩო,kuori
228,Grube::N,ორმო,kuoppa
229,Falle::N,ხაფანგი,loukku
230,Schlinge::N,მახე,ansa
231,Spur::N,კვალი,jälki
232,Asche::N,ფერფლი,tuhka
233,Dreck::N,ტალახი,lika
234,Dreck::N,სიბინძურე,lika
235,Eisen::N,რკინა,rauta
236,Gold::N,ოქრო,kulta
237,Silber::N,ვერცხლი,hopea
238,Kohle::N,ნახშირი,hiili
239,Glas::N,მინა,lasi
240,Lehm::N,თიხა,savi
241,Sand::N,ქვიშა,hiekka
242,Mensch::N,ადამიანი,ihminen
243,Mann::N,კაცი,mies
244,Frau::N,ქალი,nainen
245,Kind::N,ბავშვი,lapsi
246,Junge::N,ვაჟი,poika
247,Mädchen::N,გოგო,tyttö
248,Familie::N,ოჯახი,perhe
249,Großvater::N,პაპა,isoisä
250,Großvater::N,ბაბუა,isoisä
251,Großmutter::N,ბებია,isoäiti
252,Großmutter::N,დიდედა,isoäiti
253,Eltern::N,მშობლები,vanhemmat
254,Vater::N,მამა,isä
255,Mutter::N,დედა,äiti
256,Sohn::N,ვაჟიშვილი,poika
257,Tochter::N,ქალიშვილი,tytär
258,Bruder::N,ძმა,veli
259,Schwester::N,და,sisko
260,Onkel::N,ბიძა,eno
261,Onkel::N,ბიძა,setä
262,Tante::N,დეიდა,täti
263,Tante::N,მამიდა,täti
264,Ehemann::N,ქმარი,mies
265,Ehemann::N,ქმარი,aviomies
266,Ehefrau::N,ცოლი,vaimo
267,Ehefrau::N,ცოლი,aviovaimo
268,Freude::N,სიხარული,ilo
269,Freude::N,სიხარული,riemu
270,Gelächter::N,სიცილი,nauru
271,Glück::N,ბედნიერება,onni
272,Kummer::N,მწუხარება,suru
273,Kummer::N,მწუხარება,murhe
274,Wunsch::N,წადილი,toive
275,Wunsch::N,წადილი,toivomus
276,Wunsch::N,სურვილი,toive
277,Wunsch::N,სურვილი,toivomus
278,Lust::N,წადილი,himo
279,Geist::N,სული,henki
280,Gedanke::N,ფიქრი,aate
281,Gedanke::N,ფიქრი,ajatus
282,Gedächtnis::N,მეხსიერება,muisti
283,Verstand::N,ჭკუა,äly
284,Verstand::N,ჭკუა,järki
285,Verstand::N,ჭკუა,ymmärrys
286,Verstand::N,გონება,äly
287,Verstand::N,გონება,järki
