,Concept_ID,en,it
0,Auge::N,eye,occhio
1,Ohr::N,ear,orecchio
2,Nase::N,nose,naso
3,Mund::N,mouth,bocca
4,Zahn::N,tooth,dente
5,Zunge::N,tongue,lingua
6,Lippe::N,lip,labbro
7,Wange::N,cheek,guancia
8,Gesicht::N,face,viso
9,Gesicht::N,face,faccia
10,Stirn::N,forehead,fronte
11,Haar::N,hair,capello
12,Schnurrbart::N,moustache,baffi
13,Schnurrbart::N,moustache,mustacchi
14,Bart::N,beard,barba
15,Kinn::N,chin,mento
16,Kiefer[Anatomie]::N,jaw,mascella
17,Kehle::N,throat,gola
18,Hals::N,neck,collo
19,Genick::N,nape,nuca
20,Kopf::N,head,capo
21,Kopf::N,head,testa
22,Rücken::N,back,dorso
23,Rücken::N,back,schiena
24,Rücken::N,spine,dorso
25,Rücken::N,spine,schiena
26,Bauch::N,belly,ventre
27,Nabel::N,navel,ombelico
28,Busen::N,bosom,seno
29,Brust::N,chest,petto
30,Brust::N,breast,petto
31,Schulter::N,shoulder,spalla
32,Arm::N,arm,braccio
33,Ellenbogen::N,elbow,gomito
34,Hand::N,hand,mano
35,Handfläche::N,palm,palma
36,Finger::N,finger,dito
37,Fingernagel::N,fingernail,unghia
38,Nagel[Anatomie]::N,nail,unghia
39,Zeh::N,toe,dito del piede
40,Fuß::N,foot,piede
41,Ferse::N,heel,tallone
42,Ferse::N,heel,calcagno
43,Knie::N,knee,ginocchio
44,Oberschenkel::N,thigh,fèmore
45,Bein::N,leg,gamba
46,Körper::N,body,corpo
47,Haut::N,skin,pelle
48,Blut::N,blood,sangue
49,Ader::N,vein,vena
50,Sehne::N,sinew,tèndine
51,Knochen::N,bone,osso
52,Gehirn::N,brain,cervello
53,Herz::N,heart,cuore
54,Magen::N,stomach,stòmaco
55,Leber::N,liver,fegato
56,Atem::N,breath,fiato
57,Atem::N,breath,respiro
58,Hunger::N,hunger,fame
59,Träne::N,tear,làcrima
60,Geschmack::N,flavour,gusto
61,Geschmack::N,flavour,sapore
62,Geschmack::N,flavor,gusto
63,Geschmack::N,flavor,sapore
64,Geruch::N,odour,odore
65,Geruch::N,odor,odore
66,Schlaf::N,sleep,sonno
67,Traum::N,dream,sogno
68,Himmel::N,sky,cielo
69,Sonne::N,sun,sole
70,Mond::N,moon,luna
71,Stern::N,star,stella
72,Luft::N,air,aria
73,Wind::N,wind,vento
74,Welle::N,wave,onda
75,Wasser::N,water,acqua
76,Stein::N,stone,sasso
77,Stein::N,stone,pietra
78,Boden::N,soil,suolo
79,Boden::N,soil,terreno
80,Boden::N,ground,suolo
81,Boden::N,ground,terreno
82,Erde::N,earth,terra
83,Staub::N,dust,polvere
84,Rauch::N,smoke,fumo
85,Funke::N,spark,scintilla
86,Feuer::N,fire,fuoco
87,Licht::N,light,luce
88,Schatten::N,shadow,ombra
89,Wetter::N,weather,tempo
90,Nebel::N,fog,nebbia
91,Wolke::N,cloud,nube
92,Wolke::N,cloud,nùvola
93,Regen::N,rain,pioggia
94,Schnee::N,snow,neve
95,Eis::N,ice,ghiaccio
96,Frost::N,frost,gelo
97,Kälte::N,chill,freddo
98,Hitze::N,heat,caldo
99,Hitze::N,heat,calura
100,Raureif::N,hoarfrost,brina
101,Regenbogen::N,rainbow,arcobaleno
102,Donner::N,thunder,tuono
103,Strömung::N,current,corrente
104,Tropfen::N,drop,goccia
105,Schaum::N,foam,spuma
106,Schaum::N,foam,schiuma
107,Schmutz::N,dirt,sudiciume
108,See::N,lake,lago
109,Sumpf::N,swamp,palude
110,Moor::N,moor,torbiera
111,Wiese::N,meadow,prato
112,Wald::N,forest,bosco
113,Wald::N,forest,foresta
114,Hügel::N,hill,colle
115,Hügel::N,hill,collina
116,Anhöhe::N,elevation,altura
117,Berg::N,mountain,monte
118,Berg::N,mountain,montagna
119,Gipfel::N,summit,cima
120,Höhle::N,cave,grotta
121,Höhle::N,cave,caverna
122,Abhang::N,slope,pendìo
123,Quelle::N,source,sorgente
124,Bach::N,brook,ruscello
125,Fluss::N,river,fiume
126,Ufer::N,shore,riva
127,Küste::N,coast,costa
128,Festland::N,land,terraferma
129,Meer::N,sea,mare
130,Bucht::N,cove,cala
131,Insel::N,island,ìsola
132,Blume::N,flower,fiore
133,Gras::N,grass,erba
134,Wurzel::N,root,radice
135,Baum::N,tree,àlbero
136,Stamm::N,trunk,tronco
137,Rinde::N,bark,corteccia
138,Ast::N,limb,ramo
139,Zweig::N,branch,ramo
140,Blatt::N,leaf,foglia
141,Birke::N,birch,betulla
142,Kiefer[Baum]::N,pine,pino
143,Weide[Baum]::N,willow,sàlice
144,Tanne::N,fir,abete
145,Horn::N,horn,corno
146,Feder::N,feather,penna
147,Fell::N,fur,manto
148,Fell::N,fur,pelame
149,Flügel::N,wing,ala
150,Klaue::N,claw,grinfia
151,Kralle::N,claw,unghia
152,Kralle::N,claw,artiglio
153,Schwanz::N,tail,coda
154,Ei::N,egg,uovo
155,Nest::N,nest,nido
156,Bau::N,lair,covo
157,Tier::N,animal,bestia
158,Tier::N,animal,animale
159,Herde::N,flock,gregge
160,Kuh::N,cow,vacca
161,Bulle::N,bull,toro
162,Pferd::N,horse,cavallo
163,Schaf::N,sheep,pècora
164,Schwein::N,pig,porco
165,Schwein::N,pig,maiale
166,Hund::N,dog,cane
167,Katze::N,cat,gatta
168,Bär::N,bear,orso
169,Eichhörnchen::N,squirrel,scoiàttolo
170,Elch::N,elk,alce
171,Fuchs::N,fox,volpe
172,Hase::N,hare,lepre
173,Maus::N,mouse,topo
174,Maus::N,mouse,sorcio
175,Wolf::N,wolf,lupo
176,Vogel::N,bird,uccello
177,Schwarm::N,swarm,stormo
178,Huhn::N,chicken,gallina
179,Hahn::N,cock,gallo
180,Gans::N,goose,oca
181,Adler::N,eagle,àquila
182,Ente::N,duck,ànatra
183,Eule::N,owl,gufo
184,Eule::N,owl,civetta
185,Kranich::N,crane,gru
186,Krähe::N,crow,cornacchia
187,Kuckuck::N,cuckoo,cuccù
188,Kuckuck::N,cuckoo,cùculo
189,Schwan::N,swan,cigno
190,Fisch::N,fish,pesce
191,Barsch::N,perch,pèrsico
192,Hecht::N,pike,luccio
193,Schlange[Tier]::N,snake,serpente
194,Wurm::N,worm,baco
195,Wurm::N,worm,verme
196,Spinne::N,spider,ragno
197,Ameise::N,ant,formica
198,Laus::N,louse,pidocchio
199,Mücke::N,midge,zanzara
200,Fliege::N,fly,mosca
201,Schmetterling::N,butterfly,farfalla
202,Beere::N,berry,bacca
203,Apfel::N,apple,mela
204,Pilz::N,mushroom,fungo
205,Zwiebel::N,onion,cipolla
206,Saat::N,seed,semente
207,Korn::N,grain,grano
208,Heu::N,hay,fieno
209,Schale::N,husk,buccia
210,Grube::N,pit,cava
211,Grube::N,pit,fossa
212,Falle::N,trap,tràppola
213,Schlinge::N,noose,laccio
214,Spur::N,track,traccia
215,Asche::N,ashes,cenere
216,Dreck::N,filth,fango
217,Eisen::N,iron,ferro
218,Gold::N,gold,oro
219,Silber::N,silver,argento
220,Kohle::N,coal,carbone
221,Glas::N,glass,vetro
222,Lehm::N,clay,argilla
223,Sand::N,sand,arena
224,Sand::N,sand,sabbia
225,Mensch::N,human,uomo
226,Mensch::N,human,èssere umano
227,Mann::N,man,uomo
228,Frau::N,woman,donna
229,Kind::N,child,bambino
230,Junge::N,boy,ragazzo
231,Mädchen::N,girl,ragazza
232,Familie::N,family,famiglia
233,Großvater::N,grandfather,nonno
234,Großmutter::N,grandmother,nonna
235,Eltern::N,parents,genitori
236,Vater::N,father,padre
237,Mutter::N,mother,madre
238,Sohn::N,son,figlio
239,Tochter::N,daughter,figlia
240,Bruder::N,brother,fratello
241,Schwester::N,sister,sorella
242,Onkel::N,uncle,zio
243,Tante::N,aunt,zia
244,Ehemann::N,husband,marito
245,Ehefrau::N,wife,moglie
246,Freude::N,joy,gioia
247,Freude::N,joy,piacere
248,Gelächter::N,laughter,risata
249,Glück::N,happiness,felicità
250,Kummer::N,grief,afflizione
251,Wunsch::N,wish,desiderio
252,Lust::N,desire,voglia
253,Geist::N,spirit,mente
254,Geist::N,spirit,spìrito
255,Gedanke::N,thought,idea
256,Gedanke::N,thought,pensiero
257,Gedächtnis::N,memory,memoria
258,Verstand::N,mind,intelletto
259,Sinn::N,meaning,senso
260,Sinn::N,meaning,significato
261,Grund::N,reason,causa
262,Grund::N,reason,motivo
263,Grund::N,reason,ragione
264,Wahrheit::N,truth,verità
265,Gespräch::N,talk,discorso
266,Gespräch::N,talk,conversazione
267,Märchen::N,fairy tale,fiaba
268,Märchen::N,fairy tale,fàvola
269,Erzählung::N,story,racconto
270,Erzählung::N,story,narrazione
271,Nachricht::N,message,messaggio
272,Neuigkeit::N,news,notizia
273,Name::N,name,nome
274,Rätsel::N,puzzle,indovinello
275,Rede::N,speech,discorso
276,Sprache::N,language,lingua
277,Sprache::N,language,linguaggio
278,Stimme::N,voice,voce
279,Wort::N,word,parola
280,Zeichen::N,sign,segno
281,Zeichen::N,sign,segnale
282,Ruf::N,call,chiamata
283,Lärm::N,noise,chiasso
284,Lärm::N,noise,strèpito
285,Laut::N,sound,suono
286,Ton::N,tone,tono
287,Lied::N,song,canto
288,Lied::N,song,canzone
289,Ruhe::N,calm,calma
290,Ruhe::N,calm,tranquillità
291,Leute::N,people,gente
292,Volk::N,nation,pòpolo
293,Arbeit::N,work,lavoro
294,Gast::N,guest,òspite
295,Gast::N,guest,invitato
296,Geschenk::N,gift,regalo
297,Spiel::N,game,gioco
298,Gesellschaft::N,company,compagnìa
299,Hilfe::N,help,aiuto
300,Hilfe::N,help,soccorso
301,Freund::N,friend,amico
302,Kamerad::N,companion,camerata
303,Angelegenheit::N,matter,affare
304,Angelegenheit::N,matter,faccenda
305,Anzahl::N,count,nùmero
306,Anzahl::N,count,quantità
307,Art::N,sort,tipo
308,Art::N,sort,specie
309,Stück::N,piece,pezzo
310,Teil::N,part,parte
311,Hälfte::N,half,metà
312,Kreis::N,circle,cìrcolo
313,Kreuz::N,cross,croce
314,Linie::N,line,lìnea
315,Strich::N,stroke,tratto
316,Abstand::N,gap,distanza
317,Entfernung::N,distance,distanza
318,Entfernung::N,distance,lontananza
319,Gegend::N,area,regione
320,Platz::N,space,posto
321,Platz::N,space,spazio
322,Ort::N,place,luogo
323,Ort::N,place,località
324,Seite::N,side,lato
325,Seite::N,side,parte
326,Mitte::N,middle,mezzo
327,Mitte::N,middle,centro
328,Gegenstand::N,item,oggetto
329,Sache::N,thing,cosa
330,Rand::N,fringe,orlo
331,Rand::N,fringe,bordo
332,Kante::N,edge,spìgolo
333,Ecke::N,corner,canto
334,Spitze::N,tip,punta
335,Ende::N,end,capo
336,Ende::N,end,estremità
337,Loch::N,hole,buco
338,Winkel::N,angle,àngolo
339,Muster::N,pattern,disegno
340,Größe::N,size,taglia
341,Größe::N,size,grandezza
342,Länge::N,length,lunghezza
343,Höhe::N,height,altezza
344,Gewicht::N,weight,peso
345,Menge::N,amount,quantità
346,Haufen::N,heap,cùmulo
347,Haufen::N,heap,mucchio
348,Reihe::N,row,fila
349,Boot::N,boat,barca
350,Boot::N,boat,battello
351,Ruder::N,oar,remo
352,Schlitten::N,sleigh,slitta
353,Ski::N,ski,sci
354,Lagerfeuer::N,campfire,falò
355,Lagerfeuer::N,campfire,fuoco di bivacco
356,Last::N,load,càrico
357,Gang::N,walk,andata
358,Schritt::N,step,passo
359,Norden::N,north,nord
360,Norden::N,north,settentrione
361,Süden::N,south,sud
362,Süden::N,south,meridione
363,Westen::N,west,òvest
364,Westen::N,west,occidente
365,Osten::N,east,est
366,Osten::N,east,oriente
367,Holz::N,wood,legno
368,Brett::N,board,asse
369,Brett::N,board,tàvola
370,Platte::N,slab,lastra
371,Platte::N,slab,piastra
372,Stütze::N,bracket,supporto
373,Stange::N,pole,sbarra
374,Stange::N,pole,pèrtica
375,Stock::N,stick,verga
376,Stock::N,stick,bastone
377,Stock::N,stick,bacchetta
378,Stab::N,staff,asta
379,Rohr::N,pipe,tubo
380,Haus::N,house,casa
381,Heim::N,home,casa
382,Ofen::N,stove,stufa
383,Fußboden::N,floor,pavimento
384,Tisch::N,table,tàvolo
385,Stuhl::N,chair,sedia
386,Wiege::N,cradle,culla
387,Bett::N,bed,letto
388,Regal::N,shelf,scaffale
389,Kiste::N,box,cassa
390,Fenster::N,window,finestra
391,Tür::N,door,porta
392,Tor::N,gate,portone
393,Zaun::N,fence,recinto
394,Dach::N,roof,tetto
395,Leiter::N,ladder,scala
396,Leiter::N,ladder,scala a pioli
397,Besen::N,broom,scopa
398,Spaten::N,spade,vanga
399,Schaufel::N,shovel,pala
400,Gabel::N,fork,forchetta
401,Löffel::N,spoon,cucchiaio
402,Messer::N,knife,coltello
403,Nagel::N,nail,chiodo
404,Netz::N,net,rete
405,Haken::N,hook,uncino
406,Griff::N,handle,mànico
407,Griff::N,handle,maniglia
408,Schloss::N,lock,serratura
409,Bild::N,picture,quadro
410,Bild::N,picture,immàgine
411,Figur::N,figure,figura
412,Puppe::N,doll,bàmbola
413,Beutel::N,pouch,borsa
414,Beutel::N,pouch,sacchetto
415,Bündel::N,bundle,fascio
416,Bündel::N,bundle,fagotto
417,Tasche::N,bag,borsa
418,Eimer::N,bucket,secchio
419,Deckel::N,cover,coperchio
420,Geschirr::N,dishes,stoviglie
421,Sack::N,sack,sacco
422,Tasse::N,cup,tazza
423,Topf::N,pot,pèntola
424,Kessel::N,kettle,paiolo
425,Kessel::N,kettle,calderone
426,Essen::N,meal,pasto
427,Essen::N,meal,mangiare
428,Nahrung::N,food,cibo
429,Nahrung::N,food,alimento
430,Speise::N,dish,piatto
431,Fleisch::N,meat,carne
432,Getreide::N,corn,cereali
433,Brei::N,mush,purè
434,Brei::N,mush,pappa
435,Brot::N,bread,pane
436,Scheibe::N,slice,fetta
437,Scheibe::N,slice,trancia
438,Fett::N,fat,grasso
439,Butter::N,butter,burro
440,Öl::N,oil,olio
441,Salz::N,salt,sale
442,Suppe::N,soup,zuppa
443,Suppe::N,soup,minestra
444,Honig::N,honey,miele
445,Milch::N,milk,latte
446,Tee::N,tea,tè
447,Leder::N,leather,pelle
448,Wolle::N,wool,lana
449,Stoff::N,cloth,panno
450,Stoff::N,cloth,tessuto
451,Nadel::N,needle,ago
452,Faden::N,thread,filo
453,Knopf::N,button,bottone
454,Knoten::N,knot,nodo
455,Farbe::N,paint,pittura
456,Kleidung::N,clothes,vestiti
457,Kleidung::N,clothes,vestiario
458,Hemd::N,shirt,camicia
459,Kragen::N,collar,bàvero
460,Kragen::N,collar,colletto
461,Ärmel::N,sleeve,mànica
462,Hose::N,trousers,calzoni
463,Gürtel::N,belt,cintura
464,Mütze::N,cap,berretto
465,Schuh::N,shoe,scarpa
466,Stiefel::N,boot,stivale
467,Ring::N,ring,anello
468,Band::N,ribbon,nastro
469,Band::N,ribbon,fettuccia
470,Kamm::N,comb,pèttine
471,Spiegel::N,mirror,specchio
472,Riemen::N,strap,cinghia
473,Schnur::N,string,corda
474,Leine::N,leash,guinzaglio
475,Decke::N,blanket,coperta
476,Kissen::N,pillow,cuscino
477,Kissen::N,pillow,guanciale
478,Tuch::N,scarf,fazzoletto
479,Handtuch::N,towel,asciugamano
480,Kraft::N,force,forza
481,Stärke::N,strength,forza
482,Stärke::N,strength,vigore
483,Stärke::N,strength,fortezza
484,Gesundheit::N,health,salute
485,Krankheit::N,illness,malattìa
486,Schmerz::N,pain,dolore
487,Wunde::N,wound,piaga
488,Wunde::N,wound,ferita
489,Fieber::N,fever,febbre
490,Arznei::N,medicine,fàrmaco
491,Arznei::N,medicine,medicina
492,Brücke::N,bridge,ponte
493,Brunnen::N,well,pozzo
494,Weide::N,pasture,pàscolo
495,Pfad::N,path,sentiero
496,Weg::N,way,via
497,Weg::N,way,cammino
498,Straße::N,road,strada
499,Dorf::N,village,paese
500,Dorf::N,village,villaggio
501,Stadt::N,town,città
502,Brief::N,letter,lèttera
503,Buch::N,book,libro
504,Buchstabe::N,character,lèttera
505,Zeitung::N,newspaper,giornale
506,Leben::N,life,vita
507,Tod::N,death,morte
508,Grab::N,grave,tomba
509,Grab::N,grave,sepolcro
510,Kirche::N,church,chiesa
