,Concept_ID,xal,en
0,Auge::N,нүдн,eye
1,Ohr::N,чикн,ear
2,Nase::N,хамр,nose
3,Mund::N,амн,mouth
4,Zahn::N,шүдн,tooth
5,Zunge::N,келн,tongue
6,Lippe::N,урл,lip
7,Wange::N,халх,cheek
8,Gesicht::N,нүр,face
9,Stirn::N,маңна,forehead
10,Haar::N,үсн,hair
11,Schnurrbart::N,сахл,moustache
12,Bart::N,сахл,beard
13,Bart::N,өргнә сахл,beard
14,Kinn::N,өргн,chin
15,Kiefer[Anatomie]::N,өргн,jaw
16,Kehle::N,хол,throat
17,Hals::N,күзүн,neck
18,Genick::N,гиҗг,nape
19,Kopf::N,толһа,head
20,Rücken::N,нурһн,back
21,Rücken::N,нурһн,spine
22,Bauch::N,гесн,belly
23,Nabel::N,киисн,navel
24,Busen::N,көкн,bosom
25,Brust::N,чееҗ,chest
26,Brust::N,чееҗ,breast
27,Schulter::N,ээм,shoulder
28,Arm::N,һар,arm
29,Ellenbogen::N,тоха,elbow
30,Hand::N,баһлцг,hand
31,Handfläche::N,альхн,palm
32,Finger::N,хурһн,finger
33,Finger::N,һарин хурһн,finger
34,Fingernagel::N,хумсн,fingernail
35,Nagel[Anatomie]::N,хумсн,nail
36,Zeh::N,хурһн,toe
37,Zeh::N,көлин хурһн,toe
38,Fuß::N,тавг,foot
39,Ferse::N,өскә,heel
40,Knie::N,өвдг,knee
41,Oberschenkel::N,һуй,thigh
42,Bein::N,көл,leg
43,Körper::N,махмуд,body
44,Haut::N,арсн,skin
45,Blut::N,цусн,blood
46,Ader::N,судцн,vein
47,Sehne::N,шүрүсн,sinew
48,Knochen::N,ясн,bone
49,Gehirn::N,экн,brain
50,Herz::N,зүркн,heart
51,Magen::N,гесн,stomach
52,Leber::N,элкн,liver
53,Atem::N,әмсхл,breath
54,Hunger::N,харһнлһн,hunger
55,Träne::N,нульмсн,tear
56,Geschmack::N,амтн,flavour
57,Geschmack::N,амтн,flavor
58,Geruch::N,үнр,odour
59,Geruch::N,үнр,odor
60,Schlaf::N,нөр,sleep
61,Traum::N,зүүдн,dream
62,Himmel::N,теңгр,sky
63,Sonne::N,нарн,sun
64,Mond::N,сар,moon
65,Stern::N,одн,star
66,Luft::N,аһар,air
67,Wind::N,салькн,wind
68,Welle::N,дольган,wave
69,Wasser::N,усн,water
70,Stein::N,чолун,stone
71,Boden::N,Һазр,soil
72,Boden::N,Һазр,ground
73,Erde::N,Һазр,earth
74,Staub::N,тоосн,dust
75,Rauch::N,утан,smoke
76,Funke::N,очн,spark
77,Feuer::N,һал,fire
78,Licht::N,герл,light
79,Schatten::N,сүүдр,shadow
80,Wetter::N,теңгр,weather
81,Nebel::N,будн,fog
82,Wolke::N,үүлн,cloud
83,Regen::N,хур,rain
84,Schnee::N,цасн,snow
85,Eis::N,мөсн,ice
86,Frost::N,киитн,frost
87,Kälte::N,киитн,chill
88,Hitze::N,халун,heat
89,Raureif::N,цаң,hoarfrost
90,Raureif::N,кирү,hoarfrost
91,Regenbogen::N,солңһ,rainbow
92,Donner::N,оһтрһун дун,thunder
93,Strömung::N,урсхл,current
94,Tropfen::N,дусал,drop
95,Schaum::N,көөсн,foam
96,Schmutz::N,кир,dirt
97,See::N,нур,lake
98,Sumpf::N,унул,swamp
99,Moor::N,улм,moor
100,Wiese::N,хадлһн,meadow
101,Wald::N,ө-модн,forest
102,Hügel::N,толһа,hill
103,Anhöhe::N,хамр,elevation
104,Berg::N,уул,mountain
105,Gipfel::N,ора,summit
106,Höhle::N,хадин көндә,cave
107,Abhang::N,ташу,slope
108,Quelle::N,булг,source
109,Bach::N,һооҗур,brook
110,Fluss::N,һол,river
111,Ufer::N,көвә,shore
112,Küste::N,көвә,coast
113,Küste::N,теңгсин көвә,coast
114,Festland::N,хүүрә һазр,land
115,Meer::N,теңгс,sea
116,Bucht::N,цекә,cove
117,Bucht::N,теңгсин цекә,cove
118,Insel::N,арл,island
119,Blume::N,цецг,flower
120,Gras::N,ноһан,grass
121,Wurzel::N,уңг,root
122,Baum::N,модн,tree
123,Stamm::N,шилв,trunk
124,Stamm::N,һол модн,trunk
125,Rinde::N,көрсн,bark
126,Ast::N,ац,limb
127,Zweig::N,ац,branch
128,Blatt::N,хамтхасн,leaf
129,Birke::N,хусм модн,birch
130,Kiefer[Baum]::N,шар харһа,pine
131,Weide[Baum]::N,удн,willow
132,Tanne::N,җөөлн цаһан модн,fir
133,Horn::N,өвр,horn
134,Feder::N,өрвлг,feather
135,Fell::N,арсн,fur
136,Flügel::N,җивр,wing
137,Klaue::N,хумсн,claw
138,Kralle::N,тавг,claw
139,Schwanz::N,сүл,tail
140,Ei::N,өндгн,egg
141,Nest::N,үр,nest
142,Bau::N,нүкн,lair
143,Tier::N,мал,animal
144,Herde::N,сүрг мал,flock
145,Kuh::N,үкр,cow
146,Bulle::N,бух,bull
147,Pferd::N,мөрн,horse
148,Schaf::N,хөн,sheep
149,Schwein::N,һаха,pig
150,Hund::N,ноха,dog
151,Katze::N,мис,cat
152,Bär::N,аю,bear
153,Eichhörnchen::N,кермн,squirrel
154,Elch::N,хандһа,elk
155,Fuchs::N,арат,fox
156,Hase::N,туула,hare
157,Maus::N,хулһн,mouse
158,Wolf::N,чон,wolf
159,Vogel::N,шовун,bird
160,Schwarm::N,зел,swarm
161,Huhn::N,така,chicken
162,Hahn::N,эр така,cock
163,Gans::N,һалун,goose
164,Adler::N,һәрд,eagle
165,Ente::N,нуһсн,duck
166,Eule::N,һурвлһ,owl
167,Kranich::N,тоһрун,crane
168,Krähe::N,шаазһа,crow
169,Kuckuck::N,эргин хуцдг,cuckoo
170,Schwan::N,хун,swan
171,Fisch::N,заһсн,fish
172,Barsch::N,шүрг,perch
173,Hecht::N,цурх,pike
174,Schlange[Tier]::N,моһа,snake
175,Wurm::N,өтн,worm
176,Spinne::N,аралҗн,spider
177,Ameise::N,шорһлҗн,ant
178,Laus::N,бөөсн,louse
179,Mücke::N,бөкүн,midge
180,Fliege::N,батхн,fly
181,Schmetterling::N,эрвәкә,butterfly
182,Beere::N,бөөлҗрһн,berry
183,Apfel::N,альмн,apple
184,Pilz::N,теңгрин ки,mushroom
185,Zwiebel::N,мәңгрснә толһа,onion
186,Saat::N,буудян экн,seed
187,Korn::N,экн,grain
188,Heu::N,өвсн,hay
189,Schale::N,хальсн,husk
190,Grube::N,нүкн,pit
191,Falle::N,урх,trap
192,Falle::N,хавх,trap
193,Schlinge::N,бүтү,noose
194,Spur::N,мөр,track
195,Asche::N,үмсн,ashes
196,Dreck::N,бальчг,filth
197,Eisen::N,төмр,iron
198,Gold::N,алтн,gold
199,Silber::N,мөңгн,silver
200,Silber::N,цаһан мөңгн,silver
201,Kohle::N,нүүрсн,coal
202,Glas::N,шил,glass
203,Lehm::N,шавр,clay
204,Sand::N,элсн,sand
205,Mensch::N,күн,human
206,Mensch::N,күмн,human
207,Mann::N,эр,man
208,Frau::N,күүкд күн,woman
209,Kind::N,үрн,child
210,Junge::N,көвүн,boy
