,Concept_ID,eu,tr
0,Auge::N,begi,göz
1,Ohr::N,belarri,kulak
2,Nase::N,sudur,burun
3,Mund::N,aho,ağız
4,Zahn::N,hortz,diş
5,Zunge::N,mihi,dil
6,Lippe::N,ezpain,dudak
7,Wange::N,masail,yanak
8,Gesicht::N,aurpegi,yüz
9,Stirn::N,bekoki,alın
10,Haar::N,ile,saç
11,Haar::N,bilo,saç
12,Schnurrbart::N,bibote,bıyık
13,Schnurrbart::N,sudurpeko,bıyık
14,Bart::N,bizar,sakal
15,Kinn::N,kokots,çene
16,Kiefer[Anatomie]::N,masailezur,çene
17,Kehle::N,eztarri,boğaz
18,Hals::N,sama,boyun
19,Hals::N,sama,gerdan
20,Genick::N,garondo,ense
21,Kopf::N,buru,baş
22,Kopf::N,buru,kafa
23,Rücken::N,bizkar,arka
24,Bauch::N,sabel,karın
25,Nabel::N,zilbor,göbek
26,Busen::N,titi,koyun
27,Busen::N,ugatz,koyun
28,Brust::N,bular,göğüs
29,Schulter::N,besaburu,omuz
30,Arm::N,beso,kol
31,Ellenbogen::N,ukondo,dirsek
32,Hand::N,esku,el
33,Handfläche::N,ahur,avuç
34,Handfläche::N,ahur,el ayası
35,Finger::N,hatz,parmak
36,Fingernagel::N,azazkal,el tırnağı
37,Nagel[Anatomie]::N,azazkal,tırnak
38,Zeh::N,behatz,ayak parmağı
39,Fuß::N,oin,ayak
40,Ferse::N,orpo,topuk
41,Ferse::N,oinburu,topuk
42,Knie::N,belaun,diz
43,Oberschenkel::N,izter,uyluk
44,Bein::N,zango,bacak
45,Körper::N,soin,vücut
46,Haut::N,azal,cilt
47,Blut::N,odol,kan
48,Ader::N,zain,damar
49,Sehne::N,gihar-zain,kiriş
50,Knochen::N,hezur,kemik
51,Gehirn::N,garun,beyin
52,Gehirn::N,burmuin,beyin
53,Herz::N,bihotz,kalp
54,Herz::N,bihotz,yürek
55,Magen::N,urdail,mide
56,Leber::N,gibel,karaciğer
57,Atem::N,hats,nefes
58,Atem::N,arnasa,nefes
59,Hunger::N,gose,açlık
60,Träne::N,malko,gözyaşı
61,Geschmack::N,dasta,tat
62,Geschmack::N,dasta,lezzet
63,Geruch::N,usain,koku
64,Schlaf::N,lo,uyku
65,Traum::N,amets,düş
66,Traum::N,amets,rüya
67,Himmel::N,zeru,gök
68,Sonne::N,eguzki,güneş
69,Mond::N,ilargi,ay
70,Stern::N,izar,yıldız
71,Luft::N,aire,hava
72,Wind::N,haize,yel
73,Wind::N,haize,rüzgâr
74,Welle::N,uhin,dalga
75,Welle::N,olatu,dalga
76,Wasser::N,ur,su
77,Stein::N,harri,taş
78,Boden::N,lur,yer
79,Boden::N,lur,zemin
80,Boden::N,zoru,yer
81,Boden::N,zoru,zemin
82,Erde::N,lur,toprak
83,Staub::N,hauts,toz
84,Rauch::N,ke,duman
85,Funke::N,zirta,kıvılcım
86,Funke::N,txinparta,kıvılcım
87,Feuer::N,su,ateş
88,Licht::N,argi,ışık
89,Schatten::N,itzal,gölge
90,Schatten::N,geriza,gölge
91,Wetter::N,eguraldi,hava
92,Nebel::N,laino,pus
93,Wolke::N,hodei,bulut
94,Regen::N,euri,yağmur
95,Schnee::N,elur,kar
96,Eis::N,horma,buz
97,Frost::N,izotzaldi,don
98,Kälte::N,hotz,soğukluk
99,Hitze::N,bero,sıcaklık
100,Raureif::N,antzigar,kırç
101,Regenbogen::N,ostadar,gökkuşağı
102,Regenbogen::N,ortzadar,gökkuşağı
103,Donner::N,ostots,gök gürlemesi
104,Donner::N,ihurtzuri,gök gürlemesi
105,Strömung::N,laster,akıntı
106,Strömung::N,laster,cereyan
107,Tropfen::N,xorta,damla
108,Schaum::N,bits,köpük
109,Schmutz::N,lohi,çamur
110,Schmutz::N,lohi,pislik
111,Schmutz::N,zikin,çamur
112,Schmutz::N,zikin,pislik
113,See::N,laku,göl
114,See::N,aintzira,göl
115,Sumpf::N,zingira,batak
116,Moor::N,zohikaztegi,cılgıt
117,Wiese::N,larre,çimen
118,Wiese::N,belardi,çimen
119,Wald::N,baso,koru
120,Wald::N,baso,orman
121,Wald::N,oihan,koru
122,Wald::N,oihan,orman
123,Hügel::N,muino,tepe
124,Hügel::N,pentoka,tepe
125,Anhöhe::N,garai,tümsek
126,Anhöhe::N,garai,yükseklik
127,Anhöhe::N,goragune,tümsek
128,Anhöhe::N,goragune,yükseklik
129,Berg::N,mendi,dağ
130,Gipfel::N,gain,zirve
131,Gipfel::N,tontor,zirve
132,Höhle::N,kobazulo,in
133,Höhle::N,kobazulo,mağara
134,Abhang::N,aldapa,bayır
135,Quelle::N,iturri,pınar
136,Quelle::N,iturri,kaynak
137,Quelle::N,iturbegi,pınar
138,Quelle::N,iturbegi,kaynak
139,Bach::N,lats,çay
140,Bach::N,lats,dere
141,Bach::N,erreka,çay
142,Bach::N,erreka,dere
143,Fluss::N,ibai,nehir
144,Fluss::N,uhaitz,nehir
