,Concept_ID,mhr,sv
0,Auge::N,шинча́,öga
1,Ohr::N,пы́лыш,öra
2,Nase::N,нер,näsa
3,Mund::N,умша́,mun
4,Zahn::N,пӱй,tand
5,Zunge::N,йы́лме,tunga
6,Lippe::N,тӱ́рвӧ,läpp
7,Wange::N,шӱ́ргӧ,kind
8,Gesicht::N,чури́й,syn
9,Gesicht::N,чури́й,ansikte
10,Stirn::N,саҥга́,panna
11,Haar::N,ӱп,hår
12,Schnurrbart::N,ӧ́рыш,mustasch
13,Bart::N,понда́ш,skägg
14,Kinn::N,оҥыла́ш,haka
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,käke
16,Kiefer[Anatomie]::N,пӱйората́,käke
17,Kehle::N,лога́р,strupe
18,Hals::N,шӱй,hals
19,Genick::N,шӱйло́дыш,nacke
20,Kopf::N,вуй,huvud
21,Rücken::N,туп,rygg
22,Bauch::N,мӱ́шкыр,buk
23,Bauch::N,мӱ́шкыр,mage
24,Nabel::N,кы́лымде,navel
25,Busen::N,чы́зе,barm
26,Brust::N,оҥ,bröst
27,Schulter::N,ва́че,skuldra
28,Arm::N,кид,arm
29,Ellenbogen::N,кынерву́й,armbåge
30,Hand::N,кид,hand
31,Hand::N,копа́,hand
32,Handfläche::N,со́во,handflata
33,Finger::N,парня́,finger
34,Fingernagel::N,кидкӱ́ч,fingernagel
35,Fingernagel::N,парнягӱ́ч,fingernagel
36,Nagel[Anatomie]::N,кӱч,nagel
37,Zeh::N,йолварня́,tå
38,Fuß::N,йол,fot
39,Fuß::N,йолкопа́,fot
40,Ferse::N,тага́н,häl
41,Knie::N,пулву́й,knä
42,Oberschenkel::N,э́рде,lår
43,Bein::N,йол,ben
44,Körper::N,кап,kropp
45,Haut::N,кова́ште,hud
46,Haut::N,кова́ште,skinn
47,Blut::N,вӱр,blod
48,Ader::N,шӧн,åder
49,Sehne::N,шӧн,sena
50,Sehne::N,кӱсе́н,sena
51,Knochen::N,лу,ben
52,Gehirn::N,вем,hjärna
53,Gehirn::N,вуйве́м,hjärna
54,Herz::N,шӱм,hjärta
55,Magen::N,пага́р,mage
56,Leber::N,мокш,lever
57,Atem::N,шӱ́лыш,anda
58,Atem::N,шӱ́лыш,andedräkt
59,Hunger::N,шужыма́ш,svält
60,Hunger::N,шужыма́ш,hunger
61,Träne::N,шинчавӱ́д,tår
62,Geschmack::N,там,smak
63,Geruch::N,пуш,lukt
64,Schlaf::N,о́мо,sömn
65,Traum::N,йӱдо́мо,dröm
66,Himmel::N,кава́,himmel
67,Sonne::N,ке́че,sol
68,Mond::N,ты́лзе,måne
69,Stern::N,шӱ́дыр,stjärna
70,Luft::N,юж,luft
71,Wind::N,марде́ж,vind
72,Welle::N,то́лкын,våg
73,Welle::N,то́лкын,bölja
74,Wasser::N,вӱд,vatten
75,Stein::N,кӱ,sten
76,Boden::N,рок,mark
77,Erde::N,мла́нде,jord
78,Staub::N,пура́к,damm
79,Rauch::N,шикш,rök
80,Funke::N,сеске́м,gnista
81,Funke::N,тулйы́п,gnista
82,Feuer::N,тул,eld
83,Licht::N,со́то,ljus
84,Schatten::N,ӱ́мыл,skugga
85,Wetter::N,иге́че,väder
86,Nebel::N,тӱтыра́,dimma
87,Nebel::N,тӱтыра́,töcken
88,Wolke::N,пыл,sky
89,Wolke::N,пыл,moln
90,Regen::N,йӱр,regn
91,Schnee::N,лум,snö
92,Eis::N,ий,is
93,Frost::N,чатлама́,frost
94,Kälte::N,йӱ́штӧ,köld
95,Hitze::N,шо́кшо,hetta
96,Raureif::N,пӧрш,rimfrost
97,Raureif::N,по́кшым,rimfrost
98,Regenbogen::N,шонанпы́л,regnbåge
99,Donner::N,кӱ́дырчӧ,åska
100,Donner::N,кӱ́дырчӧ,dunder
101,Strömung::N,йо́гын,strömning
102,Tropfen::N,чӱча́лтыш,dropper
103,Schaum::N,шоҥ,skum
104,Schmutz::N,лавыра́,lort
105,Schmutz::N,лавыра́,smuts
106,See::N,ер,sjö
107,Sumpf::N,лӱ́кӧ,träsk
108,Moor::N,куп,myr
109,Moor::N,куп,mosse
110,Wiese::N,о́лык,äng
111,Wald::N,чодыра́,skog
112,Hügel::N,арка́,höjd
113,Hügel::N,арка́,kulle
114,Anhöhe::N,тӧва́,höjd
115,Anhöhe::N,тӧва́,backe
116,Anhöhe::N,кӱкшака́,höjd
117,Anhöhe::N,кӱкшака́,backe
118,Berg::N,ку́рык,berg
119,Berg::N,ку́рык,fjäll
