,Concept_ID,ce,zh
0,Auge::N,бӏаьрг,眼睛
1,Ohr::N,лерг,耳朵
2,Nase::N,мара,鼻子
3,Mund::N,бага,嘴
4,Zahn::N,церг,牙齿
5,Zunge::N,мотт,舌头
6,Lippe::N,балда,嘴唇
7,Wange::N,бесни,面颊
8,Gesicht::N,юьхь,脸
9,Stirn::N,хьаж,额
10,Haar::N,мас,头发
11,Schnurrbart::N,мекх,髭须
12,Bart::N,маж,胡子
13,Kinn::N,чӏениг,下巴
14,Kiefer[Anatomie]::N,мочхал,颌
15,Kehle::N,къамкъарг,嗓子
16,Hals::N,ворта,颈
17,Genick::N,кӏесаркӏаг,后颈
18,Kopf::N,корта,头
19,Rücken::N,букъ,背
20,Bauch::N,кийра,肚子
21,Nabel::N,цӏонга,肚脐
22,Busen::N,зударийн накха,胸脯
23,Brust::N,накха,胸
24,Schulter::N,белш,肩膀
25,Arm::N,пхьарс,臂膀
26,Ellenbogen::N,пхьаьрсан гола,肘
27,Hand::N,куьг,手
28,Handfläche::N,кераюкъ,手掌
29,Finger::N,пӏелг,手指
30,Fingernagel::N,мӏара,指甲
31,Nagel[Anatomie]::N,мӏара,指甲
32,Zeh::N,кога пӏелг,脚趾
33,Fuß::N,ког,脚
34,Ferse::N,кӏажа,后跟
35,Knie::N,гола,膝
36,Oberschenkel::N,варе,大腿
37,Bein::N,ког,腿
38,Körper::N,хӏума,身体
39,Haut::N,чкъор,皮肤
40,Blut::N,цӏий,血
41,Ader::N,пха,血管
42,Sehne::N,хьорзам,腱
43,Knochen::N,даьӏахк,骨
44,Gehirn::N,хье,脑
45,Herz::N,дог,心
46,Magen::N,зорх,胃
47,Leber::N,доӏах,肝
48,Atem::N,садеӏар,呼吸
49,Hunger::N,мацалла,饿
50,Träne::N,бӏаьрхи,眼泪
51,Geschmack::N,чам,味道
52,Geruch::N,хьожа,气味
53,Schlaf::N,наб,睡眠
54,Traum::N,гӏан,梦
55,Himmel::N,стигал,天空
56,Sonne::N,малх,太阳
57,Mond::N,бутт,月亮
58,Stern::N,седа,星
59,Luft::N,xӏаваъ,空气
60,Wind::N,мох,风
61,Welle::N,тулгӏе,波
62,Wasser::N,хи,水
63,Stein::N,тӏулг,石头
64,Boden::N,цӏенкъа,地面
65,Erde::N,латта,地
66,Staub::N,чан,灰尘
67,Rauch::N,кӏур,烟
68,Funke::N,суй,火花
69,Feuer::N,цӏе,火
70,Licht::N,серло,光
71,Schatten::N,ӏиндагӏ,影子
72,Wetter::N,хенан хӏоттам,天气
73,Nebel::N,дохк,雾
74,Wolke::N,марха,云
75,Regen::N,догӏа,雨
76,Schnee::N,ло,雪
77,Eis::N,ша,冰
78,Frost::N,шело,霜冻
79,Kälte::N,шело,寒冷
80,Hitze::N,йовхо,炎热
81,Raureif::N,йис,霜
82,Regenbogen::N,стелаӏад,虹
83,Donner::N,ткъес,雷
84,Strömung::N,дӏаэхар,水流
85,Strömung::N,дӏасалелар,水流
86,Tropfen::N,тӏадам,滴
87,Schaum::N,чопа,泡沫
88,Schmutz::N,хатт,赃物
89,See::N,ӏам,湖
90,Sumpf::N,уьшал,沼泽
91,Moor::N,уьшал,沼泽
92,Wiese::N,бай,草地
93,Wald::N,хьун,森林
94,Hügel::N,гу,丘陵
95,Hügel::N,шу,丘陵
96,Hügel::N,барз,丘陵
97,Anhöhe::N,акъари,山丘
98,Berg::N,лам,山
99,Gipfel::N,бохь,峰
100,Höhle::N,хьех,洞穴
