,Concept_ID,ady,la
0,Auge::N,нэ,oculus
1,Ohr::N,тхьакӏу́м,auris
2,Nase::N,пэ,nasus
3,Mund::N,жэ,os
4,Zahn::N,цэ,dens
5,Zunge::N,бзэгу,lingua
6,Lippe::N,ӏупшӏэ́,labrum
7,Wange::N,нэкӏу́шъу,gena
8,Gesicht::N,нэ́гу,vultus
9,Stirn::N,натӏэ́,frons
10,Haar::N,шъхьацы́,capillus
11,Bart::N,жакӏэ́,barba
12,Kinn::N,жэкӏэпэпкъ,mentum
13,Kiefer[Anatomie]::N,жэпкъы́,mala
14,Kehle::N,чый,iugulums
15,Hals::N,пшъэ,collum
16,Genick::N,шъхьэпхэтыку,cervices
17,Kopf::N,шъхьэ́,caput
18,Rücken::N,кӏыбы́,tergum
19,Bauch::N,ныбэ́,venter
20,Busen::N,бгъэ́,sinus
21,Brust::N,бгъэ́,pectus
22,Schulter::N,блыпкъ,umerus
23,Arm::N,ӏэ,bracchium
24,Ellenbogen::N,ӏэнтэ́гъу,cubitum
25,Hand::N,ӏэтхьэцу,manus
26,Handfläche::N,ӏэ́гу,palma
27,Finger::N,ӏэхъуа́мб,digitus
28,Fingernagel::N,ӏэбжъа́н,unguiculus
29,Nagel[Anatomie]::N,ӏэбжъа́н,unguis
30,Zeh::N,ӏэхъуа́мб,digitus
31,Fuß::N,лъэгу,pes
32,Ferse::N,лъэдакъэ,calx
33,Knie::N,лъагуа́ндж,genu
34,Oberschenkel::N,ко,femur
35,Bein::N,лъакъо́,crus
36,Körper::N,пкъышъол,corpus
37,Haut::N,кӏы́шъу,cutis
38,Haut::N,кӏы́шъу,pellis
39,Blut::N,лъы,sanguis
40,Ader::N,льытф,vena
41,Sehne::N,фэ,nervus
42,Knochen::N,къупшъхьэ́,os
43,Gehirn::N,куцӏы,cerebrum
44,Herz::N,гу,cor
45,Herz::N,гу,animus
46,Magen::N,мышкӏу,stomachus
47,Leber::N,шӏу,iecur
48,Atem::N,къэщэныр,spiritus
49,Hunger::N,гъаблэ́,fames
50,Träne::N,нэпсы,lacrima
51,Geschmack::N,ӏэшӏугъа́кӏ,sapor
52,Geschmack::N,ӏэшӏугъа́кӏ,gustus
53,Geruch::N,мэ,odor
54,Schlaf::N,пчыхьы́пӏ,somnus
55,Traum::N,пчыхьы́пӏ,somnium
56,Himmel::N,уашъо́,caelum
57,Sonne::N,тыгъэ,sol
58,Mond::N,мазэ,luna
59,Stern::N,жъуагъо́,sidus
60,Stern::N,жъуагъо́,stella
61,Luft::N,жьы,aer
62,Wind::N,жьыбгъэ́,ventus
63,Welle::N,ор,unda
64,Welle::N,оры,unda
65,Wasser::N,псы,aqua
66,Stein::N,мыжъо́,lapis
67,Boden::N,чӏ́ыгу,solum
68,Erde::N,чӏ́ыгу,terra
69,Staub::N,сап,pulvis
70,Rauch::N,ӏугъо́,fumus
71,Funke::N,мэшӏуа́ч,scintilla
72,Feuer::N,машӏо́,ignis
73,Licht::N,нэфы,lux
74,Licht::N,нэфы,lumen
75,Licht::N,нэфын,lux
76,Licht::N,нэфын,lumen
77,Schatten::N,жьау́,umbra
78,Schatten::N,ныбжьыкъу,umbra
79,Nebel::N,пща́гъу,nebula
80,Wolke::N,ошъуапщэ,nubes
81,Regen::N,ощхы,imber
82,Regen::N,ощхы,pluvia
83,Schnee::N,осы́,nix
84,Eis::N,мылы,glacies
85,Kälte::N,чъыӏэ́,frigus
86,Hitze::N,фэба́е,calor
87,Hitze::N,фэба́е,aestus
88,Regenbogen::N, лэгъупэкъо́пс,arcus
89,Donner::N,шыблэ́,tonitrus
90,Strömung::N,ток,fluctus
91,Tropfen::N,ткӏопс,gutta
92,Tropfen::N,гъуаткӏу,gutta
93,Schaum::N,тхъурбэ,spuma
94,Schmutz::N,псынжъы,sordes
95,Schmutz::N,псынжъы,squalor
96,See::N,хыку́м,lacus
97,See::N,псыхъура́й,lacus
98,Sumpf::N,орыжъ,palus
99,Moor::N,орыжъ,palus
100,Wiese::N,хъупӏэ́,pratum
101,Wiese::N,мэкъупӏ,pratum
102,Wald::N,мэзы́,silva
103,Hügel::N,ӏуашъхь,collis
104,Anhöhe::N,чӏыӏэтыгъ,specula
105,Berg::N,къушъхьэ́,mons
106,Gipfel::N,шыгу,vertex
107,Höhle::N,гъочӏэгъ,caverna
108,Höhle::N,гъочӏэгъ,spelunca
109,Abhang::N,чапэ,declivum
110,Quelle::N,псынэчэ́чъ,fons
111,Bach::N,псышкуашку,rivus
112,Fluss::N,псыхъо́,flumen
113,Ufer::N,нэпкъы,ripa
114,Küste::N,ӏушъо,litus
115,Festland::N,чӏл́ыгу,continens
116,Meer::N,хы,mare
117,Bucht::N,хыблыгу,sinus
118,Insel::N,хыгъэхъу́н,insula
119,Blume::N,къэгъа́гь,flos
120,Gras::N,уцы́,herba
121,Gras::N,уцы́,gramen
122,Wurzel::N,лъапсэ́,radix
123,Baum::N,чъыгы́,arbor
