,Concept_ID,ru,ce
0,Auge::N,глаз,бӏаьрг
1,Ohr::N,ухо,лерг
2,Nase::N,нос,мара
3,Mund::N,рот,бага
4,Zahn::N,зуб,церг
5,Zunge::N,язык,мотт
6,Lippe::N,губа,балда
7,Wange::N,щека,бесни
8,Gesicht::N,лицо,юьхь
9,Stirn::N,лоб,хьаж
10,Haar::N,волос,мас
11,Haar::N,волосы,мас
12,Schnurrbart::N,ус,мекх
13,Schnurrbart::N,усы,мекх
14,Bart::N,борода,маж
15,Kinn::N,подбородок,чӏениг
16,Kiefer[Anatomie]::N,челюсть,мочхал
17,Kehle::N,горло,къамкъарг
18,Hals::N,шея,ворта
19,Genick::N,затылок,кӏесаркӏаг
20,Kopf::N,голова,корта
21,Rücken::N,спина,букъ
22,Bauch::N,живот,кийра
23,Nabel::N,пупок,цӏонга
24,Busen::N,женская грудь,зударийн накха
25,Brust::N,грудь,накха
26,Schulter::N,плечо,белш
27,Arm::N,рука,пхьарс
28,Ellenbogen::N,локоть,пхьаьрсан гола
29,Hand::N,кисть,куьг
30,Handfläche::N,ладонь,кераюкъ
31,Finger::N,палец,пӏелг
32,Fingernagel::N,ноготь,мӏара
33,Nagel[Anatomie]::N,ноготь,мӏара
34,Zeh::N,палец,кога пӏелг
35,Fuß::N,ступня,ког
36,Ferse::N,пята,кӏажа
37,Ferse::N,пятка,кӏажа
38,Knie::N,колено,гола
39,Oberschenkel::N,бедро,варе
40,Bein::N,нога,ког
41,Körper::N,тело,хӏума
42,Haut::N,кожа,чкъор
43,Blut::N,кровь,цӏий
44,Ader::N,вена,пха
45,Ader::N,сосуд,пха
46,Sehne::N,жила,хьорзам
47,Sehne::N,тетива,хьорзам
48,Sehne::N,сухожилие,хьорзам
49,Knochen::N,кость,даьӏахк
50,Gehirn::N,мозг,хье
51,Herz::N,сердце,дог
52,Magen::N,желудок,зорх
53,Leber::N,печень,доӏах
54,Atem::N,дух,садеӏар
55,Atem::N,дыхание,садеӏар
56,Hunger::N,голод,мацалла
57,Träne::N,слеза,бӏаьрхи
58,Geschmack::N,вкус,чам
59,Geruch::N,запах,хьожа
60,Schlaf::N,сон,наб
61,Traum::N,сновидение,гӏан
62,Himmel::N,небо,стигал
63,Sonne::N,солнце,малх
64,Mond::N,луна,бутт
65,Stern::N,звезда,седа
66,Luft::N,воздух,xӏаваъ
67,Wind::N,ветер,мох
68,Welle::N,волна,тулгӏе
69,Wasser::N,вода,хи
70,Stein::N,камень,тӏулг
71,Boden::N,почва,цӏенкъа
72,Erde::N,земля,латта
73,Staub::N,пыль,чан
74,Rauch::N,дым,кӏур
75,Funke::N,искра,суй
76,Feuer::N,огонь,цӏе
77,Licht::N,свет,серло
78,Schatten::N,тень,ӏиндагӏ
79,Wetter::N,погода,хенан хӏоттам
80,Nebel::N,туман,дохк
81,Wolke::N,облако,марха
82,Regen::N,дождь,догӏа
83,Schnee::N,снег,ло
84,Eis::N,лед,ша
85,Frost::N,мороз,шело
86,Kälte::N,холод,шело
87,Hitze::N,жара,йовхо
88,Raureif::N,иней,йис
89,Regenbogen::N,радуга,стелаӏад
90,Donner::N,гром,ткъес
91,Strömung::N,течение,дӏаэхар
92,Strömung::N,течение,дӏасалелар
93,Tropfen::N,капля,тӏадам
94,Schaum::N,пена,чопа
95,Schmutz::N,грязь,хатт
96,See::N,озеро,ӏам
97,Sumpf::N,топь,уьшал
98,Moor::N,болото,уьшал
99,Wiese::N,луг,бай
100,Wald::N,лес,хьун
101,Hügel::N,холм,гу
102,Hügel::N,холм,шу
103,Hügel::N,холм,барз
104,Anhöhe::N,возвышенность,акъари
105,Berg::N,гора,лам
106,Gipfel::N,вершина,бохь
107,Höhle::N,пещера,хьех
108,Abhang::N,склон,басе
109,Quelle::N,источник,шовда
110,Bach::N,ручей,татол
111,Fluss::N,река,хи
112,Ufer::N,берег,хийист
113,Küste::N,побережье,йист
114,Festland::N,суша,латта
115,Meer::N,море,xӏорд
116,Bucht::N,бухта,чож
117,Insel::N,остров,гӏайре
118,Blume::N,цветок,зезаг
119,Gras::N,трава,буц
120,Wurzel::N,корень,орам
121,Baum::N,дерево,дитт
122,Stamm::N,ствол,гӏад
123,Stamm::N,ствол,тайпа
124,Rinde::N,кора,кевстиг
125,Ast::N,сук,га
126,Zweig::N,ветвь,га
127,Blatt::N,лист,гӏа
128,Birke::N,береза,дакх
129,Kiefer[Baum]::N,сосна,бага
130,Weide[Baum]::N,ива,дак
131,Tanne::N,ель,база
132,Horn::N,рог,маӏа
133,Feder::N,перо,пелаг
134,Fell::N,шкура,цӏока
135,Flügel::N,крыло,тӏам
136,Klaue::N,коготь,мӏара
137,Kralle::N,лапа,тlод
138,Schwanz::N,хвост,цӏога
139,Ei::N,яйцо,xӏoa
140,Nest::N,гнездо,бен
141,Bau::N,нора,lуьрг
142,Tier::N,животное,дийнат
143,Herde::N,стадо,жа
144,Kuh::N,корова,етт
145,Bulle::N,бык,сту
146,Pferd::N,лошадь,говр
147,Schaf::N,овца,жий
148,Schaf::N,овца,уьстагӏ
149,Schwein::N,свинья,хьакха
150,Hund::N,собака,жӏаьла
151,Katze::N,кошка,цициг
152,Bär::N,медведь,ча
153,Eichhörnchen::N,белка,тарсал
154,Elch::N,лось,сай
155,Fuchs::N,лиса,цхьогал
156,Hase::N,заяц,пхьагал
157,Maus::N,мышь,дахка
158,Wolf::N,волк,борз
159,Vogel::N,птица,олхазар
160,Schwarm::N,стая,
161,Huhn::N,курица,котам
162,Hahn::N,петух,нӏаьна
163,Hahn::N,петух,боргӏал
164,Gans::N,гусь,гӏаз
165,Adler::N,орел,aьрзу
166,Ente::N,утка,бад
167,Eule::N,сова,бухӏа
168,Kranich::N,журавль,гӏаргӏули
169,Krähe::N,ворона,къиг
170,Kuckuck::N,кукушка,aттйокх
171,Schwan::N,лебедь,гӏургӏаз
172,Fisch::N,рыба,чӏара
173,Barsch::N,окунь,окунь
174,Hecht::N,щука,гӏазкхийн чӏара
175,Schlange[Tier]::N,змея,лаьхьа
176,Wurm::N,червяк,нӏаьна
177,Spinne::N,паук,гезг
178,Ameise::N,муравей,зингат
179,Laus::N,вошь,меза
180,Laus::N,вошь,гӏениг
181,Mücke::N,комар,чуьрк
182,Fliege::N,муха,моза
183,Schmetterling::N,бабочка,полла
184,Beere::N,ягода,цӏазам
185,Apfel::N,яблоко,ӏаж
186,Pilz::N,гриб,жӏаьлин нускал
187,Zwiebel::N,луковица,xох
188,Saat::N,семя,чlу
189,Korn::N,зерно,буьртиг
190,Heu::N,сено,йол
191,Schale::N,шелуха,пардо
192,Grube::N,яма,ор
193,Falle::N,ловушка,кӏело
194,Schlinge::N,силок,
195,Spur::N,след,лар
196,Asche::N,зола,чим
197,Asche::N,пепел,чим
198,Dreck::N,грязь,мода
199,Eisen::N,железо,эчиг
200,Gold::N,золото,деши
201,Silber::N,серебро,дети
202,Kohle::N,уголь,кӏора
203,Glas::N,стекло,aнгали
204,Lehm::N,глина,поппар
205,Sand::N,песок,гӏум
206,Mensch::N,человек,адам
207,Mann::N,мужчина,майра
208,Frau::N,женщина,зуда
209,Kind::N,ребенок,бер
210,Junge::N,мальчик,жимха
211,Mädchen::N,девочка,жима йоӏ
212,Familie::N,семья,доьзал
213,Großvater::N,дедушка,ненада
214,Großmutter::N,бабушка,денана
215,Eltern::N,родители,да-нана
216,Vater::N,отец,да
217,Mutter::N,мать,нана
218,Sohn::N,сын,кӏант
219,Tochter::N,дочь,йоӏ
220,Bruder::N,брат,ваша
221,Schwester::N,сестра,йиша
222,Onkel::N,дядя,деваша
223,Tante::N,тетя,дейиша
224,Ehemann::N,муж,майра
225,Ehefrau::N,жена,зуда
226,Freude::N,радость,самукъа
227,Freude::N,радость,хазахетар
228,Gelächter::N,смех,белам
229,Glück::N,счастье,ирс
230,Kummer::N,горе,бала
231,Wunsch::N,желание,лаам
232,Lust::N,влечение,лаам
233,Geist::N,дух,са
234,Gedanke::N,мысль,ойла
235,Gedächtnis::N,память,диццадалар
236,Verstand::N,ум,хьекъал
237,Sinn::N,смысл,маьӏна
238,Grund::N,повод,бахьана
239,Wahrheit::N,правда,бакъдерг
240,Gespräch::N,беседа,къамел
241,Märchen::N,сказка,туьйра
242,Erzählung::N,рассказ,дийцар
243,Nachricht::N,сообщение,хаам
244,Neuigkeit::N,новость,керланиг
245,Name::N,имя,цӏе
246,Rätsel::N,загадка,хӏетал-метал
247,Rede::N,речь,къамел
248,Sprache::N,язык,мотт
249,Stimme::N,голос,aз
250,Wort::N,слово,дош
251,Zeichen::N,знак,билгало
252,Ruf::N,зов,кхайкхар
253,Lärm::N,шум,гӏовгӏа
254,Laut::N,звук,аз
255,Ton::N,звучание,aз
256,Lied::N,песня,илли
257,Ruhe::N,покой,тийналла
258,Leute::N,люди,нах
259,Volk::N,народ,халкъ
260,Arbeit::N,работа,болх
261,Gast::N,гость,хьаша
262,Geschenk::N,подарок,совгӏат
263,Spiel::N,игра,ловзар
264,Gesellschaft::N,общество,юкъаралла
265,Hilfe::N,помощь,гӏо
266,Freund::N,друг,доттагl
267,Kamerad::N,приятель,накъост
268,Angelegenheit::N,дело,гӏуллакх
269,Anzahl::N,количество,терахь
270,Art::N,вид,
271,Stück::N,кусок,юьхк
272,Teil::N,часть,дакъа
273,Hälfte::N,половина,ах
274,Kreis::N,круг,го
275,Kreuz::N,крест,жӏара
276,Linie::N,линия,сиз
277,Strich::N,черта,сиз
278,Abstand::N,промежуток,юкъ
279,Entfernung::N,расстояние,
280,Gegend::N,местность,мeттиг
281,Platz::N,пространство,майда
282,Ort::N,место,меттиг
283,Seite::N,сторона,aгӏo
284,Mitte::N,середина,юкъ
285,Gegenstand::N,предмет,хӏума
286,Sache::N,вещь,хӏума
287,Rand::N,край,йист
288,Kante::N,ребро,йист
289,Ecke::N,угол,са
290,Spitze::N,кончик,ралла
291,Ende::N,конец,юьхьиг
292,Loch::N,дыра,ӏуьрг
293,Winkel::N,угол,са
294,Muster::N,узор,дагар
295,Muster::N,узор,тӏамар
296,Größe::N,размер,барам
297,Länge::N,длина,йохалла
298,Höhe::N,высота,локхалла
299,Gewicht::N,вес,йозалла
300,Menge::N,количество,дукхалла
301,Haufen::N,куча,сал
302,Haufen::N,куча,оьла
303,Reihe::N,ряд,рагӏ
304,Reihe::N,ряд,могӏа
305,Boot::N,лодка,кема
306,Ruder::N,весло,пийсиг
307,Schlitten::N,сани,салаз
308,Ski::N,лыжа,когсалаз
309,Lagerfeuer::N,костер,цӏе
310,Last::N,тяжесть,дукъ
311,Gang::N,ход,лелар
312,Schritt::N,шаг,гӏулч
313,Norden::N,север,къилбаседе
314,Süden::N,юг,къилбе
315,Westen::N,запад,малхбузе
316,Osten::N,восток,малхбале
317,Holz::N,древесина,дечиг
318,Brett::N,доска,у
319,Platte::N,плита,у
320,Stütze::N,подпорка,гӏopтоp
321,Stange::N,жердь,гӏуркх
322,Stock::N,палка,ӏаса
323,Stab::N,шест,гӏаж
324,Rohr::N,труба,биргӏа
325,Haus::N,дом,цӏа
326,Heim::N,дом,кхерч
327,Ofen::N,печь,кхерч
328,Fußboden::N,пол,цӏенкъа
329,Tisch::N,стол,шун
330,Stuhl::N,стул,гӏант
331,Wiege::N,колыбель,ага
332,Bett::N,постель,маьнга
333,Regal::N,полка,терхи
334,Kiste::N,ящик,яьшка
335,Fenster::N,окно,кор
336,Tür::N,дверь,неӏ
337,Tor::N,ворота,ков
338,Zaun::N,забор,керт
339,Dach::N,крыша,тхов
340,Leiter::N,лестница,лами
341,Besen::N,метла,нуй
342,Spaten::N,лопата,бел
343,Schaufel::N,совок,аьшкал
344,Gabel::N,вилка,мӏара
345,Löffel::N,ложка,ӏайг
346,Messer::N,нож,урс
347,Nagel::N,гвоздь,хьостам
348,Netz::N,сеть,бой
349,Haken::N,крюк,мӏара
350,Griff::N,ручка,
351,Schloss::N,замок,чӏега
352,Bild::N,картина,сурт
353,Figur::N,фигура,
354,Puppe::N,кукла,тайниг
355,Beutel::N,мешок,гали
356,Bündel::N,связка,кочар
357,Tasche::N,сумка,тӏоьрмиг
358,Eimer::N,ведро,чийлик
359,Deckel::N,крышка,негӏар
360,Geschirr::N,посуда,пхьегӏа
361,Sack::N,мешок,гали
362,Tasse::N,чашка,кад
363,Topf::N,кастрюля,яй
364,Kessel::N,котел,яй
365,Essen::N,еда,юург
366,Nahrung::N,пища,кхача
367,Speise::N,блюдо,юург
368,Speise::N,кушанье,юург
369,Fleisch::N,мясо,жижиг
370,Getreide::N,хлеб,буьртиг
371,Brei::N,каша,xудар
372,Brot::N,хлеб,бепиг
373,Brot::N,хлеб,кхаллар
374,Scheibe::N,ломоть,цастар
375,Fett::N,жир,мохь
376,Butter::N,масло,налха
377,Öl::N,масло,даьтта
378,Salz::N,соль,туьха
379,Suppe::N,суп,чорпа
